number,created_at,merged_at,closed_at,desc_len
460,2020-02-19T18:31:50Z,2020-03-09T02:46:26Z,2020-03-09T02:46:26Z,47
459,2020-02-19T17:51:49Z,,2020-03-09T02:45:48Z,40
453,2020-02-17T14:23:22Z,2020-03-09T02:44:22Z,2020-03-09T02:44:22Z,10
452,2020-02-17T13:46:09Z,,2020-03-09T02:36:34Z,193
423,2020-02-09T02:23:13Z,,2020-02-09T02:24:25Z,14
384,2020-01-16T10:50:07Z,,2020-03-09T02:28:02Z,49
354,2019-12-29T06:18:05Z,,2020-03-08T14:49:11Z,10
295,2019-12-07T02:17:43Z,,2019-12-11T00:23:07Z,91
294,2019-12-06T09:30:24Z,,2019-12-06T09:33:35Z,60
293,2019-12-05T09:32:31Z,2019-12-06T08:54:47Z,2019-12-06T08:54:47Z,23
266,2019-11-27T06:00:58Z,,2019-12-06T08:56:30Z,265
188,2019-10-29T01:21:08Z,,2019-10-29T01:31:25Z,19
80,2019-09-19T07:42:54Z,2019-09-19T23:53:30Z,2019-09-19T23:53:30Z,7
70,2019-09-13T04:42:32Z,,2019-09-18T05:12:53Z,13
46,2019-08-28T01:44:49Z,2019-08-28T05:14:06Z,2019-08-28T05:14:07Z,44
45,2019-08-27T10:32:08Z,2019-08-28T00:05:49Z,2019-08-28T00:05:49Z,77
44,2019-08-27T07:52:49Z,2019-08-27T07:58:22Z,2019-08-27T07:58:22Z,9
43,2019-08-27T04:19:36Z,2019-08-27T05:06:59Z,2019-08-27T05:06:59Z,66
41,2019-08-26T09:23:31Z,,2019-08-27T01:18:22Z,52
40,2019-08-26T08:23:55Z,2019-08-26T08:26:09Z,2019-08-26T08:26:09Z,63
39,2019-08-26T05:40:00Z,2019-08-26T05:41:39Z,2019-08-26T05:41:39Z,75
36,2019-08-25T01:42:46Z,2019-08-26T05:06:42Z,2019-08-26T05:06:42Z,649
33,2019-08-23T10:09:18Z,,2019-08-25T01:36:37Z,67
32,2019-08-23T07:55:35Z,,2019-08-23T09:22:39Z,82
31,2019-08-23T02:09:07Z,2019-08-23T02:14:43Z,2019-08-23T02:14:44Z,70
2510,2022-07-29T09:37:32Z,2022-07-30T11:17:57Z,2022-07-30T11:17:57Z,31
2501,2022-07-26T12:35:17Z,2022-07-26T13:04:57Z,2022-07-26T13:04:57Z,19
2500,2022-07-26T10:52:32Z,2022-07-26T12:08:54Z,2022-07-26T12:08:54Z,80
2464,2022-07-09T09:04:27Z,,2022-07-09T09:04:37Z,3
2463,2022-07-09T08:58:49Z,,2022-07-09T08:59:20Z,7
2449,2022-07-04T06:05:36Z,2022-07-04T12:43:32Z,2022-07-04T12:43:32Z,186
2447,2022-07-03T14:33:54Z,,2022-07-04T12:43:23Z,164
2417,2022-06-22T02:26:45Z,2022-06-23T07:21:08Z,2022-06-23T07:21:08Z,24
2415,2022-06-22T01:49:36Z,2022-06-23T07:20:18Z,2022-06-23T07:20:18Z,65
2328,2022-05-22T08:30:56Z,,2022-05-24T02:40:35Z,378
2295,2022-05-11T17:59:42Z,,2022-05-12T01:06:52Z,115
2192,2022-04-14T04:13:52Z,2022-04-14T07:08:08Z,2022-04-14T07:08:08Z,87
2164,2022-04-05T15:11:29Z,2022-04-06T11:49:53Z,2022-04-06T11:49:53Z,22
2154,2022-04-02T19:18:37Z,,2022-04-03T08:30:22Z,225
2151,2022-04-01T12:05:17Z,2022-04-01T12:37:42Z,2022-04-01T12:37:42Z,439
2148,2022-04-01T05:32:17Z,2022-04-01T10:07:26Z,2022-04-01T10:07:26Z,305
2101,2022-03-14T15:48:56Z,,2022-03-24T11:10:46Z,11
2097,2022-03-12T12:52:05Z,,2022-03-13T02:45:58Z,11
2082,2022-03-05T16:09:18Z,,2022-03-13T02:46:15Z,47
2077,2022-03-03T09:18:22Z,2022-03-05T09:58:26Z,2022-03-05T09:58:26Z,289
2015,2022-01-26T02:01:10Z,,2022-01-26T02:01:29Z,5
1912,2021-12-04T07:29:37Z,,2021-12-04T11:17:44Z,313
1903,2021-11-30T07:32:15Z,,2021-11-30T12:08:21Z,68
1857,2021-11-02T04:30:35Z,,2021-11-02T11:58:32Z,81
1845,2021-10-22T11:42:42Z,,2021-11-06T10:03:52Z,193
1813,2021-10-06T02:58:41Z,,2021-10-06T03:29:05Z,174
1754,2021-08-23T00:50:17Z,2021-09-29T12:10:34Z,2021-09-29T12:10:34Z,137
1719,2021-07-30T09:46:38Z,,2021-07-31T07:37:21Z,55
1709,2021-07-27T07:52:34Z,,2021-07-30T02:55:21Z,103
1655,2021-06-29T17:01:26Z,,2021-07-03T07:52:42Z,114
1647,2021-06-25T04:55:20Z,2021-06-28T03:34:20Z,2021-06-28T03:34:20Z,18
1624,2021-06-05T14:41:45Z,,2021-07-03T07:51:46Z,93
1615,2021-06-01T11:09:39Z,,2021-06-19T07:31:27Z,254
1607,2021-05-29T15:34:26Z,,2021-05-30T08:07:48Z,209
1601,2021-05-24T13:42:36Z,,2021-05-28T01:38:52Z,350
1594,2021-05-23T09:10:26Z,2021-05-23T10:39:36Z,2021-05-23T10:39:36Z,261
1582,2021-05-17T02:11:21Z,2021-05-17T03:22:50Z,2021-05-17T03:22:51Z,1231
1552,2021-05-05T13:00:05Z,,2021-05-11T01:56:28Z,241
1551,2021-05-05T05:10:35Z,,2021-05-11T02:36:58Z,178
1526,2021-04-15T11:31:49Z,,2021-04-16T00:17:08Z,45
1478,2021-03-27T03:44:34Z,,2021-03-27T03:45:22Z,45
1435,2021-03-07T11:05:03Z,,2021-03-07T11:05:30Z,16
1419,2021-03-02T13:09:55Z,,2021-03-04T03:35:31Z,939
1399,2021-02-26T15:48:23Z,2021-02-28T00:11:20Z,2021-02-28T00:11:20Z,78
1398,2021-02-26T15:39:37Z,,2021-02-26T15:41:07Z,3
1389,2021-02-24T16:56:29Z,,2021-02-25T00:14:09Z,9
1372,2021-02-21T04:44:17Z,,2021-02-21T04:55:36Z,56
1233,2021-01-14T08:40:35Z,2021-01-15T06:13:47Z,2021-01-15T06:13:47Z,279
1232,2021-01-14T03:31:02Z,,2021-01-14T03:53:59Z,277
1195,2020-12-25T20:21:57Z,2020-12-26T04:03:24Z,2020-12-26T04:03:24Z,9
1174,2020-12-10T04:14:51Z,,2020-12-10T07:33:33Z,32
1173,2020-12-09T22:16:54Z,,2020-12-17T01:01:33Z,12
1172,2020-12-09T15:58:26Z,,2020-12-10T00:10:04Z,20
