number,created_at,merged_at,closed_at,desc_len
1311,2020-10-05T08:15:59Z,,2020-10-05T14:01:45Z,172
1310,2020-10-05T07:59:59Z,,2020-10-05T14:19:00Z,273
1309,2020-10-05T07:34:17Z,,2020-10-05T14:25:02Z,24
1308,2020-10-05T07:33:11Z,,2020-10-05T14:09:01Z,21
1307,2020-10-05T07:26:50Z,,2020-10-05T14:08:44Z,20
1306,2020-10-05T07:22:51Z,,2020-10-05T14:08:18Z,20
1305,2020-10-05T07:21:28Z,,2020-10-05T14:32:10Z,128
1304,2020-10-05T07:12:24Z,,2020-10-05T14:07:47Z,20
1303,2020-10-05T06:51:03Z,,2020-10-05T07:49:35Z,37
1302,2020-10-05T06:01:30Z,,2020-10-05T14:04:37Z,90
1301,2020-10-05T02:31:55Z,,2020-10-05T13:58:14Z,79
1300,2020-10-05T00:53:54Z,,2020-10-05T13:44:04Z,289
1298,2020-10-04T20:15:28Z,,2020-10-05T13:46:27Z,33
1297,2020-10-04T19:39:38Z,2020-10-06T15:33:41Z,2020-10-06T15:33:41Z,57
1296,2020-10-04T19:28:29Z,,2020-10-04T19:42:01Z,18
1295,2020-10-04T19:11:54Z,,2020-10-04T19:44:13Z,49
1294,2020-10-04T18:29:04Z,,2020-10-04T18:33:14Z,114
1293,2020-10-04T18:27:25Z,,2020-10-04T18:32:53Z,89
1292,2020-10-04T18:13:28Z,,2020-10-04T18:15:15Z,24
1291,2020-10-04T18:09:00Z,,2020-10-04T18:11:37Z,127
1290,2020-10-04T17:35:33Z,,2020-10-04T17:39:25Z,86
1289,2020-10-04T17:23:20Z,,2020-10-04T17:25:51Z,50
1288,2020-10-04T17:17:54Z,,2020-10-04T17:28:52Z,76
1287,2020-10-04T16:38:11Z,,2020-10-04T17:27:48Z,21
1286,2020-10-04T16:10:31Z,,2020-10-04T17:01:07Z,17
1285,2020-10-04T15:17:36Z,,2020-10-04T17:27:21Z,128
1284,2020-10-04T14:32:42Z,,2020-10-04T17:29:10Z,84
1283,2020-10-04T14:14:40Z,,2020-10-04T17:26:23Z,65
1282,2020-10-04T14:14:21Z,,2020-10-04T17:26:38Z,73
1281,2020-10-04T14:06:16Z,,2020-10-04T17:28:19Z,109
1280,2020-10-04T13:55:49Z,,2020-10-04T17:25:23Z,56
1279,2020-10-04T13:50:26Z,2020-10-04T17:38:38Z,2020-10-04T17:38:38Z,16
1278,2020-10-04T13:46:18Z,,2020-10-04T13:48:34Z,53
1277,2020-10-04T13:43:33Z,,2020-10-04T13:46:17Z,29
1276,2020-10-04T13:34:15Z,,2020-10-04T13:39:21Z,22
1275,2020-10-04T12:56:35Z,2020-10-04T13:16:40Z,2020-10-04T13:16:40Z,71
1274,2020-10-04T12:31:05Z,,2020-10-04T13:08:59Z,14
1273,2020-10-04T12:07:29Z,,2020-10-04T13:08:00Z,49
1272,2020-10-04T11:40:54Z,,2020-10-04T11:43:01Z,19
1271,2020-10-04T11:24:46Z,,2020-10-04T11:26:42Z,222
1270,2020-10-04T10:06:27Z,,2020-10-04T10:14:49Z,43
1269,2020-10-04T09:24:28Z,2020-10-04T09:26:57Z,2020-10-04T09:26:57Z,48
1268,2020-10-04T09:12:37Z,,2020-10-04T09:21:13Z,19
1267,2020-10-04T08:37:51Z,2020-10-04T08:57:32Z,2020-10-04T08:57:32Z,25
1266,2020-10-04T08:19:15Z,,2020-10-04T08:35:07Z,22
1265,2020-10-04T08:11:21Z,,2020-10-04T08:15:58Z,189
1264,2020-10-04T06:48:03Z,2020-10-04T07:36:57Z,2020-10-04T07:36:57Z,196
1263,2020-10-04T03:58:09Z,,2020-10-04T07:12:33Z,42
1262,2020-10-04T01:12:22Z,,2020-10-04T07:21:30Z,172
1261,2020-10-04T00:16:09Z,,2020-10-04T07:14:15Z,208
1260,2020-10-03T23:26:34Z,2020-10-04T13:42:50Z,2020-10-04T13:42:51Z,17
1259,2020-10-03T22:55:18Z,,2020-10-03T23:08:10Z,53
1258,2020-10-03T21:55:44Z,,2020-10-03T23:08:22Z,88
1257,2020-10-03T21:50:39Z,2020-10-03T21:52:54Z,2020-10-03T21:52:54Z,15
1256,2020-10-03T21:32:55Z,2020-10-03T21:59:49Z,2020-10-03T21:59:49Z,58
1255,2020-10-03T21:27:25Z,2020-10-03T21:29:45Z,2020-10-03T21:29:45Z,11
1254,2020-10-03T21:26:49Z,,2020-10-03T21:47:14Z,100
1253,2020-10-03T21:26:19Z,,2020-10-04T17:29:59Z,585
1252,2020-10-03T21:24:39Z,,2020-10-03T21:54:14Z,23
1251,2020-10-03T21:22:28Z,2020-10-03T21:38:34Z,2020-10-03T21:38:34Z,22
1250,2020-10-03T20:35:30Z,,2020-10-03T20:44:35Z,26
1249,2020-10-03T20:31:46Z,2020-10-03T20:32:11Z,2020-10-03T20:32:11Z,13
1248,2020-10-03T19:50:29Z,,2020-10-03T19:55:05Z,120
1247,2020-10-03T19:28:03Z,,2020-10-03T19:36:13Z,48
1246,2020-10-03T19:11:42Z,2020-10-03T21:52:06Z,2020-10-03T21:52:06Z,63
1245,2020-10-03T18:47:36Z,,2020-10-03T18:51:27Z,189
1244,2020-10-03T18:16:50Z,,2020-10-03T18:39:42Z,171
1242,2020-10-03T17:46:43Z,,2020-10-03T17:56:01Z,56
1241,2020-10-03T17:16:34Z,,2020-10-03T17:58:17Z,134
1240,2020-10-03T17:14:34Z,,2020-10-03T17:54:46Z,52
1239,2020-10-03T16:49:14Z,,2020-10-03T22:08:10Z,267
1238,2020-10-03T15:50:09Z,,2020-10-03T18:25:39Z,21
1237,2020-10-03T15:37:17Z,2020-10-04T09:11:36Z,2020-10-04T09:11:36Z,151
1236,2020-10-03T15:35:32Z,,2020-10-03T18:22:44Z,45
1235,2020-10-03T14:54:14Z,,2020-10-03T18:12:14Z,126
1234,2020-10-03T14:20:38Z,,2020-10-03T14:29:55Z,37
1233,2020-10-02T17:09:14Z,,2020-10-03T13:14:56Z,255
1232,2020-10-01T20:17:29Z,2020-10-04T08:25:27Z,2020-10-04T08:25:27Z,57
1231,2020-10-01T10:58:53Z,,2020-10-01T18:29:25Z,52
1230,2020-10-01T08:23:01Z,,2020-10-01T09:01:45Z,173
1229,2020-10-01T05:04:56Z,,2020-10-01T05:34:02Z,139
1228,2020-10-01T02:56:10Z,,2020-10-01T05:42:08Z,410
1227,2020-09-30T10:09:21Z,,2020-10-01T05:51:39Z,211
1226,2020-09-29T19:18:45Z,,2020-10-01T18:22:54Z,107
1225,2020-09-28T04:45:21Z,,2020-10-03T13:05:12Z,7
1223,2020-09-26T15:00:41Z,,2020-09-26T18:47:56Z,53
1222,2020-09-24T23:30:44Z,,2020-09-26T18:54:05Z,42
1221,2020-09-23T01:10:28Z,,2020-09-26T18:58:00Z,753
1220,2020-09-22T09:40:00Z,2020-09-22T19:37:38Z,2020-09-22T19:37:38Z,1587
1219,2020-09-18T17:57:34Z,,2020-09-18T18:15:43Z,16
1218,2020-09-18T17:33:16Z,,2020-09-18T17:41:27Z,200
1217,2020-09-16T12:30:33Z,,2020-09-16T12:48:35Z,60
1216,2020-09-15T13:29:30Z,2020-09-15T18:54:18Z,2020-09-15T18:54:18Z,129
1215,2020-09-14T04:16:03Z,,2020-09-16T12:59:41Z,67
1214,2020-09-14T03:56:12Z,2020-09-14T07:37:41Z,2020-09-14T07:37:41Z,18
1213,2020-09-12T20:30:42Z,2020-09-18T11:25:07Z,2020-09-18T11:25:07Z,70
1212,2020-09-08T01:49:44Z,2020-09-08T06:39:10Z,2020-09-08T06:39:10Z,843
1211,2020-09-07T09:20:53Z,2020-09-07T09:39:24Z,2020-09-07T09:39:24Z,26
1210,2020-09-06T16:52:31Z,,2020-09-07T06:12:09Z,141
1209,2020-09-04T05:11:55Z,,2020-09-04T06:30:52Z,373
1530,2020-10-12T03:14:07Z,,2020-10-12T03:18:47Z,115
1529,2020-10-12T00:05:49Z,2020-10-12T16:41:04Z,2020-10-12T16:41:04Z,86
1528,2020-10-11T22:31:37Z,,2020-10-12T16:57:48Z,153
1527,2020-10-11T21:49:44Z,,2020-10-12T03:53:55Z,138
1526,2020-10-11T20:27:44Z,2020-10-12T17:01:21Z,2020-10-12T17:01:22Z,181
1525,2020-10-11T20:13:00Z,,2020-10-12T03:55:49Z,63
1524,2020-10-11T20:04:30Z,,2020-10-12T16:55:06Z,58
1522,2020-10-11T19:56:09Z,,2020-10-12T12:19:43Z,95
1521,2020-10-11T17:26:32Z,,2020-10-11T18:26:21Z,3039
1520,2020-10-11T17:15:35Z,,2020-10-11T18:21:37Z,212
1519,2020-10-11T16:53:47Z,,2020-10-11T18:20:59Z,30
1517,2020-10-11T13:53:34Z,2020-10-12T16:34:27Z,2020-10-12T16:34:27Z,29
1516,2020-10-11T13:25:03Z,,2020-10-11T13:38:58Z,111
1515,2020-10-11T10:14:49Z,,2020-10-11T11:01:15Z,177
1513,2020-10-11T08:53:58Z,2020-10-11T08:54:50Z,2020-10-11T08:54:50Z,14
1512,2020-10-11T08:47:35Z,2020-10-11T11:33:36Z,2020-10-11T11:33:36Z,30
1511,2020-10-11T08:38:36Z,,2020-10-11T08:40:42Z,48
1509,2020-10-11T06:58:47Z,,2020-10-11T07:29:55Z,372
1508,2020-10-11T06:38:46Z,,2020-10-11T07:10:56Z,71
1507,2020-10-11T06:20:35Z,,2020-10-11T07:25:41Z,30
1506,2020-10-11T05:22:06Z,,2020-10-11T07:22:27Z,29
1505,2020-10-11T04:05:16Z,,2020-10-11T07:22:01Z,69
1504,2020-10-11T03:56:17Z,,2020-10-11T07:21:16Z,104
1503,2020-10-11T03:31:32Z,,2020-10-11T07:14:13Z,29
1502,2020-10-11T02:27:52Z,,2020-10-11T07:21:52Z,14
1501,2020-10-11T02:22:56Z,,2020-10-11T07:20:13Z,24
1499,2020-10-11T01:03:16Z,,2020-10-11T07:20:44Z,160
1498,2020-10-11T00:24:19Z,,2020-10-11T07:20:01Z,22
1496,2020-10-10T23:45:37Z,,2020-10-11T07:16:07Z,21
1495,2020-10-10T22:56:10Z,,2020-10-11T07:18:41Z,32
1494,2020-10-10T21:25:17Z,,2020-10-11T07:19:16Z,22
1492,2020-10-10T19:24:52Z,,2020-10-11T07:14:11Z,46
1491,2020-10-10T19:02:02Z,,2020-10-11T07:13:25Z,192
1490,2020-10-10T18:55:19Z,,2020-10-11T07:11:09Z,34
1489,2020-10-10T17:57:56Z,,2020-10-10T18:10:30Z,267
1488,2020-10-10T15:44:37Z,,2020-10-10T16:23:05Z,64
1487,2020-10-10T14:51:18Z,,2020-10-10T14:56:42Z,17
1486,2020-10-10T14:40:34Z,,2020-10-10T16:20:12Z,95
1485,2020-10-10T14:21:56Z,,2020-10-10T16:16:59Z,123
1484,2020-10-10T14:20:37Z,,2020-10-10T15:07:15Z,114
1483,2020-10-10T11:58:54Z,,2020-10-10T16:23:56Z,92
1482,2020-10-10T09:17:57Z,,2020-10-10T16:22:12Z,82
1481,2020-10-10T08:56:40Z,,2020-10-10T16:21:11Z,103
1480,2020-10-10T08:03:45Z,,2020-10-10T08:31:01Z,145
1479,2020-10-10T03:49:18Z,,2020-10-10T07:03:07Z,111
1477,2020-10-09T22:40:57Z,,2020-10-10T07:04:12Z,90
1476,2020-10-09T21:49:57Z,,2020-10-10T05:09:45Z,137
1475,2020-10-09T21:32:29Z,,2020-10-10T05:11:00Z,23
1474,2020-10-09T19:43:01Z,,2020-10-09T20:03:53Z,50
1473,2020-10-09T17:37:46Z,2020-10-09T19:01:54Z,2020-10-09T19:01:54Z,19
1472,2020-10-09T17:05:49Z,,2020-10-09T17:31:53Z,16
1471,2020-10-09T14:52:19Z,,2020-10-09T15:50:30Z,13
1470,2020-10-09T13:41:23Z,,2020-10-09T17:29:18Z,44
1469,2020-10-09T13:30:59Z,,2020-10-09T17:30:06Z,89
1468,2020-10-09T13:28:54Z,,2020-10-09T17:31:27Z,69
1467,2020-10-09T12:58:27Z,,2020-10-09T13:04:45Z,286
1466,2020-10-09T12:46:47Z,,2020-10-09T12:49:41Z,298
1465,2020-10-09T11:23:11Z,,2020-10-09T12:39:16Z,76
1464,2020-10-09T11:11:29Z,,2020-10-09T12:38:03Z,23
1463,2020-10-09T10:24:26Z,,2020-10-09T12:36:30Z,26
