number,created_at,merged_at,closed_at,desc_len
114,2018-02-11T02:38:05Z,2018-02-11T02:38:19Z,2018-02-11T02:38:19Z,11
112,2018-02-06T20:47:42Z,2018-02-06T20:55:04Z,2018-02-06T20:55:04Z,130
111,2018-02-06T10:17:06Z,2018-02-06T17:15:55Z,2018-02-06T17:15:55Z,64
109,2018-02-02T09:36:52Z,2018-02-13T23:46:21Z,2018-02-13T23:46:21Z,97
108,2018-02-02T00:41:26Z,2018-02-02T05:17:30Z,2018-02-02T05:17:30Z,81
107,2018-02-01T17:11:51Z,,2018-02-05T18:39:05Z,127
106,2018-01-31T16:51:44Z,2018-01-31T19:15:18Z,2018-01-31T19:15:18Z,100
105,2018-01-31T14:40:19Z,2018-01-31T19:16:39Z,2018-01-31T19:16:39Z,68
104,2018-01-30T18:35:58Z,2018-01-31T05:00:17Z,2018-01-31T05:00:17Z,36
102,2018-01-30T02:19:39Z,,2018-02-16T14:08:22Z,69
101,2018-01-29T21:49:32Z,2018-01-30T00:44:59Z,2018-01-30T00:44:59Z,248
100,2018-01-29T20:20:23Z,2018-01-29T20:20:38Z,2018-01-29T20:20:38Z,91
99,2018-01-29T09:38:46Z,,2018-01-30T00:45:52Z,553
98,2018-01-29T09:28:46Z,2018-01-30T00:46:34Z,2018-01-30T00:46:35Z,177
97,2018-01-29T08:42:43Z,,2018-01-30T02:15:44Z,1096
95,2018-01-29T00:27:48Z,2018-01-29T00:27:54Z,2018-01-29T00:27:54Z,12
94,2018-01-28T20:33:12Z,2018-01-30T00:59:12Z,2018-01-30T00:59:12Z,74
93,2018-01-26T21:57:30Z,2018-01-27T00:05:51Z,2018-01-27T00:05:51Z,447
92,2018-01-26T21:46:50Z,2018-01-26T21:47:00Z,2018-01-26T21:47:00Z,42
90,2018-01-24T20:15:07Z,2018-01-24T20:15:13Z,2018-01-24T20:15:13Z,58
89,2018-01-24T19:27:17Z,2018-01-24T19:27:24Z,2018-01-24T19:27:24Z,70
88,2018-01-23T21:43:13Z,2018-01-23T21:43:19Z,2018-01-23T21:43:20Z,84
87,2018-01-23T20:06:06Z,2018-01-23T20:06:12Z,2018-01-23T20:06:12Z,12
86,2018-01-23T05:59:13Z,2018-01-23T05:59:21Z,2018-01-23T05:59:21Z,34
85,2018-01-23T00:02:00Z,2018-01-23T20:08:37Z,2018-01-23T20:08:37Z,32
84,2018-01-22T19:57:35Z,2018-01-22T21:36:51Z,2018-01-22T21:36:51Z,46
83,2018-01-22T18:26:09Z,2018-01-22T19:42:12Z,2018-01-22T19:42:12Z,410
82,2018-01-20T21:15:13Z,2018-01-20T21:15:23Z,2018-01-20T21:15:24Z,49
81,2018-01-20T19:33:57Z,2018-01-20T19:34:04Z,2018-01-20T19:34:04Z,93
80,2018-01-20T19:21:15Z,2018-01-20T19:21:20Z,2018-01-20T19:21:20Z,49
79,2018-01-20T01:32:04Z,2018-01-20T01:32:09Z,2018-01-20T01:32:10Z,106
78,2018-01-20T01:31:53Z,2018-01-20T01:33:30Z,2018-01-20T01:33:30Z,125
77,2018-01-19T21:30:41Z,2018-01-19T21:30:56Z,2018-01-19T21:30:56Z,12
76,2018-01-19T21:06:10Z,2018-01-20T01:34:39Z,2018-01-20T01:34:39Z,121
75,2018-01-19T05:28:24Z,2018-01-19T05:28:30Z,2018-01-19T05:28:30Z,77
74,2018-01-19T02:22:46Z,2018-01-19T02:22:53Z,2018-01-19T02:22:53Z,12
73,2018-01-19T00:24:26Z,2018-01-19T00:24:34Z,2018-01-19T00:24:34Z,12
72,2018-01-18T23:05:03Z,2018-01-18T23:05:18Z,2018-01-18T23:05:18Z,12
71,2018-01-18T19:32:44Z,2018-01-18T20:20:03Z,2018-01-18T20:20:03Z,24
70,2018-01-18T19:04:33Z,,2018-01-18T19:04:58Z,12
69,2018-01-18T19:02:28Z,2018-01-18T19:02:36Z,2018-01-18T19:02:36Z,12
68,2018-01-17T00:19:08Z,2018-01-17T00:20:23Z,2018-01-17T00:20:23Z,39
67,2018-01-16T20:26:15Z,2018-01-16T20:27:05Z,2018-01-16T20:27:05Z,42
66,2018-01-09T08:22:42Z,,2018-01-09T19:12:06Z,3109
65,2018-01-03T21:46:51Z,2018-01-04T03:24:04Z,2018-01-04T03:24:04Z,160
62,2017-12-22T12:09:05Z,2018-01-04T03:24:23Z,2018-01-04T03:24:23Z,260
61,2017-12-20T12:43:14Z,2018-01-10T01:52:32Z,2018-01-10T01:52:32Z,28
60,2017-12-19T14:08:26Z,,2018-09-11T18:45:29Z,121
57,2017-11-30T17:49:30Z,2017-12-09T22:04:12Z,2017-12-09T22:04:12Z,192
54,2017-10-16T16:14:48Z,,2017-12-09T17:54:29Z,187
51,2017-10-06T02:05:58Z,2017-12-09T22:04:37Z,2017-12-09T22:04:37Z,172
48,2017-09-28T06:49:34Z,2017-09-28T14:41:51Z,2017-09-28T14:41:51Z,403
47,2017-09-27T09:50:10Z,2017-09-27T15:55:07Z,2017-09-27T15:55:07Z,324
45,2017-08-12T14:45:05Z,2017-12-09T22:05:04Z,2017-12-09T22:05:04Z,24
44,2017-08-12T14:43:51Z,2017-12-09T22:05:23Z,2017-12-09T22:05:23Z,28
43,2017-08-12T14:41:14Z,2017-12-09T22:21:16Z,2017-12-09T22:21:16Z,21
42,2017-08-12T14:32:31Z,2017-12-09T22:21:38Z,2017-12-09T22:21:38Z,18
41,2017-08-02T15:30:55Z,2017-08-05T00:44:49Z,2017-08-05T00:44:49Z,144
38,2017-06-29T11:59:45Z,2017-08-05T00:46:06Z,2017-08-05T00:46:06Z,312
35,2017-05-31T22:43:02Z,,2018-01-23T06:05:17Z,846
33,2017-05-24T04:39:47Z,2017-05-29T17:28:45Z,2017-05-29T17:28:45Z,37
31,2017-05-12T15:11:04Z,2017-05-29T17:28:59Z,2017-05-29T17:28:59Z,265
29,2017-05-08T10:24:19Z,2017-05-08T15:35:31Z,2017-05-08T15:35:31Z,114
26,2017-05-04T13:43:54Z,2017-05-08T15:35:58Z,2017-05-08T15:35:58Z,440
25,2017-05-04T13:08:05Z,2017-05-08T15:36:27Z,2017-05-08T15:36:27Z,496
22,2017-04-17T22:39:36Z,2017-04-17T22:58:08Z,2017-04-17T22:58:08Z,1173
21,2017-04-17T16:41:55Z,2017-04-17T17:21:59Z,2017-04-17T17:21:59Z,502
20,2017-03-17T19:05:01Z,2017-04-15T06:32:47Z,2017-04-15T06:32:47Z,45
13,2016-11-17T07:01:45Z,,2017-05-08T15:41:16Z,410
11,2016-09-17T16:42:53Z,,2017-05-08T15:47:23Z,365
8,2016-09-08T06:46:43Z,,2017-05-08T15:47:57Z,22
7,2016-08-18T20:24:11Z,2017-12-09T22:35:53Z,2017-12-09T22:35:53Z,834
2,2016-05-26T15:23:35Z,2016-06-01T01:45:10Z,2016-06-01T01:45:10Z,452
1,2016-05-26T02:22:13Z,2016-05-26T03:31:03Z,2016-05-26T03:31:03Z,1119
447,2019-02-18T20:45:17Z,2019-02-18T20:45:25Z,2019-02-18T20:45:25Z,1493
443,2019-02-16T20:54:27Z,2019-02-16T20:54:34Z,2019-02-16T20:54:34Z,393
442,2019-02-16T04:06:57Z,2019-02-16T04:07:04Z,2019-02-16T04:07:04Z,117
441,2019-02-15T22:24:04Z,2019-02-15T22:24:25Z,2019-02-15T22:24:25Z,38
440,2019-02-15T20:59:55Z,2019-02-15T21:01:02Z,2019-02-15T21:01:02Z,584
439,2019-02-15T19:51:43Z,2019-02-15T19:51:50Z,2019-02-15T19:51:50Z,33
438,2019-02-14T20:08:20Z,2019-02-14T20:08:42Z,2019-02-14T20:08:42Z,125
437,2019-02-14T19:36:27Z,2019-02-14T19:36:34Z,2019-02-14T19:36:34Z,93
434,2019-02-13T08:39:10Z,2019-02-13T19:14:07Z,2019-02-13T19:14:07Z,122
432,2019-02-12T00:10:11Z,2019-02-12T02:07:27Z,2019-02-12T02:07:27Z,471
431,2019-02-11T20:38:27Z,2019-02-11T20:40:04Z,2019-02-11T20:40:04Z,2483
429,2019-02-04T22:16:22Z,2019-02-04T22:16:31Z,2019-02-04T22:16:31Z,95
426,2019-02-03T20:20:14Z,2019-02-03T20:20:25Z,2019-02-03T20:20:25Z,509
424,2019-01-30T19:29:22Z,2019-01-30T19:29:34Z,2019-01-30T19:29:34Z,358
421,2019-01-27T23:38:20Z,,2019-02-12T17:39:41Z,548
419,2019-01-25T19:46:24Z,2019-01-25T19:46:32Z,2019-01-25T19:46:32Z,343
418,2019-01-25T06:38:30Z,2019-01-25T06:38:37Z,2019-01-25T06:38:37Z,614
416,2019-01-22T23:43:22Z,2019-01-25T06:38:39Z,2019-01-25T06:38:39Z,64
412,2019-01-18T22:15:29Z,2019-01-18T22:15:34Z,2019-01-18T22:15:34Z,65
410,2019-01-18T17:14:07Z,2019-01-18T17:14:13Z,2019-01-18T17:14:13Z,28
409,2019-01-18T12:43:44Z,2019-01-18T17:02:10Z,2019-01-18T17:02:10Z,259
407,2019-01-17T22:14:06Z,2019-01-17T22:14:16Z,2019-01-17T22:14:16Z,231
406,2019-01-16T19:13:13Z,2019-01-16T19:13:34Z,2019-01-16T19:13:34Z,330
405,2019-01-16T10:14:18Z,2019-01-18T17:03:18Z,2019-01-18T17:03:18Z,165
402,2019-01-13T15:43:20Z,2019-01-18T17:06:59Z,2019-01-18T17:06:59Z,620
400,2019-01-12T20:32:36Z,2019-01-12T20:32:43Z,2019-01-12T20:32:43Z,69
399,2019-01-11T06:09:31Z,,2019-01-11T06:09:51Z,193
398,2019-01-11T01:08:41Z,2019-01-11T01:30:27Z,2019-01-11T01:30:27Z,556
397,2019-01-09T22:50:46Z,2019-02-12T17:40:20Z,2019-02-12T17:40:20Z,323
396,2019-01-09T20:52:52Z,2019-01-09T20:53:00Z,2019-01-09T20:53:00Z,149
395,2019-01-09T16:31:12Z,2019-01-09T19:02:10Z,2019-01-09T19:02:10Z,267
393,2019-01-07T21:28:26Z,2019-01-07T21:28:41Z,2019-01-07T21:28:41Z,304
391,2019-01-03T21:41:47Z,2019-01-03T21:42:03Z,2019-01-03T21:42:03Z,2029
387,2019-01-02T14:52:32Z,2019-01-03T21:42:43Z,2019-01-03T21:42:44Z,3464
385,2018-12-30T20:53:26Z,2018-12-30T20:53:39Z,2018-12-30T20:53:39Z,179
384,2018-12-29T17:27:27Z,2018-12-30T01:37:29Z,2018-12-30T01:37:29Z,2310
382,2018-12-29T12:26:11Z,2018-12-29T17:27:04Z,2018-12-29T17:27:04Z,526
