number,created_at,merged_at,closed_at,desc_len
25199,2019-04-05T14:31:15Z,2019-04-05T16:25:29Z,2019-04-05T16:25:29Z,62
25198,2019-04-05T14:16:16Z,,2019-04-05T14:36:56Z,433
25197,2019-04-05T13:57:01Z,2019-04-05T16:25:02Z,2019-04-05T16:25:02Z,136
25196,2019-04-05T13:46:53Z,2019-04-05T13:54:45Z,2019-04-05T13:54:45Z,93
25195,2019-04-05T13:24:26Z,,2019-04-05T13:53:45Z,19
25194,2019-04-05T12:55:51Z,,2019-04-05T13:54:32Z,36
25193,2019-04-05T12:05:27Z,2019-04-05T12:29:35Z,2019-04-05T12:29:36Z,76
25192,2019-04-05T12:02:13Z,2019-04-05T12:29:23Z,2019-04-05T12:29:23Z,187
25191,2019-04-05T11:39:19Z,,2019-04-05T12:29:59Z,57
25190,2019-04-05T09:40:16Z,2019-04-05T09:45:13Z,2019-04-05T09:45:13Z,97
25189,2019-04-05T08:49:12Z,2019-04-05T09:22:11Z,2019-04-05T09:22:11Z,19
25188,2019-04-05T08:48:15Z,2019-04-05T09:24:05Z,2019-04-05T09:24:05Z,85
25186,2019-04-05T07:33:58Z,2019-04-05T09:23:22Z,2019-04-05T09:23:22Z,34
25185,2019-04-05T06:24:21Z,2019-04-05T09:45:52Z,2019-04-05T09:45:52Z,13
25184,2019-04-05T06:00:25Z,,2019-04-05T06:18:16Z,2303
25183,2019-04-05T05:33:20Z,2019-04-05T06:08:09Z,2019-04-05T06:08:09Z,60
25182,2019-04-05T05:32:19Z,2019-04-05T06:19:20Z,2019-04-05T06:19:20Z,19
25181,2019-04-05T05:30:38Z,,2019-04-05T06:09:27Z,24
25180,2019-04-05T05:26:03Z,,2019-04-05T06:19:29Z,217
25179,2019-04-05T05:09:59Z,2019-04-05T05:11:03Z,2019-04-05T05:11:03Z,43
25178,2019-04-05T05:09:44Z,2019-04-05T05:14:44Z,2019-04-05T05:14:44Z,583
25177,2019-04-05T05:05:20Z,2019-04-05T05:11:35Z,2019-04-05T05:11:35Z,7
25176,2019-04-05T04:33:31Z,,2019-04-05T04:33:43Z,11
25175,2019-04-05T04:06:23Z,2019-04-05T04:15:25Z,2019-04-05T04:15:25Z,57
25174,2019-04-05T03:34:17Z,2019-04-05T04:15:08Z,2019-04-05T04:15:08Z,30
25173,2019-04-05T03:27:44Z,,2019-04-05T03:54:12Z,203
25172,2019-04-05T03:09:24Z,2019-04-05T05:00:21Z,2019-04-05T05:00:21Z,18
25171,2019-04-05T02:40:02Z,,2019-04-05T08:05:28Z,15
25170,2019-04-05T02:28:20Z,,2019-04-05T02:28:42Z,44
25169,2019-04-05T02:21:20Z,2019-04-05T04:19:49Z,2019-04-05T04:19:49Z,36
25168,2019-04-05T01:48:02Z,2019-04-05T04:17:32Z,2019-04-05T04:17:32Z,71
25166,2019-04-05T01:35:12Z,2019-04-05T04:59:32Z,2019-04-05T04:59:32Z,52
25165,2019-04-05T01:12:30Z,,2019-04-05T04:18:46Z,19
25164,2019-04-05T00:37:50Z,2019-04-05T04:14:40Z,2019-04-05T04:14:40Z,105
25163,2019-04-05T00:03:26Z,,2019-04-05T05:00:36Z,39
25162,2019-04-04T23:13:34Z,2019-04-05T04:09:57Z,2019-04-05T04:09:57Z,29
25161,2019-04-04T23:11:34Z,,2019-04-05T04:12:45Z,744
25160,2019-04-04T20:30:32Z,2019-04-05T04:11:36Z,2019-04-05T04:11:36Z,138
25159,2019-04-04T19:47:11Z,2019-04-05T04:13:31Z,2019-04-05T04:13:31Z,375
25158,2019-04-04T19:35:08Z,2019-04-05T04:09:16Z,2019-04-05T04:09:16Z,460
25157,2019-04-04T19:15:19Z,2019-04-05T04:17:59Z,2019-04-05T04:17:59Z,14
25156,2019-04-04T19:10:44Z,2019-04-04T19:13:13Z,2019-04-04T19:13:13Z,14
25155,2019-04-04T18:42:06Z,,2019-04-04T19:13:51Z,7
25154,2019-04-04T17:12:49Z,2019-04-04T18:18:28Z,2019-04-04T18:18:28Z,329
25153,2019-04-04T17:09:59Z,,2019-04-04T17:12:14Z,11
25152,2019-04-04T16:51:01Z,,2019-04-04T16:54:32Z,12
25151,2019-04-04T16:28:44Z,2019-04-04T18:17:57Z,2019-04-04T18:17:57Z,48
25150,2019-04-04T15:53:12Z,2019-04-04T16:10:23Z,2019-04-04T16:10:23Z,96
25149,2019-04-04T15:38:51Z,2019-04-04T18:20:56Z,2019-04-04T18:20:56Z,327
25148,2019-04-04T15:20:37Z,2019-04-04T15:20:59Z,2019-04-04T15:20:59Z,41
25147,2019-04-04T15:19:02Z,2019-04-04T15:20:26Z,2019-04-04T15:20:26Z,33
25146,2019-04-04T15:14:38Z,2019-04-04T15:19:47Z,2019-04-04T15:19:47Z,72
25145,2019-04-04T15:06:19Z,,2019-04-04T15:06:48Z,6
25144,2019-04-04T14:46:17Z,,2019-04-04T14:49:01Z,18
25143,2019-04-04T14:15:47Z,2019-04-04T14:48:41Z,2019-04-04T14:48:41Z,15
25142,2019-04-04T13:14:57Z,2019-04-04T14:05:58Z,2019-04-04T14:05:58Z,106
25141,2019-04-04T13:01:59Z,2019-04-04T14:05:42Z,2019-04-04T14:05:42Z,165
25140,2019-04-04T11:38:06Z,2019-04-04T14:05:25Z,2019-04-04T14:05:25Z,90
25139,2019-04-04T11:32:21Z,2019-04-04T14:04:49Z,2019-04-04T14:04:49Z,27
25138,2019-04-04T10:55:20Z,2019-04-04T11:28:43Z,2019-04-04T11:28:43Z,16
25137,2019-04-04T10:45:39Z,2019-04-04T10:47:45Z,2019-04-04T10:47:45Z,48
25136,2019-04-04T09:55:48Z,,2019-04-04T10:46:41Z,42
25135,2019-04-04T09:52:00Z,2019-04-04T10:46:09Z,2019-04-04T10:46:09Z,30
25133,2019-04-04T09:37:20Z,2019-04-04T10:44:42Z,2019-04-04T10:44:42Z,144
25132,2019-04-04T09:35:26Z,2019-04-04T10:46:52Z,2019-04-04T10:46:52Z,43
25131,2019-04-04T09:34:41Z,2019-04-04T10:47:29Z,2019-04-04T10:47:29Z,101
25130,2019-04-04T09:32:21Z,2019-04-04T10:43:12Z,2019-04-04T10:43:12Z,37
25129,2019-04-04T09:30:08Z,2019-04-04T10:42:57Z,2019-04-04T10:42:57Z,126
25128,2019-04-04T09:15:10Z,,2019-04-04T09:28:27Z,25
25127,2019-04-04T09:12:07Z,2019-04-04T09:27:57Z,2019-04-04T09:27:57Z,16
25125,2019-04-04T08:54:00Z,,2019-04-04T09:26:42Z,133
25124,2019-04-04T08:47:38Z,,2019-04-04T09:25:49Z,54
25123,2019-04-04T08:36:51Z,2019-04-04T08:41:18Z,2019-04-04T08:41:18Z,36
25122,2019-04-04T08:30:46Z,2019-04-04T08:40:41Z,2019-04-04T08:40:41Z,46
25121,2019-04-04T08:07:23Z,2019-04-04T08:32:36Z,2019-04-04T08:32:36Z,8
25120,2019-04-04T08:00:16Z,,2019-04-04T08:32:02Z,19
25119,2019-04-04T07:53:33Z,,2019-04-04T08:31:51Z,8
25118,2019-04-04T07:49:01Z,2019-04-04T08:31:36Z,2019-04-04T08:31:36Z,10
25117,2019-04-04T07:28:04Z,2019-04-04T08:39:46Z,2019-04-04T08:39:46Z,75
25116,2019-04-04T07:07:05Z,2019-04-04T07:19:42Z,2019-04-04T07:19:42Z,53
25115,2019-04-04T07:05:35Z,2019-04-04T07:20:05Z,2019-04-04T07:20:05Z,98
25114,2019-04-04T07:02:16Z,,2019-04-04T07:20:30Z,21
25113,2019-04-04T07:01:22Z,,2019-04-04T07:18:26Z,21
25112,2019-04-04T06:56:46Z,,2019-04-04T07:17:56Z,34
25111,2019-04-04T06:46:16Z,2019-04-04T07:23:36Z,2019-04-04T07:23:36Z,28
25110,2019-04-04T06:45:30Z,2019-04-04T07:19:06Z,2019-04-04T07:19:06Z,24
25109,2019-04-04T06:03:49Z,2019-04-04T06:21:14Z,2019-04-04T06:21:14Z,6
25108,2019-04-04T06:01:51Z,,2019-04-04T06:20:55Z,38
25107,2019-04-04T05:58:09Z,2019-04-04T06:20:42Z,2019-04-04T06:20:42Z,40
25106,2019-04-04T05:46:28Z,2019-04-04T05:51:09Z,2019-04-04T05:51:09Z,139
25105,2019-04-04T05:34:55Z,2019-04-04T05:52:08Z,2019-04-04T05:52:08Z,239
25104,2019-04-04T05:05:27Z,,2019-04-04T05:55:14Z,67
25103,2019-04-04T04:47:17Z,,2019-04-04T05:46:34Z,96
25102,2019-04-04T04:39:50Z,,2019-04-04T05:46:24Z,38
25101,2019-04-04T04:16:11Z,2019-04-04T05:46:10Z,2019-04-04T05:46:10Z,18
25100,2019-04-04T04:15:35Z,,2019-04-04T05:50:23Z,7
25099,2019-04-04T04:12:30Z,2019-04-04T05:45:23Z,2019-04-04T05:45:23Z,90
25098,2019-04-04T03:55:12Z,,2019-04-04T06:22:34Z,13
25097,2019-04-04T03:53:12Z,2019-04-04T05:44:14Z,2019-04-04T05:44:14Z,19
25096,2019-04-04T03:47:05Z,2019-04-04T05:50:04Z,2019-04-04T05:50:04Z,23
25301,2019-04-08T12:47:57Z,2019-04-09T02:22:48Z,2019-04-09T02:22:48Z,14
25300,2019-04-08T12:29:36Z,,2019-04-09T02:22:18Z,26
25299,2019-04-08T12:17:41Z,,2019-04-08T13:41:55Z,727
25298,2019-04-08T12:16:29Z,2019-04-08T13:36:14Z,2019-04-08T13:36:14Z,8
