number,created_at,merged_at,closed_at,desc_len
12570,2023-08-15T06:27:22Z,2023-08-15T13:31:12Z,2023-08-15T13:31:12Z,912
12564,2023-08-14T18:24:14Z,2023-08-15T06:50:20Z,2023-08-15T06:50:20Z,2525
12552,2023-08-14T11:13:35Z,2023-08-15T05:12:22Z,2023-08-15T05:12:22Z,896
12551,2023-08-14T09:54:00Z,2023-08-14T10:35:41Z,2023-08-14T10:35:41Z,980
12549,2023-08-14T07:16:22Z,,2023-08-14T07:18:29Z,643
12547,2023-08-14T07:07:43Z,2023-08-14T10:36:10Z,2023-08-14T10:36:10Z,545
12543,2023-08-14T05:55:18Z,2023-08-14T06:01:34Z,2023-08-14T06:01:34Z,586
12542,2023-08-14T03:52:23Z,2023-08-14T06:02:10Z,2023-08-14T06:02:10Z,1050
12532,2023-08-13T18:29:01Z,,2023-08-14T06:00:55Z,527
12530,2023-08-13T16:04:54Z,2023-08-13T17:27:18Z,2023-08-13T17:27:18Z,557
12526,2023-08-13T14:34:19Z,2023-08-13T17:28:49Z,2023-08-13T17:28:49Z,1634
12522,2023-08-13T13:09:24Z,2023-08-13T13:38:27Z,2023-08-13T13:38:27Z,834
12521,2023-08-13T12:23:38Z,2023-08-13T13:39:26Z,2023-08-13T13:39:26Z,1210
12520,2023-08-13T12:08:24Z,2023-08-13T13:40:17Z,2023-08-13T13:40:17Z,900
12519,2023-08-13T11:58:02Z,2023-08-13T13:39:30Z,2023-08-13T13:39:30Z,507
12518,2023-08-13T11:18:14Z,,2023-08-13T18:28:14Z,1801
12515,2023-08-13T08:43:53Z,2023-08-13T13:45:39Z,2023-08-13T13:45:39Z,1468
12514,2023-08-13T08:19:05Z,2023-08-13T13:41:07Z,2023-08-13T13:41:07Z,1146
12513,2023-08-13T08:06:59Z,,2023-08-13T08:15:22Z,1133
12510,2023-08-13T06:36:28Z,2023-08-13T13:46:32Z,2023-08-13T13:46:32Z,1206
12509,2023-08-13T05:31:38Z,,2023-08-19T05:41:25Z,337
12508,2023-08-13T05:25:41Z,,2023-08-19T05:41:19Z,99
12507,2023-08-13T05:01:33Z,,2023-08-13T05:15:15Z,268
12505,2023-08-13T04:58:05Z,,2023-08-13T05:01:16Z,268
12503,2023-08-13T03:57:16Z,2023-08-13T05:28:48Z,2023-08-13T05:28:48Z,1110
12495,2023-08-12T19:20:51Z,,2023-08-12T20:07:21Z,752
12491,2023-08-12T14:48:26Z,2023-08-13T05:25:15Z,2023-08-13T05:25:15Z,992
12487,2023-08-12T03:08:35Z,2023-08-12T05:57:35Z,2023-08-12T05:57:35Z,649
12480,2023-08-11T16:24:05Z,2023-08-12T06:12:30Z,2023-08-12T06:12:30Z,1031
12479,2023-08-11T15:32:57Z,2023-08-12T05:58:14Z,2023-08-12T05:58:14Z,890
12476,2023-08-11T12:22:30Z,2023-08-15T05:26:38Z,2023-08-15T05:26:38Z,587
12470,2023-08-11T07:42:02Z,2023-08-11T12:03:19Z,2023-08-11T12:03:19Z,1258
12466,2023-08-11T03:44:30Z,2023-08-11T04:53:13Z,2023-08-11T04:53:13Z,1253
12465,2023-08-11T03:31:32Z,,2023-08-11T03:34:20Z,1175
12463,2023-08-10T20:05:26Z,2023-08-11T04:55:42Z,2023-08-11T04:55:42Z,577
12458,2023-08-10T15:28:19Z,2023-08-11T04:56:31Z,2023-08-11T04:56:31Z,693
12457,2023-08-10T15:13:46Z,2023-08-24T06:41:16Z,2023-08-24T06:41:16Z,1828
12456,2023-08-10T14:44:56Z,2023-08-10T14:55:32Z,2023-08-10T14:55:32Z,550
12454,2023-08-10T14:23:00Z,2023-08-10T14:28:29Z,2023-08-10T14:28:29Z,684
12453,2023-08-10T13:45:52Z,2023-08-10T13:46:40Z,2023-08-10T13:46:41Z,580
12452,2023-08-10T12:47:21Z,2023-08-10T13:43:28Z,2023-08-10T13:43:28Z,748
12450,2023-08-10T10:21:37Z,2023-08-10T13:45:45Z,2023-08-10T13:45:45Z,562
12449,2023-08-10T09:52:45Z,,2023-08-10T10:15:48Z,1035
12447,2023-08-10T09:06:27Z,2023-08-10T13:46:08Z,2023-08-10T13:46:08Z,572
12446,2023-08-10T09:02:40Z,,2023-08-10T09:14:16Z,626
12440,2023-08-09T18:43:24Z,2023-08-10T03:39:38Z,2023-08-10T03:39:38Z,649
12439,2023-08-09T18:27:02Z,2023-08-10T03:37:45Z,2023-08-10T03:37:45Z,777
12436,2023-08-09T16:18:42Z,2023-08-09T17:03:56Z,2023-08-09T17:03:56Z,623
12435,2023-08-09T16:04:04Z,2023-08-09T17:04:44Z,2023-08-09T17:04:44Z,1121
12426,2023-08-09T07:30:24Z,2023-08-09T11:40:06Z,2023-08-09T11:40:06Z,881
12424,2023-08-09T04:46:49Z,2023-08-09T11:41:30Z,2023-08-09T11:41:30Z,1278
12422,2023-08-09T00:55:39Z,2023-08-09T04:00:48Z,2023-08-09T04:00:48Z,548
12414,2023-08-08T19:27:59Z,,2023-08-09T06:41:35Z,3402
12413,2023-08-08T18:53:30Z,2023-08-09T04:03:31Z,2023-08-09T04:03:31Z,1094
12412,2023-08-08T17:09:53Z,2023-08-08T20:30:57Z,2023-08-08T20:30:57Z,468
12408,2023-08-08T15:17:50Z,,2023-08-08T15:17:55Z,41
12407,2023-08-08T15:11:28Z,,2023-08-08T15:11:33Z,5
12398,2023-08-08T04:19:14Z,,2023-08-11T11:09:26Z,668
12396,2023-08-08T02:18:25Z,2023-08-09T11:20:12Z,2023-08-09T11:20:12Z,1580
12392,2023-08-07T19:45:26Z,2023-08-09T11:25:50Z,2023-08-09T11:25:50Z,3223
12391,2023-08-07T19:15:02Z,,2023-08-08T21:57:36Z,3715
12387,2023-08-07T10:15:50Z,2023-08-07T10:36:26Z,2023-08-07T10:36:26Z,633
12385,2023-08-07T05:46:37Z,2023-08-07T06:43:59Z,2023-08-07T06:43:59Z,630
12379,2023-08-06T20:17:10Z,2023-08-07T14:48:14Z,2023-08-07T14:48:14Z,555
12377,2023-08-06T19:15:11Z,,2023-08-10T14:05:26Z,1386
12375,2023-08-06T16:32:21Z,2023-08-07T05:20:06Z,2023-08-07T05:20:06Z,703
12372,2023-08-06T14:11:22Z,,2023-08-06T17:30:59Z,599
12371,2023-08-06T14:08:38Z,2023-08-10T14:05:33Z,2023-08-10T14:05:33Z,1288
12369,2023-08-06T12:26:18Z,2023-08-06T14:52:28Z,2023-08-06T14:52:28Z,801
12365,2023-08-06T09:02:41Z,,2023-08-06T10:35:08Z,819
12362,2023-08-06T05:45:26Z,,2023-08-06T07:18:24Z,761
12361,2023-08-06T05:34:28Z,,2023-08-06T05:43:58Z,760
12358,2023-08-06T02:39:18Z,2023-08-06T03:56:07Z,2023-08-06T03:56:07Z,767
