number,created_at,merged_at,closed_at,desc_len
82,2022-02-18T12:39:29Z,2022-02-18T16:31:39Z,2022-02-18T16:31:39Z,56
80,2022-02-18T11:53:48Z,2022-02-19T17:44:57Z,2022-02-19T17:44:57Z,9
77,2022-02-18T10:38:09Z,,2022-02-19T16:02:18Z,23
72,2022-02-18T09:31:47Z,2022-02-19T14:30:29Z,2022-02-19T14:30:29Z,28
69,2022-02-18T09:03:52Z,2022-02-18T09:49:53Z,2022-02-18T09:49:53Z,26
68,2022-02-18T08:38:44Z,2022-02-18T08:58:55Z,2022-02-18T08:58:55Z,17
67,2022-02-18T08:32:29Z,2022-02-18T08:55:06Z,2022-02-18T08:55:06Z,28
66,2022-02-18T08:16:19Z,2022-02-18T08:54:35Z,2022-02-18T08:54:35Z,45
62,2022-02-18T07:25:10Z,2022-02-18T07:51:43Z,2022-02-18T07:51:43Z,14
56,2022-02-18T03:47:58Z,2022-02-18T05:00:27Z,2022-02-18T05:00:27Z,13
54,2022-02-18T03:03:35Z,,2022-02-28T23:48:47Z,11
43,2022-02-17T06:35:55Z,2022-02-17T06:50:09Z,2022-02-17T06:50:09Z,18
40,2022-02-17T04:27:55Z,2022-02-17T06:24:32Z,2022-02-17T06:24:32Z,26
39,2022-02-17T04:19:49Z,2022-02-17T06:24:53Z,2022-02-17T06:24:53Z,116
38,2022-02-17T02:56:02Z,2022-02-17T06:25:50Z,2022-02-17T06:25:50Z,17
37,2022-02-17T02:41:23Z,,2022-02-17T06:12:47Z,99
34,2022-02-16T09:33:16Z,2022-02-16T17:24:12Z,2022-02-16T17:24:12Z,217
31,2022-02-16T08:59:42Z,2022-02-16T17:27:16Z,2022-02-16T17:27:16Z,8
29,2022-02-16T07:09:43Z,2022-02-16T17:24:56Z,2022-02-16T17:24:56Z,24
24,2022-02-15T09:29:25Z,2022-02-17T06:26:30Z,2022-02-17T06:26:30Z,7
20,2022-01-04T04:59:45Z,2022-01-04T07:23:30Z,2022-01-04T07:23:30Z,1252
18,2021-04-30T07:36:18Z,2021-06-03T08:01:18Z,2021-06-03T08:01:19Z,16
17,2021-02-16T03:58:08Z,2021-02-16T11:28:05Z,2021-02-16T11:28:05Z,106
16,2021-02-15T02:54:48Z,2021-02-15T05:48:01Z,2021-02-15T05:48:01Z,54
