number,created_at,merged_at,closed_at,desc_len
205,2019-11-14T01:37:45Z,,2020-07-03T14:28:26Z,120
159,2019-10-03T12:28:15Z,,2020-07-03T14:22:16Z,793
122,2019-09-07T05:22:25Z,,2019-09-07T08:01:30Z,17
120,2019-09-06T08:18:58Z,,2019-09-06T08:19:17Z,37
118,2019-09-06T01:00:02Z,2019-09-16T09:15:44Z,2019-09-16T09:15:44Z,205
104,2019-08-30T08:37:04Z,2019-08-31T09:12:33Z,2019-08-31T09:12:33Z,409
69,2019-07-28T22:41:34Z,2019-08-03T07:28:10Z,2019-08-03T07:28:10Z,77
50,2019-07-17T22:00:23Z,,2020-06-23T15:58:34Z,1166
37,2019-07-04T17:06:30Z,,2019-07-04T17:10:02Z,22
14,2019-06-20T18:45:36Z,2019-06-20T19:25:28Z,2019-06-20T19:25:28Z,39
9,2019-06-18T19:49:24Z,2019-06-18T19:49:49Z,2019-06-18T19:49:49Z,37
8,2019-06-18T17:19:29Z,2019-06-18T17:20:36Z,2019-06-18T17:20:36Z,124
7,2019-06-18T14:48:39Z,2019-06-18T15:01:05Z,2019-06-18T15:01:05Z,1160
6,2019-06-17T18:49:55Z,2019-06-17T19:39:10Z,2019-06-17T19:39:10Z,676
5,2019-06-17T18:39:55Z,2019-06-17T18:51:32Z,2019-06-17T18:51:32Z,460
1261,2023-10-12T12:56:32Z,,2023-10-12T17:24:47Z,31
1260,2023-10-12T12:39:53Z,,2023-10-12T12:44:35Z,123
1212,2023-05-05T10:49:09Z,,2023-05-05T10:49:22Z,18
1184,2023-04-02T05:32:26Z,,2023-04-02T07:00:51Z,44
1109,2022-09-09T08:47:59Z,,2022-09-18T14:26:28Z,41
1049,2022-04-09T17:32:16Z,,2022-08-12T19:13:46Z,105
1030,2022-02-28T19:02:36Z,2022-03-01T11:39:59Z,2022-03-01T11:39:59Z,189
1001,2022-01-31T17:13:03Z,,2022-02-22T20:14:16Z,60
982,2022-01-14T11:51:51Z,,2022-01-19T11:03:09Z,64
978,2022-01-10T07:01:09Z,2022-01-10T07:01:34Z,2022-01-10T07:01:34Z,58
969,2022-01-02T10:18:55Z,,2022-01-02T20:41:26Z,209
963,2021-12-28T15:38:17Z,2021-12-28T15:38:25Z,2021-12-28T15:38:25Z,220
961,2021-12-28T12:16:14Z,2021-12-28T12:18:40Z,2021-12-28T12:18:40Z,2395
