number,created_at,merged_at,closed_at,desc_len
89,2018-03-24T12:10:24Z,,2018-03-24T14:26:08Z,279
88,2018-03-24T09:59:48Z,2018-03-24T10:13:45Z,2018-03-24T10:13:45Z,59
84,2018-03-22T15:37:34Z,2018-03-22T16:11:30Z,2018-03-22T16:11:30Z,32
82,2018-03-22T05:42:04Z,2018-03-22T06:07:47Z,2018-03-22T06:07:47Z,17
81,2018-03-22T04:58:58Z,2018-03-22T05:06:55Z,2018-03-22T05:06:55Z,44
78,2018-03-21T14:26:34Z,2018-03-21T15:01:25Z,2018-03-21T15:01:25Z,10
76,2018-03-21T09:06:56Z,2018-03-21T09:12:34Z,2018-03-21T09:12:34Z,156
75,2018-03-21T08:27:05Z,,2018-03-21T08:37:31Z,57
72,2018-03-19T07:30:57Z,2018-03-19T07:32:48Z,2018-03-19T07:32:48Z,26
71,2018-03-19T03:42:20Z,2018-03-19T03:44:26Z,2018-03-19T03:44:26Z,45
70,2018-03-19T03:06:11Z,2018-03-19T03:08:58Z,2018-03-19T03:08:58Z,27
68,2018-03-18T01:35:32Z,2018-03-18T01:38:37Z,2018-03-18T01:38:38Z,23
64,2018-03-17T08:34:45Z,,2018-03-17T08:35:20Z,47
59,2018-03-15T09:14:44Z,2018-03-15T09:15:30Z,2018-03-15T09:15:30Z,4
58,2018-03-14T14:42:49Z,,2018-03-14T14:43:04Z,17
57,2018-03-14T12:51:49Z,2018-03-14T12:52:33Z,2018-03-14T12:52:33Z,23
51,2018-03-13T13:25:37Z,2018-03-13T13:32:36Z,2018-03-13T13:32:36Z,44
50,2018-03-13T10:55:50Z,2018-03-13T11:00:06Z,2018-03-13T11:00:06Z,17
47,2018-03-13T08:03:11Z,2018-03-13T08:06:05Z,2018-03-13T08:06:05Z,19
46,2018-03-13T02:20:39Z,2018-03-13T02:22:31Z,2018-03-13T02:22:31Z,48
45,2018-03-12T10:41:13Z,2018-03-12T10:43:49Z,2018-03-12T10:43:49Z,15
41,2018-03-12T08:23:48Z,2018-03-12T08:26:04Z,2018-03-12T08:26:04Z,13
38,2018-03-11T12:22:08Z,,2018-03-11T12:50:03Z,11
37,2018-03-11T08:14:38Z,2018-03-11T08:23:21Z,2018-03-11T08:23:21Z,112
36,2018-03-10T09:15:26Z,,2018-03-10T09:37:45Z,30
34,2018-03-09T17:59:37Z,2018-03-09T23:50:48Z,2018-03-09T23:50:48Z,17
32,2018-03-09T09:19:12Z,2018-03-09T09:20:57Z,2018-03-09T09:20:57Z,15
31,2018-03-08T11:42:50Z,2018-03-08T11:53:02Z,2018-03-08T11:53:02Z,50
29,2018-03-08T08:36:16Z,2018-03-08T08:38:54Z,2018-03-08T08:38:54Z,17
28,2018-03-08T08:01:09Z,,2018-03-08T08:03:31Z,16
24,2018-03-06T10:18:05Z,2018-03-06T10:28:01Z,2018-03-06T10:28:01Z,17
23,2018-03-06T08:30:54Z,2018-03-06T08:31:56Z,2018-03-06T08:31:56Z,23
22,2018-03-05T07:14:58Z,2018-03-05T07:15:54Z,2018-03-05T07:15:54Z,46
21,2018-03-05T03:59:38Z,2018-03-05T04:01:14Z,2018-03-05T04:01:14Z,15
20,2018-03-05T03:30:37Z,2018-03-05T03:31:17Z,2018-03-05T03:31:18Z,15
19,2018-03-05T03:27:58Z,,2018-03-05T03:29:39Z,15
