number,created_at,merged_at,closed_at,desc_len
95,2019-05-27T05:09:01Z,2019-05-27T10:23:33Z,2019-05-27T10:23:33Z,345
94,2019-05-27T04:57:46Z,2019-05-27T10:23:11Z,2019-05-27T10:23:11Z,64
93,2019-05-27T04:52:54Z,2019-05-27T10:22:37Z,2019-05-27T10:22:37Z,37
92,2019-05-27T04:37:57Z,2019-05-27T10:22:07Z,2019-05-27T10:22:08Z,12
91,2019-05-27T04:31:38Z,2019-05-27T10:21:42Z,2019-05-27T10:21:42Z,25
90,2019-05-26T06:28:01Z,2019-05-26T13:41:10Z,2019-05-26T13:41:10Z,343
89,2019-05-26T05:53:02Z,2019-05-26T13:40:58Z,2019-05-26T13:40:58Z,82
88,2019-05-25T14:38:56Z,2019-05-26T13:40:36Z,2019-05-26T13:40:36Z,104
87,2019-05-25T10:37:02Z,2019-05-25T13:54:32Z,2019-05-25T13:54:32Z,62
86,2019-05-24T11:38:52Z,2019-05-25T07:38:28Z,2019-05-25T07:38:28Z,131
85,2019-05-23T03:47:45Z,2019-05-23T16:34:39Z,2019-05-23T16:34:39Z,112
84,2019-05-22T10:39:44Z,2019-05-22T18:12:58Z,2019-05-22T18:12:58Z,200
83,2019-05-19T09:19:09Z,2019-05-20T07:43:47Z,2019-05-20T07:43:47Z,249
82,2019-05-16T15:16:01Z,2019-05-18T12:49:52Z,2019-05-18T12:49:52Z,99
81,2019-05-15T15:56:31Z,2019-05-15T18:59:40Z,2019-05-15T18:59:40Z,109
80,2019-04-24T08:43:25Z,2019-04-27T18:03:36Z,2019-04-27T18:03:36Z,87
79,2019-02-10T01:08:19Z,2019-02-13T15:50:27Z,2019-02-13T15:50:27Z,145
78,2019-02-05T20:10:22Z,2019-02-09T21:30:47Z,2019-02-09T21:30:47Z,152
77,2019-02-01T04:58:06Z,2019-02-05T19:04:35Z,2019-02-05T19:04:35Z,40
76,2019-01-28T01:16:13Z,2019-01-31T16:22:57Z,2019-01-31T16:22:57Z,22
75,2019-01-22T21:08:11Z,2019-01-25T17:41:10Z,2019-01-25T17:41:10Z,137
74,2019-01-21T23:35:54Z,2019-01-25T17:39:08Z,2019-01-25T17:39:08Z,33
72,2018-10-27T06:00:17Z,2018-10-28T18:44:25Z,2018-10-28T18:44:25Z,296
71,2018-10-27T05:57:24Z,2018-10-28T18:43:51Z,2018-10-28T18:43:51Z,224
70,2018-10-27T05:43:48Z,2018-10-28T18:33:50Z,2018-10-28T18:33:50Z,227
69,2018-10-25T14:17:08Z,2018-10-27T04:09:56Z,2018-10-27T04:09:57Z,207
68,2018-10-25T14:15:25Z,2018-10-27T04:09:34Z,2018-10-27T04:09:34Z,209
66,2018-10-25T14:02:35Z,,2018-10-25T14:13:13Z,173
64,2018-10-16T23:21:30Z,,2018-12-09T18:15:14Z,36
63,2018-10-10T10:42:26Z,2018-10-14T04:00:38Z,2018-10-14T04:00:38Z,40
62,2018-10-06T06:36:55Z,2018-10-08T17:04:33Z,2018-10-08T17:04:33Z,55
61,2018-06-17T18:47:30Z,2018-06-18T08:21:55Z,2018-06-18T08:21:55Z,50
60,2018-04-22T18:15:28Z,,2018-04-22T18:16:07Z,3
58,2018-03-21T18:36:00Z,,2018-12-09T18:15:25Z,110
57,2018-01-19T00:36:26Z,2018-01-19T07:24:05Z,2018-01-19T07:24:05Z,37
56,2017-10-27T18:12:03Z,2017-10-29T05:57:24Z,2017-10-29T05:57:24Z,129
54,2017-09-17T06:48:04Z,,2017-10-05T05:32:23Z,95
51,2017-06-18T06:12:36Z,,2017-07-29T10:22:26Z,78
50,2017-05-29T02:30:56Z,2017-05-30T17:11:10Z,2017-05-30T17:11:10Z,142
48,2017-04-08T14:14:58Z,2017-04-09T19:24:31Z,2017-04-09T19:24:31Z,69
46,2017-02-13T10:01:44Z,,2017-03-04T07:01:30Z,49
45,2017-02-08T04:55:17Z,,2017-02-11T16:42:00Z,72
44,2017-02-05T03:17:21Z,2017-02-05T08:07:10Z,2017-02-05T08:07:10Z,146
43,2017-02-02T14:27:33Z,2017-02-04T08:32:12Z,2017-02-04T08:32:12Z,66
42,2017-01-28T09:16:07Z,2017-01-28T15:16:57Z,2017-01-28T15:16:57Z,49
41,2017-01-26T08:19:28Z,2017-01-26T11:13:39Z,2017-01-26T11:13:39Z,51
40,2017-01-26T01:10:17Z,2017-01-26T05:56:59Z,2017-01-26T05:56:59Z,55
39,2017-01-18T11:16:45Z,2017-01-18T19:09:48Z,2017-01-18T19:09:48Z,208
37,2016-12-06T19:33:17Z,,2016-12-06T19:35:08Z,6
36,2016-11-27T18:23:59Z,2016-11-28T15:59:48Z,2016-11-28T15:59:48Z,158
35,2016-11-26T14:34:49Z,2016-11-26T16:29:47Z,2016-11-26T16:29:47Z,59
34,2016-11-26T13:44:11Z,2016-11-26T16:28:59Z,2016-11-26T16:28:59Z,158
33,2016-11-25T14:55:22Z,2016-11-25T15:44:52Z,2016-11-25T15:44:52Z,90
30,2016-11-25T06:42:11Z,2016-11-25T15:43:15Z,2016-11-25T15:43:15Z,23
24,2016-11-23T11:49:20Z,2016-11-23T12:51:27Z,2016-11-23T12:51:27Z,54
23,2016-11-23T01:06:44Z,2016-11-23T05:52:00Z,2016-11-23T05:52:00Z,32
22,2016-11-22T22:31:47Z,2016-11-23T05:51:40Z,2016-11-23T05:51:40Z,109
21,2016-11-22T19:46:36Z,2016-11-23T05:50:38Z,2016-11-23T05:50:38Z,38
20,2016-11-22T19:06:47Z,,2016-11-23T17:33:54Z,157
19,2016-11-22T18:47:53Z,,2016-11-23T17:33:18Z,43
17,2016-11-22T16:21:20Z,2016-11-22T16:31:55Z,2016-11-22T16:31:55Z,196
15,2016-11-22T08:51:54Z,,2016-11-22T17:31:41Z,136
14,2016-11-22T05:31:06Z,2016-11-22T15:30:30Z,2016-11-22T15:30:30Z,130
13,2016-11-22T05:18:25Z,2016-11-22T15:32:10Z,2016-11-22T15:32:10Z,49
