number,created_at,merged_at,closed_at,desc_len
10,2015-11-30T12:58:20Z,2015-11-30T12:59:22Z,2015-11-30T12:59:23Z,1105
9,2015-11-30T11:45:49Z,2015-11-30T11:46:26Z,2015-11-30T11:46:26Z,40
8,2015-11-30T10:11:30Z,,2015-11-30T12:58:32Z,163
7,2015-11-30T09:57:11Z,2015-11-30T10:50:42Z,2015-11-30T10:50:42Z,114
6,2015-11-30T05:19:57Z,2015-11-30T05:20:36Z,2015-11-30T05:20:36Z,170
5,2015-11-29T22:10:22Z,2015-11-30T04:46:01Z,2015-11-30T04:46:01Z,64
4,2015-11-29T22:08:28Z,2015-11-30T04:46:20Z,2015-11-30T04:46:20Z,71
3,2015-11-29T02:28:51Z,2015-11-29T07:52:23Z,2015-11-29T07:52:23Z,173
2,2015-11-28T19:16:39Z,2015-11-28T19:23:58Z,2015-11-28T19:23:58Z,31
128,2018-12-07T10:25:21Z,2019-01-08T13:24:44Z,2019-01-08T13:24:44Z,340
127,2018-12-04T07:22:14Z,2019-01-08T12:14:05Z,2019-01-08T12:14:05Z,181
125,2018-11-01T19:18:56Z,2019-01-08T12:13:33Z,2019-01-08T12:13:33Z,39
124,2018-10-30T01:55:07Z,2019-01-08T12:16:30Z,2019-01-08T12:16:30Z,51
123,2018-10-15T08:21:53Z,,2019-01-08T12:17:31Z,20
122,2018-10-09T02:48:12Z,,2019-01-08T12:17:53Z,55
121,2018-10-01T05:59:10Z,2019-04-08T09:24:01Z,2019-04-08T09:24:01Z,57
120,2018-09-30T18:12:44Z,,2021-03-02T03:23:58Z,44
119,2018-09-25T17:48:45Z,2019-01-08T12:12:22Z,2019-01-08T12:12:22Z,39
118,2018-09-18T07:21:57Z,2019-01-08T12:11:48Z,2019-01-08T12:11:48Z,204
115,2018-06-20T15:07:53Z,2018-07-12T13:36:45Z,2018-07-12T13:36:45Z,184
114,2018-06-13T15:00:56Z,2018-08-29T04:22:35Z,2018-08-29T04:22:35Z,44
113,2018-05-23T17:13:24Z,2018-07-12T13:35:47Z,2018-07-12T13:35:47Z,31
112,2018-05-23T17:08:17Z,2018-07-12T13:34:41Z,2018-07-12T13:34:41Z,20
111,2018-05-23T16:57:01Z,2018-07-12T13:34:25Z,2018-07-12T13:34:25Z,20
110,2018-05-23T16:54:22Z,2018-07-12T13:34:06Z,2018-07-12T13:34:06Z,17
109,2018-05-23T16:52:31Z,2018-07-12T13:32:46Z,2018-07-12T13:32:46Z,16
108,2018-05-21T10:04:06Z,2018-07-12T13:32:00Z,2018-07-12T13:32:00Z,78
107,2018-05-18T16:24:56Z,2018-07-12T13:29:45Z,2018-07-12T13:29:45Z,94
105,2018-04-30T09:14:04Z,,2018-04-30T09:14:26Z,227
104,2018-03-20T19:17:01Z,2018-03-20T19:32:54Z,2018-03-20T19:32:54Z,231
103,2018-02-11T13:57:33Z,2018-03-09T20:43:56Z,2018-03-09T20:43:56Z,38
102,2018-01-30T07:07:27Z,2018-01-30T07:12:00Z,2018-01-30T07:12:00Z,39
101,2018-01-30T06:56:19Z,2018-01-30T07:04:23Z,2018-01-30T07:04:24Z,59
100,2018-01-28T18:32:23Z,2018-01-28T23:03:24Z,2018-01-28T23:03:24Z,31
98,2017-12-29T16:17:23Z,2017-12-31T11:36:51Z,2017-12-31T11:36:51Z,197
97,2017-12-14T00:05:08Z,2017-12-14T09:34:25Z,2017-12-14T09:34:25Z,419
96,2017-12-11T14:38:40Z,2017-12-13T19:40:17Z,2017-12-13T19:40:17Z,294
95,2017-12-08T20:30:34Z,2017-12-13T19:39:43Z,2017-12-13T19:39:43Z,97
94,2017-11-06T17:24:29Z,2017-11-06T20:15:30Z,2017-11-06T20:15:30Z,41
93,2017-10-28T14:04:28Z,2017-10-29T18:57:41Z,2017-10-29T18:57:41Z,264
92,2017-10-26T09:17:02Z,2017-10-29T18:57:18Z,2017-10-29T18:57:18Z,40
91,2017-10-26T09:10:37Z,2017-10-29T18:57:06Z,2017-10-29T18:57:06Z,70
90,2017-10-24T22:26:33Z,2017-10-29T18:56:44Z,2017-10-29T18:56:44Z,61
89,2017-10-04T03:40:13Z,2017-10-29T18:56:25Z,2017-10-29T18:56:25Z,30
88,2017-09-26T15:21:33Z,2017-09-30T23:38:17Z,2017-09-30T23:38:17Z,97
87,2017-08-31T11:37:50Z,,2017-09-02T00:36:35Z,89
86,2017-08-17T21:55:47Z,2017-08-17T21:57:23Z,2017-08-17T21:57:23Z,51
85,2017-08-11T10:38:58Z,2017-08-11T11:02:08Z,2017-08-11T11:02:08Z,46
84,2017-08-05T10:59:45Z,,2017-08-05T11:00:29Z,70
83,2017-07-13T03:04:43Z,2017-07-24T08:36:28Z,2017-07-24T08:36:28Z,17
82,2017-07-05T14:41:22Z,2017-07-05T14:42:29Z,2017-07-05T14:42:29Z,66
81,2017-06-30T00:59:46Z,2017-06-30T06:30:53Z,2017-06-30T06:30:53Z,52
80,2017-04-16T18:23:47Z,2017-04-17T07:26:15Z,2017-04-17T07:26:15Z,42
79,2017-02-05T21:15:21Z,2017-02-06T10:58:38Z,2017-02-06T10:58:38Z,19
78,2017-01-30T10:04:23Z,2017-01-30T11:29:26Z,2017-01-30T11:29:26Z,41
77,2017-01-07T14:16:07Z,2017-01-07T17:14:24Z,2017-01-07T17:14:24Z,29
76,2016-12-30T18:52:22Z,2016-12-30T20:04:48Z,2016-12-30T20:04:48Z,130
75,2016-12-18T15:11:19Z,2016-12-18T15:12:09Z,2016-12-18T15:12:09Z,30
74,2016-12-01T13:35:03Z,2016-12-01T13:37:10Z,2016-12-01T13:37:10Z,448
72,2016-10-28T18:30:32Z,2016-11-01T08:41:20Z,2016-11-01T08:41:20Z,143
