number,created_at,merged_at,closed_at,desc_len
8405,2023-05-11T04:58:30Z,,2023-05-12T04:57:51Z,2184
8400,2023-05-10T05:08:11Z,,2023-07-25T04:26:01Z,16695
8392,2023-05-09T05:14:43Z,,2023-05-16T05:16:19Z,10875
8391,2023-05-09T05:09:14Z,,2023-05-11T05:08:35Z,2170
8390,2023-05-09T05:00:34Z,2023-06-14T21:37:21Z,2023-06-14T21:37:21Z,6109
8389,2023-05-09T05:00:18Z,,2023-05-11T05:02:09Z,2184
8388,2023-05-09T04:57:00Z,,2023-05-11T04:58:35Z,2184
8381,2023-05-08T05:01:26Z,,2023-05-09T05:00:22Z,2184
8380,2023-05-08T05:01:18Z,,2023-05-12T05:00:03Z,6855
8379,2023-05-08T05:00:34Z,,2023-06-12T05:06:47Z,10299
8378,2023-05-08T04:58:34Z,,2023-06-12T05:13:57Z,10632
8377,2023-05-08T04:58:11Z,,2023-05-09T05:09:18Z,2170
8376,2023-05-08T04:57:53Z,,2023-05-09T04:57:04Z,2184
8357,2023-05-04T05:05:57Z,,2023-05-11T05:05:56Z,13126
8356,2023-05-04T04:59:14Z,,2023-05-22T05:04:08Z,2182
8352,2023-05-03T04:59:40Z,,2023-05-04T04:59:18Z,2182
8351,2023-05-02T04:59:31Z,,2023-05-08T05:01:22Z,7406
8350,2023-05-02T04:58:53Z,2023-06-14T21:36:29Z,2023-06-14T21:36:29Z,6804
8349,2023-05-02T04:57:33Z,,2023-05-09T05:14:47Z,11228
8345,2023-05-01T05:10:40Z,,2023-05-22T05:09:42Z,12894
8344,2023-05-01T05:10:03Z,,2023-05-08T04:58:15Z,2173
8343,2023-05-01T05:03:54Z,,2023-05-08T05:01:30Z,2187
8342,2023-05-01T05:03:49Z,,2023-05-15T05:10:33Z,7241
8341,2023-05-01T04:58:03Z,,2023-05-08T04:57:57Z,2187
8340,2023-05-01T04:57:12Z,2023-06-14T21:37:34Z,2023-06-14T21:37:34Z,5676
8332,2023-04-28T18:20:40Z,2023-04-28T20:54:57Z,2023-04-28T20:54:57Z,1099
8331,2023-04-28T15:23:49Z,2023-04-28T16:42:48Z,2023-04-28T16:42:48Z,215
8328,2023-04-28T05:09:19Z,,2023-05-01T05:10:08Z,2173
8327,2023-04-28T05:02:18Z,2023-06-14T21:37:48Z,2023-06-14T21:37:48Z,13774
8326,2023-04-28T04:59:27Z,,2023-05-01T05:03:59Z,2187
8325,2023-04-28T04:57:54Z,2023-06-14T21:37:58Z,2023-06-14T21:37:58Z,8093
8324,2023-04-28T04:56:56Z,,2023-05-01T04:58:07Z,2187
8321,2023-04-27T23:56:23Z,2023-04-28T01:58:56Z,2023-04-28T01:58:56Z,201
8320,2023-04-27T23:26:27Z,2023-04-27T23:54:29Z,2023-04-27T23:54:29Z,200
8317,2023-04-27T05:01:09Z,,2023-05-04T05:06:02Z,12574
8316,2023-04-27T04:59:02Z,,2023-05-31T05:13:13Z,13544
8310,2023-04-26T05:54:23Z,,2023-04-28T04:57:00Z,2187
8309,2023-04-26T05:54:09Z,,2023-07-12T04:46:36Z,9115
8308,2023-04-26T05:16:43Z,,2023-05-10T05:08:16Z,16981
8307,2023-04-26T05:12:40Z,,2023-06-08T05:57:44Z,9979
8306,2023-04-26T05:09:53Z,,2023-04-28T05:09:24Z,2173
8305,2023-04-26T05:01:26Z,,2023-07-12T05:00:16Z,9126
8304,2023-04-26T05:00:36Z,,2023-04-28T04:59:32Z,2187
8303,2023-04-26T04:59:36Z,,2023-07-12T04:51:48Z,13938
8296,2023-04-25T05:07:10Z,,2023-05-02T04:57:39Z,11894
8290,2023-04-24T05:18:08Z,,2023-06-02T05:11:29Z,5679
8289,2023-04-24T05:10:35Z,,2023-07-17T04:24:00Z,5217
8288,2023-04-24T04:36:49Z,,2023-04-26T05:09:58Z,2173
8287,2023-04-24T04:36:12Z,,2023-04-26T05:54:27Z,2187
8286,2023-04-24T04:35:59Z,,2023-04-26T05:00:41Z,2187
8285,2023-04-24T04:35:48Z,,2023-05-01T05:03:53Z,7272
8278,2023-04-21T05:09:21Z,,2023-04-24T04:36:53Z,2176
8277,2023-04-21T04:59:08Z,,2023-04-24T04:36:03Z,2190
8276,2023-04-21T04:58:57Z,,2023-05-01T05:10:44Z,13627
8275,2023-04-21T04:56:45Z,,2023-04-24T04:36:16Z,2190
8270,2023-04-20T05:05:07Z,,2023-04-21T05:09:25Z,2176
8269,2023-04-20T05:04:45Z,,2023-04-27T05:01:13Z,12640
8268,2023-04-20T05:00:12Z,,2023-04-21T04:59:01Z,14571
8267,2023-04-20T04:59:29Z,,2023-04-21T04:59:13Z,2190
8266,2023-04-20T04:58:59Z,,2023-04-28T05:02:23Z,13949
8265,2023-04-20T04:57:27Z,,2023-04-21T04:56:49Z,2190
8261,2023-04-19T05:01:40Z,,2023-04-24T05:18:12Z,5675
8260,2023-04-19T04:58:23Z,,2023-06-01T05:01:33Z,4840
8256,2023-04-18T05:02:23Z,,2023-04-25T05:07:15Z,11619
8255,2023-04-18T04:58:59Z,,2023-05-15T05:00:15Z,19025
8249,2023-04-17T05:54:05Z,2023-04-17T06:52:56Z,2023-04-17T06:52:56Z,184
8248,2023-04-17T04:58:10Z,,2023-04-19T05:01:44Z,5553
8239,2023-04-14T05:10:41Z,,2023-05-08T04:58:38Z,10001
8238,2023-04-14T05:06:36Z,,2023-04-26T05:16:47Z,15730
8237,2023-04-14T05:05:48Z,,2023-04-17T04:58:14Z,5502
8236,2023-04-14T05:00:12Z,,2023-05-08T05:00:38Z,9894
8231,2023-04-13T05:11:44Z,,2023-04-20T05:04:50Z,12875
8230,2023-04-13T05:09:59Z,,2023-04-14T05:00:17Z,9386
8229,2023-04-13T05:07:48Z,,2023-04-14T05:10:45Z,9562
8226,2023-04-13T05:02:34Z,,2023-04-20T05:05:12Z,2176
8225,2023-04-13T05:02:04Z,,2023-04-19T04:58:27Z,3195
8224,2023-04-13T05:01:36Z,,2023-04-24T05:10:39Z,5121
8222,2023-04-13T05:00:14Z,,2023-04-20T05:00:17Z,14500
8221,2023-04-13T05:00:06Z,,2023-04-18T04:59:03Z,17438
8220,2023-04-13T05:00:05Z,,2023-04-20T04:59:34Z,2190
8219,2023-04-13T05:00:01Z,,2023-04-24T04:35:53Z,7776
8218,2023-04-13T04:59:50Z,,2023-04-14T05:05:52Z,5528
8217,2023-04-13T04:59:49Z,,2023-06-30T04:40:41Z,2202
8215,2023-04-13T04:59:31Z,,2023-05-02T04:59:35Z,5556
8214,2023-04-13T04:59:30Z,,2023-07-06T04:10:40Z,3428
8213,2023-04-13T04:59:26Z,,2023-04-18T05:02:28Z,13657
8212,2023-04-13T04:59:26Z,,2023-05-31T05:00:19Z,10235
8211,2023-04-13T04:58:39Z,,2023-05-23T05:05:04Z,6622
8210,2023-04-13T04:58:16Z,,2023-04-20T04:59:05Z,13704
8209,2023-04-13T04:57:52Z,,2023-04-27T04:59:06Z,13656
8208,2023-04-13T04:57:20Z,,2023-04-26T05:12:44Z,10096
8207,2023-04-13T04:56:55Z,,2023-04-20T04:57:32Z,2190
8206,2023-04-12T22:06:27Z,2023-04-24T04:07:07Z,2023-04-24T04:07:07Z,646
8203,2023-04-12T07:45:41Z,,2023-04-14T05:06:41Z,16449
8202,2023-04-12T07:43:58Z,,2023-04-13T05:11:49Z,8855
8201,2023-04-11T21:51:46Z,2023-04-12T07:42:51Z,2023-04-12T07:42:51Z,1120
8198,2023-04-10T10:47:16Z,2023-04-10T14:29:36Z,2023-04-10T14:29:36Z,135
8049,2023-03-07T05:00:28Z,,2023-04-13T05:00:19Z,13875
8048,2023-03-07T05:00:14Z,2023-04-12T07:43:08Z,2023-04-12T07:43:08Z,12034
8042,2023-03-06T05:05:10Z,,2023-04-13T05:00:10Z,2187
8609,2023-06-22T05:11:31Z,,2023-07-13T04:52:08Z,11192
8604,2023-06-20T05:02:05Z,,2023-06-27T05:02:15Z,9564
8597,2023-06-19T04:56:48Z,,2023-09-04T04:08:36Z,14881
8591,2023-06-16T04:59:35Z,,2023-06-23T04:59:59Z,6243
8590,2023-06-16T04:58:35Z,,2023-08-11T04:14:16Z,5841
8589,2023-06-15T19:38:19Z,2023-06-16T16:08:11Z,2023-06-16T16:08:11Z,788
8586,2023-06-15T05:02:14Z,,2023-08-28T04:25:13Z,12106
8585,2023-06-15T05:01:41Z,,2023-06-22T05:11:36Z,10096
8583,2023-06-15T05:00:08Z,,2023-07-10T04:56:09Z,3542
8582,2023-06-15T04:59:47Z,,2023-06-26T04:57:49Z,4444
8579,2023-06-15T04:58:39Z,,2023-08-08T04:33:13Z,11226
8577,2023-06-14T05:11:14Z,2023-06-14T21:38:04Z,2023-06-14T21:38:04Z,9015
8573,2023-06-13T05:22:23Z,,2023-06-20T05:02:09Z,9341
8572,2023-06-13T05:00:46Z,2023-06-14T21:38:10Z,2023-06-14T21:38:10Z,2170
8571,2023-06-13T04:59:42Z,,2023-06-23T05:00:09Z,7091
8570,2023-06-13T04:59:24Z,2023-06-14T21:38:18Z,2023-06-14T21:38:18Z,2184
8569,2023-06-13T04:56:51Z,2023-06-14T21:38:26Z,2023-06-14T21:38:26Z,2461
8566,2023-06-12T05:13:52Z,2023-06-14T21:38:31Z,2023-06-14T21:38:31Z,11015
8565,2023-06-12T05:13:25Z,,2023-06-13T05:00:51Z,2170
8564,2023-06-12T05:12:35Z,2023-06-14T21:38:39Z,2023-06-14T21:38:39Z,5971
8563,2023-06-12T05:11:28Z,,2023-06-14T05:11:19Z,8767
8562,2023-06-12T05:06:42Z,,2023-07-06T04:10:43Z,10845
8560,2023-06-12T05:01:35Z,,2023-06-14T21:17:34Z,2179
8559,2023-06-12T05:01:14Z,,2023-06-13T04:59:28Z,2184
8558,2023-06-12T05:00:52Z,,2023-07-10T04:21:12Z,7210
8557,2023-06-12T04:56:56Z,,2023-06-13T04:56:55Z,2184
8553,2023-06-09T05:02:03Z,,2023-06-14T21:17:33Z,2941
8552,2023-06-09T05:01:49Z,,2023-06-14T21:17:32Z,2605
8551,2023-06-09T05:01:21Z,,2023-06-14T21:17:29Z,2309
8550,2023-06-09T05:01:09Z,,2023-06-12T05:01:40Z,2162
8546,2023-06-08T06:01:25Z,,2023-06-12T05:12:39Z,5971
8545,2023-06-08T05:57:40Z,,2023-06-12T05:11:33Z,9874
8544,2023-06-08T05:56:34Z,2023-06-14T21:34:21Z,2023-06-14T21:34:21Z,10835
8540,2023-06-07T05:02:21Z,,2023-06-12T05:00:56Z,7242
8539,2023-06-07T04:57:44Z,2023-06-14T21:38:53Z,2023-06-14T21:38:53Z,2179
8538,2023-06-06T05:04:30Z,,2023-06-08T05:56:38Z,11081
8537,2023-06-06T05:00:03Z,,2023-06-13T05:22:28Z,9627
8536,2023-06-06T04:57:11Z,2023-06-14T21:39:05Z,2023-06-14T21:39:05Z,5589
8532,2023-06-05T05:02:04Z,,2023-06-13T04:59:49Z,6178
8528,2023-06-02T11:19:46Z,2023-06-06T10:35:45Z,2023-06-06T10:35:45Z,875
8527,2023-06-02T05:11:24Z,,2023-06-16T04:58:40Z,5760
8524,2023-06-01T05:21:09Z,,2023-06-06T05:04:35Z,11689
8523,2023-06-01T05:01:28Z,,2023-06-08T06:01:29Z,5971
8520,2023-05-31T05:13:09Z,,2023-07-05T04:10:19Z,13727
8519,2023-05-31T05:00:15Z,,2023-07-27T04:45:27Z,10084
8518,2023-05-31T04:59:50Z,,2023-06-07T05:02:26Z,7197
8513,2023-05-30T05:11:08Z,,2023-06-06T05:00:07Z,9280
8509,2023-05-29T05:10:12Z,2023-06-14T21:39:23Z,2023-06-14T21:39:23Z,19956
8508,2023-05-29T05:06:03Z,,2023-06-12T05:13:30Z,2170
8507,2023-05-29T05:02:53Z,,2023-06-12T05:01:49Z,8689
8506,2023-05-29T05:01:39Z,2023-06-14T21:39:33Z,2023-06-14T21:39:33Z,3579
8505,2023-05-29T05:01:30Z,,2023-06-12T05:01:18Z,2184
8504,2023-05-29T05:00:57Z,,2023-05-31T04:59:54Z,6598
8503,2023-05-29T05:00:34Z,,2023-06-05T05:02:08Z,6360
8502,2023-05-29T04:56:44Z,,2023-06-12T04:57:01Z,2184
8492,2023-05-26T05:04:15Z,,2023-05-29T05:06:08Z,2170
8491,2023-05-26T05:01:48Z,,2023-05-29T05:01:35Z,2184
8490,2023-05-26T04:59:04Z,,2023-06-01T05:21:13Z,10992
8489,2023-05-26T04:58:36Z,,2023-05-29T04:56:48Z,2184
8486,2023-05-25T05:04:20Z,,2023-05-26T04:59:09Z,11876
8485,2023-05-25T04:59:53Z,,2023-06-09T05:01:13Z,2182
8475,2023-05-23T05:13:05Z,,2023-05-30T05:11:12Z,9342
8474,2023-05-23T05:05:00Z,,2023-05-29T05:02:57Z,7374
8473,2023-05-23T05:00:26Z,2023-06-14T21:39:42Z,2023-06-14T21:39:42Z,13818
8472,2023-05-22T15:26:54Z,2023-05-22T15:48:44Z,2023-05-22T15:48:44Z,203
8471,2023-05-22T14:50:42Z,2023-05-22T15:24:08Z,2023-05-22T15:24:08Z,225
8467,2023-05-22T05:09:37Z,,2023-05-23T05:00:31Z,14321
8466,2023-05-22T05:04:04Z,,2023-05-25T04:59:57Z,2182
8465,2023-05-22T05:02:11Z,,2023-05-26T05:04:20Z,2170
8464,2023-05-22T05:01:48Z,,2023-05-26T05:01:53Z,2184
8463,2023-05-22T04:57:07Z,,2023-05-26T04:58:41Z,2184
8453,2023-05-19T05:16:37Z,,2023-05-22T05:02:15Z,2170
8452,2023-05-19T05:01:45Z,,2023-05-22T05:01:52Z,2184
8451,2023-05-19T04:58:07Z,,2023-05-22T04:57:11Z,2184
