number,created_at,merged_at,closed_at,desc_len
629,2013-01-04T16:21:52Z,,2013-03-29T04:18:56Z,82
622,2013-01-04T11:17:20Z,,2013-05-09T04:05:29Z,219
610,2013-01-02T18:20:34Z,,2013-01-02T19:07:50Z,165
586,2012-12-20T06:01:00Z,,2012-12-20T18:33:07Z,116
583,2012-12-19T20:36:54Z,,2013-01-02T19:09:50Z,194
572,2012-12-12T11:14:30Z,,2013-03-29T03:46:54Z,116
556,2012-11-29T21:58:30Z,,2013-01-02T19:17:45Z,128
555,2012-11-28T15:52:54Z,,2013-01-02T19:19:00Z,197
553,2012-11-25T17:38:47Z,,2013-01-02T19:19:31Z,48
551,2012-11-23T02:35:36Z,,2013-01-02T20:00:45Z,287
546,2012-11-19T01:39:48Z,,2013-03-29T03:39:15Z,130
530,2012-10-30T19:10:54Z,,2013-01-02T19:26:13Z,416
491,2012-10-01T12:12:02Z,,2013-03-29T03:11:49Z,13
476,2012-09-24T17:14:10Z,,2013-01-02T20:08:23Z,66
474,2012-09-24T15:19:39Z,,2013-01-02T21:19:12Z,100
469,2012-09-21T15:19:55Z,,2013-03-29T02:59:19Z,326
467,2012-09-21T13:01:19Z,,2013-01-02T21:20:55Z,18
466,2012-09-20T17:47:54Z,,2012-12-12T05:33:47Z,37
465,2012-09-20T17:45:59Z,,2012-09-20T17:46:43Z,45
448,2012-09-06T21:55:37Z,,2013-03-29T02:48:01Z,271
441,2012-09-03T08:53:49Z,,2013-01-02T21:25:24Z,239
440,2012-09-03T08:50:38Z,,2013-01-02T21:29:49Z,83
439,2012-09-02T21:16:09Z,,2013-01-02T21:28:56Z,158
410,2012-08-21T22:49:57Z,,2013-03-29T02:20:38Z,112
409,2012-08-21T19:44:30Z,,2013-01-02T21:35:55Z,69
335,2012-07-10T02:29:29Z,,2013-03-29T01:31:30Z,476
293,2012-06-20T19:27:04Z,,2012-07-04T21:17:57Z,138
290,2012-06-19T12:00:12Z,,2013-03-29T01:07:01Z,778
271,2012-06-12T13:23:11Z,2012-06-12T13:31:22Z,2012-06-12T13:31:22Z,92
270,2012-06-12T13:14:07Z,2012-06-16T16:37:02Z,2012-06-16T16:37:02Z,911
264,2012-06-11T09:16:04Z,,2012-06-12T17:42:53Z,57
259,2012-06-08T15:28:43Z,2012-06-13T20:37:45Z,2012-06-13T20:37:45Z,45
256,2012-06-06T21:10:00Z,2012-06-08T01:06:05Z,2012-06-08T01:06:05Z,690
241,2012-06-05T18:38:16Z,2012-06-14T02:00:24Z,2012-06-14T02:00:24Z,298
238,2012-06-05T14:35:22Z,,2013-01-02T22:08:26Z,304
235,2012-06-05T07:51:16Z,2012-06-05T13:24:18Z,2012-06-05T13:24:18Z,116
205,2012-05-24T11:06:20Z,,2013-01-02T19:44:18Z,175
202,2012-05-21T13:51:36Z,,2012-06-05T07:51:28Z,66
189,2012-05-07T19:58:43Z,,2012-07-17T01:41:14Z,230
106,2012-03-19T20:51:24Z,,2012-06-04T20:42:09Z,204
84,2012-03-13T05:00:32Z,,2012-06-08T01:07:18Z,145
83,2012-03-13T04:51:52Z,,2012-03-13T04:54:35Z,38
62,2012-03-09T15:03:06Z,2012-03-09T15:12:37Z,2012-03-09T15:12:37Z,41
53,2012-03-08T22:44:32Z,,2012-03-13T08:05:04Z,1292
42,2012-03-08T00:04:59Z,2012-03-08T04:53:18Z,2012-03-08T04:53:18Z,100
2,2012-03-06T22:44:30Z,,2013-01-02T19:34:09Z,24
14657,2019-02-19T14:13:24Z,,2019-02-19T14:14:59Z,379
14632,2019-02-12T17:09:20Z,2019-02-12T17:09:35Z,2019-02-12T17:09:35Z,13
14618,2019-02-07T17:09:30Z,,2019-03-24T09:05:36Z,432
