number,created_at,merged_at,closed_at,desc_len
606,2019-06-20T02:57:43Z,,2019-06-23T17:05:48Z,102
595,2019-06-14T16:40:15Z,,2019-06-15T13:16:07Z,96
587,2019-06-12T16:36:59Z,2019-06-14T08:04:12Z,2019-06-14T08:04:13Z,141
583,2019-06-12T09:15:12Z,,2019-06-12T09:24:25Z,114
574,2019-06-05T05:16:09Z,2019-06-05T07:51:48Z,2019-06-05T07:51:48Z,81
573,2019-06-03T23:16:09Z,,2019-06-20T02:55:32Z,188
570,2019-06-01T04:19:58Z,,2019-06-01T05:22:06Z,140
569,2019-05-31T14:18:38Z,,2019-05-31T20:26:48Z,151
568,2019-05-31T12:59:37Z,2019-05-31T13:27:36Z,2019-05-31T13:27:36Z,148
553,2019-05-25T03:12:27Z,,2019-05-30T21:09:42Z,165
542,2019-05-19T01:04:14Z,,2019-05-20T07:06:09Z,178
522,2019-05-04T15:54:02Z,,2019-05-05T15:41:44Z,409
479,2019-03-27T18:38:54Z,,2019-03-31T18:09:31Z,190
478,2019-03-27T08:10:47Z,,2019-10-31T20:19:53Z,91
449,2019-03-10T22:02:11Z,,2019-03-10T22:23:04Z,237
442,2019-03-03T04:30:04Z,2019-03-03T10:16:14Z,2019-03-03T10:16:14Z,464
434,2019-02-19T02:36:10Z,,2019-02-20T08:44:16Z,71
426,2019-02-06T00:14:49Z,,2020-09-15T11:55:55Z,60
418,2019-02-01T22:22:54Z,,2019-03-02T17:42:37Z,165
412,2019-01-27T11:10:58Z,2019-01-27T13:09:19Z,2019-01-27T13:09:19Z,223
411,2019-01-26T12:12:14Z,2019-01-26T12:22:43Z,2019-01-26T12:22:43Z,159
401,2019-01-18T12:28:04Z,2019-01-18T12:34:41Z,2019-01-18T12:34:41Z,213
396,2019-01-15T13:38:21Z,2019-01-16T20:16:04Z,2019-01-16T20:16:04Z,215
332,2018-11-12T05:10:48Z,,2018-11-12T07:36:49Z,71
331,2018-11-12T01:08:21Z,,2018-11-12T01:08:35Z,9
329,2018-11-10T11:58:21Z,,2018-11-10T14:01:27Z,99
310,2018-10-27T01:27:09Z,2018-10-27T12:49:00Z,2018-10-27T12:49:00Z,362
296,2018-10-14T08:57:43Z,,2022-09-09T17:13:53Z,240
292,2018-10-09T02:25:14Z,,2018-11-11T22:40:26Z,121
286,2018-10-03T09:14:55Z,,2018-10-03T11:23:24Z,13
285,2018-10-03T09:13:45Z,,2018-10-03T11:23:13Z,13
272,2018-09-22T04:56:35Z,,2018-09-24T19:14:20Z,32
261,2018-09-14T12:37:43Z,2018-09-18T06:56:41Z,2018-09-18T06:56:41Z,106
254,2018-09-08T01:24:31Z,,2018-09-09T13:36:34Z,683
252,2018-09-04T13:57:59Z,,2018-09-04T16:49:56Z,219
245,2018-08-26T11:52:13Z,,2019-10-31T20:29:39Z,354
236,2018-08-21T13:34:33Z,,2018-09-04T06:50:12Z,334
226,2018-08-11T13:59:58Z,,2018-08-15T15:25:45Z,380
225,2018-08-11T13:19:55Z,2018-08-12T12:56:14Z,2018-08-12T12:56:14Z,163
204,2018-07-20T14:44:48Z,,2018-08-15T13:22:00Z,251
194,2018-07-10T21:09:30Z,,2018-08-15T13:22:48Z,121
169,2018-06-08T04:31:35Z,2018-06-08T06:08:01Z,2018-06-08T06:08:01Z,80
142,2018-05-04T01:56:26Z,,2018-08-15T13:24:38Z,193
133,2018-04-28T22:28:38Z,,2018-05-28T20:58:57Z,227
95,2018-03-25T09:51:40Z,2018-03-25T12:00:21Z,2018-03-25T12:00:21Z,24
94,2018-03-25T04:19:55Z,2018-03-25T12:12:30Z,2018-03-25T12:12:30Z,148
93,2018-03-24T07:55:18Z,2018-03-24T08:26:13Z,2018-03-24T08:26:13Z,44
85,2018-03-21T01:14:46Z,2018-03-23T09:15:10Z,2018-03-23T09:15:10Z,312
56,2018-03-13T03:02:04Z,,2018-03-28T12:17:22Z,264
29,2018-03-10T11:11:28Z,,2018-03-11T21:10:02Z,228
28,2018-03-10T08:24:14Z,2018-03-10T15:36:02Z,2018-03-10T15:36:02Z,174
27,2018-03-10T07:10:31Z,,2018-03-11T13:17:14Z,129
4381,2023-10-27T09:23:17Z,,2023-10-27T09:24:55Z,16
4374,2023-10-24T14:55:48Z,,2023-10-24T21:17:41Z,678
4373,2023-10-24T13:25:15Z,,2023-10-24T21:28:16Z,153
4371,2023-10-23T12:54:33Z,,2023-10-23T20:23:13Z,16
4364,2023-10-20T10:08:03Z,,2023-10-23T19:45:21Z,128
4343,2023-10-10T11:36:43Z,,2023-10-10T13:45:22Z,8
4300,2023-09-18T23:08:33Z,,2023-09-19T05:06:55Z,15
4173,2023-07-18T16:10:07Z,,2023-07-26T18:00:20Z,15
4132,2023-06-30T13:50:09Z,,2023-06-30T19:22:15Z,27
4130,2023-06-29T19:47:01Z,2023-10-11T07:45:04Z,2023-10-11T07:45:04Z,887
4075,2023-06-09T06:14:09Z,,2023-06-12T06:35:58Z,179
4057,2023-06-04T02:03:07Z,,2023-06-10T13:59:45Z,11
4052,2023-06-01T16:48:29Z,,2023-06-10T14:06:23Z,280
4045,2023-05-31T03:27:39Z,,2023-05-31T08:13:13Z,34
4044,2023-05-30T19:40:56Z,2023-06-01T07:22:47Z,2023-06-01T07:22:47Z,366
4035,2023-05-25T07:38:57Z,,2023-06-02T15:22:20Z,174
4033,2023-05-24T19:30:51Z,2023-05-27T08:10:40Z,2023-05-27T08:10:40Z,839
4005,2023-05-16T10:54:07Z,,2023-05-17T17:37:29Z,33
4004,2023-05-16T09:19:12Z,,2023-05-16T09:33:46Z,28
4001,2023-05-14T10:35:34Z,,2023-05-16T06:31:51Z,29
3998,2023-05-13T19:21:50Z,,2023-05-13T21:04:37Z,17
3979,2023-05-07T20:17:03Z,,2023-06-01T07:20:48Z,582
3978,2023-05-07T11:21:50Z,2023-05-15T19:53:48Z,2023-05-15T19:53:48Z,1426
3949,2023-04-26T13:49:47Z,,2023-04-26T17:35:06Z,164
3930,2023-04-18T15:15:42Z,,2023-04-18T16:01:36Z,162
3902,2023-04-08T10:02:25Z,,2023-05-27T08:17:21Z,237
3895,2023-04-05T14:34:06Z,,2023-04-12T19:29:12Z,755
3889,2023-04-04T14:44:20Z,,2023-04-04T16:39:40Z,971
3877,2023-03-29T14:53:51Z,,2023-03-29T15:07:15Z,313
3865,2023-03-27T13:24:23Z,,2023-03-27T13:37:58Z,103
3862,2023-03-26T17:23:19Z,,2023-05-26T16:59:30Z,1282
3839,2023-03-20T02:27:28Z,,2023-03-20T07:39:23Z,63
3826,2023-03-16T10:26:48Z,,2023-03-16T17:21:19Z,80
3822,2023-03-15T11:48:22Z,,2023-03-16T10:22:29Z,994
3817,2023-03-14T20:55:53Z,,2023-03-14T22:17:12Z,395
3816,2023-03-14T20:54:35Z,,2023-03-14T21:07:50Z,131
3787,2023-03-12T06:26:28Z,,2023-03-12T07:28:25Z,866
3774,2023-03-06T09:24:39Z,2023-03-12T02:08:16Z,2023-03-12T02:08:16Z,235
3761,2023-03-02T09:59:41Z,,2023-03-10T21:35:46Z,87
