number,created_at,merged_at,closed_at,desc_len
1354,2023-10-20T13:40:29Z,,2023-10-20T13:40:46Z,649
1350,2023-10-03T15:15:27Z,,2023-10-03T15:15:43Z,128
1346,2023-10-02T04:08:47Z,,2023-10-02T04:09:04Z,122
1345,2023-10-02T04:02:47Z,,2023-10-02T04:03:02Z,13
1342,2023-10-01T21:00:07Z,,2023-10-01T21:00:21Z,178
1340,2023-09-26T07:53:10Z,,2023-09-26T07:53:23Z,1631
1339,2023-09-26T07:46:20Z,,2023-09-26T07:46:35Z,1460
1336,2023-09-17T09:56:46Z,,2023-09-17T09:57:01Z,1
1332,2023-08-23T11:16:35Z,,2023-08-23T11:16:49Z,125
1330,2023-08-20T23:31:13Z,,2023-08-21T20:49:06Z,52
1329,2023-08-20T23:12:06Z,,2023-08-20T23:12:19Z,21
1327,2023-08-20T05:29:36Z,,2023-08-20T05:29:49Z,24
1326,2023-08-20T05:27:07Z,,2023-08-20T05:27:18Z,42
1323,2023-08-10T01:32:04Z,,2023-08-10T01:32:18Z,9
1322,2023-08-02T16:50:25Z,,2023-08-02T16:50:38Z,20
1321,2023-08-02T16:47:18Z,,2023-08-02T16:47:36Z,20
1317,2023-07-15T03:27:43Z,,2023-07-15T03:27:58Z,184
1314,2023-07-11T11:24:48Z,,2023-07-11T11:25:02Z,551
1310,2023-06-29T11:45:52Z,,2023-06-29T11:46:05Z,364
1307,2023-06-27T10:02:29Z,,2023-06-27T10:02:44Z,16
1305,2023-06-13T08:47:48Z,,2023-06-13T08:48:02Z,156
1303,2023-06-03T11:19:16Z,,2023-06-03T11:19:29Z,102
1299,2023-05-30T13:57:21Z,,2023-05-30T13:57:36Z,25
1298,2023-05-30T13:26:55Z,,2023-05-30T13:27:10Z,18
1292,2023-05-09T10:30:06Z,,2023-05-09T10:30:18Z,142
1289,2023-05-04T01:21:00Z,,2023-05-04T01:21:15Z,68
1287,2023-05-02T09:25:04Z,,2023-05-02T09:25:22Z,93
1285,2023-04-28T17:33:55Z,,2023-04-28T17:34:09Z,49
