number,created_at,merged_at,closed_at,desc_len
381,2017-12-29T07:58:07Z,2017-12-29T08:07:43Z,2017-12-29T08:07:43Z,7
373,2017-12-25T07:49:32Z,2017-12-25T07:49:53Z,2017-12-25T07:49:53Z,7
368,2017-12-22T02:18:47Z,2017-12-22T02:29:47Z,2017-12-22T02:29:47Z,277
355,2017-12-15T06:05:29Z,2017-12-15T06:07:55Z,2017-12-15T06:07:55Z,107
344,2017-12-12T05:25:36Z,2017-12-12T05:28:34Z,2017-12-12T05:28:34Z,59
343,2017-12-12T01:54:38Z,2017-12-13T09:43:03Z,2017-12-13T09:43:03Z,78
341,2017-12-11T06:52:42Z,,2017-12-12T01:55:02Z,208
337,2017-12-08T03:31:42Z,2017-12-08T03:49:35Z,2017-12-08T03:49:35Z,298
315,2017-12-01T03:17:12Z,,2017-12-11T06:52:59Z,174
314,2017-12-01T01:52:56Z,,2017-12-01T01:58:47Z,48
312,2017-11-30T10:44:30Z,,2017-12-04T06:32:04Z,25
306,2017-11-30T07:11:50Z,2017-11-30T07:46:42Z,2017-11-30T07:46:42Z,44
303,2017-11-29T09:12:42Z,,2017-11-30T01:11:00Z,146
302,2017-11-29T08:31:47Z,,2017-11-29T08:34:20Z,7
300,2017-11-28T10:57:33Z,2017-11-29T02:07:49Z,2017-11-29T02:07:49Z,11
298,2017-11-28T10:18:26Z,,2017-11-28T10:49:19Z,14
291,2017-11-21T09:03:54Z,,2017-11-29T06:27:23Z,46
289,2017-11-16T12:54:09Z,,2017-11-29T06:27:33Z,49
285,2017-11-15T07:27:49Z,2017-11-15T07:37:51Z,2017-11-15T07:37:51Z,25
261,2017-10-24T09:58:26Z,,2017-11-29T06:27:45Z,38
258,2017-10-22T15:55:56Z,,2017-10-23T01:33:16Z,46
256,2017-10-21T06:16:17Z,2017-10-23T02:22:44Z,2017-10-23T02:22:44Z,115
240,2017-10-12T08:26:02Z,2017-10-12T08:46:50Z,2017-10-12T08:46:50Z,35
239,2017-10-12T06:16:11Z,2017-10-12T07:36:57Z,2017-10-12T07:36:57Z,208
237,2017-10-09T05:40:02Z,,2017-10-09T05:52:59Z,6
233,2017-09-29T05:52:54Z,2017-09-29T08:31:45Z,2017-09-29T08:31:45Z,27
229,2017-09-27T02:17:18Z,2017-09-27T02:18:42Z,2017-09-27T02:18:42Z,17
228,2017-09-26T05:59:51Z,2017-09-27T02:18:25Z,2017-09-27T02:18:25Z,23
227,2017-09-25T09:20:53Z,2017-09-25T09:31:24Z,2017-09-25T09:31:24Z,32
226,2017-09-24T16:19:52Z,2017-09-25T03:11:38Z,2017-09-25T03:11:38Z,77
217,2017-09-16T14:07:53Z,,2017-09-22T06:18:03Z,97
201,2017-09-08T07:37:35Z,2017-09-08T07:53:11Z,2017-09-08T07:53:11Z,23
199,2017-09-07T02:34:15Z,2017-09-07T02:35:37Z,2017-09-07T02:35:37Z,22
195,2017-09-06T02:08:40Z,2017-09-06T02:20:32Z,2017-09-06T02:20:32Z,34
188,2017-09-05T05:34:51Z,2017-09-05T05:53:25Z,2017-09-05T05:53:25Z,10
179,2017-08-29T10:05:04Z,2017-08-29T10:05:36Z,2017-08-29T10:05:36Z,20
176,2017-08-28T05:18:07Z,2017-08-28T05:18:37Z,2017-08-28T05:18:37Z,8
155,2017-08-10T09:03:07Z,2017-08-10T09:25:20Z,2017-08-10T09:25:20Z,36
146,2017-07-28T09:17:32Z,2017-07-28T09:19:41Z,2017-07-28T09:19:41Z,18
145,2017-07-28T08:59:48Z,,2017-07-28T09:18:02Z,17
142,2017-07-27T02:34:51Z,2017-07-27T04:20:05Z,2017-07-27T04:20:05Z,37
140,2017-07-25T08:54:11Z,2017-07-25T09:26:17Z,2017-07-25T09:26:17Z,50
139,2017-07-25T08:00:37Z,2017-07-25T08:19:10Z,2017-07-25T08:19:10Z,57
136,2017-07-20T07:22:37Z,,2017-07-20T07:30:29Z,462
132,2017-07-17T07:37:16Z,2017-07-17T10:01:10Z,2017-07-17T10:01:10Z,11
128,2017-07-14T09:38:03Z,2017-07-14T09:40:35Z,2017-07-14T09:40:35Z,16
117,2017-07-07T03:15:38Z,2017-07-07T03:25:43Z,2017-07-07T03:25:43Z,44
111,2017-07-03T11:04:53Z,2017-07-03T12:23:24Z,2017-07-03T12:23:24Z,21
109,2017-07-03T04:44:46Z,2017-07-03T04:45:32Z,2017-07-03T04:45:32Z,21
102,2017-06-28T08:59:41Z,2017-07-03T05:26:58Z,2017-07-03T05:26:58Z,129
98,2017-06-25T06:19:12Z,,2017-06-26T02:06:23Z,65
97,2017-06-25T06:03:56Z,,2017-06-25T06:09:23Z,80
96,2017-06-23T09:35:29Z,2017-06-23T09:36:14Z,2017-06-23T09:36:14Z,13
95,2017-06-23T06:49:30Z,2017-06-23T07:25:59Z,2017-06-23T07:25:59Z,22
92,2017-06-21T08:58:41Z,2017-06-21T08:59:03Z,2017-06-21T08:59:03Z,27
88,2017-06-20T06:12:08Z,2017-06-20T07:44:15Z,2017-06-20T07:44:15Z,8
81,2017-06-13T08:07:48Z,,2017-06-13T08:53:23Z,105
75,2017-06-08T08:38:40Z,2017-06-12T07:25:57Z,2017-06-12T07:25:57Z,20
59,2017-05-22T14:52:15Z,2017-05-22T15:15:47Z,2017-05-22T15:15:47Z,21
57,2017-05-18T06:34:42Z,2017-05-18T08:05:31Z,2017-05-18T08:05:31Z,2
56,2017-05-17T08:26:44Z,2017-05-17T08:27:13Z,2017-05-17T08:27:13Z,15
