number,created_at,merged_at,closed_at,desc_len
410,2013-12-06T20:31:10Z,2013-12-07T12:05:22Z,2013-12-07T12:05:22Z,879
401,2013-12-04T16:35:15Z,,2013-12-05T09:10:34Z,362
388,2013-11-29T04:24:11Z,2013-11-29T09:02:00Z,2013-11-29T09:02:00Z,142
386,2013-11-28T15:17:08Z,2013-11-29T09:14:18Z,2013-11-29T09:14:18Z,124
385,2013-11-28T14:45:24Z,2013-11-29T09:12:10Z,2013-11-29T09:12:10Z,153
383,2013-11-26T09:32:53Z,,2013-12-05T09:11:02Z,42
382,2013-11-26T09:12:37Z,,2013-11-26T09:32:05Z,63
381,2013-11-25T14:55:53Z,2013-11-25T15:02:19Z,2013-11-25T15:02:19Z,246
374,2013-11-21T14:53:42Z,2013-11-22T09:31:00Z,2013-11-22T09:31:00Z,181
373,2013-11-21T08:01:04Z,2013-11-22T09:30:44Z,2013-11-22T09:30:44Z,224
369,2013-11-19T18:54:13Z,2013-11-20T05:21:54Z,2013-11-20T05:21:54Z,41
368,2013-11-19T18:52:23Z,2013-11-20T05:21:41Z,2013-11-20T05:21:41Z,37
367,2013-11-19T06:23:18Z,2013-11-20T05:21:08Z,2013-11-20T05:21:08Z,55
345,2013-11-11T20:42:36Z,2013-11-13T01:52:14Z,2013-11-13T01:52:14Z,70
344,2013-11-11T14:07:41Z,2013-11-13T01:47:04Z,2013-11-13T01:47:04Z,197
341,2013-11-10T21:45:56Z,,2014-06-24T01:52:09Z,48
340,2013-11-10T04:42:10Z,,2013-12-27T15:15:16Z,55
335,2013-11-07T17:36:47Z,2013-11-07T17:52:17Z,2013-11-07T17:52:17Z,640
329,2013-11-06T06:38:09Z,2013-11-06T16:37:56Z,2013-11-06T16:37:56Z,13
318,2013-11-03T23:09:38Z,2013-11-04T15:15:36Z,2013-11-04T15:15:36Z,202
317,2013-11-03T15:30:20Z,2013-11-03T16:35:18Z,2013-11-03T16:35:18Z,130
313,2013-11-02T20:17:52Z,,2013-11-04T15:15:54Z,45
310,2013-11-02T09:14:18Z,2013-11-02T17:49:03Z,2013-11-02T17:49:03Z,514
309,2013-11-02T03:41:11Z,,2013-11-04T15:37:38Z,264
308,2013-11-02T02:47:56Z,2013-11-02T06:30:32Z,2013-11-02T06:30:32Z,116
306,2013-11-01T21:49:31Z,2013-11-02T01:47:59Z,2013-11-02T01:47:59Z,52
301,2013-10-31T05:15:06Z,2013-10-31T15:39:38Z,2013-10-31T15:39:38Z,87
291,2013-10-29T02:27:15Z,2013-10-29T05:10:48Z,2013-10-29T05:10:48Z,20
278,2013-10-26T03:11:47Z,,2014-05-17T13:25:23Z,517
264,2013-10-18T01:41:08Z,2013-10-18T23:33:27Z,2013-10-18T23:33:27Z,115
263,2013-10-18T01:38:37Z,2013-10-18T23:33:49Z,2013-10-18T23:33:49Z,84
258,2013-10-17T04:19:33Z,2013-10-17T06:00:42Z,2013-10-17T06:00:42Z,55
228,2013-10-10T04:54:45Z,2013-10-10T08:38:01Z,2013-10-10T08:38:01Z,8
217,2013-10-09T11:19:45Z,2013-10-09T15:43:13Z,2013-10-09T15:43:14Z,176
200,2013-10-08T16:27:02Z,2013-10-08T17:07:14Z,2013-10-08T17:07:14Z,35
196,2013-10-08T07:53:08Z,2013-10-08T15:17:21Z,2013-10-08T15:17:21Z,110
193,2013-10-08T05:33:16Z,2013-10-08T15:18:51Z,2013-10-08T15:18:51Z,300
185,2013-10-07T20:21:37Z,2013-10-07T20:26:29Z,2013-10-07T20:26:29Z,37
184,2013-10-07T19:01:31Z,2013-10-07T20:33:03Z,2013-10-07T20:33:03Z,78
183,2013-10-07T18:48:44Z,2013-10-24T17:48:20Z,2013-10-24T17:48:20Z,795
180,2013-10-06T18:49:12Z,2013-10-07T17:14:59Z,2013-10-07T17:14:59Z,319
179,2013-10-06T15:42:13Z,2013-10-06T17:01:44Z,2013-10-06T17:01:44Z,51
176,2013-10-06T14:22:12Z,,2013-10-06T15:23:12Z,189
159,2013-10-04T04:13:07Z,2013-10-04T06:50:23Z,2013-10-04T06:50:23Z,75
147,2013-10-02T06:22:36Z,2013-10-02T16:42:39Z,2013-10-02T16:42:39Z,83
143,2013-10-02T01:51:50Z,2013-10-02T03:59:43Z,2013-10-02T03:59:43Z,57
142,2013-10-01T23:50:50Z,2013-10-02T16:43:48Z,2013-10-02T16:43:48Z,580
129,2013-10-01T07:03:36Z,2013-10-01T19:08:47Z,2013-10-01T19:08:47Z,41
124,2013-09-30T13:55:35Z,,2013-10-02T18:48:25Z,975
120,2013-09-30T04:46:06Z,2013-09-30T16:08:56Z,2013-09-30T16:08:56Z,280
117,2013-09-29T22:13:41Z,,2013-09-30T16:09:04Z,157
115,2013-09-29T21:35:33Z,2013-09-30T03:31:31Z,2013-09-30T03:31:31Z,228
111,2013-09-29T13:53:01Z,2013-09-30T16:09:35Z,2013-09-30T16:09:35Z,189
110,2013-09-29T11:23:16Z,2013-09-30T03:31:07Z,2013-09-30T03:31:07Z,43
99,2013-09-28T03:34:52Z,2013-09-28T12:27:22Z,2013-09-28T12:27:22Z,505
96,2013-09-27T09:44:48Z,,2013-09-28T13:43:50Z,65
94,2013-09-27T06:07:20Z,2013-09-27T07:08:09Z,2013-09-27T07:08:09Z,50
93,2013-09-27T03:10:50Z,,2013-09-27T04:20:49Z,184
80,2013-09-26T09:53:56Z,2013-09-26T17:55:01Z,2013-09-26T17:55:01Z,79
69,2013-09-24T00:53:20Z,2013-09-24T16:57:27Z,2013-09-24T16:57:27Z,231
62,2013-09-22T03:15:57Z,2013-09-23T16:20:02Z,2013-09-23T16:20:02Z,10
59,2013-09-21T08:13:48Z,,2013-09-25T03:52:28Z,2737
55,2013-09-20T18:16:32Z,,2013-09-20T19:11:16Z,65
29,2013-09-17T16:04:27Z,2013-09-17T18:10:55Z,2013-09-17T18:10:55Z,288
19,2013-09-15T20:55:00Z,2013-09-16T22:14:44Z,2013-09-16T22:14:44Z,26
13,2013-09-15T00:49:22Z,,2013-09-15T04:48:38Z,718
998,2014-08-10T19:58:26Z,,2014-08-11T21:54:58Z,104
997,2014-08-10T10:08:31Z,,2014-10-08T20:06:35Z,607
993,2014-08-08T06:27:48Z,,2014-10-01T21:12:42Z,371
975,2014-07-28T16:57:56Z,,2014-10-01T21:12:42Z,77
954,2014-07-15T00:57:26Z,2014-07-15T21:55:45Z,2014-07-15T21:55:45Z,570
952,2014-07-13T22:56:25Z,,2014-10-22T14:26:31Z,169
943,2014-07-09T17:33:54Z,2014-07-10T02:17:20Z,2014-07-10T02:17:20Z,170
924,2014-07-03T22:38:42Z,2014-07-08T15:33:13Z,2014-07-08T15:33:13Z,61
922,2014-07-02T23:24:06Z,2014-07-03T20:14:55Z,2014-07-03T20:14:55Z,214
920,2014-07-02T14:59:08Z,2014-07-03T20:07:05Z,2014-07-03T20:07:05Z,225
912,2014-06-26T20:39:24Z,2014-06-26T21:26:00Z,2014-06-26T21:26:00Z,43
905,2014-06-25T10:47:38Z,2014-06-25T12:51:42Z,2014-06-25T12:51:42Z,109
891,2014-06-15T22:54:36Z,2014-07-03T20:19:45Z,2014-07-03T20:19:45Z,65
881,2014-06-09T03:21:10Z,2014-06-13T16:07:50Z,2014-06-13T16:07:50Z,207
873,2014-05-30T21:26:05Z,2014-05-30T23:06:50Z,2014-05-30T23:06:50Z,168
868,2014-05-27T17:15:42Z,2014-05-29T21:58:10Z,2014-05-29T21:58:10Z,130
844,2014-05-18T00:19:06Z,2014-05-18T19:21:00Z,2014-05-18T19:21:00Z,58
841,2014-05-15T15:23:32Z,2014-05-15T18:54:58Z,2014-05-15T18:54:58Z,92
840,2014-05-15T12:51:47Z,2014-05-16T14:41:19Z,2014-05-16T14:41:19Z,126
836,2014-05-13T04:37:57Z,2014-05-29T22:25:25Z,2014-05-29T22:25:25Z,840
833,2014-05-10T04:51:17Z,,2014-05-10T13:42:54Z,34
819,2014-04-30T13:27:27Z,,2014-05-09T19:22:53Z,370
806,2014-04-23T16:19:36Z,2014-05-09T19:37:57Z,2014-05-09T19:37:57Z,409
795,2014-04-19T14:15:12Z,2014-04-22T04:07:41Z,2014-04-22T04:07:41Z,19
750,2014-03-27T22:45:45Z,2014-03-28T20:52:43Z,2014-03-28T20:52:43Z,57
749,2014-03-27T22:09:31Z,2014-04-04T18:37:57Z,2014-04-04T18:37:57Z,160
741,2014-03-24T21:31:47Z,2014-03-27T22:23:09Z,2014-03-27T22:23:09Z,146
739,2014-03-24T15:04:17Z,2014-03-24T15:11:26Z,2014-03-24T15:11:26Z,27
735,2014-03-21T08:43:37Z,,2014-10-08T20:08:22Z,115
731,2014-03-20T20:56:12Z,2014-04-05T03:12:09Z,2014-04-05T03:12:09Z,31
725,2014-03-18T04:56:55Z,2014-03-19T04:53:36Z,2014-03-19T04:53:36Z,861
708,2014-03-12T13:54:44Z,,2014-10-22T14:27:20Z,201
701,2014-03-09T20:52:49Z,,2014-03-14T18:36:09Z,47
696,2014-03-07T03:19:19Z,2014-03-07T15:14:42Z,2014-03-07T15:14:42Z,1026
695,2014-03-06T17:46:09Z,,2014-03-06T17:46:35Z,44
692,2014-03-06T10:41:01Z,2014-03-07T05:37:43Z,2014-03-07T05:37:43Z,245
690,2014-03-04T05:12:04Z,2014-03-04T05:13:22Z,2014-03-04T05:13:22Z,81
688,2014-03-03T23:46:26Z,2014-03-07T05:37:51Z,2014-03-07T05:37:51Z,169
669,2014-02-26T18:00:12Z,2014-03-04T04:37:17Z,2014-03-04T04:37:17Z,324
666,2014-02-25T21:28:18Z,2014-02-28T05:04:53Z,2014-02-28T05:04:53Z,193
665,2014-02-25T17:35:55Z,,2014-02-27T14:54:04Z,116
658,2014-02-23T16:13:41Z,2014-02-24T05:48:59Z,2014-02-24T05:48:59Z,617
656,2014-02-23T10:36:50Z,,2014-02-24T05:48:28Z,624
655,2014-02-22T18:04:55Z,,2014-03-14T18:35:30Z,227
636,2014-02-17T18:45:11Z,,2014-02-21T03:46:10Z,153
627,2014-02-14T14:51:41Z,2014-02-14T16:45:24Z,2014-02-14T16:45:24Z,791
622,2014-02-12T10:37:09Z,,2014-02-14T21:16:47Z,683
619,2014-02-11T12:30:54Z,2014-02-12T05:48:54Z,2014-02-12T05:48:54Z,427
618,2014-02-11T12:22:39Z,2014-02-13T06:21:07Z,2014-02-13T06:21:07Z,800
617,2014-02-11T02:15:32Z,2014-02-11T03:15:31Z,2014-02-11T03:15:31Z,77
601,2014-02-02T19:12:41Z,2014-02-08T21:18:55Z,2014-02-08T21:18:55Z,88
598,2014-01-31T23:55:37Z,2014-02-10T00:21:38Z,2014-02-10T00:21:38Z,9
594,2014-01-28T19:36:12Z,,2014-02-21T03:20:47Z,273
592,2014-01-28T12:49:43Z,2014-01-28T16:26:58Z,2014-01-28T16:26:58Z,42
583,2014-01-25T21:40:04Z,2014-01-27T02:45:24Z,2014-01-27T02:45:24Z,22
582,2014-01-25T21:23:30Z,2014-01-27T02:39:03Z,2014-01-27T02:39:03Z,18
579,2014-01-25T14:06:10Z,2014-01-25T18:31:41Z,2014-01-25T18:31:41Z,28
578,2014-01-25T14:04:21Z,2014-01-25T18:32:12Z,2014-01-25T18:32:12Z,23
572,2014-01-23T16:09:12Z,2014-01-23T18:37:27Z,2014-01-23T18:37:27Z,272
569,2014-01-22T00:01:51Z,2014-01-24T17:43:32Z,2014-01-24T17:43:32Z,788
568,2014-01-21T22:23:48Z,2014-01-21T22:42:43Z,2014-01-21T22:42:43Z,510
562,2014-01-18T06:40:36Z,,2014-01-18T07:57:55Z,213
561,2014-01-17T12:42:02Z,2014-01-17T13:37:06Z,2014-01-17T13:37:06Z,25
558,2014-01-17T01:39:14Z,2014-01-17T16:01:43Z,2014-01-17T16:01:43Z,251
557,2014-01-16T01:04:13Z,,2014-01-20T04:39:16Z,360
556,2014-01-14T21:22:04Z,2014-01-14T22:30:05Z,2014-01-14T22:30:05Z,53
553,2014-01-13T22:48:36Z,2014-01-15T19:57:07Z,2014-01-15T19:57:07Z,147
551,2014-01-13T10:40:09Z,2014-01-14T16:56:37Z,2014-01-14T16:56:37Z,107
548,2014-01-12T20:07:29Z,2014-01-13T04:39:49Z,2014-01-13T04:39:49Z,37
545,2014-01-12T15:59:30Z,,2014-02-13T06:22:16Z,126
539,2014-01-11T12:35:34Z,2014-01-11T15:59:49Z,2014-01-11T15:59:49Z,41
534,2014-01-10T09:25:19Z,2014-01-10T13:51:56Z,2014-01-10T13:51:56Z,91
532,2014-01-09T15:00:14Z,2014-01-15T19:21:13Z,2014-01-15T19:21:13Z,397
524,2014-01-07T16:53:19Z,2014-01-07T18:36:18Z,2014-01-07T18:36:18Z,46
522,2014-01-07T12:04:41Z,2014-01-07T15:57:10Z,2014-01-07T15:57:10Z,126
515,2014-01-06T18:54:50Z,2014-01-06T19:56:35Z,2014-01-06T19:56:35Z,29
511,2014-01-05T22:11:52Z,2014-01-06T15:24:27Z,2014-01-06T15:24:27Z,139
510,2014-01-05T17:04:59Z,2014-01-06T22:09:58Z,2014-01-06T22:09:58Z,100
496,2013-12-30T19:28:38Z,2014-01-02T15:35:24Z,2014-01-02T15:35:24Z,222
489,2013-12-28T12:20:51Z,2013-12-28T12:55:36Z,2013-12-28T12:55:36Z,44
487,2013-12-27T22:07:57Z,,2014-01-05T17:06:59Z,220
485,2013-12-27T18:36:49Z,2013-12-27T21:51:07Z,2013-12-27T21:51:07Z,30
484,2013-12-27T03:15:51Z,,2013-12-27T15:14:43Z,64
482,2013-12-27T00:30:20Z,2013-12-27T10:40:59Z,2013-12-27T10:40:59Z,64
478,2013-12-26T10:38:49Z,2013-12-27T14:59:48Z,2013-12-27T14:59:48Z,66
476,2013-12-26T09:50:39Z,,2014-06-06T21:27:07Z,27
474,2013-12-25T19:56:18Z,2013-12-25T23:17:37Z,2013-12-25T23:17:37Z,75
471,2013-12-25T06:07:46Z,2013-12-25T12:50:55Z,2013-12-25T12:50:55Z,34
470,2013-12-24T19:01:50Z,,2013-12-27T12:58:39Z,13
444,2013-12-17T14:27:35Z,,2013-12-27T15:11:45Z,43
441,2013-12-16T20:04:12Z,2013-12-17T04:26:46Z,2013-12-17T04:26:46Z,44
440,2013-12-16T15:13:49Z,2013-12-17T05:47:16Z,2013-12-17T05:47:16Z,53
439,2013-12-16T15:00:03Z,2013-12-17T05:43:50Z,2013-12-17T05:43:50Z,149
433,2013-12-15T11:35:59Z,2013-12-22T08:18:47Z,2013-12-22T08:18:47Z,141
425,2013-12-11T21:22:52Z,,2013-12-22T07:40:17Z,98
424,2013-12-11T20:53:12Z,2013-12-12T19:22:38Z,2013-12-12T19:22:38Z,146
420,2013-12-10T13:19:00Z,2013-12-10T14:54:15Z,2013-12-10T14:54:15Z,38
418,2013-12-10T01:01:09Z,2013-12-10T07:51:41Z,2013-12-10T07:51:41Z,316
417,2013-12-09T20:55:28Z,2013-12-10T07:51:22Z,2013-12-10T07:51:22Z,420
413,2013-12-07T16:31:07Z,2013-12-08T04:58:01Z,2013-12-08T04:58:01Z,43
1791,2015-02-11T18:12:14Z,,2015-03-02T20:15:07Z,37
1785,2015-02-11T09:11:13Z,,2018-03-25T03:29:14Z,279
1781,2015-02-11T00:09:10Z,2015-02-11T16:34:10Z,2015-02-11T16:34:10Z,159
1765,2015-02-08T10:06:11Z,,2015-02-10T18:27:46Z,40
1764,2015-02-08T07:22:19Z,,2015-02-16T22:45:36Z,813
1756,2015-02-05T06:51:11Z,,2018-03-25T02:29:22Z,1244
1755,2015-02-04T23:51:45Z,,2015-02-09T20:57:48Z,696
1742,2015-02-01T19:08:25Z,2015-02-01T20:51:03Z,2015-02-01T20:51:03Z,41
1729,2015-01-27T22:56:14Z,2015-01-28T17:06:50Z,2015-01-28T17:06:50Z,683
1728,2015-01-27T22:53:25Z,,2015-01-27T22:55:00Z,683
1698,2015-01-23T17:27:39Z,,2015-01-23T22:15:54Z,195
1689,2015-01-22T21:51:32Z,,2015-01-22T22:28:44Z,211
1645,2015-01-16T10:17:30Z,,2015-01-16T16:41:24Z,524
1640,2015-01-15T20:10:43Z,2015-01-15T21:23:49Z,2015-01-15T21:23:49Z,158
1639,2015-01-15T19:12:14Z,,2015-01-15T19:16:09Z,6
1632,2015-01-15T07:50:21Z,2015-01-21T16:30:54Z,2015-01-21T16:30:54Z,50
1630,2015-01-14T22:39:23Z,2015-01-22T23:27:01Z,2015-01-22T23:27:01Z,619
1629,2015-01-14T22:36:40Z,,2015-01-14T22:38:33Z,616
1627,2015-01-14T20:56:11Z,2015-01-14T21:18:41Z,2015-01-14T21:18:42Z,222
1623,2015-01-14T06:44:56Z,,2015-01-21T23:31:46Z,626
1620,2015-01-13T19:51:13Z,,2015-01-13T21:16:35Z,62
1615,2015-01-13T10:18:39Z,2015-01-13T18:24:54Z,2015-01-13T18:24:54Z,47
1607,2015-01-11T23:58:19Z,2015-02-13T21:59:53Z,2015-02-13T21:59:54Z,1487
1602,2015-01-11T06:59:57Z,2015-01-12T17:07:58Z,2015-01-12T17:07:58Z,34
1593,2015-01-09T02:40:24Z,,2015-01-09T02:48:15Z,49
1587,2015-01-07T15:31:39Z,,2015-01-16T16:33:41Z,143
1574,2015-01-06T08:46:03Z,,2015-01-07T17:15:39Z,197
1557,2015-01-03T13:27:33Z,,2015-01-08T21:18:09Z,376
1553,2015-01-02T22:15:00Z,2015-01-04T17:53:08Z,2015-01-04T17:53:08Z,175
1552,2015-01-02T22:03:16Z,,2015-01-12T17:15:02Z,13
1550,2015-01-02T17:28:00Z,,2015-01-07T16:59:29Z,29
1533,2014-12-30T08:32:56Z,,2014-12-30T16:44:03Z,328
1500,2014-12-23T05:20:13Z,2014-12-23T16:07:48Z,2014-12-23T16:07:48Z,130
1484,2014-12-19T18:29:18Z,,2014-12-22T19:49:04Z,426
1481,2014-12-19T07:26:40Z,2014-12-22T19:55:28Z,2014-12-22T19:55:28Z,40
1466,2014-12-17T22:38:12Z,2014-12-17T23:02:48Z,2014-12-17T23:02:48Z,69
1465,2014-12-17T19:11:17Z,,2014-12-18T14:53:32Z,229
1453,2014-12-15T14:48:50Z,,2014-12-15T19:07:25Z,31
1443,2014-12-12T23:54:21Z,2014-12-15T19:07:51Z,2014-12-15T19:07:51Z,393
1440,2014-12-12T13:15:14Z,,2014-12-12T13:16:47Z,22
1427,2014-12-11T18:14:02Z,,2014-12-12T17:03:10Z,122
1408,2014-12-09T17:03:31Z,,2014-12-12T17:04:29Z,136
1407,2014-12-09T16:26:22Z,,2014-12-09T16:41:30Z,42
1403,2014-12-09T08:28:29Z,,2014-12-11T13:39:49Z,414
1398,2014-12-07T23:19:45Z,2014-12-08T17:15:18Z,2014-12-08T17:15:18Z,398
1390,2014-12-05T23:36:02Z,,2014-12-12T17:04:49Z,96
1389,2014-12-05T23:33:59Z,2014-12-05T23:37:45Z,2014-12-05T23:37:45Z,95
1388,2014-12-05T23:32:22Z,2014-12-05T23:39:50Z,2014-12-05T23:39:50Z,26
1387,2014-12-05T23:31:49Z,2014-12-05T23:40:35Z,2014-12-05T23:40:35Z,161
1386,2014-12-05T22:18:04Z,2014-12-05T22:40:46Z,2014-12-05T22:40:46Z,144
1378,2014-12-04T09:54:48Z,2014-12-04T18:17:44Z,2014-12-04T18:17:44Z,176
1356,2014-12-02T16:20:39Z,2014-12-02T17:03:00Z,2014-12-02T17:03:00Z,922
1355,2014-12-02T11:12:11Z,,2014-12-02T22:03:28Z,287
