number,created_at,merged_at,closed_at,desc_len
5198,2023-09-12T04:29:35Z,2023-09-12T04:41:20Z,2023-09-12T04:41:20Z,1362
5197,2023-09-12T01:23:12Z,2023-09-12T01:23:30Z,2023-09-12T01:23:30Z,1362
5196,2023-09-12T01:21:36Z,2023-09-12T01:22:09Z,2023-09-12T01:22:09Z,1370
5195,2023-09-11T21:25:58Z,2023-09-11T23:17:32Z,2023-09-11T23:17:32Z,1434
5194,2023-09-11T15:30:59Z,2023-09-12T00:42:56Z,2023-09-12T00:42:56Z,2483
5189,2023-09-10T21:54:47Z,2023-09-10T22:07:54Z,2023-09-10T22:07:54Z,2700
5177,2023-09-08T20:52:15Z,2023-09-13T13:11:41Z,2023-09-13T13:11:41Z,1488
5176,2023-09-08T00:32:53Z,2023-09-08T00:37:12Z,2023-09-08T00:37:12Z,2252
5175,2023-09-08T00:18:21Z,2023-09-08T00:27:17Z,2023-09-08T00:27:17Z,1407
5174,2023-09-08T00:00:49Z,2023-09-08T00:06:42Z,2023-09-08T00:06:42Z,1568
5173,2023-09-07T06:17:07Z,2023-09-07T06:18:18Z,2023-09-07T06:18:18Z,1571
5172,2023-09-07T05:24:32Z,2023-09-07T05:54:32Z,2023-09-07T05:54:32Z,1366
5171,2023-09-07T05:11:39Z,2023-09-07T05:11:48Z,2023-09-07T05:11:48Z,209
5170,2023-09-07T03:51:48Z,2023-09-07T05:07:15Z,2023-09-07T05:07:15Z,1530
5169,2023-09-07T02:49:48Z,2023-09-07T02:59:00Z,2023-09-07T02:59:00Z,1386
5168,2023-09-06T20:59:50Z,2023-09-07T14:05:06Z,2023-09-07T14:05:06Z,225
5167,2023-09-06T18:53:58Z,2023-09-06T19:24:44Z,2023-09-06T19:24:44Z,2937
5166,2023-09-06T17:28:11Z,,2023-09-06T17:28:17Z,54
5165,2023-09-06T17:26:15Z,2023-09-06T17:26:23Z,2023-09-06T17:26:23Z,1804
5164,2023-09-06T17:03:39Z,2023-09-06T17:11:52Z,2023-09-06T17:11:52Z,1692
5162,2023-09-06T07:36:35Z,2023-09-06T07:39:28Z,2023-09-06T07:39:28Z,1537
5161,2023-09-06T03:48:54Z,2023-09-06T04:04:57Z,2023-09-06T04:04:57Z,637
5160,2023-09-06T01:19:40Z,2023-09-06T01:39:49Z,2023-09-06T01:39:49Z,3420
5159,2023-09-05T19:34:24Z,,2023-09-05T22:53:36Z,20
5158,2023-09-05T18:06:45Z,,2023-09-05T18:30:38Z,3193
5157,2023-09-05T17:50:44Z,2023-09-05T18:05:40Z,2023-09-05T18:05:40Z,3193
5156,2023-09-05T17:33:56Z,,2023-09-05T19:11:57Z,3422
5155,2023-09-05T16:42:17Z,,2023-09-05T17:33:27Z,3440
5146,2023-08-27T23:22:15Z,2023-08-28T16:21:49Z,2023-08-28T16:21:49Z,3213
