number,created_at,merged_at,closed_at,desc_len
1345,2021-08-25T15:38:25Z,2021-08-26T15:03:07Z,2021-08-26T15:03:07Z,40
1342,2021-08-25T09:33:11Z,2021-08-26T15:01:09Z,2021-08-26T15:01:09Z,39
1339,2021-08-24T03:29:24Z,2021-08-26T15:03:26Z,2021-08-26T15:03:26Z,26
1338,2021-08-24T02:59:00Z,2021-08-26T15:03:49Z,2021-08-26T15:03:49Z,20
1337,2021-08-24T02:40:11Z,2021-08-26T15:04:31Z,2021-08-26T15:04:31Z,35
1336,2021-08-24T00:11:51Z,2021-08-26T15:04:47Z,2021-08-26T15:04:47Z,24
1335,2021-08-23T11:08:50Z,2021-08-23T13:17:31Z,2021-08-23T13:17:31Z,39
1333,2021-08-23T07:07:01Z,,2021-08-23T07:30:00Z,19
1332,2021-08-23T06:25:15Z,2021-08-23T13:19:35Z,2021-08-23T13:19:35Z,27
1331,2021-08-22T13:10:21Z,2021-08-23T13:15:56Z,2021-08-23T13:15:56Z,33
1326,2021-08-19T13:44:53Z,2021-08-19T14:57:34Z,2021-08-19T14:57:34Z,38
1320,2021-08-14T11:09:41Z,2021-08-16T14:21:57Z,2021-08-16T14:21:57Z,472
1315,2021-08-10T04:35:11Z,2021-08-10T08:46:15Z,2021-08-10T08:46:15Z,46
1314,2021-08-10T04:31:39Z,2021-08-10T08:48:21Z,2021-08-10T08:48:22Z,37
1312,2021-08-10T03:31:17Z,2021-08-10T08:45:54Z,2021-08-10T08:45:54Z,39
1310,2021-08-07T02:29:26Z,2021-08-08T16:00:59Z,2021-08-08T16:01:00Z,89
1309,2021-08-05T15:46:29Z,2021-08-07T06:15:50Z,2021-08-07T06:15:50Z,257
1308,2021-08-04T15:07:36Z,2021-08-05T07:59:01Z,2021-08-05T07:59:01Z,398
1307,2021-08-04T07:10:20Z,2021-08-04T12:48:31Z,2021-08-04T12:48:32Z,73
1303,2021-08-01T13:42:37Z,2021-08-04T12:39:00Z,2021-08-04T12:39:00Z,170
1298,2021-07-29T09:28:07Z,2021-07-31T14:15:01Z,2021-07-31T14:15:01Z,18
1297,2021-07-29T02:29:14Z,2021-07-31T14:12:04Z,2021-07-31T14:12:04Z,61
1293,2021-07-26T08:08:30Z,,2021-11-16T02:59:25Z,35
1292,2021-07-26T07:58:08Z,2021-07-27T02:23:35Z,2021-07-27T02:23:35Z,20
1290,2021-07-24T17:50:23Z,2021-07-26T13:53:15Z,2021-07-26T13:53:15Z,132
1286,2021-07-22T06:51:29Z,2021-07-22T12:32:23Z,2021-07-22T12:32:23Z,23
1285,2021-07-22T01:32:39Z,,2021-07-22T12:31:51Z,66
1282,2021-07-19T05:27:03Z,2021-07-22T12:10:52Z,2021-07-22T12:10:52Z,88
1281,2021-07-18T05:43:04Z,2021-07-20T13:18:13Z,2021-07-20T13:18:13Z,17
1280,2021-07-16T01:47:53Z,2021-07-17T14:00:03Z,2021-07-17T14:00:04Z,4
1279,2021-07-15T15:56:25Z,2021-07-17T10:05:33Z,2021-07-17T10:05:33Z,18
1278,2021-07-15T09:19:21Z,2021-07-20T13:23:33Z,2021-07-20T13:23:33Z,25
1277,2021-07-15T09:07:41Z,2021-07-17T09:57:39Z,2021-07-17T09:57:39Z,4
