number,created_at,merged_at,closed_at,desc_len
84,2018-04-24T15:25:20Z,2018-04-24T15:26:11Z,2018-04-24T15:26:11Z,123
83,2018-04-24T15:19:52Z,2018-04-24T15:24:05Z,2018-04-24T15:24:05Z,414
82,2018-04-22T05:29:59Z,2018-04-23T09:11:37Z,2018-04-23T09:11:37Z,38
80,2018-04-18T04:09:43Z,,2018-04-30T17:58:57Z,112
79,2018-04-17T20:16:20Z,,2018-04-30T18:02:04Z,266
78,2018-04-17T17:41:36Z,,2018-05-09T22:09:40Z,414
77,2018-04-17T15:20:40Z,,2018-04-30T18:02:56Z,557
73,2018-04-12T13:22:15Z,2018-04-14T03:33:53Z,2018-04-14T03:33:53Z,22
72,2018-04-12T06:49:10Z,,2018-04-12T15:18:55Z,14
71,2018-04-11T15:32:50Z,2018-04-14T03:35:24Z,2018-04-14T03:35:24Z,106
70,2018-04-11T02:40:58Z,2018-04-14T03:32:39Z,2018-04-14T03:32:39Z,157
69,2018-04-10T22:27:00Z,2018-04-14T03:31:44Z,2018-04-14T03:31:44Z,201
68,2018-04-10T21:38:26Z,,2018-04-30T18:05:36Z,105
67,2018-04-09T01:18:57Z,,2018-04-09T08:21:18Z,60
66,2018-04-08T15:27:17Z,,2018-04-30T18:05:12Z,131
65,2018-04-07T12:57:14Z,,2018-04-09T08:22:16Z,34
64,2018-04-04T15:47:09Z,2018-04-04T18:30:07Z,2018-04-04T18:30:07Z,16
63,2018-03-30T10:44:17Z,2018-03-30T11:16:05Z,2018-03-30T11:16:05Z,171
62,2018-03-27T14:39:30Z,2018-03-27T17:28:15Z,2018-03-27T17:28:15Z,206
61,2018-03-27T09:07:03Z,2018-03-27T10:32:41Z,2018-03-27T10:32:41Z,25
60,2018-03-26T05:38:59Z,,2018-03-26T14:00:30Z,49
59,2018-03-25T23:16:02Z,2018-03-26T13:18:00Z,2018-03-26T13:18:00Z,82
57,2018-03-22T07:42:45Z,2018-03-22T10:18:51Z,2018-03-22T10:18:51Z,118
56,2018-03-17T17:46:53Z,2018-03-17T21:08:35Z,2018-03-17T21:08:35Z,58
55,2018-03-16T18:15:17Z,2018-03-17T14:49:51Z,2018-03-17T14:49:51Z,121
54,2018-03-16T12:24:15Z,2018-03-17T14:53:37Z,2018-03-17T14:53:37Z,110
53,2018-03-15T16:34:19Z,2018-03-15T16:41:40Z,2018-03-15T16:41:40Z,43
52,2018-03-12T13:22:30Z,2018-03-25T20:52:05Z,2018-03-25T20:52:05Z,317
51,2018-03-09T20:16:51Z,,2018-03-09T20:52:53Z,107
50,2018-03-09T07:27:59Z,,2018-03-09T16:36:53Z,39
49,2018-03-06T02:08:48Z,,2018-03-09T16:34:40Z,30
47,2018-03-04T09:24:01Z,,2018-03-09T16:31:49Z,51
45,2018-02-27T16:44:31Z,2018-02-27T23:51:10Z,2018-02-27T23:51:10Z,16
44,2018-02-23T17:35:33Z,2018-02-23T17:46:32Z,2018-02-23T17:46:32Z,126
42,2018-02-21T18:59:26Z,2018-02-21T21:55:12Z,2018-02-21T21:55:12Z,28
41,2018-02-18T15:03:42Z,2018-02-18T15:32:54Z,2018-02-18T15:32:54Z,32
40,2018-02-09T19:59:35Z,2018-02-09T21:47:51Z,2018-02-09T21:47:51Z,138
39,2018-02-06T17:39:51Z,2018-02-07T00:55:32Z,2018-02-07T00:55:32Z,308
38,2018-01-31T17:50:26Z,2018-01-31T22:01:54Z,2018-01-31T22:01:54Z,255
36,2018-01-23T17:18:10Z,2018-01-25T20:19:29Z,2018-01-25T20:19:29Z,36
35,2017-12-28T20:13:56Z,2017-12-28T20:25:30Z,2017-12-28T20:25:30Z,42
34,2017-12-12T18:16:10Z,2017-12-12T23:58:17Z,2017-12-12T23:58:17Z,33
32,2017-12-06T00:54:06Z,2017-12-06T17:16:28Z,2017-12-06T17:16:28Z,42
31,2017-12-05T05:19:18Z,2017-12-05T07:15:07Z,2017-12-05T07:15:07Z,58
27,2017-10-25T18:46:19Z,2017-10-25T18:55:00Z,2017-10-25T18:55:00Z,17
26,2017-10-19T16:33:46Z,2017-10-20T09:39:57Z,2017-10-20T09:39:57Z,60
25,2017-10-19T15:32:02Z,2017-10-20T09:37:45Z,2017-10-20T09:37:45Z,97
24,2017-10-14T11:43:59Z,2018-01-03T17:54:29Z,2018-01-03T17:54:29Z,27
23,2017-10-10T11:59:55Z,2017-10-10T12:01:48Z,2017-10-10T12:01:48Z,406
22,2017-10-09T17:46:41Z,2017-10-09T20:21:30Z,2017-10-09T20:21:30Z,87
20,2017-09-16T20:56:46Z,2017-09-16T21:32:47Z,2017-09-16T21:32:47Z,62
19,2017-09-05T19:35:10Z,2017-09-06T09:06:33Z,2017-09-06T09:06:33Z,437
18,2017-08-27T08:10:02Z,2017-08-27T09:40:28Z,2017-08-27T09:40:28Z,36
16,2017-07-25T12:05:33Z,2017-07-25T14:44:03Z,2017-07-25T14:44:03Z,52
12,2017-07-06T05:26:14Z,2017-07-06T11:46:26Z,2017-07-06T11:46:26Z,373
11,2017-06-30T09:26:48Z,2017-06-30T15:02:05Z,2017-06-30T15:02:05Z,27
10,2017-06-15T20:12:52Z,2017-06-15T20:58:32Z,2017-06-15T20:58:32Z,61
9,2017-06-09T22:24:36Z,2017-06-09T22:43:48Z,2017-06-09T22:43:49Z,142
7,2017-05-29T19:31:41Z,2017-05-29T19:32:39Z,2017-05-29T19:32:39Z,201
6,2017-05-26T14:28:24Z,,2017-05-26T20:02:00Z,33
5,2017-05-26T00:54:51Z,2017-05-26T09:27:46Z,2017-05-26T09:27:46Z,25
4,2017-05-25T02:30:33Z,2017-05-25T15:11:21Z,2017-05-25T15:11:21Z,21
2,2017-05-14T04:37:54Z,2017-05-16T00:35:02Z,2017-05-16T00:35:02Z,190
296,2019-01-16T04:58:29Z,,2019-04-01T20:27:34Z,98
295,2019-01-16T02:16:58Z,,2019-01-16T18:28:00Z,734
294,2019-01-15T10:38:22Z,,2019-01-15T20:47:12Z,669
293,2019-01-13T17:05:05Z,2019-01-17T23:09:14Z,2019-01-17T23:09:14Z,215
292,2019-01-12T22:06:51Z,2019-01-13T14:34:37Z,2019-01-13T14:34:37Z,670
291,2019-01-12T20:31:05Z,,2019-04-10T17:28:17Z,655
290,2019-01-11T06:34:03Z,2019-01-11T08:58:17Z,2019-01-11T08:58:17Z,586
289,2019-01-10T18:55:56Z,,2019-02-27T19:29:22Z,334
288,2019-01-10T15:21:29Z,2019-02-05T17:42:43Z,2019-02-05T17:42:43Z,826
287,2019-01-10T07:52:06Z,,2019-01-20T08:18:35Z,679
286,2019-01-09T02:53:34Z,2019-01-09T10:50:02Z,2019-01-09T10:50:02Z,684
285,2019-01-08T23:50:34Z,2019-01-09T10:47:35Z,2019-01-09T10:47:35Z,248
284,2019-01-07T21:28:41Z,,2019-01-09T16:08:53Z,379
283,2019-01-07T14:11:50Z,2019-01-07T14:22:35Z,2019-01-07T14:22:35Z,137
282,2019-01-07T14:02:27Z,2019-01-07T14:22:04Z,2019-01-07T14:22:04Z,118
281,2019-01-07T02:06:34Z,2019-01-15T20:49:38Z,2019-01-15T20:49:38Z,697
280,2019-01-06T17:00:57Z,,2019-01-09T16:09:43Z,312
279,2019-01-06T12:40:59Z,2019-01-06T12:57:22Z,2019-01-06T12:57:22Z,87
278,2019-01-06T10:27:46Z,,2019-01-07T12:41:18Z,175
277,2019-01-02T19:46:46Z,,2019-01-09T21:11:13Z,402
276,2019-01-01T23:25:32Z,2019-01-02T09:11:05Z,2019-01-02T09:11:05Z,301
275,2018-12-31T09:47:50Z,,2019-01-09T21:07:25Z,105
274,2018-12-30T16:02:08Z,,2018-12-30T17:37:09Z,712
273,2018-12-30T15:09:39Z,,2018-12-30T15:59:30Z,123
272,2018-12-30T11:36:09Z,,2019-01-09T21:04:11Z,88
271,2018-12-29T03:43:25Z,,2019-01-05T20:31:05Z,819
270,2018-12-25T20:55:26Z,2018-12-26T18:26:26Z,2018-12-26T18:26:26Z,30
269,2018-12-24T13:34:33Z,2018-12-24T13:42:01Z,2018-12-24T13:42:01Z,243
268,2018-12-24T09:13:58Z,,2019-01-05T20:30:18Z,674
267,2018-12-23T22:34:22Z,2018-12-24T09:17:22Z,2018-12-24T09:17:22Z,307
266,2018-12-22T18:50:39Z,,2019-10-19T08:39:32Z,669
265,2018-12-21T03:05:54Z,,2019-01-02T14:22:27Z,667
264,2018-12-20T13:03:23Z,2018-12-20T16:03:27Z,2018-12-20T16:03:27Z,240
263,2018-12-19T20:05:26Z,2018-12-24T13:50:05Z,2018-12-24T13:50:05Z,237
262,2018-12-19T13:03:51Z,2018-12-24T13:52:00Z,2018-12-24T13:52:00Z,502
261,2018-12-19T00:38:50Z,2018-12-24T15:17:51Z,2018-12-24T15:17:51Z,811
260,2018-12-18T11:48:22Z,,2018-12-18T13:47:32Z,187
259,2018-12-18T01:48:14Z,,2018-12-18T17:27:02Z,774
258,2018-12-17T22:25:06Z,,2019-02-11T11:40:57Z,78
