number,created_at,merged_at,closed_at,desc_len
7332,2023-10-29T21:58:40Z,2023-10-29T23:15:07Z,2023-10-29T23:15:07Z,126
7330,2023-10-29T17:31:19Z,2023-10-29T21:54:42Z,2023-10-29T21:54:42Z,76
7327,2023-10-28T17:12:36Z,2023-10-29T12:18:33Z,2023-10-29T12:18:33Z,42
7324,2023-10-26T17:20:22Z,2023-10-27T00:30:22Z,2023-10-27T00:30:22Z,121
7323,2023-10-26T00:05:36Z,,2023-10-26T00:06:46Z,244
7322,2023-10-26T00:00:09Z,2023-10-29T00:53:32Z,2023-10-29T00:53:32Z,308
7321,2023-10-25T23:54:10Z,,2023-10-26T00:04:20Z,272
7319,2023-10-25T17:40:41Z,2023-10-25T23:20:58Z,2023-10-25T23:20:58Z,9
7314,2023-10-24T14:55:04Z,2023-10-27T17:35:11Z,2023-10-27T17:35:11Z,167
7310,2023-10-22T15:35:29Z,2023-10-22T20:18:16Z,2023-10-22T20:18:16Z,58
7307,2023-10-20T09:35:54Z,2023-10-20T10:11:26Z,2023-10-20T10:11:26Z,22
7301,2023-10-18T10:02:55Z,,2023-10-18T10:18:49Z,133
7300,2023-10-17T23:44:48Z,2023-10-25T00:04:32Z,2023-10-25T00:04:32Z,158
7297,2023-10-15T18:53:36Z,,2023-10-20T10:18:55Z,301
7296,2023-10-15T00:47:26Z,2023-10-15T01:37:58Z,2023-10-15T01:37:58Z,130
7281,2023-10-09T06:38:32Z,2023-10-09T13:32:51Z,2023-10-09T13:32:51Z,680
7277,2023-10-08T15:12:07Z,2023-10-10T23:23:19Z,2023-10-10T23:23:19Z,226
7271,2023-10-08T04:04:26Z,2023-10-08T04:26:05Z,2023-10-08T04:26:05Z,134
7266,2023-10-03T03:07:52Z,,2023-10-03T03:21:20Z,82
7264,2023-10-03T00:00:51Z,2023-10-08T14:57:46Z,2023-10-08T14:57:46Z,378
7262,2023-10-02T19:21:20Z,2023-10-02T20:25:55Z,2023-10-02T20:25:55Z,24
7246,2023-09-28T01:12:37Z,2023-09-28T08:59:48Z,2023-09-28T08:59:48Z,389
7245,2023-09-28T00:58:58Z,2023-09-29T10:22:36Z,2023-09-29T10:22:36Z,162
7243,2023-09-27T18:33:14Z,,2023-09-27T19:11:56Z,265
7240,2023-09-26T11:24:29Z,2023-09-26T16:48:20Z,2023-09-26T16:48:20Z,18
7234,2023-09-22T16:58:16Z,,2023-10-03T00:01:17Z,87
