number,created_at,merged_at,closed_at,desc_len
218,2014-05-19T05:37:55Z,2014-06-17T19:36:01Z,2014-06-17T19:36:01Z,513
217,2014-05-15T22:53:22Z,2014-06-03T01:16:32Z,2014-06-03T01:16:32Z,310
211,2014-05-05T14:50:40Z,,2014-07-06T20:52:25Z,66
210,2014-05-01T13:56:19Z,,2014-05-01T19:20:33Z,14
202,2014-04-11T18:50:34Z,,2014-04-11T18:54:30Z,76
200,2014-04-10T19:35:10Z,,2014-04-10T22:41:48Z,765
197,2014-04-06T19:00:52Z,2014-04-06T21:00:02Z,2014-04-06T21:00:02Z,47
194,2014-04-05T17:39:52Z,,2014-04-05T18:02:59Z,44
189,2014-03-29T13:04:05Z,2014-04-04T01:42:10Z,2014-04-04T01:42:10Z,25
187,2014-03-25T21:53:36Z,2014-04-25T21:40:16Z,2014-04-25T21:40:16Z,105
185,2014-03-21T14:14:51Z,2014-03-21T17:24:16Z,2014-03-21T17:24:16Z,96
183,2014-03-18T22:59:09Z,,2014-03-28T20:31:39Z,67
181,2014-03-17T20:42:03Z,2014-03-19T16:35:43Z,2014-03-19T16:35:43Z,427
180,2014-03-16T12:22:50Z,,2014-03-16T13:07:00Z,31
177,2014-03-09T21:03:18Z,,2014-03-11T17:18:35Z,68
173,2014-03-07T17:49:07Z,2014-03-07T17:51:12Z,2014-03-07T17:51:12Z,251
166,2014-02-25T14:27:31Z,,2014-02-25T15:40:37Z,127
165,2014-02-23T23:07:11Z,2014-03-07T16:32:33Z,2014-03-07T16:32:33Z,514
164,2014-02-23T20:44:31Z,,2014-02-23T21:48:39Z,140
163,2014-02-23T19:42:28Z,2014-02-23T19:48:07Z,2014-02-23T19:48:07Z,319
155,2014-02-14T22:10:42Z,2014-02-15T04:17:06Z,2014-02-15T04:17:06Z,110
154,2014-02-14T00:13:19Z,2014-02-14T20:44:41Z,2014-02-14T20:44:41Z,271
152,2014-02-09T08:19:58Z,,2014-02-09T09:37:57Z,54
151,2014-02-08T14:08:26Z,2014-02-09T17:22:47Z,2014-02-09T17:22:47Z,276
150,2014-02-07T16:24:41Z,,2014-02-11T15:54:15Z,125
148,2014-02-04T07:51:32Z,2014-02-04T09:43:19Z,2014-02-04T09:43:19Z,51
147,2014-02-03T05:52:26Z,,2014-02-03T08:58:33Z,6
141,2013-12-25T16:54:05Z,2014-01-31T14:45:20Z,2014-01-31T14:45:20Z,130
140,2013-12-24T21:10:41Z,,2013-12-26T23:05:54Z,72
136,2013-12-09T15:43:02Z,,2014-01-31T14:47:27Z,534
135,2013-12-09T06:15:48Z,,2014-01-31T14:49:52Z,715
134,2013-12-07T13:47:39Z,,2014-01-31T14:52:24Z,766
133,2013-12-05T08:29:32Z,2013-12-06T20:32:54Z,2013-12-06T20:32:54Z,116
132,2013-12-05T04:40:35Z,,2014-01-15T01:24:07Z,684
131,2013-12-04T05:28:58Z,,2014-01-31T14:50:46Z,1165
130,2013-12-03T21:18:27Z,,2013-12-06T20:37:35Z,89
128,2013-12-02T17:52:23Z,,2014-01-31T14:53:56Z,200
125,2013-11-28T22:38:16Z,2013-11-29T04:07:13Z,2013-11-29T04:07:13Z,365
124,2013-11-28T12:44:10Z,,2014-01-31T14:53:14Z,40
123,2013-11-28T00:08:00Z,,2014-01-31T14:56:19Z,166
120,2013-11-25T04:02:37Z,2013-11-26T02:54:40Z,2013-11-26T02:54:40Z,41
116,2013-11-15T04:45:37Z,,2014-01-31T14:48:58Z,305
115,2013-11-11T23:41:11Z,2013-11-23T21:49:50Z,2013-11-23T21:49:50Z,680
112,2013-10-31T18:20:00Z,,2013-11-19T23:46:31Z,255
108,2013-10-08T09:08:50Z,,2013-11-19T23:47:55Z,252
107,2013-09-28T19:18:02Z,,2013-10-01T16:44:25Z,440
104,2013-09-12T19:25:37Z,,2014-01-31T14:58:00Z,259
103,2013-09-11T18:20:29Z,2013-09-11T21:57:18Z,2013-09-11T21:57:18Z,243
98,2013-08-16T02:51:32Z,,2013-08-16T02:52:40Z,32
95,2013-08-15T11:19:13Z,2013-08-15T21:11:43Z,2013-08-15T21:11:43Z,139
94,2013-08-14T14:05:50Z,,2013-08-15T21:12:25Z,69
92,2013-08-02T20:04:45Z,,2014-01-31T14:41:34Z,340
91,2013-07-30T11:09:32Z,,2013-07-31T08:45:17Z,344
88,2013-07-20T11:02:51Z,2013-07-20T18:51:32Z,2013-07-20T18:51:32Z,127
87,2013-07-19T18:58:47Z,2013-07-20T18:51:46Z,2013-07-20T18:51:46Z,74
81,2013-06-22T02:39:50Z,,2013-07-20T18:52:37Z,113
68,2013-03-14T18:13:50Z,,2013-04-14T13:35:31Z,114
62,2013-01-23T12:54:59Z,,2013-11-19T23:50:52Z,346
52,2012-10-21T19:13:42Z,2012-10-23T11:54:27Z,2012-10-23T11:54:27Z,158
51,2012-09-14T18:28:33Z,2012-10-02T16:57:12Z,2012-10-02T16:57:12Z,113
49,2012-09-13T18:24:03Z,2012-10-02T16:53:54Z,2012-10-02T16:53:54Z,92
46,2012-09-11T05:14:28Z,,2013-08-16T15:43:19Z,63
40,2012-07-21T17:02:00Z,2012-10-02T17:25:13Z,2012-10-02T17:25:13Z,141
38,2012-07-20T06:59:08Z,2012-07-20T12:01:39Z,2012-07-20T12:01:39Z,156
34,2012-07-01T06:21:05Z,,2012-10-02T16:55:50Z,14
29,2012-05-19T11:15:03Z,2012-05-19T13:40:28Z,2012-05-19T13:40:28Z,282
28,2012-05-18T22:46:04Z,2012-05-19T02:06:54Z,2012-05-19T02:06:54Z,104
14,2011-10-20T19:01:32Z,2011-10-20T19:26:13Z,2011-10-20T19:26:13Z,48
13,2011-10-20T18:03:01Z,2011-10-20T18:17:25Z,2011-10-20T18:17:25Z,39
9,2011-10-17T16:45:37Z,2011-10-17T18:44:47Z,2011-10-17T18:44:47Z,296
8,2011-10-14T16:10:49Z,2011-10-14T17:35:07Z,2011-10-14T17:35:07Z,255
1696,2023-10-17T06:08:09Z,,2023-10-17T06:08:50Z,11
1683,2023-07-16T06:50:34Z,,2023-08-02T08:33:25Z,156
1676,2023-06-10T17:14:02Z,,2023-06-21T12:45:36Z,317
1668,2023-03-30T00:05:09Z,,2023-04-05T11:27:20Z,12
1655,2023-02-13T19:57:32Z,,2023-02-27T19:57:09Z,23967
1652,2023-02-07T19:00:55Z,,2023-02-13T19:58:01Z,7288
1651,2023-01-30T19:01:38Z,,2023-02-13T19:57:38Z,24691
1646,2023-01-24T19:01:16Z,,2023-01-30T19:01:28Z,7766
1645,2023-01-23T10:19:03Z,,2023-01-23T11:13:24Z,7
1642,2023-01-16T19:01:15Z,,2023-01-30T19:01:44Z,25616
1640,2023-01-02T19:00:42Z,,2023-01-16T19:01:21Z,26553
1638,2022-12-19T19:01:10Z,,2023-01-02T19:00:46Z,26166
1637,2022-12-09T14:41:33Z,,2022-12-28T16:05:34Z,79
1635,2022-12-05T19:01:08Z,,2023-02-07T19:01:02Z,7205
1634,2022-12-05T19:00:49Z,,2022-12-19T19:01:16Z,27290
1633,2022-12-02T19:00:58Z,,2022-12-08T19:01:37Z,6027
1626,2022-11-25T19:00:52Z,,2022-12-05T19:01:12Z,7360
1624,2022-11-21T19:01:52Z,,2022-12-05T19:00:54Z,28056
1623,2022-11-19T08:50:19Z,,2022-11-22T11:49:24Z,26
1622,2022-11-14T19:00:59Z,,2023-01-24T19:01:21Z,6564
1621,2022-11-08T19:02:43Z,,2023-01-03T19:01:28Z,7098
1619,2022-11-08T19:02:04Z,,2022-11-21T19:01:57Z,27348
1612,2022-10-28T19:02:27Z,,2023-02-16T19:57:33Z,7181
1610,2022-10-24T19:04:08Z,,2022-11-08T19:02:09Z,27174
1609,2022-10-10T19:03:00Z,,2022-10-24T19:04:13Z,25415
1605,2022-09-26T19:06:58Z,,2022-10-10T19:03:06Z,25047
1603,2022-09-21T19:05:57Z,,2022-10-28T19:02:09Z,5602
1601,2022-09-15T19:07:06Z,,2022-11-14T19:01:04Z,6559
1600,2022-09-14T19:02:50Z,,2022-09-21T19:06:01Z,5180
1599,2022-09-13T19:02:59Z,,2022-09-14T19:02:54Z,4909
1598,2022-09-12T19:02:42Z,,2022-09-26T19:07:03Z,24942
1597,2022-09-12T19:02:26Z,,2022-09-13T19:03:03Z,4690
1596,2022-09-07T19:02:11Z,,2022-09-15T19:07:10Z,6782
1593,2022-08-31T19:02:25Z,,2022-12-02T19:01:03Z,5374
1592,2022-08-29T19:02:36Z,,2022-09-12T19:02:46Z,24366
1590,2022-08-22T10:29:18Z,,2022-08-25T15:59:54Z,159
1588,2022-08-16T19:02:32Z,,2022-09-07T19:02:15Z,6803
1587,2022-08-15T19:03:08Z,,2022-08-29T19:02:40Z,24002
1585,2022-08-12T19:02:23Z,,2022-10-28T19:02:31Z,4935
1582,2022-08-01T19:05:51Z,,2022-08-15T19:03:12Z,25639
1580,2022-07-31T04:07:22Z,,2022-08-01T18:30:50Z,54
1579,2022-07-31T03:58:58Z,,2022-08-01T18:29:16Z,54
1578,2022-07-31T02:46:20Z,,2022-07-31T03:54:01Z,57
1577,2022-07-29T19:02:49Z,,2022-09-12T19:02:30Z,3480
1576,2022-07-29T19:02:37Z,,2022-08-31T19:02:28Z,5116
1574,2022-07-29T19:02:23Z,,2022-11-08T19:02:47Z,6775
1573,2022-07-29T08:34:29Z,2022-07-29T14:39:12Z,2022-07-29T14:39:12Z,5115
1571,2022-07-18T19:03:36Z,,2022-08-01T19:05:55Z,26774
1569,2022-07-04T19:02:15Z,,2022-07-18T19:03:40Z,27274
1566,2022-06-30T19:02:40Z,,2022-11-30T19:00:53Z,6301
1564,2022-06-27T19:04:21Z,,2022-11-25T19:00:56Z,7226
1563,2022-06-23T19:02:31Z,,2022-08-16T19:02:35Z,6437
1562,2022-06-23T04:51:01Z,2022-07-29T08:33:29Z,2022-07-29T08:33:29Z,3666
1561,2022-06-20T19:04:13Z,,2022-08-12T19:02:27Z,7015
1560,2022-06-20T19:03:59Z,,2022-07-04T19:02:19Z,25494
1559,2022-06-16T19:02:31Z,,2022-06-27T19:04:26Z,6965
1558,2022-06-16T19:02:10Z,2022-07-29T14:39:54Z,2022-07-29T14:39:54Z,6314
1556,2022-06-14T19:02:03Z,,2022-06-16T19:02:14Z,7576
1555,2022-06-08T19:02:27Z,,2022-06-16T19:02:35Z,7321
1554,2022-06-06T19:06:37Z,,2022-06-20T19:04:04Z,26148
1553,2022-06-06T19:06:19Z,,2022-06-20T19:04:18Z,6719
1551,2022-06-03T19:02:57Z,,2022-06-23T19:02:36Z,6545
1550,2022-06-01T19:03:19Z,,2022-06-08T19:02:30Z,6777
1549,2022-05-31T19:02:49Z,,2022-06-03T19:03:01Z,6736
1548,2022-05-31T19:02:26Z,,2022-06-01T19:03:25Z,7153
1547,2022-05-30T19:03:01Z,,2022-05-31T19:02:30Z,6832
1546,2022-05-30T19:02:33Z,,2022-06-06T19:06:23Z,6487
1543,2022-05-24T19:02:40Z,,2022-05-30T19:03:05Z,6731
1542,2022-05-23T19:02:38Z,,2022-05-30T19:02:37Z,6115
1541,2022-05-23T19:02:04Z,,2022-06-06T19:06:41Z,26767
1540,2022-05-19T19:02:33Z,,2022-05-31T19:02:52Z,6574
1539,2022-05-19T11:12:53Z,,2023-04-29T08:11:17Z,22
1538,2022-05-18T19:02:32Z,2022-07-29T14:42:47Z,2022-07-29T14:42:48Z,6816
1537,2022-05-17T19:02:23Z,,2022-05-23T19:02:41Z,6012
1536,2022-05-10T22:03:30Z,,2022-05-11T15:14:02Z,12
1535,2022-05-09T19:01:56Z,,2022-05-23T19:02:08Z,23687
1534,2022-05-05T11:59:27Z,,2022-05-05T12:02:04Z,17
1533,2022-05-03T19:01:58Z,,2022-05-19T19:02:36Z,6493
1530,2022-05-02T19:02:38Z,,2022-05-18T19:02:36Z,6548
1529,2022-05-02T19:02:24Z,2022-07-29T14:40:51Z,2022-07-29T14:40:51Z,5198
1525,2022-04-26T19:02:50Z,,2022-05-03T19:02:02Z,6694
1524,2022-04-26T19:02:24Z,,2022-05-24T19:02:43Z,6835
1523,2022-04-25T19:02:23Z,,2022-05-09T19:02:00Z,22542
1522,2022-04-25T19:01:57Z,,2022-05-02T19:02:27Z,4995
1521,2022-04-20T19:02:28Z,,2022-04-26T19:02:28Z,6920
1520,2022-04-15T19:02:48Z,,2022-04-20T19:02:31Z,6961
1519,2022-04-11T19:02:53Z,,2022-04-25T19:02:27Z,23020
1518,2022-04-04T19:02:02Z,,2022-06-14T19:02:07Z,7365
1517,2022-04-01T19:01:38Z,,2022-05-17T19:02:27Z,5821
1515,2022-03-28T19:02:27Z,,2022-04-11T19:02:57Z,25021
1513,2022-03-25T19:06:04Z,,2022-04-04T19:02:06Z,7346
1512,2022-03-21T19:02:12Z,,2022-04-26T19:02:54Z,6259
1511,2022-03-21T19:01:52Z,,2022-04-01T19:01:42Z,5716
1509,2022-03-18T17:45:34Z,2022-04-19T11:17:09Z,2022-04-19T11:17:09Z,158
1508,2022-03-18T16:18:23Z,2022-04-21T08:51:18Z,2022-04-21T08:51:18Z,145
1506,2022-03-17T19:02:39Z,,2022-04-15T19:02:51Z,6803
1505,2022-03-16T19:03:30Z,,2022-04-25T19:02:02Z,4207
1504,2022-03-16T19:03:13Z,,2022-05-02T19:02:41Z,6120
1503,2022-03-16T19:03:03Z,,2022-03-17T19:02:43Z,6698
1502,2022-03-16T19:02:48Z,,2022-03-25T19:06:08Z,5387
1369,2021-09-28T19:01:49Z,,2021-11-05T19:02:16Z,5214
1368,2021-09-27T19:02:21Z,2021-09-29T08:10:39Z,2021-09-29T08:10:39Z,3350
1367,2021-09-27T09:34:58Z,,2021-10-05T19:02:26Z,4800
1366,2021-09-24T19:02:25Z,,2021-09-28T19:01:51Z,5378
1363,2021-09-22T19:03:10Z,2021-09-27T09:32:58Z,2021-09-27T09:32:58Z,3210
