number,created_at,merged_at,closed_at,desc_len
3282,2023-09-24T12:57:04Z,,2023-10-23T15:31:43Z,67
3280,2023-09-24T12:32:14Z,,2023-10-22T16:08:27Z,794
3279,2023-09-24T09:36:47Z,,2023-10-22T16:08:39Z,1212
3278,2023-09-24T06:39:43Z,,2023-10-22T16:11:13Z,2234
3277,2023-09-24T06:05:33Z,,2023-10-15T08:15:47Z,363
3276,2023-09-24T06:03:29Z,,2023-10-15T08:15:13Z,357
3275,2023-09-24T05:58:32Z,,2023-10-15T08:15:32Z,344
3274,2023-09-23T16:39:58Z,2023-10-12T08:40:05Z,2023-10-12T08:40:05Z,257
3273,2023-09-22T16:15:21Z,2023-10-13T09:16:14Z,2023-10-13T09:16:14Z,372
3272,2023-09-22T15:35:18Z,2023-09-22T15:43:59Z,2023-09-22T15:43:59Z,151
3270,2023-09-21T18:15:51Z,2023-09-21T18:23:59Z,2023-09-21T18:23:59Z,28
3269,2023-09-21T18:12:26Z,2023-09-21T18:24:29Z,2023-09-21T18:24:29Z,54
3266,2023-09-21T12:02:08Z,,2023-09-21T12:02:17Z,8
3265,2023-09-21T05:20:19Z,,2023-09-21T17:22:51Z,20
3262,2023-09-20T12:00:40Z,2023-10-12T14:54:15Z,2023-10-12T14:54:15Z,109
3261,2023-09-20T11:52:44Z,2023-10-13T19:21:13Z,2023-10-13T19:21:13Z,73
3260,2023-09-20T11:37:00Z,2023-09-20T13:29:45Z,2023-09-20T13:29:45Z,48
3257,2023-09-19T09:35:53Z,2023-09-19T09:41:10Z,2023-09-19T09:41:10Z,101
3256,2023-09-19T09:18:59Z,2023-09-19T09:40:38Z,2023-09-19T09:40:38Z,103
3255,2023-09-19T09:08:46Z,2023-09-21T18:30:24Z,2023-09-21T18:30:24Z,394
3251,2023-09-18T18:48:40Z,2023-09-19T00:08:14Z,2023-09-19T00:08:14Z,5525
3250,2023-09-18T18:48:26Z,2023-09-19T00:07:39Z,2023-09-19T00:07:39Z,6644
3249,2023-09-18T18:48:10Z,2023-09-19T00:04:38Z,2023-09-19T00:04:38Z,6518
3248,2023-09-18T18:19:47Z,2023-09-18T18:30:06Z,2023-09-18T18:30:06Z,4479
3247,2023-09-18T18:19:46Z,2023-09-18T18:29:31Z,2023-09-18T18:29:31Z,3697
3246,2023-09-18T18:19:38Z,2023-09-18T18:28:56Z,2023-09-18T18:28:56Z,10221
3245,2023-09-18T18:19:36Z,2023-09-18T18:28:10Z,2023-09-18T18:28:10Z,4644
3242,2023-09-17T13:17:22Z,2023-09-19T09:54:27Z,2023-09-19T09:54:27Z,147
3241,2023-09-17T00:20:01Z,,2023-10-22T16:14:37Z,139
3240,2023-09-17T00:14:54Z,,2023-09-17T00:15:56Z,125
3239,2023-09-16T22:59:42Z,,2023-09-16T23:06:00Z,115
3238,2023-09-16T15:12:32Z,2023-09-17T09:14:41Z,2023-09-17T09:14:41Z,81
3234,2023-09-15T11:12:32Z,2023-09-17T13:55:27Z,2023-09-17T13:55:27Z,103
3233,2023-09-15T11:01:58Z,2023-10-12T14:52:32Z,2023-10-12T14:52:32Z,77
3232,2023-09-15T10:55:46Z,2023-10-15T08:03:19Z,2023-10-15T08:03:19Z,85
3229,2023-09-14T15:39:24Z,,2023-09-15T06:04:46Z,23
3228,2023-09-14T08:57:12Z,2023-09-14T09:33:21Z,2023-09-14T09:33:21Z,43
3227,2023-09-14T08:41:20Z,2023-09-14T08:47:01Z,2023-09-14T08:47:01Z,464
3224,2023-09-11T18:49:11Z,2023-09-11T19:03:52Z,2023-09-11T19:03:52Z,3217
3223,2023-09-11T18:48:46Z,2023-09-11T19:02:04Z,2023-09-11T19:02:04Z,4878
3222,2023-09-11T18:48:26Z,2023-09-11T19:01:19Z,2023-09-11T19:01:19Z,2675
3221,2023-09-11T18:48:07Z,2023-09-11T19:00:41Z,2023-09-11T19:00:41Z,12046
3220,2023-09-11T18:39:11Z,2023-09-11T18:58:50Z,2023-09-11T18:58:50Z,3593
3219,2023-09-11T18:39:09Z,2023-09-11T18:59:18Z,2023-09-11T18:59:18Z,4293
3218,2023-09-11T18:39:09Z,2023-09-11T18:58:23Z,2023-09-11T18:58:23Z,3710
3216,2023-09-10T13:30:05Z,2023-09-12T08:07:21Z,2023-09-12T08:07:21Z,47
3215,2023-09-10T08:39:50Z,2023-09-16T09:21:58Z,2023-09-16T09:21:58Z,135
3214,2023-09-09T14:29:55Z,2023-09-11T20:08:22Z,2023-09-11T20:08:22Z,71
3213,2023-09-08T09:50:37Z,2023-09-11T19:57:08Z,2023-09-11T19:57:08Z,64
3211,2023-09-07T15:55:54Z,2023-09-12T07:24:07Z,2023-09-12T07:24:07Z,67
3208,2023-09-05T09:23:22Z,2023-10-13T19:14:06Z,2023-10-13T19:14:06Z,73
3205,2023-09-04T18:53:18Z,2023-09-04T18:55:47Z,2023-09-04T18:55:47Z,7871
3204,2023-09-04T18:28:48Z,2023-09-04T18:46:09Z,2023-09-04T18:46:09Z,4477
3203,2023-09-04T18:28:44Z,2023-09-04T18:45:38Z,2023-09-04T18:45:38Z,4648
3202,2023-09-04T18:28:44Z,2023-09-04T18:48:33Z,2023-09-04T18:48:33Z,8170
3201,2023-09-04T07:53:18Z,2023-09-06T06:04:08Z,2023-09-06T06:04:08Z,80
3200,2023-09-04T07:49:21Z,2023-09-12T07:31:11Z,2023-09-12T07:31:11Z,50
3195,2023-09-03T03:16:40Z,2023-09-14T11:25:52Z,2023-09-14T11:25:52Z,72
3194,2023-09-03T03:12:07Z,2023-09-03T09:18:15Z,2023-09-03T09:18:15Z,64
3191,2023-09-02T04:14:30Z,2023-09-11T08:47:56Z,2023-09-11T08:47:56Z,155
3190,2023-09-02T03:46:06Z,2023-09-04T08:11:28Z,2023-09-04T08:11:28Z,194
3189,2023-09-02T03:35:58Z,2023-09-03T09:20:27Z,2023-09-03T09:20:27Z,65
3188,2023-09-01T05:57:57Z,2023-09-01T06:36:23Z,2023-09-01T06:36:23Z,27
3186,2023-09-01T00:39:00Z,2023-09-12T08:54:58Z,2023-09-12T08:54:58Z,252
3185,2023-09-01T00:28:01Z,2023-09-03T09:20:01Z,2023-09-03T09:20:01Z,66
3181,2023-08-31T06:14:42Z,2023-08-31T07:39:12Z,2023-08-31T07:39:12Z,63
3180,2023-08-31T03:18:57Z,2023-09-03T09:24:48Z,2023-09-03T09:24:48Z,159
3179,2023-08-31T03:12:54Z,2023-09-03T09:24:12Z,2023-09-03T09:24:12Z,179
3178,2023-08-31T02:43:30Z,2023-09-03T09:22:31Z,2023-09-03T09:22:31Z,65
3176,2023-08-30T02:02:43Z,2023-08-30T05:34:54Z,2023-08-30T05:34:54Z,42
3175,2023-08-30T01:46:00Z,2023-09-03T09:25:37Z,2023-09-03T09:25:37Z,147
3174,2023-08-30T01:45:19Z,2023-08-30T05:35:58Z,2023-08-30T05:35:58Z,49
3173,2023-08-30T01:45:08Z,2023-08-30T05:37:23Z,2023-08-30T05:37:23Z,44
3172,2023-08-29T04:33:48Z,2023-08-29T05:42:18Z,2023-08-29T05:42:18Z,34
3171,2023-08-29T04:33:34Z,2023-08-29T05:41:40Z,2023-08-29T05:41:40Z,29
3170,2023-08-29T04:33:19Z,2023-08-29T05:41:09Z,2023-08-29T05:41:09Z,76
3169,2023-08-28T18:58:17Z,2023-08-28T19:02:36Z,2023-08-28T19:02:36Z,4810
3168,2023-08-28T18:58:04Z,2023-08-28T19:03:30Z,2023-08-28T19:03:30Z,4733
3167,2023-08-28T18:57:54Z,2023-08-28T19:06:46Z,2023-08-28T19:06:46Z,4936
3166,2023-08-28T18:57:45Z,2023-08-28T19:07:56Z,2023-08-28T19:07:56Z,9919
3165,2023-08-28T18:57:37Z,2023-08-28T19:08:48Z,2023-08-28T19:08:48Z,11608
3164,2023-08-28T18:54:40Z,2023-08-28T19:00:55Z,2023-08-28T19:00:55Z,3042
3163,2023-08-28T18:54:36Z,2023-08-28T18:59:59Z,2023-08-28T18:59:59Z,8357
3162,2023-08-28T18:54:30Z,2023-08-28T18:57:31Z,2023-08-28T18:57:31Z,3457
3161,2023-08-28T18:54:26Z,2023-08-28T18:57:03Z,2023-08-28T18:57:03Z,4373
3160,2023-08-28T06:23:52Z,,2023-08-28T07:10:37Z,46
3157,2023-08-27T23:49:33Z,2023-08-28T07:12:51Z,2023-08-28T07:12:51Z,31
3156,2023-08-27T23:49:19Z,2023-08-28T07:16:31Z,2023-08-28T07:16:31Z,99
