number,created_at,merged_at,closed_at,desc_len
15244,2021-06-26T01:29:01Z,2021-06-26T01:43:11Z,2021-06-26T01:43:11Z,1216
15243,2021-06-25T17:20:58Z,2021-07-02T08:42:35Z,2021-07-02T08:42:35Z,1358
15241,2021-06-25T09:20:06Z,,2022-07-27T11:06:26Z,1048
15218,2021-06-23T10:19:07Z,2021-06-23T11:49:40Z,2021-06-23T11:49:40Z,283
15211,2021-06-22T16:23:28Z,,2021-08-23T09:17:22Z,2650
15208,2021-06-22T05:14:50Z,2021-06-25T05:12:11Z,2021-06-25T05:12:11Z,7958
15207,2021-06-22T05:14:37Z,2021-07-02T13:11:46Z,2021-07-02T13:11:46Z,1335
15199,2021-06-21T04:11:52Z,2021-06-21T08:03:28Z,2021-06-21T08:03:28Z,2102
15194,2021-06-19T13:53:40Z,2021-07-16T12:45:41Z,2021-07-16T12:45:41Z,1010
15182,2021-06-18T08:32:14Z,2021-07-07T02:51:59Z,2021-07-07T02:51:59Z,1991
15172,2021-06-17T08:01:02Z,2021-06-22T15:07:06Z,2021-06-22T15:07:06Z,1354
15145,2021-06-14T07:24:03Z,2021-06-14T08:34:47Z,2021-06-14T08:34:47Z,1234
15144,2021-06-14T06:48:28Z,2021-06-14T08:35:54Z,2021-06-14T08:35:55Z,1178
15141,2021-06-12T14:00:24Z,2021-06-15T04:06:19Z,2021-06-15T04:06:19Z,1288
15132,2021-06-11T04:13:35Z,2021-06-11T07:10:32Z,2021-06-11T07:10:32Z,1097
15125,2021-06-10T09:18:07Z,2021-06-10T09:24:01Z,2021-06-10T09:24:01Z,21
15101,2021-06-07T16:47:22Z,,2021-06-08T03:36:54Z,1886
15095,2021-06-07T08:01:08Z,2021-06-25T04:23:54Z,2021-06-25T04:23:55Z,1337
15088,2021-06-05T14:49:18Z,2021-06-17T02:50:36Z,2021-06-17T02:50:37Z,1417
15084,2021-06-04T06:05:49Z,2021-06-04T06:10:51Z,2021-06-04T06:10:51Z,14
15072,2021-06-02T10:16:12Z,2021-06-03T10:20:34Z,2021-06-03T10:20:34Z,1409
15067,2021-06-01T11:02:25Z,2021-06-01T11:07:22Z,2021-06-01T11:07:22Z,24
15054,2021-05-30T14:26:53Z,,2021-05-30T14:27:11Z,1107
15031,2021-05-25T11:44:46Z,2021-05-26T02:58:56Z,2021-05-26T02:58:56Z,1314
