number,created_at,merged_at,closed_at,desc_len
94,2015-07-30T16:33:05Z,2015-08-03T02:45:36Z,2015-08-03T02:45:36Z,213
93,2015-07-09T19:49:53Z,2015-07-11T04:18:12Z,2015-07-11T04:18:12Z,23
92,2015-07-05T13:26:08Z,2015-07-09T07:54:31Z,2015-07-09T07:54:31Z,53
91,2015-07-04T01:00:02Z,,2015-07-14T09:48:02Z,43
90,2015-07-03T23:30:02Z,2015-07-09T07:55:31Z,2015-07-09T07:55:31Z,73
89,2015-06-20T13:50:26Z,2015-06-21T06:52:04Z,2015-06-21T06:52:04Z,171
88,2015-06-11T20:53:55Z,2015-06-13T18:27:38Z,2015-06-13T18:27:38Z,50
87,2015-06-07T18:19:16Z,2015-06-13T18:26:54Z,2015-06-13T18:26:54Z,138
86,2015-05-28T16:10:30Z,2015-05-30T07:28:14Z,2015-05-30T07:28:14Z,553
85,2015-05-20T22:14:32Z,2015-05-21T08:46:46Z,2015-05-21T08:46:46Z,8
84,2015-05-19T22:29:40Z,2015-05-20T17:08:48Z,2015-05-20T17:08:48Z,169
83,2015-05-19T07:44:18Z,2015-05-19T13:51:23Z,2015-05-19T13:51:23Z,43
82,2015-04-29T20:10:03Z,2015-04-30T02:34:46Z,2015-04-30T02:34:46Z,107
81,2015-04-27T17:25:06Z,2015-04-28T01:49:22Z,2015-04-28T01:49:22Z,149
79,2015-04-26T19:15:48Z,2015-04-28T01:43:47Z,2015-04-28T01:43:47Z,66
78,2015-04-24T14:33:31Z,2015-04-28T01:50:27Z,2015-04-28T01:50:27Z,16
77,2015-04-23T17:24:49Z,2015-04-24T02:22:19Z,2015-04-24T02:22:19Z,122
76,2015-04-23T14:09:27Z,,2015-10-13T10:39:41Z,287
75,2015-04-23T05:27:26Z,2015-04-23T09:48:07Z,2015-04-23T09:48:07Z,8
74,2015-04-22T16:25:06Z,2015-04-23T02:10:46Z,2015-04-23T02:10:46Z,89
72,2015-04-22T14:03:37Z,2015-04-22T15:56:49Z,2015-04-22T15:56:49Z,152
71,2015-04-21T19:08:44Z,2015-04-22T15:54:07Z,2015-04-22T15:54:07Z,54
70,2015-04-21T18:04:07Z,2015-04-22T15:27:16Z,2015-04-22T15:27:16Z,37
69,2015-04-21T15:34:08Z,2015-04-22T15:28:05Z,2015-04-22T15:28:05Z,59
68,2015-04-21T12:53:43Z,2015-04-22T15:25:45Z,2015-04-22T15:25:45Z,37
67,2015-04-21T06:56:08Z,2015-04-21T12:46:38Z,2015-04-21T12:46:38Z,37
66,2015-04-21T06:15:16Z,2015-04-21T12:45:19Z,2015-04-21T12:45:19Z,106
65,2015-04-20T18:57:28Z,2015-04-21T12:46:57Z,2015-04-21T12:46:57Z,36
64,2015-04-20T18:54:24Z,2015-04-21T12:50:20Z,2015-04-21T12:50:20Z,121
63,2015-04-20T16:46:02Z,2015-04-21T12:44:11Z,2015-04-21T12:44:11Z,28
62,2015-04-20T13:44:38Z,2015-04-20T15:35:23Z,2015-04-20T15:35:23Z,93
61,2015-04-19T02:04:19Z,2015-04-19T13:56:29Z,2015-04-19T13:56:29Z,21
60,2015-04-18T11:54:09Z,2015-04-19T13:57:44Z,2015-04-19T13:57:44Z,19
58,2015-04-16T03:53:52Z,2015-04-16T06:10:15Z,2015-04-16T06:10:15Z,31
57,2015-04-07T12:19:12Z,2015-04-07T13:43:32Z,2015-04-07T13:43:32Z,88
55,2015-04-01T21:37:04Z,2015-04-02T01:15:20Z,2015-04-02T01:15:20Z,18
54,2015-04-01T21:34:50Z,,2015-04-01T21:35:40Z,23
53,2015-03-31T21:49:17Z,2015-04-01T04:48:32Z,2015-04-01T04:48:32Z,66
52,2015-03-30T16:09:50Z,2015-03-31T00:53:54Z,2015-03-31T00:53:54Z,102
51,2015-03-25T03:36:24Z,2015-03-25T05:57:56Z,2015-03-25T05:57:56Z,115
50,2015-03-06T09:28:57Z,2015-03-07T05:21:39Z,2015-03-07T05:21:39Z,17
49,2015-02-26T03:58:37Z,2015-02-26T05:22:25Z,2015-02-26T05:22:25Z,194
48,2015-02-23T12:29:43Z,2015-02-24T10:50:36Z,2015-02-24T10:50:36Z,97
47,2015-02-04T19:37:48Z,2015-02-05T02:14:01Z,2015-02-05T02:14:01Z,503
46,2015-02-03T19:58:23Z,2015-02-04T04:28:15Z,2015-02-04T04:28:15Z,62
45,2015-01-27T05:29:47Z,,2015-02-05T02:26:24Z,30
44,2015-01-18T09:48:00Z,,2015-02-05T02:24:37Z,25
43,2015-01-09T21:06:22Z,,2015-01-09T21:07:54Z,92
42,2015-01-09T21:01:06Z,,2015-01-09T21:03:48Z,106
41,2015-01-06T00:44:30Z,,2015-02-05T02:23:37Z,359
39,2015-01-04T12:27:32Z,,2015-02-05T02:21:00Z,66
38,2014-12-30T21:01:01Z,,2015-02-05T02:19:23Z,29
37,2014-12-30T14:48:44Z,,2015-02-05T02:18:31Z,92
35,2014-12-21T19:37:10Z,2014-12-22T02:40:09Z,2014-12-22T02:40:09Z,62
34,2014-12-21T19:09:17Z,,2014-12-23T10:23:53Z,300
32,2014-12-17T22:53:33Z,2014-12-18T03:43:59Z,2014-12-18T03:43:59Z,24
31,2014-12-17T10:46:52Z,2014-12-17T14:11:09Z,2014-12-17T14:11:09Z,191
30,2014-12-16T20:01:28Z,2014-12-17T02:30:13Z,2014-12-17T02:30:13Z,84
28,2014-12-15T02:59:26Z,2014-12-15T04:49:20Z,2014-12-15T04:49:20Z,100
26,2014-12-13T17:14:30Z,2014-12-14T13:43:37Z,2014-12-14T13:43:37Z,109
25,2014-12-12T21:23:45Z,,2014-12-13T13:49:36Z,89
24,2014-12-12T02:06:59Z,2014-12-12T03:01:17Z,2014-12-12T03:01:17Z,281
23,2014-12-11T08:36:34Z,2014-12-12T00:53:14Z,2014-12-12T00:53:14Z,86
22,2014-12-10T21:15:19Z,2014-12-12T00:54:25Z,2014-12-12T00:54:25Z,108
18,2014-12-08T09:00:38Z,,2014-12-08T09:42:29Z,92
17,2014-12-07T14:16:42Z,2014-12-07T16:36:53Z,2014-12-07T16:36:53Z,15
16,2014-12-05T15:59:57Z,2014-12-07T07:03:25Z,2014-12-07T07:03:25Z,79
15,2014-12-05T11:21:55Z,,2015-02-05T02:18:46Z,25
14,2014-12-05T11:02:10Z,2014-12-05T14:40:50Z,2014-12-05T14:40:50Z,35
13,2014-12-05T10:39:22Z,2014-12-05T14:42:54Z,2014-12-05T14:42:54Z,129
12,2014-12-04T18:40:23Z,2014-12-05T02:03:32Z,2014-12-05T02:03:32Z,46
10,2014-12-04T14:01:17Z,2014-12-04T16:18:56Z,2014-12-04T16:18:56Z,34
9,2014-12-04T08:51:46Z,2014-12-04T09:42:28Z,2014-12-04T09:42:28Z,52
5,2014-12-02T06:22:18Z,2014-12-02T06:26:38Z,2014-12-02T06:26:38Z,21
4,2014-12-01T18:52:35Z,2014-12-02T01:56:23Z,2014-12-02T01:56:23Z,22
3,2014-12-01T14:51:31Z,2014-12-01T15:29:12Z,2014-12-01T15:29:12Z,22
2,2014-12-01T05:40:54Z,2014-12-01T07:36:41Z,2014-12-01T07:36:41Z,58
440,2022-07-24T12:59:59Z,,2022-07-27T08:24:06Z,47
439,2022-07-16T11:03:13Z,,2022-09-19T20:57:05Z,17
438,2022-07-03T14:18:19Z,,2022-07-04T13:07:55Z,188
435,2022-05-25T04:17:44Z,,2022-05-29T04:13:20Z,326
433,2022-04-19T18:03:15Z,,2022-04-19T18:03:41Z,17
421,2021-02-17T07:20:23Z,,2023-06-16T12:57:59Z,370
420,2021-01-30T05:11:13Z,,2021-01-30T05:17:29Z,19
418,2021-01-05T01:37:55Z,,2022-04-21T01:55:47Z,29
417,2020-12-14T00:27:40Z,2021-03-11T07:14:05Z,2021-03-11T07:14:06Z,75
414,2020-11-08T08:15:26Z,,2020-11-25T18:33:55Z,69
412,2020-11-06T19:14:26Z,,2020-12-01T08:44:39Z,23
407,2020-07-02T05:20:54Z,,2020-07-02T05:21:01Z,65
406,2020-07-02T05:15:28Z,,2020-07-02T05:15:58Z,65
395,2019-10-31T21:34:35Z,,2021-06-01T04:31:44Z,96
