number,created_at,merged_at,closed_at,desc_len
6040,2023-10-29T06:48:28Z,,2023-10-29T14:51:12Z,684
6039,2023-10-28T07:19:00Z,,2023-10-29T15:09:41Z,696
6038,2023-10-28T07:12:55Z,,2023-10-29T15:07:28Z,721
6037,2023-10-28T07:00:21Z,,2023-10-29T15:08:02Z,693
6036,2023-10-28T06:49:24Z,,2023-10-29T15:09:10Z,712
6032,2023-10-26T20:48:03Z,2023-10-26T20:53:38Z,2023-10-26T20:53:38Z,30
6031,2023-10-26T20:02:54Z,2023-10-26T21:14:42Z,2023-10-26T21:14:42Z,1839
6028,2023-10-25T15:52:45Z,2023-10-26T19:54:07Z,2023-10-26T19:54:07Z,242
6024,2023-10-23T21:45:46Z,,2023-10-24T15:28:07Z,170
6021,2023-10-22T14:21:51Z,2023-10-22T15:20:44Z,2023-10-22T15:20:44Z,80
6018,2023-10-21T21:24:34Z,,2023-10-22T20:03:40Z,134
6017,2023-10-21T20:48:25Z,,2023-10-21T21:14:16Z,281
6016,2023-10-21T20:16:56Z,,2023-10-21T20:42:26Z,168
6011,2023-10-18T21:18:33Z,2023-10-22T14:12:33Z,2023-10-22T14:12:33Z,72
6002,2023-10-15T08:38:54Z,,2023-10-17T12:11:20Z,601
5982,2023-10-06T05:01:07Z,,2023-10-11T09:52:33Z,909
5972,2023-10-04T18:08:21Z,,2023-10-04T20:53:01Z,118
5966,2023-10-04T10:22:04Z,,2023-10-28T03:34:35Z,118
5932,2023-09-29T18:53:47Z,2023-09-30T17:49:59Z,2023-09-30T17:50:00Z,37
5931,2023-09-29T18:25:10Z,2023-09-29T18:42:19Z,2023-09-29T18:42:19Z,35
5925,2023-09-28T04:20:35Z,,2023-10-06T15:42:06Z,76
5920,2023-09-26T17:31:31Z,2023-09-26T18:21:10Z,2023-09-26T18:21:10Z,2426
5919,2023-09-26T16:38:54Z,2023-09-26T16:43:26Z,2023-09-26T16:43:26Z,89
5917,2023-09-24T23:38:38Z,2023-09-24T23:44:30Z,2023-09-24T23:44:30Z,201
5897,2023-09-15T19:57:23Z,,2023-09-29T08:15:28Z,654
5892,2023-09-12T11:58:18Z,2023-09-12T12:23:03Z,2023-09-12T12:23:04Z,709
5889,2023-09-11T05:33:20Z,2023-09-28T15:22:47Z,2023-09-28T15:22:48Z,131
5887,2023-09-07T12:07:46Z,2023-09-07T14:59:18Z,2023-09-07T14:59:18Z,161
5839,2023-08-26T18:55:31Z,2023-08-26T18:59:09Z,2023-08-26T18:59:09Z,53
5838,2023-08-26T18:53:23Z,2023-08-26T19:10:04Z,2023-08-26T19:10:04Z,2478
5837,2023-08-26T17:22:36Z,2023-08-26T17:31:14Z,2023-08-26T17:31:14Z,218
5836,2023-08-26T15:37:18Z,2023-08-26T15:51:09Z,2023-08-26T15:51:09Z,59
5832,2023-08-25T20:11:20Z,2023-08-26T13:26:51Z,2023-08-26T13:26:51Z,67
5831,2023-08-25T17:45:15Z,2023-08-25T18:07:52Z,2023-08-25T18:07:52Z,241
5830,2023-08-24T20:10:27Z,,2023-08-25T18:11:54Z,1523
5823,2023-08-14T15:51:06Z,2023-09-13T09:26:43Z,2023-09-13T09:26:43Z,58
5819,2023-08-12T05:51:22Z,,2023-08-12T05:51:46Z,635
5816,2023-08-10T13:59:39Z,2023-08-30T18:29:27Z,2023-08-30T18:29:27Z,122
5809,2023-08-03T08:42:58Z,2023-08-30T18:47:01Z,2023-08-30T18:47:01Z,923
5801,2023-07-27T16:26:45Z,,2023-07-27T16:28:03Z,645
5796,2023-07-24T17:19:10Z,,2023-07-27T20:23:41Z,116
5791,2023-07-22T08:23:13Z,2023-08-26T17:50:04Z,2023-08-26T17:50:04Z,257
5790,2023-07-22T08:19:29Z,2023-08-30T18:41:35Z,2023-08-30T18:41:35Z,252
5788,2023-07-20T20:21:38Z,2023-08-03T06:21:30Z,2023-08-03T06:21:30Z,279
5779,2023-07-14T11:23:51Z,,2023-07-16T14:10:50Z,240
5772,2023-07-11T14:46:28Z,,2023-07-23T08:07:21Z,685
5767,2023-07-10T02:06:42Z,,2023-09-19T12:43:04Z,750
5766,2023-07-07T14:41:35Z,,2023-07-07T14:44:39Z,151
5752,2023-06-21T07:26:12Z,,2023-07-03T02:40:59Z,68
5743,2023-06-15T23:50:32Z,,2023-06-15T23:51:07Z,630
5687,2023-04-28T08:13:38Z,,2023-06-02T14:00:25Z,98
5684,2023-04-27T22:38:15Z,2023-04-27T22:44:23Z,2023-04-27T22:44:23Z,96
5683,2023-04-27T22:06:34Z,2023-04-27T23:04:54Z,2023-04-27T23:04:54Z,2185
5679,2023-04-25T20:24:49Z,2023-04-25T21:34:47Z,2023-04-25T21:34:47Z,86
5678,2023-04-25T19:23:17Z,2023-04-25T21:21:38Z,2023-04-25T21:21:38Z,281
5677,2023-04-25T15:08:06Z,2023-04-25T21:17:21Z,2023-04-25T21:17:21Z,75
5670,2023-04-21T14:07:25Z,2023-04-27T21:58:08Z,2023-04-27T21:58:08Z,81
5666,2023-04-19T19:32:26Z,2023-04-19T19:37:45Z,2023-04-19T19:37:46Z,1325
5665,2023-04-19T18:08:49Z,2023-04-19T18:14:02Z,2023-04-19T18:14:02Z,40
5663,2023-04-19T16:18:35Z,2023-04-19T17:09:31Z,2023-04-19T17:09:31Z,59
5661,2023-04-18T14:26:08Z,2023-04-19T17:14:32Z,2023-04-19T17:14:32Z,133
5649,2023-04-12T21:03:29Z,,2023-04-19T17:10:43Z,6018
5639,2023-04-07T20:48:26Z,,2023-04-12T21:03:35Z,5471
5634,2023-04-05T17:49:55Z,2023-04-05T18:01:58Z,2023-04-05T18:01:58Z,1135
5633,2023-04-05T16:35:06Z,2023-04-05T16:44:37Z,2023-04-05T16:44:37Z,83
5628,2023-04-03T04:34:23Z,,2023-04-04T03:22:23Z,169
5621,2023-03-27T11:03:40Z,,2023-09-01T06:30:05Z,150
5605,2023-03-16T03:01:45Z,,2023-09-12T03:15:59Z,489
5585,2023-03-06T16:38:35Z,,2023-03-06T17:43:00Z,258
5584,2023-03-06T13:33:22Z,2023-03-19T13:30:51Z,2023-03-19T13:30:51Z,94
5575,2023-03-01T21:28:04Z,,2023-03-01T22:10:48Z,480
5566,2023-02-22T20:39:25Z,2023-02-22T20:43:24Z,2023-02-22T20:43:24Z,40
5565,2023-02-22T20:30:19Z,2023-02-22T21:05:32Z,2023-02-22T21:05:32Z,1490
5564,2023-02-22T19:45:03Z,2023-02-22T19:50:32Z,2023-02-22T19:50:32Z,154
5548,2023-02-14T03:31:22Z,2023-02-22T19:55:45Z,2023-02-22T19:55:45Z,125
5546,2023-02-13T18:34:06Z,2023-02-13T18:46:08Z,2023-02-13T18:46:08Z,1533
5545,2023-02-13T17:46:29Z,2023-02-13T18:03:15Z,2023-02-13T18:03:15Z,117
5542,2023-02-11T14:08:04Z,2023-02-11T14:31:03Z,2023-02-11T14:31:03Z,73
5536,2023-02-07T11:20:46Z,,2023-07-11T05:21:26Z,440
5535,2023-02-06T20:16:27Z,2023-02-11T14:34:51Z,2023-02-11T14:34:51Z,95
5531,2023-02-03T17:43:04Z,2023-02-03T18:09:56Z,2023-02-03T18:09:56Z,1130
5530,2023-02-03T16:51:41Z,2023-02-03T17:34:07Z,2023-02-03T17:34:07Z,150
5528,2023-02-03T14:58:20Z,2023-02-03T17:02:51Z,2023-02-03T17:02:51Z,111
5525,2023-02-02T23:25:13Z,2023-04-27T21:37:10Z,2023-04-27T21:37:10Z,197
5522,2023-02-01T23:03:39Z,2023-02-01T23:30:01Z,2023-02-01T23:30:01Z,1128
5521,2023-02-01T22:39:29Z,2023-02-01T22:55:06Z,2023-02-01T22:55:06Z,796
5518,2023-02-01T16:36:33Z,2023-02-01T18:39:00Z,2023-02-01T18:39:00Z,72
