number,created_at,merged_at,closed_at,desc_len
19,2019-05-29T20:06:09Z,2019-05-30T06:24:59Z,2019-05-30T06:24:59Z,59
18,2019-05-29T10:14:54Z,,2019-06-14T05:45:26Z,29
17,2019-05-28T08:23:25Z,2019-05-29T08:49:22Z,2019-05-29T08:49:22Z,121
16,2019-05-28T03:12:11Z,2019-06-05T14:36:43Z,2019-06-05T14:36:43Z,75
14,2019-05-10T11:41:48Z,2019-06-05T09:00:22Z,2019-06-05T09:00:23Z,387
8,2019-05-06T03:43:16Z,2019-05-06T03:47:42Z,2019-05-06T03:47:42Z,21
7,2019-05-05T03:44:04Z,,2019-05-05T03:44:52Z,42
1,2019-04-26T07:13:29Z,,2019-04-26T08:55:35Z,29
141,2019-08-23T01:40:23Z,2019-08-26T01:45:24Z,2019-08-26T01:45:25Z,92
138,2019-08-22T09:31:29Z,2019-08-22T11:06:29Z,2019-08-22T11:06:29Z,8
137,2019-08-22T03:16:50Z,,2019-08-26T01:45:01Z,21
135,2019-08-22T00:43:23Z,2019-08-22T01:37:05Z,2019-08-22T01:37:05Z,109
134,2019-08-21T05:56:00Z,2019-08-21T10:40:39Z,2019-08-21T10:40:39Z,33
133,2019-08-21T01:22:57Z,2019-08-21T05:42:47Z,2019-08-21T05:42:47Z,99
131,2019-08-20T15:11:36Z,2019-08-21T10:41:26Z,2019-08-21T10:41:26Z,8
130,2019-08-20T04:49:04Z,2019-08-22T03:04:13Z,2019-08-22T03:04:13Z,33
129,2019-08-20T04:30:22Z,2019-08-20T05:45:39Z,2019-08-20T05:45:39Z,28
128,2019-08-20T01:42:14Z,2019-08-20T02:41:46Z,2019-08-20T02:41:46Z,102
125,2019-08-18T23:55:16Z,2019-08-19T01:57:25Z,2019-08-19T01:57:25Z,100
124,2019-08-18T11:59:55Z,2019-08-18T13:10:06Z,2019-08-18T13:10:06Z,108
123,2019-08-18T09:53:19Z,,2019-08-18T09:56:12Z,36
122,2019-08-17T13:12:37Z,2019-08-18T02:46:47Z,2019-08-18T02:46:47Z,42
121,2019-08-17T05:19:42Z,2019-08-18T03:21:49Z,2019-08-18T03:21:49Z,30
120,2019-08-17T02:26:02Z,2019-08-17T04:39:12Z,2019-08-17T04:39:12Z,93
119,2019-08-16T15:55:21Z,2019-08-17T04:39:48Z,2019-08-17T04:39:48Z,15
118,2019-08-16T04:51:39Z,2019-08-16T04:55:04Z,2019-08-16T04:55:04Z,28
117,2019-08-15T16:22:12Z,2019-08-16T05:06:14Z,2019-08-16T05:06:14Z,49
115,2019-08-15T11:08:39Z,2019-08-15T11:21:53Z,2019-08-15T11:21:54Z,43
114,2019-08-15T01:46:48Z,2019-08-15T02:52:34Z,2019-08-15T02:52:34Z,97
112,2019-08-14T01:43:38Z,2019-08-14T03:00:18Z,2019-08-14T03:00:18Z,93
110,2019-08-13T07:53:18Z,2019-08-13T08:22:28Z,2019-08-13T08:22:28Z,36
109,2019-08-13T07:02:51Z,2019-08-13T07:35:09Z,2019-08-13T07:35:09Z,144
108,2019-08-13T00:58:38Z,2019-08-13T01:24:23Z,2019-08-13T01:24:23Z,98
106,2019-08-12T08:26:44Z,2019-08-13T03:08:34Z,2019-08-13T03:08:34Z,124
104,2019-08-12T01:35:57Z,2019-08-12T01:55:14Z,2019-08-12T01:55:14Z,107
103,2019-08-11T16:29:17Z,2019-08-20T03:05:12Z,2019-08-20T03:05:12Z,35
102,2019-08-11T14:26:55Z,2019-08-13T01:26:34Z,2019-08-13T01:26:34Z,40
101,2019-08-11T09:13:45Z,2019-08-12T01:59:16Z,2019-08-12T01:59:16Z,114
99,2019-08-10T14:08:33Z,2019-08-17T08:06:54Z,2019-08-17T08:06:54Z,43
98,2019-08-10T07:28:14Z,2019-08-11T06:18:41Z,2019-08-11T06:18:41Z,21
97,2019-08-10T07:13:48Z,2019-08-10T10:39:48Z,2019-08-10T10:39:48Z,91
96,2019-08-09T16:09:12Z,2019-08-09T19:27:09Z,2019-08-09T19:27:09Z,25
95,2019-08-09T15:28:40Z,,2019-08-09T16:07:32Z,25
94,2019-08-09T09:07:13Z,2019-08-09T19:26:13Z,2019-08-09T19:26:13Z,39
93,2019-08-09T05:33:52Z,2019-08-09T06:09:18Z,2019-08-09T06:09:18Z,28
92,2019-08-09T01:50:46Z,2019-08-09T04:03:17Z,2019-08-09T04:03:17Z,39
91,2019-08-09T00:47:34Z,2019-08-09T09:30:52Z,2019-08-09T09:30:52Z,96
89,2019-08-08T06:30:03Z,2019-08-08T10:31:31Z,2019-08-08T10:31:32Z,28
88,2019-08-08T02:34:16Z,2019-08-08T03:40:16Z,2019-08-08T03:40:16Z,106
86,2019-08-07T02:13:09Z,2019-08-07T04:27:22Z,2019-08-07T04:27:22Z,58
85,2019-08-07T01:33:26Z,2019-08-07T01:45:56Z,2019-08-07T01:45:56Z,31
83,2019-08-06T07:04:19Z,2019-08-06T10:35:53Z,2019-08-06T10:35:53Z,97
81,2019-08-05T09:40:49Z,2019-08-05T10:43:30Z,2019-08-05T10:43:30Z,98
79,2019-08-04T01:04:59Z,2019-08-04T02:04:54Z,2019-08-04T02:04:54Z,107
