number,created_at,merged_at,closed_at,desc_len
915,2021-07-28T10:55:19Z,2021-07-28T11:47:38Z,2021-07-28T11:47:39Z,253
914,2021-07-21T23:41:50Z,2021-07-22T07:28:48Z,2021-07-22T07:28:48Z,289
913,2021-07-17T10:11:14Z,,2021-07-18T06:22:13Z,351
912,2021-07-15T08:50:20Z,2021-07-15T09:31:32Z,2021-07-15T09:31:32Z,238
911,2021-07-15T04:57:18Z,2021-07-15T08:39:30Z,2021-07-15T08:39:30Z,325
910,2021-07-14T19:58:54Z,,2021-07-15T08:39:11Z,311
909,2021-07-12T02:56:12Z,2021-07-12T13:38:47Z,2021-07-12T13:38:47Z,250
908,2021-07-11T22:41:06Z,2021-07-12T13:39:48Z,2021-07-12T13:39:48Z,1012
907,2021-07-11T14:21:59Z,2021-07-12T13:38:27Z,2021-07-12T13:38:27Z,311
906,2021-07-11T13:44:59Z,2021-07-12T13:36:56Z,2021-07-12T13:36:56Z,319
903,2021-07-09T19:31:53Z,,2021-07-09T23:33:50Z,424
901,2021-07-09T14:23:07Z,,2021-07-09T20:53:34Z,313
900,2021-07-09T14:12:30Z,,2021-07-09T20:53:55Z,293
899,2021-07-09T12:23:00Z,,2021-07-09T21:52:01Z,325
898,2021-07-09T12:12:43Z,,2021-07-09T12:16:27Z,308
897,2021-07-09T00:03:52Z,,2021-07-09T00:04:23Z,398
896,2021-07-08T22:53:10Z,,2021-07-09T10:40:33Z,351
895,2021-07-08T09:31:52Z,,2021-07-08T09:33:29Z,487
894,2021-07-08T00:47:55Z,,2021-07-08T07:27:48Z,156
892,2021-07-07T04:46:07Z,2021-07-07T09:31:36Z,2021-07-07T09:31:36Z,300
891,2021-07-02T06:13:37Z,,2021-07-02T08:24:06Z,281
890,2021-06-24T18:53:55Z,2021-06-27T07:01:19Z,2021-06-27T07:01:19Z,276
889,2021-06-24T08:47:56Z,2021-06-24T10:47:36Z,2021-06-24T10:47:36Z,313
888,2021-06-23T00:16:20Z,2021-06-23T08:13:17Z,2021-06-23T08:13:17Z,276
887,2021-06-22T00:18:40Z,2021-06-22T08:25:05Z,2021-06-22T08:25:05Z,311
886,2021-06-21T00:19:31Z,2021-06-21T08:12:43Z,2021-06-21T08:12:43Z,275
885,2021-06-18T23:41:37Z,2021-06-20T08:19:56Z,2021-06-20T08:19:56Z,237
884,2021-06-18T05:10:52Z,2021-06-18T22:39:36Z,2021-06-18T22:39:36Z,367
883,2021-06-17T07:37:42Z,2021-06-17T08:27:46Z,2021-06-17T08:27:46Z,281
882,2021-06-16T19:25:16Z,2021-06-17T08:34:47Z,2021-06-17T08:34:47Z,275
881,2021-06-16T11:09:04Z,2021-06-16T16:34:32Z,2021-06-16T16:34:32Z,296
880,2021-06-16T05:05:47Z,2021-06-16T10:49:41Z,2021-06-16T10:49:41Z,248
879,2021-06-15T01:16:32Z,2021-06-15T07:47:40Z,2021-06-15T07:47:40Z,324
878,2021-06-13T10:59:30Z,2021-06-13T11:14:30Z,2021-06-13T11:14:30Z,392
877,2021-06-12T10:16:31Z,2021-06-12T17:21:45Z,2021-06-12T17:21:45Z,248
876,2021-06-12T00:05:47Z,2021-06-12T17:21:28Z,2021-06-12T17:21:28Z,383
875,2021-06-10T03:50:07Z,2021-06-10T09:39:06Z,2021-06-10T09:39:06Z,47
874,2021-06-09T09:06:36Z,2021-06-09T11:53:44Z,2021-06-09T11:53:44Z,309
873,2021-06-08T16:56:06Z,,2021-06-08T17:40:12Z,401
872,2021-06-08T08:07:28Z,2021-06-08T08:12:52Z,2021-06-08T08:12:52Z,283
871,2021-06-05T23:13:28Z,2021-06-06T08:41:06Z,2021-06-06T08:41:06Z,303
870,2021-06-05T09:21:43Z,,2021-06-05T09:29:33Z,418
869,2021-06-03T22:21:25Z,2021-06-04T08:13:44Z,2021-06-04T08:13:44Z,303
868,2021-05-30T13:52:35Z,2021-05-31T07:56:06Z,2021-05-31T07:56:06Z,287
867,2021-05-29T10:49:48Z,,2021-05-30T10:21:15Z,8
866,2021-05-28T02:34:10Z,2021-05-28T11:49:09Z,2021-05-28T11:49:09Z,251
865,2021-05-27T03:47:41Z,2021-05-27T08:12:16Z,2021-05-27T08:12:16Z,305
863,2021-05-26T03:32:01Z,2021-05-26T10:23:36Z,2021-05-26T10:23:36Z,365
862,2021-05-25T20:55:04Z,2021-05-26T10:23:16Z,2021-05-26T10:23:16Z,289
861,2021-05-25T02:58:03Z,2021-05-25T09:49:50Z,2021-05-25T09:49:50Z,338
860,2021-05-24T03:57:34Z,,2021-05-24T08:24:03Z,308
859,2021-05-23T23:37:41Z,2021-05-24T08:24:32Z,2021-05-24T08:24:32Z,333
858,2021-05-23T09:53:42Z,2021-05-23T10:01:38Z,2021-05-23T10:01:38Z,281
857,2021-05-21T01:24:17Z,2021-05-23T08:10:33Z,2021-05-23T08:10:33Z,325
856,2021-05-20T12:20:45Z,,2021-06-01T10:27:23Z,434
855,2021-05-20T11:59:08Z,,2021-05-20T12:13:35Z,509
854,2021-05-20T01:22:47Z,2021-05-20T08:54:28Z,2021-05-20T08:54:28Z,295
853,2021-05-19T00:07:20Z,2021-05-19T08:42:55Z,2021-05-19T08:42:55Z,292
852,2021-05-18T07:45:00Z,2021-05-18T08:13:17Z,2021-05-18T08:13:17Z,326
851,2021-05-18T00:27:04Z,2021-05-18T08:12:13Z,2021-05-18T08:12:13Z,277
850,2021-05-17T00:29:39Z,2021-05-17T11:51:53Z,2021-05-17T11:51:53Z,266
849,2021-05-14T07:18:40Z,2021-05-14T16:20:05Z,2021-05-14T16:20:05Z,285
848,2021-05-13T00:59:45Z,2021-05-13T07:51:35Z,2021-05-13T07:51:35Z,258
847,2021-05-12T01:22:24Z,2021-05-12T08:45:43Z,2021-05-12T08:45:43Z,255
846,2021-05-11T01:01:04Z,2021-05-11T08:31:03Z,2021-05-11T08:31:03Z,271
845,2021-05-10T00:56:27Z,2021-05-10T09:32:09Z,2021-05-10T09:32:09Z,269
844,2021-05-09T14:53:10Z,2021-05-10T09:31:50Z,2021-05-10T09:31:50Z,295
843,2021-05-08T10:22:43Z,2021-05-10T09:32:40Z,2021-05-10T09:32:40Z,39
842,2021-05-07T00:35:27Z,2021-05-07T10:09:46Z,2021-05-07T10:09:46Z,279
841,2021-05-06T00:36:21Z,2021-05-06T08:18:36Z,2021-05-06T08:18:36Z,294
840,2021-05-05T09:38:36Z,,2021-05-10T09:33:37Z,251
839,2021-05-05T00:41:18Z,2021-05-05T07:23:14Z,2021-05-05T07:23:14Z,264
838,2021-05-04T00:48:17Z,2021-05-04T08:05:43Z,2021-05-04T08:05:43Z,584
837,2021-05-03T23:49:01Z,,2021-05-03T23:52:18Z,415
836,2021-05-03T17:27:11Z,,2021-05-03T19:18:43Z,783
835,2021-05-03T17:22:23Z,,2021-05-03T19:18:49Z,753
834,2021-05-03T00:38:36Z,2021-05-03T10:47:52Z,2021-05-03T10:47:52Z,333
833,2021-05-01T18:15:44Z,2021-05-03T10:48:25Z,2021-05-03T10:48:26Z,342
832,2021-05-01T05:42:29Z,2021-05-01T19:02:53Z,2021-05-01T19:02:53Z,261
831,2021-04-29T06:58:57Z,2021-04-29T07:35:56Z,2021-04-29T07:35:56Z,317
830,2021-04-28T00:52:22Z,2021-04-28T08:27:47Z,2021-04-28T08:27:47Z,314
829,2021-04-27T00:34:35Z,2021-04-27T08:14:25Z,2021-04-27T08:14:25Z,261
828,2021-04-26T01:06:13Z,2021-04-26T07:40:24Z,2021-04-26T07:40:24Z,431
827,2021-04-23T01:03:53Z,2021-04-23T09:12:12Z,2021-04-23T09:12:12Z,283
826,2021-04-22T13:23:45Z,2021-04-22T13:47:49Z,2021-04-22T13:47:49Z,303
825,2021-04-22T01:00:09Z,2021-04-22T08:01:44Z,2021-04-22T08:01:44Z,321
824,2021-04-21T00:29:31Z,2021-04-21T08:24:34Z,2021-04-21T08:24:34Z,259
823,2021-04-20T00:21:27Z,2021-04-20T07:53:43Z,2021-04-20T07:53:43Z,326
822,2021-04-19T01:39:16Z,2021-04-19T07:51:37Z,2021-04-19T07:51:37Z,255
821,2021-04-16T00:34:52Z,,2021-04-16T11:11:23Z,280
820,2021-04-15T00:57:48Z,2021-04-15T11:44:59Z,2021-04-15T11:44:59Z,291
819,2021-04-14T00:25:52Z,2021-04-14T08:38:44Z,2021-04-14T08:38:44Z,256
818,2021-04-13T12:21:58Z,,2021-04-13T13:32:47Z,307
817,2021-04-13T00:34:29Z,2021-04-13T06:55:31Z,2021-04-13T06:55:31Z,464
816,2021-04-12T09:17:47Z,,2021-04-12T09:24:37Z,306
815,2021-04-12T00:39:09Z,2021-04-12T09:16:41Z,2021-04-12T09:16:41Z,276
814,2021-04-09T00:42:29Z,2021-04-09T09:14:23Z,2021-04-09T09:14:24Z,260
813,2021-04-08T21:32:19Z,,2021-04-10T14:12:17Z,477
812,2021-04-08T00:31:48Z,2021-04-08T07:53:31Z,2021-04-08T07:53:31Z,261
811,2021-04-07T01:22:47Z,2021-04-07T07:16:09Z,2021-04-07T07:16:09Z,355
595,2020-09-30T19:48:25Z,2020-10-01T06:13:53Z,2020-10-01T06:13:53Z,282
594,2020-09-30T19:16:45Z,2020-10-01T06:14:32Z,2020-10-01T06:14:33Z,978
593,2020-09-30T16:29:51Z,2020-09-30T18:38:59Z,2020-09-30T18:38:59Z,394
592,2020-09-30T03:19:13Z,2020-09-30T09:14:47Z,2020-09-30T09:14:47Z,322
591,2020-09-29T12:12:32Z,,2020-10-03T10:36:08Z,218
590,2020-09-26T18:42:28Z,2020-09-26T22:33:17Z,2020-09-26T22:33:17Z,316
589,2020-09-24T05:48:07Z,,2020-09-24T08:13:58Z,428
588,2020-09-22T18:37:42Z,2020-10-14T10:55:02Z,2020-10-14T10:55:02Z,107
587,2020-09-21T22:37:46Z,2020-09-21T23:06:47Z,2020-09-21T23:06:47Z,283
586,2020-09-21T17:18:14Z,2020-09-21T17:59:31Z,2020-09-21T17:59:31Z,346
585,2020-09-21T15:15:45Z,2020-09-21T15:15:52Z,2020-09-21T15:15:52Z,315
584,2020-09-21T14:42:48Z,2020-09-21T15:11:13Z,2020-09-21T15:11:13Z,117
583,2020-09-18T23:36:18Z,2020-09-19T10:20:20Z,2020-09-19T10:20:20Z,344
582,2020-09-18T02:49:56Z,2020-09-18T13:50:11Z,2020-09-18T13:50:11Z,322
581,2020-09-17T06:19:42Z,,2020-09-17T09:25:24Z,317
580,2020-09-16T04:38:35Z,2020-09-16T11:06:33Z,2020-09-16T11:06:33Z,336
579,2020-09-15T17:03:15Z,2020-09-15T20:21:50Z,2020-09-15T20:21:50Z,264
578,2020-09-14T21:23:37Z,2020-09-14T23:37:07Z,2020-09-14T23:37:07Z,362
577,2020-09-13T14:49:33Z,2020-09-13T15:35:33Z,2020-09-13T15:35:33Z,640
576,2020-09-13T14:38:28Z,2020-09-13T15:36:45Z,2020-09-13T15:36:45Z,359
575,2020-09-13T14:22:00Z,2020-09-13T15:37:08Z,2020-09-13T15:37:08Z,391
574,2020-09-10T11:32:07Z,2020-09-10T14:26:31Z,2020-09-10T14:26:31Z,368
573,2020-09-10T00:17:56Z,2020-09-10T09:05:38Z,2020-09-10T09:05:38Z,370
572,2020-09-08T08:29:07Z,2020-09-08T10:31:06Z,2020-09-08T10:31:06Z,148
571,2020-09-06T16:21:03Z,,2020-09-06T16:44:11Z,517
570,2020-09-05T15:56:54Z,,2020-09-05T15:58:28Z,229
569,2020-09-04T17:22:46Z,2020-09-04T17:42:18Z,2020-09-04T17:42:18Z,301
568,2020-09-04T06:39:25Z,2020-09-04T09:23:48Z,2020-09-04T09:23:48Z,197
567,2020-09-04T02:09:12Z,2020-09-04T10:12:14Z,2020-09-04T10:12:14Z,359
566,2020-09-02T08:53:45Z,2020-09-02T09:59:16Z,2020-09-02T09:59:16Z,194
565,2020-09-01T17:05:49Z,2020-09-01T17:25:49Z,2020-09-01T17:25:49Z,129
564,2020-08-31T17:21:36Z,,2020-08-31T18:38:04Z,256
