number,created_at,merged_at,closed_at,desc_len
7,2019-10-19T10:57:58Z,,2019-10-19T11:00:53Z,17
6,2019-10-18T13:56:57Z,2019-10-18T13:59:49Z,2019-10-18T13:59:49Z,13
10217,2023-09-10T13:33:07Z,,2023-09-10T13:33:48Z,13
10209,2023-08-22T13:02:52Z,2023-08-24T19:54:37Z,2023-08-24T19:54:37Z,79
10208,2023-08-21T18:49:37Z,2023-08-24T19:55:25Z,2023-08-24T19:55:25Z,153
10207,2023-08-20T08:11:23Z,2023-08-24T19:55:55Z,2023-08-24T19:55:55Z,45
10205,2023-08-15T13:14:15Z,2023-08-24T20:03:15Z,2023-08-24T20:03:15Z,190
10203,2023-08-14T04:38:36Z,2023-08-24T20:00:25Z,2023-08-24T20:00:25Z,124
10202,2023-08-12T09:24:30Z,2023-08-24T20:05:15Z,2023-08-24T20:05:15Z,61
10199,2023-08-09T02:32:38Z,2023-08-24T20:01:01Z,2023-08-24T20:01:01Z,62
418,2023-08-03T21:00:26Z,2023-08-24T19:56:22Z,2023-08-24T19:56:22Z,23
417,2023-08-03T17:10:48Z,,2023-08-24T20:02:28Z,22
416,2023-08-03T14:22:24Z,,2023-08-24T19:57:11Z,7
411,2023-08-02T02:22:56Z,2023-08-24T20:02:53Z,2023-08-24T20:02:53Z,51
400,2023-07-16T17:58:00Z,,2023-07-16T17:58:30Z,21
391,2023-05-20T23:55:59Z,2023-05-27T17:38:46Z,2023-05-27T17:38:46Z,13
389,2023-05-18T15:17:57Z,2023-05-27T17:39:38Z,2023-05-27T17:39:38Z,46
388,2023-05-18T09:52:14Z,,2023-05-18T09:52:19Z,18
387,2023-05-07T21:54:17Z,2023-05-15T20:15:02Z,2023-05-15T20:15:02Z,116
386,2023-05-04T08:05:44Z,2023-05-27T17:48:00Z,2023-05-27T17:48:00Z,1713
385,2023-04-30T13:10:52Z,2023-05-04T05:25:01Z,2023-05-04T05:25:01Z,45
384,2023-04-29T10:22:41Z,,2023-05-04T05:24:24Z,28
383,2023-04-29T10:19:11Z,,2023-04-29T10:20:21Z,28
380,2023-04-08T14:44:31Z,,2023-05-07T21:53:16Z,392
379,2023-04-07T07:25:37Z,2023-04-07T20:52:10Z,2023-04-07T20:52:10Z,158
378,2023-04-07T06:46:21Z,2023-04-07T06:51:10Z,2023-04-07T06:51:10Z,94
376,2023-04-05T16:02:27Z,,2023-04-06T19:09:57Z,32
375,2023-04-04T11:49:47Z,2023-05-27T17:45:45Z,2023-05-27T17:45:45Z,15
373,2023-04-02T14:14:27Z,2023-04-06T19:11:41Z,2023-04-06T19:11:41Z,47
371,2023-04-01T22:55:22Z,2023-04-06T19:10:40Z,2023-04-06T19:10:40Z,36
370,2023-04-01T20:28:05Z,2023-04-06T19:10:20Z,2023-04-06T19:10:20Z,25
369,2023-04-01T20:26:49Z,2023-04-06T19:08:39Z,2023-04-06T19:08:39Z,50
368,2023-03-31T19:48:58Z,2023-05-27T17:45:16Z,2023-05-27T17:45:16Z,87
366,2023-03-26T15:54:57Z,2023-05-27T17:44:15Z,2023-05-27T17:44:15Z,64
362,2023-03-21T09:14:55Z,2023-03-25T10:59:55Z,2023-03-25T10:59:55Z,26
361,2023-03-18T08:34:56Z,2023-03-25T11:02:15Z,2023-03-25T11:02:15Z,222
360,2023-03-16T12:43:33Z,2023-03-25T11:02:45Z,2023-03-25T11:02:45Z,696
359,2023-03-11T14:06:45Z,,2023-03-11T14:06:58Z,52
358,2023-03-08T16:14:50Z,,2023-05-27T17:40:06Z,225
357,2023-03-04T07:09:00Z,,2023-03-25T11:06:56Z,28
354,2023-02-28T11:27:59Z,2023-03-25T11:07:39Z,2023-03-25T11:07:39Z,79
353,2023-02-27T01:52:39Z,,2023-03-25T11:07:57Z,16
352,2023-02-23T22:08:23Z,2023-03-25T11:05:56Z,2023-03-25T11:05:56Z,647
348,2023-02-17T11:42:13Z,2023-02-17T18:35:02Z,2023-02-17T18:35:03Z,42
347,2023-02-04T09:09:16Z,2023-02-04T10:08:35Z,2023-02-04T10:08:35Z,907
346,2023-02-02T13:59:08Z,2023-02-03T09:42:59Z,2023-02-03T09:42:59Z,79
344,2023-02-01T00:25:50Z,2023-02-02T11:00:23Z,2023-02-02T11:00:24Z,126
343,2023-01-31T17:33:03Z,2023-02-02T10:59:41Z,2023-02-02T10:59:41Z,71
342,2023-01-31T12:20:43Z,2023-02-02T11:00:42Z,2023-02-02T11:00:42Z,44
