number,created_at,merged_at,closed_at,desc_len
4767,2022-05-06T11:48:38Z,2022-05-24T23:47:08Z,2022-05-24T23:47:09Z,360
4760,2022-05-04T07:07:25Z,2022-05-04T18:40:39Z,2022-05-04T18:40:39Z,253
4757,2022-05-01T22:59:09Z,2022-05-02T20:55:35Z,2022-05-02T20:55:35Z,383
4756,2022-05-01T20:56:48Z,2022-07-13T20:15:00Z,2022-07-13T20:15:00Z,1416
4754,2022-04-30T20:06:53Z,2022-05-02T17:44:29Z,2022-05-02T17:44:29Z,437
4753,2022-04-29T22:00:42Z,2022-05-04T18:42:37Z,2022-05-04T18:42:37Z,834
4748,2022-04-29T00:59:45Z,,2022-04-29T03:52:45Z,185
4746,2022-04-28T16:06:52Z,2022-04-28T16:16:25Z,2022-04-28T16:16:25Z,414
4745,2022-04-28T15:13:15Z,2022-04-28T15:38:44Z,2022-04-28T15:38:44Z,677
4742,2022-04-28T07:58:08Z,2022-04-28T14:31:59Z,2022-04-28T14:31:59Z,266
4741,2022-04-28T06:38:41Z,2023-06-23T20:49:41Z,2023-06-23T20:49:41Z,1550
4740,2022-04-28T06:03:27Z,2022-04-28T14:18:46Z,2022-04-28T14:18:46Z,859
4739,2022-04-28T04:35:43Z,2022-05-06T14:50:27Z,2022-05-06T14:50:27Z,8667
4737,2022-04-27T17:25:00Z,2022-04-27T17:41:37Z,2022-04-27T17:41:38Z,117
4732,2022-04-27T02:48:41Z,2022-04-28T14:42:30Z,2022-04-28T14:42:31Z,961
4730,2022-04-26T03:19:18Z,2022-04-26T04:00:40Z,2022-04-26T04:00:40Z,72
4728,2022-04-24T21:24:03Z,2022-04-25T16:12:11Z,2022-04-25T16:12:11Z,3800
4726,2022-04-24T06:22:05Z,2022-04-25T16:47:13Z,2022-04-25T16:47:13Z,944
4724,2022-04-22T21:39:34Z,2022-04-27T16:39:23Z,2022-04-27T16:39:23Z,733
4723,2022-04-22T21:15:26Z,2022-04-22T22:09:11Z,2022-04-22T22:09:11Z,618
4720,2022-04-22T02:21:21Z,2022-09-05T19:32:58Z,2022-09-05T19:32:58Z,1663
4715,2022-04-19T02:48:17Z,2022-06-22T22:53:46Z,2022-06-22T22:53:47Z,974
4708,2022-04-15T17:41:43Z,2022-04-15T17:58:48Z,2022-04-15T17:58:48Z,121
4707,2022-04-15T16:52:37Z,2022-08-15T18:01:58Z,2022-08-15T18:01:58Z,480
4705,2022-04-14T19:13:17Z,2022-09-02T22:59:12Z,2022-09-02T22:59:12Z,385
4703,2022-04-13T18:18:32Z,2022-04-13T20:03:40Z,2022-04-13T20:03:40Z,848
4702,2022-04-13T12:44:33Z,2022-04-13T16:13:28Z,2022-04-13T16:13:28Z,8
4701,2022-04-13T06:20:24Z,,2022-04-13T12:41:45Z,8
4700,2022-04-12T18:49:46Z,2022-04-12T19:48:44Z,2022-04-12T19:48:44Z,560
4699,2022-04-12T13:34:02Z,,2022-04-13T17:40:40Z,194
4695,2022-04-10T21:24:03Z,2022-04-12T18:49:19Z,2022-04-12T18:49:19Z,551
4694,2022-04-10T13:21:00Z,,2022-04-13T17:42:26Z,350
4693,2022-04-10T05:09:49Z,2022-09-15T18:35:38Z,2022-09-15T18:35:38Z,425
4691,2022-04-09T04:56:30Z,2022-09-15T16:05:36Z,2022-09-15T16:05:36Z,1513
4687,2022-04-08T08:40:10Z,,2023-01-06T20:45:27Z,254
4684,2022-04-07T08:28:16Z,2022-04-07T17:23:29Z,2022-04-07T17:23:29Z,79
4679,2022-04-05T11:52:33Z,2022-04-07T21:01:09Z,2022-04-07T21:01:09Z,98
4674,2022-04-02T18:21:51Z,2022-04-03T16:04:33Z,2022-04-03T16:04:33Z,365
4669,2022-03-29T21:35:08Z,2022-04-13T16:20:43Z,2022-04-13T16:20:43Z,157
4666,2022-03-29T05:52:22Z,2022-04-11T19:04:05Z,2022-04-11T19:04:05Z,151
4665,2022-03-27T07:02:49Z,2022-03-28T21:07:43Z,2022-03-28T21:07:43Z,762
4664,2022-03-26T02:22:27Z,2022-04-11T18:49:56Z,2022-04-11T18:49:57Z,266
4662,2022-03-25T18:40:02Z,2022-03-25T18:56:30Z,2022-03-25T18:56:30Z,30
4661,2022-03-25T00:54:32Z,2022-03-25T04:54:03Z,2022-03-25T04:54:03Z,682
