number,created_at,merged_at,closed_at,desc_len
80,2016-07-11T02:48:24Z,2016-07-11T19:12:38Z,2016-07-11T19:12:38Z,209
79,2016-07-11T02:36:50Z,2016-07-11T19:50:37Z,2016-07-11T19:50:37Z,251
78,2016-07-11T02:31:24Z,,2016-07-12T04:39:55Z,65
77,2016-07-11T02:24:02Z,,2016-08-06T05:46:31Z,69
76,2016-07-11T02:10:10Z,2016-07-12T06:12:29Z,2016-07-12T06:12:29Z,60
75,2016-07-11T02:08:58Z,,2016-08-06T05:46:09Z,56
73,2016-07-10T23:55:51Z,2016-07-11T18:36:16Z,2016-07-11T18:36:16Z,244
72,2016-07-10T23:29:31Z,,2016-07-12T05:42:49Z,59
68,2016-07-10T20:03:26Z,,2016-07-14T18:38:08Z,42
66,2016-07-10T18:57:44Z,2016-07-10T19:27:41Z,2016-07-10T19:27:41Z,144
60,2016-07-10T17:15:44Z,2016-07-10T19:25:29Z,2016-07-10T19:25:29Z,123
58,2016-07-10T15:21:55Z,,2016-07-12T14:54:48Z,73
57,2016-07-10T14:05:26Z,,2016-07-10T18:42:56Z,79
54,2016-07-10T12:32:42Z,,2016-07-10T19:21:28Z,52
51,2016-07-10T10:31:39Z,,2016-07-11T12:02:49Z,85
49,2016-07-10T06:06:24Z,2016-07-10T11:49:07Z,2016-07-10T11:49:07Z,398
43,2016-07-10T02:54:49Z,2016-07-10T03:00:40Z,2016-07-10T03:00:40Z,33
32,2016-07-08T22:14:13Z,2016-07-10T02:28:58Z,2016-07-10T02:28:58Z,28
30,2016-07-08T19:48:06Z,,2016-07-10T11:47:15Z,38
27,2016-07-08T16:39:53Z,,2016-07-12T02:54:51Z,15
18,2016-07-08T13:56:25Z,,2016-07-08T14:09:25Z,65
13,2016-07-08T10:46:04Z,,2016-07-12T15:07:52Z,11
11,2016-07-08T09:01:03Z,2016-07-13T02:12:37Z,2016-07-13T02:12:37Z,38
10,2016-07-08T07:41:39Z,,2016-07-14T07:11:56Z,21
7,2016-07-07T21:57:11Z,,2016-07-09T00:35:19Z,123
6,2016-07-07T21:54:26Z,2016-07-10T02:27:56Z,2016-07-10T02:27:56Z,25
4,2016-07-07T15:09:52Z,2016-07-07T17:20:15Z,2016-07-07T17:20:15Z,107
2,2016-07-05T20:17:34Z,2016-07-06T03:24:20Z,2016-07-06T03:24:20Z,8
1,2016-07-05T19:14:21Z,,2016-07-06T03:25:22Z,36
473,2019-07-19T12:34:07Z,2019-07-19T22:11:32Z,2019-07-19T22:11:32Z,48
471,2019-07-19T11:05:37Z,,2019-07-22T12:42:31Z,52
430,2019-07-19T06:37:27Z,2019-08-05T20:36:23Z,2019-08-05T20:36:23Z,40
425,2019-07-18T21:41:02Z,2019-08-05T20:40:27Z,2019-08-05T20:40:27Z,32
424,2019-07-18T20:49:37Z,2019-08-05T20:39:40Z,2019-08-05T20:39:40Z,33
423,2019-07-18T17:30:31Z,2019-10-14T20:10:12Z,2019-10-14T20:10:12Z,24
422,2019-07-18T15:05:41Z,2019-09-11T19:03:33Z,2019-09-11T19:03:33Z,443
421,2019-07-18T13:44:14Z,,2019-07-18T21:08:43Z,110
419,2019-07-18T10:59:55Z,2019-07-18T13:27:17Z,2019-07-18T13:27:17Z,116
418,2019-07-18T10:53:39Z,,2019-07-20T07:09:46Z,39
417,2019-07-18T07:47:01Z,2019-08-05T20:52:10Z,2019-08-05T20:52:10Z,271
416,2019-07-18T06:14:31Z,2019-07-18T08:38:37Z,2019-07-18T08:38:37Z,127
415,2019-07-18T05:44:27Z,2020-01-09T17:25:37Z,2020-01-09T17:25:37Z,51
414,2019-07-18T04:50:12Z,,2019-07-18T21:08:38Z,16
413,2019-07-18T01:31:00Z,2019-07-18T13:38:21Z,2019-07-18T13:38:21Z,204
410,2019-07-18T00:35:34Z,2019-07-18T08:37:05Z,2019-07-18T08:37:05Z,61
409,2019-07-17T19:56:01Z,2019-07-17T22:25:55Z,2019-07-17T22:25:55Z,91
408,2019-07-17T19:46:15Z,2019-07-17T22:24:55Z,2019-07-17T22:24:55Z,33
406,2019-07-14T00:32:37Z,2019-07-15T20:34:43Z,2019-07-15T20:34:43Z,39
405,2019-06-22T17:46:31Z,2019-07-15T20:36:17Z,2019-07-15T20:36:17Z,52
404,2019-05-29T10:28:16Z,2019-06-16T15:47:46Z,2019-06-16T15:47:46Z,50
403,2019-05-24T18:44:02Z,2019-10-14T20:07:55Z,2019-10-14T20:07:55Z,56
402,2019-05-23T21:52:42Z,2019-09-11T17:22:24Z,2019-09-11T17:22:24Z,58
401,2019-05-22T18:03:20Z,2019-09-02T15:11:25Z,2019-09-02T15:11:25Z,52
400,2019-05-19T17:02:10Z,2019-09-15T19:04:13Z,2019-09-15T19:04:13Z,43
399,2019-05-18T14:22:32Z,2019-06-16T15:18:49Z,2019-06-16T15:18:50Z,18
398,2019-05-09T21:04:09Z,2019-07-19T22:18:51Z,2019-07-19T22:18:51Z,39
397,2019-05-08T13:12:43Z,2019-05-12T12:07:29Z,2019-05-12T12:07:29Z,36
396,2019-05-07T18:25:56Z,2019-09-11T19:00:40Z,2019-09-11T19:00:40Z,46
395,2019-05-05T08:06:17Z,2019-06-15T08:53:34Z,2019-06-15T08:53:34Z,36
394,2019-05-04T19:50:46Z,2019-06-16T15:07:19Z,2019-06-16T15:07:19Z,40
393,2019-05-04T07:31:22Z,2019-07-15T20:37:09Z,2019-07-15T20:37:09Z,54
392,2019-05-03T19:02:14Z,2019-07-15T20:37:51Z,2019-07-15T20:37:51Z,48
391,2019-05-02T19:29:04Z,2019-07-19T10:18:31Z,2019-07-19T10:18:32Z,36
390,2019-05-01T09:49:06Z,2019-07-21T17:04:42Z,2019-07-21T17:04:42Z,32
389,2019-05-01T09:04:16Z,2019-05-11T18:46:36Z,2019-05-11T18:46:36Z,48
388,2019-04-30T14:23:17Z,2019-05-09T04:40:19Z,2019-05-09T04:40:19Z,48
387,2019-04-28T09:09:11Z,2019-05-08T23:17:49Z,2019-05-08T23:17:49Z,39
386,2019-04-28T08:52:16Z,2019-05-08T18:41:37Z,2019-05-08T18:41:37Z,35
385,2019-04-27T09:04:16Z,2019-05-08T17:55:16Z,2019-05-08T17:55:16Z,55
384,2019-04-27T08:37:23Z,2019-05-08T13:33:32Z,2019-05-08T13:33:32Z,59
383,2019-04-25T17:45:07Z,2019-05-02T14:13:38Z,2019-05-02T14:13:38Z,68
382,2019-04-24T18:18:34Z,2019-05-02T14:11:42Z,2019-05-02T14:11:43Z,59
381,2019-04-23T18:26:05Z,2019-05-02T14:06:27Z,2019-05-02T14:06:27Z,42
380,2019-04-22T11:53:51Z,2019-05-02T14:04:09Z,2019-05-02T14:04:09Z,283
379,2019-04-22T09:51:26Z,2019-04-25T14:03:19Z,2019-04-25T14:03:20Z,179
378,2019-04-16T18:20:33Z,,2019-04-17T19:32:52Z,8
377,2019-03-29T15:57:03Z,2019-04-15T20:30:28Z,2019-04-15T20:30:28Z,53
376,2019-03-14T02:40:17Z,2019-03-27T16:09:46Z,2019-03-27T16:09:46Z,37
375,2019-02-16T01:25:26Z,2019-02-16T03:33:53Z,2019-02-16T03:33:53Z,251
374,2019-02-12T11:50:35Z,2019-02-12T23:02:55Z,2019-02-12T23:02:56Z,59
372,2019-01-28T01:46:45Z,2019-01-28T04:35:41Z,2019-01-28T04:35:41Z,168
371,2019-01-27T23:15:24Z,2019-01-28T00:14:04Z,2019-01-28T00:14:04Z,13
370,2019-01-22T01:13:07Z,2019-01-25T03:31:23Z,2019-01-25T03:31:23Z,300
369,2019-01-21T22:51:09Z,2019-01-22T00:23:11Z,2019-01-22T00:23:11Z,297
368,2019-01-21T21:53:14Z,,2019-01-21T22:58:00Z,38
365,2018-12-28T18:54:34Z,2019-01-10T03:39:33Z,2019-01-10T03:39:33Z,2526
364,2018-12-19T17:57:23Z,2018-12-30T00:37:10Z,2018-12-30T00:37:10Z,165
363,2018-12-12T01:04:46Z,2018-12-29T17:21:35Z,2018-12-29T17:21:35Z,99
358,2018-10-30T04:04:53Z,2018-11-13T16:12:25Z,2018-11-13T16:12:25Z,245
357,2018-10-21T09:11:22Z,2018-10-23T08:35:18Z,2018-10-23T08:35:18Z,356
356,2018-10-18T02:35:04Z,2018-10-20T17:03:19Z,2018-10-20T17:03:19Z,154
355,2018-10-09T16:02:45Z,2018-10-11T01:50:27Z,2018-10-11T01:50:27Z,46
354,2018-10-08T17:27:06Z,2018-10-09T08:16:46Z,2018-10-09T08:16:46Z,21
352,2018-10-03T19:01:56Z,2018-10-04T04:44:30Z,2018-10-04T04:44:30Z,447
351,2018-09-27T02:25:05Z,2018-09-27T15:55:32Z,2018-09-27T15:55:32Z,27
350,2018-09-27T02:20:43Z,2018-09-27T15:53:01Z,2018-09-27T15:53:01Z,98
349,2018-09-24T14:32:20Z,2018-09-26T17:10:03Z,2018-09-26T17:10:03Z,545
348,2018-09-24T13:02:55Z,2018-09-24T14:37:04Z,2018-09-24T14:37:04Z,78
347,2018-08-03T11:41:18Z,2018-09-05T17:50:15Z,2018-09-05T17:50:15Z,38
346,2018-07-24T11:50:49Z,2018-07-25T08:58:28Z,2018-07-25T08:58:29Z,441
345,2018-07-19T01:48:42Z,2018-07-19T02:28:18Z,2018-07-19T02:28:18Z,281
344,2018-07-17T10:26:44Z,2018-07-24T09:30:30Z,2018-07-24T09:30:30Z,99
343,2018-06-12T13:31:10Z,2018-07-18T22:10:17Z,2018-07-18T22:10:17Z,36
342,2018-05-31T14:14:27Z,2018-05-31T18:01:11Z,2018-05-31T18:01:11Z,138
341,2018-05-07T06:00:00Z,2018-06-09T10:03:12Z,2018-06-09T10:03:12Z,31
340,2018-05-07T04:30:10Z,2018-07-18T22:08:50Z,2018-07-18T22:08:50Z,39
339,2018-05-06T13:08:39Z,2018-05-28T13:41:56Z,2018-05-28T13:41:56Z,21
338,2018-05-05T13:31:13Z,2018-05-25T19:37:34Z,2018-05-25T19:37:34Z,43
337,2018-05-05T13:19:38Z,2018-07-18T21:57:25Z,2018-07-18T21:57:25Z,47
336,2018-05-05T12:56:24Z,2018-05-28T13:42:47Z,2018-05-28T13:42:47Z,47
335,2018-05-01T10:39:02Z,2018-05-25T19:30:28Z,2018-05-25T19:30:28Z,50
334,2018-04-29T08:22:35Z,,2018-07-24T09:33:41Z,55
333,2018-04-13T01:47:14Z,2018-04-13T16:34:27Z,2018-04-13T16:34:27Z,336
332,2018-04-12T02:57:13Z,,2018-04-13T16:34:55Z,95
331,2018-04-11T07:31:56Z,2018-04-21T15:51:26Z,2018-04-21T15:51:26Z,35
330,2018-04-06T05:42:59Z,2018-05-28T02:03:12Z,2018-05-28T02:03:12Z,21
329,2018-04-05T01:52:19Z,2018-05-28T07:42:26Z,2018-05-28T07:42:26Z,478
328,2018-04-04T22:00:57Z,2018-04-04T23:18:59Z,2018-04-04T23:18:59Z,54
327,2018-04-02T14:15:44Z,2018-04-23T14:32:55Z,2018-04-23T14:32:55Z,212
326,2018-03-29T15:48:29Z,2018-05-01T14:54:59Z,2018-05-01T14:54:59Z,55
325,2018-03-27T14:40:57Z,2018-04-02T10:21:56Z,2018-04-02T10:21:56Z,26
324,2018-03-20T16:02:54Z,,2020-02-21T00:22:03Z,140
323,2018-03-16T23:55:53Z,2018-03-23T02:05:11Z,2018-03-23T02:05:11Z,48
322,2018-03-14T22:49:46Z,2018-03-23T02:07:03Z,2018-03-23T02:07:03Z,52
321,2018-03-14T17:47:57Z,2018-03-14T23:23:46Z,2018-03-14T23:23:46Z,118
319,2018-03-14T14:04:58Z,,2018-03-14T15:46:29Z,123
318,2018-03-13T10:28:42Z,2018-03-23T03:18:17Z,2018-03-23T03:18:17Z,186
317,2018-03-12T12:18:40Z,2018-03-23T12:52:53Z,2018-03-23T12:52:53Z,85
316,2018-03-11T11:59:15Z,2018-03-23T02:08:39Z,2018-03-23T02:08:39Z,106
315,2018-03-10T18:58:08Z,2018-03-10T22:39:55Z,2018-03-10T22:39:55Z,57
314,2018-03-10T10:58:17Z,2018-03-10T12:38:47Z,2018-03-10T12:38:48Z,61
313,2018-03-10T10:41:46Z,2018-03-10T12:40:14Z,2018-03-10T12:40:14Z,63
312,2018-03-09T14:53:31Z,2018-04-02T10:19:35Z,2018-04-02T10:19:35Z,102
311,2018-03-08T16:54:58Z,2018-03-23T02:22:02Z,2018-03-23T02:22:02Z,91
310,2018-03-04T03:10:42Z,2018-04-13T21:12:23Z,2018-04-13T21:12:23Z,202
309,2018-03-03T04:19:17Z,2018-03-03T20:24:43Z,2018-03-03T20:24:43Z,107
308,2018-01-25T20:41:59Z,2018-03-23T05:13:20Z,2018-03-23T05:13:20Z,46
307,2018-01-20T06:35:19Z,2018-01-24T04:49:56Z,2018-01-24T04:49:56Z,112
306,2017-12-11T20:57:09Z,,2017-12-11T20:59:48Z,29
304,2017-11-11T12:15:21Z,2017-11-11T18:38:45Z,2017-11-11T18:38:46Z,153
303,2017-11-10T13:53:02Z,2017-11-11T04:39:52Z,2017-11-11T04:39:52Z,280
302,2017-10-31T20:48:28Z,2017-10-31T23:16:52Z,2017-10-31T23:16:52Z,160
301,2017-10-25T20:59:03Z,2017-10-25T20:59:09Z,2017-10-25T20:59:09Z,48
300,2017-10-25T14:12:02Z,2017-10-25T20:53:23Z,2017-10-25T20:53:23Z,53
299,2017-07-05T12:46:24Z,2017-07-05T14:15:16Z,2017-07-05T14:15:16Z,97
298,2017-06-19T08:21:26Z,2017-06-19T11:00:14Z,2017-06-19T11:00:14Z,46
297,2017-05-18T15:36:12Z,,2017-07-20T14:50:44Z,117
296,2017-05-10T04:43:27Z,2017-05-10T20:00:02Z,2017-05-10T20:00:02Z,420
294,2017-05-01T20:08:57Z,2017-05-03T23:06:03Z,2017-05-03T23:06:03Z,224
293,2017-05-01T02:53:05Z,2017-05-02T01:05:16Z,2017-05-02T01:05:16Z,103
292,2017-04-30T23:35:28Z,2017-05-01T00:58:00Z,2017-05-01T00:58:00Z,117
291,2017-04-30T12:51:16Z,2017-05-01T06:41:26Z,2017-05-01T06:41:26Z,404
290,2017-04-28T14:33:37Z,2017-04-30T05:08:57Z,2017-04-30T05:08:57Z,178
289,2017-04-24T18:26:02Z,2017-04-24T19:37:40Z,2017-04-24T19:37:40Z,1254
288,2017-04-09T18:24:48Z,,2017-04-09T22:03:10Z,15
284,2017-02-14T11:12:17Z,2017-02-22T04:33:45Z,2017-02-22T04:33:45Z,125
283,2017-02-14T10:56:44Z,2017-02-15T17:18:23Z,2017-02-15T17:18:23Z,205
282,2017-02-14T10:49:54Z,2017-02-15T17:06:45Z,2017-02-15T17:06:45Z,207
281,2017-02-14T10:41:40Z,2017-02-16T20:35:41Z,2017-02-16T20:35:41Z,135
280,2017-02-14T08:46:55Z,2017-02-14T10:14:39Z,2017-02-14T10:14:39Z,272
279,2017-02-14T08:40:37Z,2017-02-14T10:21:56Z,2017-02-14T10:21:56Z,215
278,2017-02-14T00:19:17Z,2017-03-06T01:13:25Z,2017-03-06T01:13:25Z,430
277,2017-02-13T12:27:43Z,,2017-02-14T08:19:52Z,538
275,2017-01-03T20:18:06Z,2017-01-03T20:18:40Z,2017-01-03T20:18:40Z,132
189,2016-12-15T12:21:34Z,2016-12-15T12:21:44Z,2016-12-15T12:21:45Z,276
