number,created_at,merged_at,closed_at,desc_len
54,2018-05-14T06:57:56Z,2018-05-14T07:09:09Z,2018-05-14T07:09:09Z,44
51,2018-05-13T23:57:44Z,,2018-05-14T07:20:27Z,239
48,2018-05-13T23:38:17Z,2018-05-14T07:06:36Z,2018-05-14T07:06:36Z,220
47,2018-05-13T23:29:09Z,,2018-05-14T17:27:47Z,32
46,2018-05-13T21:08:37Z,2018-05-13T21:18:44Z,2018-05-13T21:18:44Z,143
45,2018-05-13T21:03:46Z,,2018-05-13T21:26:41Z,127
42,2018-05-13T17:54:57Z,2018-05-13T20:44:22Z,2018-05-13T20:44:22Z,33
39,2018-05-13T15:52:06Z,2018-05-13T20:36:36Z,2018-05-13T20:36:36Z,96
38,2018-05-13T15:46:24Z,2018-05-13T20:24:58Z,2018-05-13T20:24:58Z,80
37,2018-05-13T14:55:57Z,,2018-05-13T22:22:04Z,256
36,2018-05-13T14:53:29Z,2018-05-13T20:21:45Z,2018-05-13T20:21:45Z,52
35,2018-05-13T14:44:31Z,2018-05-14T06:51:54Z,2018-05-14T06:51:54Z,35
32,2018-05-13T13:54:06Z,,2018-05-13T21:45:40Z,37
30,2018-05-13T10:05:48Z,2018-05-13T10:45:32Z,2018-05-13T10:45:32Z,457
28,2018-05-13T08:12:26Z,2018-05-13T08:55:11Z,2018-05-13T08:55:11Z,71
23,2018-05-13T02:49:07Z,,2018-05-13T06:56:34Z,111
21,2018-05-12T23:21:23Z,2018-05-13T06:50:27Z,2018-05-13T06:50:27Z,45
19,2018-05-12T22:40:14Z,2018-05-13T06:52:37Z,2018-05-13T06:52:37Z,34
16,2018-05-12T08:21:04Z,,2018-05-13T10:53:26Z,29
14,2018-05-11T16:52:43Z,2018-05-12T07:58:43Z,2018-05-12T07:58:43Z,62
10,2018-05-11T10:08:57Z,2018-05-12T07:55:36Z,2018-05-12T07:55:36Z,225
8,2018-05-11T02:35:10Z,,2018-05-11T07:37:35Z,49
7,2018-05-11T02:27:06Z,2018-05-11T07:17:47Z,2018-05-11T07:17:47Z,52
6,2018-05-10T19:57:41Z,2018-05-10T20:12:11Z,2018-05-10T20:12:11Z,46
4,2018-05-10T10:35:14Z,,2018-05-11T08:27:20Z,279
950,2023-10-29T21:43:16Z,2023-10-29T21:47:34Z,2023-10-29T21:47:34Z,115
944,2023-10-11T11:40:19Z,,2023-10-16T17:13:38Z,30
942,2023-10-10T15:26:58Z,2023-10-10T15:28:02Z,2023-10-10T15:28:02Z,106
941,2023-10-07T09:02:51Z,2023-10-09T11:25:24Z,2023-10-09T11:25:24Z,235
934,2023-09-30T06:56:25Z,2023-10-26T20:04:50Z,2023-10-26T20:04:50Z,214
933,2023-09-20T17:31:19Z,2023-09-20T17:36:20Z,2023-09-20T17:36:20Z,43
926,2023-08-08T19:25:06Z,2023-08-08T19:31:06Z,2023-08-08T19:31:06Z,258
923,2023-07-27T10:36:21Z,,2023-08-18T07:08:46Z,64
916,2023-07-08T17:47:57Z,2023-07-12T02:42:30Z,2023-07-12T02:42:30Z,16
913,2023-06-27T07:29:32Z,,2023-07-09T06:28:21Z,150
906,2023-05-30T14:07:27Z,,2023-08-14T20:38:36Z,58
904,2023-05-21T15:03:11Z,2023-05-22T10:50:58Z,2023-05-22T10:50:58Z,44
903,2023-05-20T17:32:25Z,2023-06-26T04:48:49Z,2023-06-26T04:48:49Z,105
898,2023-05-14T04:11:40Z,2023-05-22T06:19:08Z,2023-05-22T06:19:08Z,52
893,2023-05-09T09:03:51Z,2023-05-10T00:26:40Z,2023-05-10T00:26:40Z,151
892,2023-05-09T01:19:09Z,2023-05-09T09:01:40Z,2023-05-09T09:01:41Z,187
891,2023-05-08T20:13:28Z,,2023-05-09T08:52:24Z,35
890,2023-05-03T04:05:20Z,,2023-09-28T06:46:58Z,45
879,2023-04-13T11:24:41Z,,2023-07-08T09:05:34Z,66
878,2023-04-13T11:11:22Z,2023-05-28T13:56:02Z,2023-05-28T13:56:02Z,102
870,2023-03-26T10:00:21Z,,2023-10-16T15:00:21Z,21
864,2023-03-07T07:05:57Z,2023-03-07T13:52:01Z,2023-03-07T13:52:01Z,153
862,2023-03-03T17:38:45Z,,2023-04-13T16:00:46Z,26
859,2023-02-27T17:31:53Z,2023-02-27T19:27:50Z,2023-02-27T19:27:51Z,71
855,2023-02-14T19:48:30Z,2023-02-16T11:17:42Z,2023-02-16T11:17:42Z,60
853,2023-02-04T06:46:40Z,2023-02-04T14:24:56Z,2023-02-04T14:24:56Z,40
849,2023-01-30T12:24:21Z,2023-01-31T07:30:46Z,2023-01-31T07:30:46Z,175
846,2023-01-20T01:34:38Z,2023-01-30T06:34:25Z,2023-01-30T06:34:25Z,72
842,2023-01-01T19:53:01Z,,2023-01-02T09:12:42Z,278
841,2022-12-31T16:12:17Z,2023-01-02T09:09:58Z,2023-01-02T09:09:58Z,48
833,2022-12-17T10:21:22Z,2022-12-19T17:56:54Z,2022-12-19T17:56:54Z,22
831,2022-12-11T08:34:44Z,2022-12-13T17:37:51Z,2022-12-13T17:37:51Z,43
830,2022-12-05T03:54:07Z,2022-12-05T18:15:46Z,2022-12-05T18:15:46Z,56
828,2022-12-03T04:53:07Z,2022-12-08T09:54:49Z,2022-12-08T09:54:49Z,31
827,2022-11-29T14:08:18Z,2022-12-02T07:17:19Z,2022-12-02T07:17:19Z,1370
825,2022-11-25T02:19:26Z,2022-11-28T04:34:50Z,2022-11-28T04:34:51Z,787
824,2022-11-14T17:21:21Z,,2022-11-14T17:23:01Z,16
821,2022-11-10T16:57:36Z,2023-01-31T07:29:06Z,2023-01-31T07:29:06Z,34
820,2022-11-06T23:43:39Z,,2022-12-24T19:17:46Z,95
819,2022-10-31T08:28:20Z,,2022-10-31T16:26:01Z,28
817,2022-10-29T09:01:34Z,2022-10-29T09:08:12Z,2022-10-29T09:08:12Z,186
