number,created_at,merged_at,closed_at,desc_len
6157,2023-04-21T18:24:26Z,2023-04-21T19:04:08Z,2023-04-21T19:04:08Z,71
6155,2023-04-20T15:14:00Z,2023-04-20T18:58:58Z,2023-04-20T18:58:58Z,4577
6154,2023-04-20T03:16:22Z,2023-04-25T19:41:33Z,2023-04-25T19:41:33Z,351
6148,2023-04-13T17:53:18Z,2023-04-13T18:34:33Z,2023-04-13T18:34:34Z,35
6144,2023-04-12T21:16:23Z,,2023-04-20T15:14:03Z,3356
6142,2023-04-11T20:52:16Z,2023-04-12T16:52:17Z,2023-04-12T16:52:17Z,34
6135,2023-04-07T20:44:20Z,2023-04-10T18:28:13Z,2023-04-10T18:28:13Z,33
6134,2023-04-07T20:41:16Z,2023-04-07T22:01:25Z,2023-04-07T22:01:25Z,6776
6133,2023-04-07T20:18:24Z,2023-04-07T20:55:02Z,2023-04-07T20:55:02Z,10154
6132,2023-04-07T20:18:21Z,2023-04-07T21:21:37Z,2023-04-07T21:21:37Z,11398
6125,2023-04-01T12:06:01Z,2023-04-07T20:17:22Z,2023-04-07T20:17:22Z,10335
6124,2023-04-01T12:05:34Z,,2023-04-07T20:18:25Z,11924
6123,2023-04-01T12:04:52Z,2023-04-07T21:40:43Z,2023-04-07T21:40:43Z,10990
6122,2023-04-01T12:04:20Z,,2023-04-07T20:18:28Z,9067
6121,2023-04-01T12:03:23Z,2023-04-07T20:36:33Z,2023-04-07T20:36:33Z,4599
6115,2023-03-28T20:03:27Z,2023-03-30T20:01:49Z,2023-03-30T20:01:50Z,139
6103,2023-03-23T06:38:38Z,2023-03-30T18:00:58Z,2023-03-30T18:00:58Z,22
6102,2023-03-22T18:13:00Z,2023-03-22T19:02:00Z,2023-03-22T19:02:00Z,16613
6101,2023-03-22T18:12:55Z,,2023-04-01T12:05:37Z,12393
6100,2023-03-22T18:12:49Z,2023-03-22T19:08:54Z,2023-03-22T19:08:54Z,5872
6099,2023-03-22T18:12:45Z,2023-03-22T19:02:22Z,2023-03-22T19:02:23Z,2189
6098,2023-03-22T16:57:48Z,2023-03-22T17:52:35Z,2023-03-22T17:52:35Z,516
6096,2023-03-21T20:53:07Z,2023-03-30T17:24:33Z,2023-03-30T17:24:33Z,148
6095,2023-03-21T20:17:37Z,2023-03-22T18:58:55Z,2023-03-22T18:58:56Z,11392
6094,2023-03-21T20:17:35Z,2023-03-22T18:11:43Z,2023-03-22T18:11:43Z,2257
6093,2023-03-21T17:16:49Z,2023-03-22T01:02:32Z,2023-03-22T01:02:32Z,328
6087,2023-03-16T19:34:09Z,2023-04-11T19:17:04Z,2023-04-11T19:17:04Z,5026
6086,2023-03-16T19:34:08Z,2023-03-22T19:03:40Z,2023-03-22T19:03:40Z,6936
6085,2023-03-16T19:34:07Z,2023-04-10T17:45:09Z,2023-04-10T17:45:09Z,5999
6084,2023-03-16T19:34:06Z,2023-03-22T19:03:09Z,2023-03-22T19:03:09Z,3718
6083,2023-03-16T19:34:05Z,2023-03-22T19:02:53Z,2023-03-22T19:02:53Z,3804
6078,2023-03-15T12:40:57Z,2023-03-16T17:46:12Z,2023-03-16T17:46:12Z,287
6075,2023-03-14T20:53:54Z,2023-03-14T21:49:25Z,2023-03-14T21:49:25Z,5097
6072,2023-03-14T20:06:29Z,2023-03-14T20:52:54Z,2023-03-14T20:52:54Z,23
6070,2023-03-13T20:36:50Z,2023-03-14T20:03:54Z,2023-03-14T20:03:54Z,308
6048,2023-03-03T03:16:59Z,2023-03-03T09:12:34Z,2023-03-03T09:12:34Z,32
6044,2023-03-01T13:02:30Z,,2023-03-22T18:12:53Z,5735
6043,2023-03-01T13:02:17Z,,2023-03-22T18:12:58Z,12021
6042,2023-03-01T13:02:01Z,,2023-03-22T18:13:04Z,14961
6041,2023-03-01T13:01:26Z,,2023-03-22T18:12:49Z,2189
6040,2023-03-01T13:01:08Z,2023-03-22T19:02:42Z,2023-03-22T19:02:42Z,9336
6039,2023-03-01T13:00:37Z,,2023-03-14T20:53:58Z,3451
6028,2023-02-20T14:10:55Z,2023-02-27T22:57:58Z,2023-02-27T22:57:58Z,266
6018,2023-02-13T22:04:23Z,2023-02-13T22:52:49Z,2023-02-13T22:52:49Z,24
6015,2023-02-12T09:57:55Z,2023-02-13T18:56:05Z,2023-02-13T18:56:05Z,205
6004,2023-02-06T22:12:56Z,2023-02-07T22:22:06Z,2023-02-07T22:22:07Z,246
6003,2023-02-06T17:34:50Z,2023-02-06T18:41:05Z,2023-02-06T18:41:05Z,4115
6002,2023-02-06T17:34:31Z,2023-02-06T18:59:25Z,2023-02-06T18:59:25Z,15998
6001,2023-02-06T17:34:03Z,2023-02-06T19:12:58Z,2023-02-06T19:12:58Z,2114
6000,2023-02-06T17:33:53Z,,2023-02-06T18:21:48Z,3014
5999,2023-02-06T17:33:44Z,,2023-02-06T18:22:55Z,5304
5998,2023-02-06T17:33:23Z,,2023-02-06T17:37:00Z,5488
5997,2023-02-06T13:48:24Z,2023-02-06T17:32:52Z,2023-02-06T17:32:52Z,130
5994,2023-02-02T04:52:25Z,2023-02-06T17:36:05Z,2023-02-06T17:36:05Z,1042
5989,2023-01-27T16:07:00Z,2023-02-06T16:24:37Z,2023-02-06T16:24:37Z,104
5979,2023-01-19T17:11:15Z,2023-01-27T16:41:28Z,2023-01-27T16:41:28Z,37
5975,2023-01-18T22:37:58Z,2023-01-27T17:14:54Z,2023-01-27T17:14:55Z,167
