number,created_at,merged_at,closed_at,desc_len
792,2012-08-31T20:18:16Z,2012-09-04T02:20:04Z,2012-09-04T02:20:04Z,20
790,2012-08-30T14:18:21Z,,2013-01-23T20:32:29Z,256
789,2012-08-28T17:33:13Z,,2012-09-04T02:23:21Z,106
786,2012-08-24T15:37:18Z,,2016-05-14T16:35:09Z,149
783,2012-08-21T14:52:35Z,,2012-10-06T13:20:07Z,456
782,2012-08-21T11:10:01Z,2012-09-04T02:20:04Z,2012-09-04T02:20:04Z,106
781,2012-08-20T21:27:59Z,,2012-09-04T02:23:04Z,44
780,2012-08-20T21:26:27Z,2012-09-04T02:20:04Z,2012-09-04T02:20:04Z,363
776,2012-08-17T17:41:27Z,,2012-11-30T18:30:52Z,377
774,2012-08-16T21:41:28Z,2012-09-04T02:20:03Z,2012-09-04T02:20:03Z,28
772,2012-08-16T20:27:19Z,2012-09-04T02:20:03Z,2012-09-04T02:20:03Z,39
770,2012-08-15T22:28:19Z,,2012-10-29T16:35:07Z,198
767,2012-08-15T14:48:47Z,,2012-10-29T16:07:07Z,111
766,2012-08-13T21:34:48Z,,2016-04-26T21:06:55Z,956
765,2012-08-13T13:05:51Z,,2012-10-06T00:16:46Z,48
764,2012-08-13T10:56:02Z,,2013-06-08T19:20:42Z,98
763,2012-08-12T23:01:26Z,2012-09-04T02:20:02Z,2012-09-04T02:20:02Z,131
762,2012-08-12T20:30:39Z,,2012-10-29T16:23:23Z,670
761,2012-08-12T12:42:48Z,2012-08-12T15:56:03Z,2012-08-12T15:56:03Z,117
760,2012-08-11T17:10:32Z,,2012-08-11T17:31:16Z,473
759,2012-08-10T19:03:11Z,,2016-04-26T20:33:18Z,467
758,2012-08-10T15:42:53Z,,2012-08-10T16:19:27Z,579
757,2012-08-10T03:09:42Z,,2012-09-18T22:57:56Z,42
756,2012-08-09T01:08:26Z,2012-08-10T03:12:30Z,2012-08-10T03:12:30Z,993
753,2012-08-07T19:25:08Z,,2012-08-09T01:09:22Z,226
