number,created_at,merged_at,closed_at,desc_len
42,2015-11-30T01:16:05Z,,2015-11-30T01:16:51Z,76
41,2015-11-09T14:40:51Z,2016-01-04T21:26:39Z,2016-01-04T21:26:39Z,68
39,2015-10-14T07:17:32Z,2016-01-04T21:29:08Z,2016-01-04T21:29:08Z,236
38,2015-10-01T23:58:18Z,2016-01-04T21:28:55Z,2016-01-04T21:28:55Z,55
35,2015-09-21T23:56:06Z,2016-01-04T21:29:16Z,2016-01-04T21:29:16Z,25
32,2015-08-27T10:09:13Z,2016-01-04T21:28:29Z,2016-01-04T21:28:29Z,92
30,2015-08-13T13:12:31Z,2016-01-04T21:29:30Z,2016-01-04T21:29:30Z,162
29,2015-08-06T03:09:31Z,2016-01-04T21:29:38Z,2016-01-04T21:29:38Z,225
28,2015-08-02T22:34:43Z,,2015-08-05T14:21:55Z,39
26,2015-05-17T23:51:54Z,,2015-08-05T14:22:35Z,125
25,2015-05-12T13:37:06Z,,2015-08-05T14:23:04Z,5
24,2015-04-30T16:57:33Z,,2015-08-05T14:27:25Z,159
23,2015-03-26T03:21:25Z,,2015-08-05T14:26:37Z,37
22,2015-03-13T06:20:25Z,,2015-08-05T14:23:58Z,23
21,2015-03-13T06:19:24Z,,2015-08-05T14:26:56Z,23
20,2015-02-11T14:14:32Z,2015-03-12T22:26:07Z,2015-03-12T22:26:07Z,19
19,2015-02-04T07:21:19Z,2015-02-10T05:51:41Z,2015-02-10T05:51:41Z,52
18,2015-02-04T06:57:52Z,2015-02-10T05:51:56Z,2015-02-10T05:51:56Z,64
17,2015-02-04T03:57:03Z,2015-02-10T05:52:08Z,2015-02-10T05:52:08Z,38
16,2015-01-27T06:46:53Z,2015-02-04T03:30:48Z,2015-02-04T03:30:48Z,34
15,2015-01-27T06:43:12Z,2015-02-04T03:31:47Z,2015-02-04T03:31:47Z,69
14,2015-01-27T06:32:44Z,2015-02-04T03:42:08Z,2015-02-04T03:42:08Z,73
13,2015-01-26T12:22:32Z,2015-02-04T03:42:31Z,2015-02-04T03:42:31Z,22
12,2015-01-26T12:08:15Z,2015-02-04T03:42:48Z,2015-02-04T03:42:48Z,43
11,2015-01-26T11:25:44Z,2015-02-04T03:43:15Z,2015-02-04T03:43:15Z,136
10,2015-01-15T21:44:30Z,2015-02-04T03:43:31Z,2015-02-04T03:43:31Z,54
9,2014-11-19T07:22:35Z,2015-01-12T20:36:38Z,2015-01-12T20:36:38Z,36
8,2014-10-06T05:48:39Z,2015-01-12T20:38:09Z,2015-01-12T20:38:09Z,73
7,2014-10-03T18:33:00Z,2015-01-12T20:38:23Z,2015-01-12T20:38:23Z,64
6,2014-09-09T15:17:23Z,2015-01-12T20:37:43Z,2015-01-12T20:37:43Z,128
3,2014-05-15T09:05:15Z,2014-05-16T20:21:42Z,2014-05-16T20:21:42Z,21
2,2014-02-04T21:34:46Z,2014-05-16T20:20:51Z,2014-05-16T20:20:51Z,243
896,2023-08-15T22:03:47Z,,2023-08-15T22:34:48Z,95
895,2023-08-15T21:43:52Z,2023-08-15T21:43:58Z,2023-08-15T21:43:58Z,17
894,2023-08-14T11:36:38Z,2023-08-15T21:31:22Z,2023-08-15T21:31:22Z,280
890,2023-07-12T12:49:46Z,2023-08-15T21:29:39Z,2023-08-15T21:29:39Z,286
883,2023-06-06T09:52:35Z,,2023-06-06T09:53:07Z,133
881,2023-05-25T04:01:06Z,2023-08-15T21:22:57Z,2023-08-15T21:22:57Z,408
879,2023-05-18T12:12:37Z,2023-08-15T21:22:20Z,2023-08-15T21:22:20Z,117
878,2023-05-18T11:58:24Z,2023-08-15T21:20:17Z,2023-08-15T21:20:17Z,552
877,2023-05-18T06:32:47Z,2023-08-15T21:06:08Z,2023-08-15T21:06:08Z,1232
875,2023-05-16T08:59:20Z,2023-05-16T08:59:26Z,2023-05-16T08:59:26Z,17
871,2023-04-24T02:01:32Z,2023-05-16T05:28:19Z,2023-05-16T05:28:19Z,125
870,2023-04-18T11:53:22Z,2023-05-16T06:51:54Z,2023-05-16T06:51:54Z,409
867,2023-03-17T07:15:05Z,2023-05-16T08:29:10Z,2023-05-16T08:29:10Z,118
866,2023-03-17T07:09:55Z,2023-05-16T08:29:56Z,2023-05-16T08:29:56Z,221
865,2023-03-17T06:59:58Z,,2023-03-17T07:05:43Z,681
864,2023-03-14T16:56:14Z,2023-08-15T21:31:46Z,2023-08-15T21:31:46Z,24
863,2023-03-10T15:56:37Z,2023-05-16T08:31:14Z,2023-05-16T08:31:15Z,62
860,2023-03-09T12:39:35Z,2023-05-16T08:31:59Z,2023-05-16T08:31:59Z,708
859,2023-03-09T12:35:30Z,2023-03-09T12:36:26Z,2023-03-09T12:36:26Z,336
858,2023-03-09T12:33:19Z,2023-03-09T12:33:31Z,2023-03-09T12:33:31Z,17
857,2023-02-26T02:11:08Z,2023-03-09T11:59:22Z,2023-03-09T11:59:22Z,112
855,2023-02-22T17:46:24Z,2023-03-09T12:00:23Z,2023-03-09T12:00:23Z,431
854,2023-02-22T11:10:22Z,,2023-02-22T17:35:11Z,241
853,2023-02-22T08:22:20Z,2023-03-09T12:00:44Z,2023-03-09T12:00:44Z,124
852,2023-02-21T16:14:13Z,2023-05-16T08:32:35Z,2023-05-16T08:32:36Z,109
851,2023-02-20T12:04:45Z,,2023-03-09T12:19:09Z,284
850,2023-02-18T02:09:47Z,2023-03-09T12:04:50Z,2023-03-09T12:04:50Z,367
849,2023-02-18T01:38:06Z,2023-03-09T12:05:43Z,2023-03-09T12:05:43Z,559
847,2023-02-14T05:34:02Z,,2023-03-09T12:07:13Z,10
846,2023-02-09T14:06:40Z,2023-03-09T12:07:57Z,2023-03-09T12:07:57Z,222
845,2023-02-03T20:01:28Z,2023-03-09T12:08:20Z,2023-03-09T12:08:20Z,109
843,2023-01-23T13:28:57Z,,2023-03-09T12:09:40Z,281
840,2023-01-05T19:21:44Z,2023-03-09T12:13:54Z,2023-03-09T12:13:54Z,144
837,2022-12-22T15:16:16Z,2023-03-09T12:14:35Z,2023-03-09T12:14:35Z,599
836,2022-12-20T20:28:08Z,2023-03-09T12:15:00Z,2023-03-09T12:15:00Z,245
835,2022-11-27T17:48:29Z,2023-03-09T12:14:40Z,2023-03-09T12:14:40Z,809
834,2022-11-25T12:33:21Z,2023-03-09T12:16:14Z,2023-03-09T12:16:14Z,54
833,2022-11-23T11:30:07Z,2023-03-09T12:16:58Z,2023-03-09T12:16:58Z,1377
832,2022-11-23T04:31:21Z,2023-03-09T12:17:19Z,2023-03-09T12:17:19Z,105
831,2022-11-22T12:56:25Z,2022-11-22T12:56:36Z,2022-11-22T12:56:36Z,28
828,2022-11-17T19:31:27Z,2022-11-22T12:24:31Z,2022-11-22T12:24:31Z,455
827,2022-11-08T22:16:41Z,2023-03-09T12:19:38Z,2023-03-09T12:19:38Z,528
826,2022-11-08T22:09:00Z,,2022-11-08T22:10:41Z,528
825,2022-11-07T09:19:37Z,2022-11-22T12:23:10Z,2022-11-22T12:23:10Z,418
824,2022-11-01T16:04:10Z,2022-11-22T12:22:36Z,2022-11-22T12:22:36Z,543
823,2022-10-31T04:55:08Z,,2023-05-16T08:33:30Z,158
822,2022-10-16T05:24:04Z,2022-11-22T12:20:56Z,2022-11-22T12:20:56Z,328
821,2022-10-16T05:15:22Z,,2022-10-16T05:15:37Z,246
819,2022-10-05T03:15:32Z,,2023-05-16T08:34:13Z,39
817,2022-10-01T06:55:29Z,2022-11-22T12:16:00Z,2022-11-22T12:16:00Z,362
815,2022-09-30T12:36:17Z,2022-11-22T12:15:20Z,2022-11-22T12:15:20Z,112
814,2022-09-27T21:37:11Z,2022-11-22T12:14:41Z,2022-11-22T12:14:41Z,66
813,2022-09-25T17:41:52Z,2022-11-22T12:14:19Z,2022-11-22T12:14:19Z,130
812,2022-09-15T18:48:25Z,2022-11-22T12:13:03Z,2022-11-22T12:13:03Z,70
811,2022-09-15T18:45:34Z,2022-11-22T12:12:19Z,2022-11-22T12:12:19Z,66
810,2022-09-15T02:08:24Z,2022-11-22T12:11:39Z,2022-11-22T12:11:39Z,137
809,2022-09-08T15:37:34Z,,2022-09-17T08:33:09Z,233
808,2022-09-08T07:39:59Z,2022-11-22T12:10:51Z,2022-11-22T12:10:51Z,59
807,2022-09-05T16:25:01Z,2022-11-22T12:09:25Z,2022-11-22T12:09:25Z,911
805,2022-08-30T19:26:14Z,2022-11-22T12:08:33Z,2022-11-22T12:08:33Z,663
804,2022-08-26T19:44:44Z,2022-11-22T12:16:37Z,2022-11-22T12:16:37Z,13
803,2022-08-22T15:55:09Z,2022-11-22T12:06:44Z,2022-11-22T12:06:44Z,82
802,2022-08-12T22:08:32Z,,2022-08-12T22:08:54Z,22
801,2022-08-08T16:32:41Z,2022-11-22T12:05:49Z,2022-11-22T12:05:49Z,667
800,2022-08-08T05:41:10Z,2022-11-22T12:02:46Z,2022-11-22T12:02:46Z,1273
799,2022-08-04T19:04:22Z,,2023-03-09T12:22:01Z,64
798,2022-08-03T15:18:50Z,2022-11-22T11:58:45Z,2022-11-22T11:58:45Z,146
797,2022-08-02T10:28:23Z,2022-08-02T10:56:53Z,2022-08-02T10:56:53Z,174
796,2022-08-02T09:51:08Z,2022-08-02T09:51:13Z,2022-08-02T09:51:13Z,16
795,2022-08-02T04:20:50Z,2022-08-02T05:20:27Z,2022-08-02T05:20:27Z,834
794,2022-07-27T15:17:56Z,2022-08-01T23:09:42Z,2022-08-01T23:09:42Z,228
792,2022-07-23T14:44:10Z,2022-08-01T23:10:19Z,2022-08-01T23:10:19Z,80
791,2022-07-19T07:26:56Z,2022-08-01T23:11:32Z,2022-08-01T23:11:32Z,413
790,2022-07-16T15:48:41Z,2022-08-01T23:12:53Z,2022-08-01T23:12:53Z,119
786,2022-06-28T13:17:48Z,2022-08-02T05:22:46Z,2022-08-02T05:22:46Z,68
785,2022-06-28T07:02:09Z,2022-08-02T06:22:23Z,2022-08-02T06:22:23Z,184
784,2022-06-27T17:25:41Z,2022-08-02T05:25:24Z,2022-08-02T05:25:24Z,227
783,2022-06-27T17:20:26Z,2022-08-02T05:25:56Z,2022-08-02T05:25:56Z,153
782,2022-06-27T17:18:15Z,2022-08-02T05:26:49Z,2022-08-02T05:26:49Z,154
781,2022-06-27T17:06:30Z,2022-08-02T05:28:30Z,2022-08-02T05:28:30Z,73
