number,created_at,merged_at,closed_at,desc_len
139,2018-03-02T16:19:29Z,2018-03-04T19:14:45Z,2018-03-04T19:14:45Z,156
137,2018-02-25T12:51:34Z,2018-02-27T02:28:05Z,2018-02-27T02:28:05Z,194
135,2018-02-19T23:34:53Z,2018-02-23T03:49:18Z,2018-02-23T03:49:18Z,42
133,2018-02-14T04:51:04Z,2018-02-28T02:41:24Z,2018-02-28T02:41:24Z,307
132,2018-02-12T01:29:05Z,,2018-02-16T04:03:18Z,48
129,2018-01-26T20:51:15Z,2018-02-08T00:57:01Z,2018-02-08T00:57:01Z,116
128,2018-01-23T04:07:19Z,2018-01-24T05:26:59Z,2018-01-24T05:27:00Z,31
125,2018-01-06T13:10:29Z,2018-02-16T01:37:46Z,2018-02-16T01:37:46Z,25
124,2018-01-06T13:07:40Z,2019-04-10T00:47:00Z,2019-04-10T00:47:00Z,54
123,2018-01-06T13:04:37Z,2018-02-02T23:08:50Z,2018-02-02T23:08:50Z,40
122,2018-01-06T12:59:55Z,2018-01-21T16:55:00Z,2018-01-21T16:55:00Z,36
121,2018-01-02T12:01:03Z,,2018-01-21T16:51:13Z,35
120,2017-12-30T22:44:39Z,2018-01-06T00:25:20Z,2018-01-06T00:25:20Z,32
119,2017-12-06T15:03:13Z,2017-12-08T01:18:26Z,2017-12-08T01:18:26Z,789
118,2017-12-02T14:33:28Z,2017-12-03T12:09:42Z,2017-12-03T12:09:42Z,32
117,2017-12-02T01:27:25Z,2017-12-02T01:28:00Z,2017-12-02T01:28:00Z,31
116,2017-11-20T01:11:18Z,2017-11-30T01:12:16Z,2017-11-30T01:12:16Z,328
115,2017-10-31T23:48:22Z,2017-11-03T00:03:29Z,2017-11-03T00:03:29Z,28
114,2017-10-27T04:40:49Z,2017-12-02T01:15:57Z,2017-12-02T01:15:57Z,64
113,2017-10-21T19:56:43Z,2017-10-25T01:06:00Z,2017-10-25T01:06:00Z,68
111,2017-10-07T16:03:13Z,2017-10-14T00:26:47Z,2017-10-14T00:26:47Z,27
109,2017-10-02T02:42:48Z,2017-10-07T16:06:38Z,2017-10-07T16:06:38Z,148
108,2017-09-29T06:10:36Z,2017-10-09T00:52:45Z,2017-10-09T00:52:45Z,32
106,2017-09-23T13:59:44Z,2017-09-24T11:43:55Z,2017-09-24T11:43:55Z,28
105,2017-09-19T23:29:51Z,2017-09-19T23:30:45Z,2017-09-19T23:30:45Z,40
101,2017-09-15T01:04:17Z,2017-09-15T01:05:02Z,2017-09-15T01:05:02Z,29
99,2017-08-22T23:38:04Z,2017-08-30T00:13:03Z,2017-08-30T00:13:03Z,59
98,2017-08-15T07:19:19Z,2018-03-07T00:37:47Z,2018-03-07T00:37:47Z,271
97,2017-07-29T04:47:34Z,,2017-07-29T04:49:29Z,65
96,2017-07-18T02:25:43Z,2017-07-18T02:29:29Z,2017-07-18T02:29:29Z,91
95,2017-07-17T14:04:37Z,2017-07-18T02:08:37Z,2017-07-18T02:08:37Z,35
94,2017-07-14T12:14:23Z,,2017-07-18T02:14:46Z,50
93,2017-07-11T03:27:24Z,,2018-10-28T21:25:17Z,358
92,2017-07-10T07:25:48Z,,2017-07-18T02:13:02Z,267
91,2017-07-08T23:43:21Z,2017-07-23T16:07:36Z,2017-07-23T16:07:36Z,28
89,2017-07-01T16:00:36Z,2017-07-01T16:07:08Z,2017-07-01T16:07:08Z,27
85,2017-06-06T15:19:52Z,2017-06-14T00:43:11Z,2017-06-14T00:43:11Z,363
83,2017-05-29T16:47:48Z,2017-05-30T00:55:33Z,2017-05-30T00:55:33Z,74
82,2017-05-29T13:21:20Z,2017-06-06T00:25:04Z,2017-06-06T00:25:04Z,112
81,2017-05-25T01:47:16Z,2017-05-27T00:31:32Z,2017-05-27T00:31:32Z,58
80,2017-05-23T12:42:10Z,,2017-05-23T12:42:28Z,7
78,2017-05-18T08:42:10Z,,2017-05-27T00:34:53Z,162
76,2017-05-12T04:48:11Z,2017-05-12T04:49:37Z,2017-05-12T04:49:37Z,99
75,2017-05-09T13:31:23Z,2017-05-27T00:32:45Z,2017-05-27T00:32:45Z,8
74,2017-05-02T19:28:31Z,2017-05-16T04:17:24Z,2017-05-16T04:17:24Z,104
73,2017-04-26T13:07:53Z,,2017-04-26T13:08:17Z,62
72,2017-04-26T13:05:21Z,,2017-04-26T13:05:39Z,62
71,2017-04-26T12:58:52Z,,2017-04-26T13:02:42Z,62
70,2017-04-22T00:18:56Z,,2018-04-09T00:32:18Z,97
69,2017-04-22T00:06:53Z,2017-05-16T04:10:52Z,2017-05-16T04:10:52Z,36
65,2017-04-16T22:04:23Z,2017-04-16T22:06:31Z,2017-04-16T22:06:31Z,154
64,2017-04-16T03:17:12Z,2017-04-16T21:49:16Z,2017-04-16T21:49:16Z,142
62,2017-04-15T07:44:20Z,2017-04-15T13:32:32Z,2017-04-15T13:32:32Z,168
61,2017-04-15T00:35:25Z,2017-04-15T00:35:51Z,2017-04-15T00:35:51Z,151
60,2017-04-14T03:09:31Z,,2017-04-15T07:59:20Z,267
59,2017-04-12T18:48:46Z,2017-04-14T01:04:39Z,2017-04-14T01:04:39Z,27
57,2017-04-10T11:04:24Z,2017-04-10T11:04:43Z,2017-04-10T11:04:43Z,27
56,2017-04-09T17:15:44Z,2017-04-09T17:15:58Z,2017-04-09T17:15:58Z,31
55,2017-04-07T23:44:25Z,2017-04-08T00:20:38Z,2017-04-08T00:20:38Z,35
51,2017-04-06T06:39:12Z,,2017-04-06T07:02:45Z,37
50,2017-04-04T08:27:14Z,2017-04-04T09:56:39Z,2017-04-04T09:56:39Z,320
49,2017-04-03T10:37:04Z,2017-04-03T10:41:01Z,2017-04-03T10:41:01Z,51
48,2017-04-02T12:33:41Z,2017-04-02T12:34:48Z,2017-04-02T12:34:48Z,517
47,2017-04-02T12:09:06Z,2017-04-02T12:09:51Z,2017-04-02T12:09:51Z,177
46,2017-03-31T20:16:11Z,,2017-03-31T20:18:40Z,16
37,2017-03-27T11:20:38Z,2017-03-27T11:21:08Z,2017-03-27T11:21:08Z,43
36,2017-03-26T16:58:09Z,2017-03-28T11:45:13Z,2017-03-28T11:45:13Z,80
35,2017-03-25T22:50:04Z,2017-03-29T10:19:15Z,2017-03-29T10:19:15Z,284
34,2017-03-24T11:32:50Z,,2017-03-26T17:02:10Z,152
33,2017-03-23T22:30:10Z,2017-03-24T02:42:03Z,2017-03-24T02:42:03Z,9
30,2017-03-23T03:20:43Z,2017-03-23T03:20:58Z,2017-03-23T03:20:58Z,30
29,2017-03-22T16:44:21Z,2017-03-23T02:53:16Z,2017-03-23T02:53:16Z,8
26,2017-03-19T22:54:10Z,2017-03-21T11:39:11Z,2017-03-21T11:39:11Z,265
25,2017-03-18T16:45:40Z,2017-03-19T19:24:13Z,2017-03-19T19:24:13Z,53
24,2017-03-18T04:17:42Z,2017-03-18T15:37:17Z,2017-03-18T15:37:17Z,48
23,2017-03-16T22:49:05Z,2017-03-19T19:23:03Z,2017-03-19T19:23:03Z,293
22,2017-03-15T10:59:14Z,2017-03-15T10:59:28Z,2017-03-15T10:59:28Z,31
21,2017-03-13T10:42:23Z,2017-03-13T10:42:36Z,2017-03-13T10:42:36Z,25
20,2017-03-13T10:39:47Z,2017-03-13T10:40:03Z,2017-03-13T10:40:03Z,26
19,2017-03-12T21:14:01Z,2017-03-12T21:17:30Z,2017-03-12T21:17:30Z,25
18,2017-03-11T19:34:19Z,,2017-03-12T22:17:14Z,20
17,2017-03-11T16:47:20Z,2017-03-11T16:59:59Z,2017-03-11T16:59:59Z,91
14,2017-03-10T07:53:56Z,2017-03-11T02:06:35Z,2017-03-11T02:06:35Z,18
13,2017-03-10T04:30:56Z,2017-03-11T02:07:51Z,2017-03-11T02:07:51Z,28
11,2017-03-09T14:21:29Z,2017-03-10T00:37:40Z,2017-03-10T00:37:40Z,31
10,2017-03-09T10:50:34Z,2017-03-10T00:36:12Z,2017-03-10T00:36:12Z,109
9,2017-03-09T10:22:26Z,2017-03-10T00:40:13Z,2017-03-10T00:40:13Z,30
8,2017-03-09T04:30:26Z,2017-03-09T04:31:09Z,2017-03-09T04:31:09Z,34
5,2017-03-09T03:19:17Z,2017-03-09T03:20:24Z,2017-03-09T03:20:24Z,41
308,2019-07-23T16:11:36Z,2019-08-13T23:51:20Z,2019-08-13T23:51:20Z,315
307,2019-07-23T16:10:20Z,2019-08-13T23:50:53Z,2019-08-13T23:50:53Z,260
306,2019-07-23T16:09:07Z,2019-08-13T23:50:10Z,2019-08-13T23:50:10Z,168
305,2019-07-18T15:53:00Z,2019-12-09T03:35:45Z,2019-12-09T03:35:45Z,100
303,2019-07-10T15:27:54Z,2019-08-05T00:30:54Z,2019-08-05T00:30:54Z,694
302,2019-07-10T15:13:37Z,2019-08-03T14:08:19Z,2019-08-03T14:08:19Z,160
301,2019-07-08T15:57:57Z,2019-08-03T14:07:59Z,2019-08-03T14:07:59Z,210
300,2019-07-08T15:46:23Z,2019-08-03T14:07:35Z,2019-08-03T14:07:35Z,149
299,2019-07-05T18:04:55Z,2019-08-03T14:06:58Z,2019-08-03T14:06:58Z,245
298,2019-07-05T02:32:31Z,,2019-07-05T02:32:49Z,62
295,2019-06-29T18:29:29Z,2020-07-11T01:01:12Z,2020-07-11T01:01:13Z,242
293,2019-06-26T10:00:31Z,,2020-07-04T15:19:22Z,142
292,2019-06-19T10:19:06Z,2019-07-06T15:07:14Z,2019-07-06T15:07:14Z,393
286,2019-05-30T00:13:45Z,2019-05-31T00:25:27Z,2019-05-31T00:25:27Z,27
283,2019-05-18T02:47:55Z,,2019-05-30T00:11:56Z,292
282,2019-05-18T02:37:50Z,,2019-05-18T02:42:39Z,874
280,2019-05-12T11:50:00Z,2019-05-14T01:56:37Z,2019-05-14T01:56:37Z,36
275,2019-05-02T17:02:24Z,2019-05-07T10:22:13Z,2019-05-07T10:22:13Z,45
273,2019-04-26T05:31:50Z,2019-06-16T15:21:22Z,2019-06-16T15:21:22Z,57
269,2019-04-17T14:38:34Z,,2020-07-04T15:16:31Z,57
268,2019-04-13T12:45:54Z,2019-05-07T10:24:42Z,2019-05-07T10:24:42Z,235
266,2019-04-09T00:58:52Z,,2019-04-10T00:42:28Z,40
263,2019-04-04T19:17:50Z,,2019-04-04T19:20:42Z,72
259,2019-03-10T08:12:52Z,,2019-03-10T08:13:55Z,60
258,2019-03-02T22:43:37Z,2019-03-18T00:55:20Z,2019-03-18T00:55:20Z,177
257,2019-02-28T14:38:27Z,2019-03-04T03:28:44Z,2019-03-04T03:28:44Z,147
255,2019-02-20T21:12:04Z,2019-02-28T11:55:51Z,2019-02-28T11:55:51Z,75
253,2019-02-18T06:24:08Z,,2019-04-10T00:42:51Z,79
252,2019-02-10T16:30:39Z,2019-05-11T16:42:59Z,2019-05-11T16:42:59Z,305
251,2019-02-10T01:21:37Z,2019-02-11T10:48:37Z,2019-02-11T10:48:37Z,48
247,2019-01-24T18:20:06Z,2019-02-03T12:35:25Z,2019-02-03T12:35:25Z,94
246,2019-01-15T02:37:22Z,2019-01-20T19:59:43Z,2019-01-20T19:59:43Z,17
245,2018-12-30T05:21:15Z,2019-01-05T17:20:17Z,2019-01-05T17:20:17Z,50
242,2018-12-15T04:26:39Z,2018-12-28T00:39:12Z,2018-12-28T00:39:12Z,28
238,2018-11-26T06:10:39Z,,2019-04-10T00:44:49Z,143
237,2018-11-25T02:49:01Z,2019-05-12T11:19:23Z,2019-05-12T11:19:23Z,178
233,2018-11-15T09:10:35Z,2018-12-19T02:17:01Z,2018-12-19T02:17:01Z,126
232,2018-11-15T09:10:25Z,,2018-12-15T04:01:20Z,110
231,2018-11-15T09:09:34Z,,2018-12-15T04:01:11Z,107
230,2018-11-14T17:26:54Z,,2018-12-15T04:10:09Z,101
229,2018-11-01T11:43:13Z,2018-11-14T01:23:22Z,2018-11-14T01:23:22Z,104
227,2018-10-18T20:27:58Z,2018-10-31T22:34:52Z,2018-10-31T22:34:52Z,311
226,2018-10-15T15:34:37Z,2018-10-26T00:20:27Z,2018-10-26T00:20:27Z,219
224,2018-10-08T16:08:15Z,2018-10-11T01:13:43Z,2018-10-11T01:13:43Z,35
218,2018-09-22T08:15:36Z,2018-10-01T00:38:29Z,2018-10-01T00:38:29Z,70
217,2018-09-22T06:21:25Z,,2022-04-15T11:11:49Z,1837
216,2018-09-20T00:12:19Z,2018-09-24T00:12:12Z,2018-09-24T00:12:12Z,19
213,2018-09-15T18:52:40Z,2018-09-19T00:10:27Z,2018-09-19T00:10:27Z,588
212,2018-09-14T11:04:42Z,2018-09-15T07:29:04Z,2018-09-15T07:29:04Z,28
210,2018-09-06T19:07:21Z,2018-09-08T00:47:44Z,2018-09-08T00:47:44Z,40
209,2018-09-06T08:18:18Z,2018-09-16T07:48:51Z,2018-09-16T07:48:51Z,55
208,2018-09-04T12:50:56Z,2018-09-14T21:10:40Z,2018-09-14T21:10:40Z,24
207,2018-09-02T19:00:51Z,2019-05-12T10:21:15Z,2019-05-12T10:21:15Z,363
206,2018-08-31T19:14:04Z,2018-09-02T18:10:43Z,2018-09-02T18:10:43Z,211
