number,reviewer
139,5458997
137,5458997
133,21979
133,1113954
133,5458997
129,5458997
125,5458997
124,5458997
124,7440735
123,5458997
122,5458997
122,25736676
121,5458997
119,5458997
116,5458997
114,17608272
114,7838274
114,980077
114,6941841
114,5458997
113,5458997
109,5458997
108,5458997
98,5458997
96,5458997
95,5458997
93,5458997
93,11403509
92,5458997
85,5458997
83,5458997
81,5458997
78,5458997
75,5458997
74,5458997
69,3533182
69,5458997
64,5458997
62,5458997
55,5458997
50,5458997
36,85960
36,233598
36,11403509
35,5458997
34,85960
33,5458997
29,8923909
29,5458997
26,5458997
25,5458997
24,5458997
23,5458997
17,5458997
14,504302
13,5458997
11,5458997
10,5458997
308,47358024
308,5458997
307,47358024
307,5458997
306,47358024
306,5458997
305,47358024
305,5458997
303,47358024
303,5458997
302,47358024
302,5458997
301,47358024
301,5458997
300,47358024
300,5458997
299,47358024
299,5458997
295,5302990
295,50220022
295,7106179
295,5458997
292,5458997
275,5458997
273,8622362
273,4512444
273,5458997
268,5458997
258,5458997
257,5458997
255,5458997
252,5458997
251,2184241
251,5458997
247,5458997
246,345274
246,5458997
245,5458997
238,2184241
238,5458997
237,2184241
237,4106632
237,3007365
237,34606088
237,5458997
233,5458997
233,40655135
230,5458997
229,5458997
227,345274
227,5458997
226,5458997
224,2184241
224,5458997
218,5458997
217,2184241
217,7100370
217,50220022
217,5458997
216,2184241
213,2184241
213,5458997
212,8622362
212,345274
212,5458997
210,2184241
210,345274
210,5458997
209,8622362
209,345274
209,5458997
208,345274
208,8622362
208,5458997
207,5458997
206,5458997
205,5458997
204,5458997
202,5458997
200,5458997
199,5458997
197,5458997
196,5458997
194,5458997
185,8622362
184,5458997
182,5458997
180,5908117
180,5458997
176,5458997
173,5458997
169,5458997
168,345274
168,5458997
167,5458997
166,5458997
163,5458997
161,8622362
161,9131308
159,5458997
158,5458997
157,5458997
155,1113954
155,5458997
154,2184241
154,50220022
153,5458997
152,5458997
149,5458997
147,5458997
146,5458997
145,5458997
141,8622362
750,5458997
717,7035827
717,5458997
716,5458997
701,7786881
694,5458997
661,5458997
651,5458997
634,40922251
634,53161684
634,657990
631,5458997
594,5458997
511,7106179
511,5458997
505,5458997
500,5458997
486,5458997
481,5458997
451,5458997
447,5458997
441,5458997
439,5458997
438,5458997
433,5458997
428,1317309
425,14912729
425,23198164
418,5458997
414,5458997
411,5458997
409,5458997
408,38596482
408,11029199
408,5458997
406,14912729
406,5458997
405,5458997
400,5458997
399,333233
399,5458997
398,333233
398,5458997
396,5458997
395,5458997
393,5458997
392,5458997
374,5458997
355,5458997
351,5458997
350,333233
350,5458997
348,5458997
345,5458997
340,1317309
340,5458997
336,7106179
336,5458997
333,5458997
332,5458997
321,7106179
321,2135089
321,38445387
321,5458997
319,5458997
318,8622362
318,5458997
317,5458997
310,50220022
310,7106179
310,5458997
