number,created_at,merged_at,closed_at,desc_len
48,2019-03-06T09:18:06Z,2019-03-06T09:19:06Z,2019-03-06T09:19:06Z,740
36,2019-02-01T06:52:28Z,2019-02-01T07:05:52Z,2019-02-01T07:05:52Z,51
31,2019-01-21T08:02:52Z,,2019-01-21T08:35:07Z,43
30,2019-01-18T02:57:57Z,2019-01-18T02:58:27Z,2019-01-18T02:58:27Z,739
29,2019-01-17T15:07:22Z,2019-01-17T15:08:07Z,2019-01-17T15:08:07Z,699
27,2019-01-12T06:50:27Z,2019-01-12T06:51:09Z,2019-01-12T06:51:09Z,697
26,2019-01-10T12:53:43Z,2019-01-10T12:54:12Z,2019-01-10T12:54:12Z,1455
25,2019-01-10T10:26:55Z,2019-01-10T10:34:10Z,2019-01-10T10:34:10Z,46
24,2019-01-09T09:50:29Z,2019-01-09T10:49:39Z,2019-01-09T10:49:39Z,722
23,2019-01-08T19:52:46Z,,2019-01-09T08:24:50Z,79
21,2019-01-05T12:38:44Z,2019-01-05T12:39:34Z,2019-01-05T12:39:34Z,701
19,2019-01-03T05:18:09Z,2019-01-03T06:17:06Z,2019-01-03T06:17:06Z,48
16,2018-12-31T16:14:15Z,2018-12-31T16:25:55Z,2018-12-31T16:25:55Z,726
15,2018-12-30T14:19:27Z,2018-12-30T14:46:05Z,2018-12-30T14:46:05Z,715
13,2018-12-29T11:20:44Z,2018-12-29T11:21:16Z,2018-12-29T11:21:16Z,729
11,2018-12-29T03:31:19Z,2018-12-29T06:07:44Z,2018-12-29T06:07:44Z,879
8,2018-12-26T12:48:38Z,2018-12-26T12:49:53Z,2018-12-26T12:49:53Z,740
7,2018-12-25T15:44:09Z,2018-12-25T15:54:00Z,2018-12-25T15:54:00Z,21131
292,2023-09-27T01:57:56Z,2023-09-27T02:28:45Z,2023-09-27T02:28:45Z,30
291,2023-09-22T13:24:47Z,2023-09-23T02:48:59Z,2023-09-23T02:48:59Z,61
290,2023-09-22T09:30:36Z,2023-09-22T10:27:53Z,2023-09-22T10:27:53Z,18
289,2023-09-22T08:27:40Z,2023-09-22T09:16:59Z,2023-09-22T09:16:59Z,39
280,2022-11-04T08:26:19Z,2022-11-04T08:34:44Z,2022-11-04T08:34:44Z,160
271,2022-06-24T09:15:20Z,2022-06-24T09:20:41Z,2022-06-24T09:20:41Z,56
270,2022-05-31T16:58:57Z,,2022-06-01T00:50:54Z,13
269,2022-05-30T14:19:27Z,2022-05-30T14:33:44Z,2022-05-30T14:33:44Z,8
268,2022-05-30T13:31:46Z,2022-05-30T13:49:47Z,2022-05-30T13:49:47Z,19
267,2022-05-30T12:53:47Z,2022-05-30T12:56:31Z,2022-05-30T12:56:31Z,21
266,2022-05-30T06:30:49Z,2022-05-30T06:37:18Z,2022-05-30T06:37:18Z,8
265,2022-05-29T14:16:51Z,,2022-05-29T14:36:36Z,8
264,2022-05-27T08:32:02Z,2022-05-27T08:32:07Z,2022-05-27T08:32:07Z,20
263,2022-05-23T13:56:30Z,2022-05-23T13:57:45Z,2022-05-23T13:57:45Z,141
260,2022-04-30T03:47:22Z,2022-04-30T06:44:28Z,2022-04-30T06:44:28Z,96
258,2022-04-10T06:56:41Z,2022-04-10T07:01:42Z,2022-04-10T07:01:42Z,14
256,2022-03-28T07:48:32Z,2022-03-28T08:09:54Z,2022-03-28T08:09:54Z,5
250,2022-02-08T08:41:42Z,2022-02-08T08:57:31Z,2022-02-08T08:57:32Z,59
249,2022-02-08T07:01:50Z,2022-02-08T07:13:10Z,2022-02-08T07:13:10Z,32
242,2021-09-17T07:10:44Z,2021-09-17T07:16:39Z,2021-09-17T07:16:39Z,265
241,2021-09-10T07:04:30Z,,2021-09-10T11:33:38Z,15
236,2021-08-18T08:48:17Z,,2021-08-18T08:50:11Z,39
232,2021-07-24T05:00:13Z,2021-07-24T06:06:35Z,2021-07-24T06:06:35Z,115
227,2021-06-23T11:17:42Z,,2021-07-22T12:17:50Z,3
225,2021-05-26T14:13:11Z,2021-05-26T14:17:34Z,2021-05-26T14:17:34Z,5
223,2021-04-08T13:17:23Z,2021-04-09T07:36:57Z,2021-04-09T07:36:57Z,44
222,2021-04-08T10:11:28Z,,2021-04-08T13:08:38Z,31
221,2021-04-08T09:51:16Z,,2021-04-08T10:04:41Z,31
219,2021-04-05T03:04:24Z,,2021-04-05T03:13:36Z,761
218,2021-04-05T02:32:20Z,,2021-04-05T02:33:08Z,761
217,2021-04-05T02:28:54Z,,2021-04-05T02:32:04Z,761
216,2021-04-02T07:41:13Z,,2021-04-02T07:41:41Z,44
208,2020-12-05T20:40:06Z,,2020-12-07T01:21:48Z,26
207,2020-11-29T12:15:11Z,2020-11-29T12:49:51Z,2020-11-29T12:49:51Z,18
203,2020-11-07T07:56:43Z,,2020-11-11T03:42:56Z,46
196,2020-10-13T08:58:33Z,2020-10-13T09:19:44Z,2020-10-13T09:19:44Z,43
194,2020-10-02T18:43:33Z,,2020-10-03T13:55:58Z,150
193,2020-10-01T09:26:46Z,,2020-10-02T07:29:46Z,13
189,2020-09-11T03:58:40Z,,2020-09-11T03:58:55Z,52
188,2020-09-11T03:54:35Z,,2020-09-11T03:55:22Z,52
186,2020-08-30T09:06:11Z,2020-08-30T09:08:27Z,2020-08-30T09:08:27Z,1247
185,2020-08-30T05:39:50Z,2020-08-30T06:28:47Z,2020-08-30T06:28:47Z,494
183,2020-08-17T16:14:21Z,,2020-08-17T16:15:24Z,54
182,2020-08-17T16:08:25Z,,2020-08-17T16:11:03Z,54
173,2020-06-28T01:38:36Z,,2020-06-28T01:40:43Z,41
172,2020-06-27T14:29:39Z,2020-06-27T14:35:42Z,2020-06-27T14:35:42Z,951
171,2020-06-27T10:16:48Z,2020-06-27T14:27:26Z,2020-06-27T14:27:26Z,32
170,2020-05-23T12:15:18Z,,2020-05-23T12:15:36Z,41
167,2020-05-14T02:52:44Z,2020-05-14T03:10:09Z,2020-05-14T03:10:09Z,27
166,2020-05-09T13:24:17Z,2020-05-10T00:59:10Z,2020-05-10T00:59:10Z,42
164,2020-05-04T14:50:28Z,,2020-05-04T14:53:04Z,21
163,2020-04-29T18:35:35Z,2020-04-30T01:06:20Z,2020-04-30T01:06:20Z,104
162,2020-04-21T02:37:08Z,2020-04-21T02:54:07Z,2020-04-21T02:54:07Z,78
161,2020-04-20T01:29:28Z,2020-04-20T02:25:07Z,2020-04-20T02:25:07Z,70
158,2020-04-14T06:23:24Z,,2020-04-14T06:28:22Z,42
154,2020-03-20T01:28:30Z,2020-03-20T01:38:55Z,2020-03-20T01:38:55Z,1978
153,2020-03-20T00:54:56Z,2020-03-20T00:55:59Z,2020-03-20T00:55:59Z,2298
152,2020-03-19T04:25:05Z,2020-03-20T00:42:29Z,2020-03-20T00:42:29Z,139
146,2020-02-01T14:38:53Z,2020-02-02T02:47:40Z,2020-02-02T02:47:40Z,28
145,2020-01-30T00:18:21Z,,2020-01-30T00:19:49Z,45
144,2020-01-20T03:17:03Z,2020-01-20T06:04:46Z,2020-01-20T06:04:46Z,4
143,2020-01-19T08:29:56Z,2020-01-19T08:44:32Z,2020-01-19T08:44:32Z,44
142,2020-01-14T19:53:58Z,,2020-01-14T19:54:11Z,44
132,2019-12-07T02:24:34Z,2019-12-07T02:25:30Z,2019-12-07T02:25:30Z,1051
131,2019-12-07T02:18:34Z,2019-12-07T02:21:14Z,2019-12-07T02:21:14Z,39
129,2019-11-27T09:51:33Z,2019-11-27T09:53:45Z,2019-11-27T09:53:45Z,1856
124,2019-11-21T08:45:48Z,,2019-11-21T09:54:00Z,557
123,2019-11-19T01:36:22Z,2019-11-19T01:37:13Z,2019-11-19T01:37:13Z,612
122,2019-11-19T01:03:52Z,2019-11-19T01:33:48Z,2019-11-19T01:33:48Z,70
121,2019-11-11T16:13:22Z,2019-11-12T02:50:28Z,2019-11-12T02:50:28Z,60
120,2019-11-08T11:21:25Z,2019-11-12T02:55:05Z,2019-11-12T02:55:05Z,73
118,2019-10-30T13:34:16Z,2019-11-01T07:46:28Z,2019-11-01T07:46:28Z,36
116,2019-10-22T01:35:38Z,2019-10-25T02:21:51Z,2019-10-25T02:21:51Z,62
114,2019-10-08T13:21:11Z,2019-10-08T13:23:56Z,2019-10-08T13:23:56Z,1017
113,2019-09-28T08:50:56Z,2019-09-28T10:45:56Z,2019-09-28T10:45:56Z,87
112,2019-09-27T00:54:17Z,2019-09-27T01:09:40Z,2019-09-27T01:09:40Z,31
108,2019-09-19T01:56:05Z,,2019-09-19T02:12:48Z,41
106,2019-09-12T03:47:41Z,,2019-09-12T08:10:21Z,54
105,2019-09-05T02:18:25Z,2019-09-05T03:05:31Z,2019-09-05T03:05:31Z,29
104,2019-09-04T01:27:42Z,2019-09-04T01:32:13Z,2019-09-04T01:32:13Z,1029
103,2019-09-03T12:40:01Z,2019-09-04T01:18:51Z,2019-09-04T01:18:51Z,28
98,2019-08-22T03:02:41Z,2019-08-22T03:38:01Z,2019-08-22T03:38:01Z,8
97,2019-08-19T07:47:58Z,2019-08-19T07:51:29Z,2019-08-19T07:51:29Z,8
96,2019-08-19T07:26:08Z,2019-08-19T07:32:21Z,2019-08-19T07:32:21Z,17
95,2019-08-17T08:11:39Z,2019-08-17T08:13:28Z,2019-08-17T08:13:28Z,876
94,2019-08-10T03:29:34Z,,2019-08-10T03:33:53Z,571
93,2019-08-09T15:43:54Z,,2019-08-09T16:14:45Z,50
88,2019-07-25T04:45:44Z,2019-07-25T04:47:04Z,2019-07-25T04:47:04Z,1320
87,2019-07-24T16:03:53Z,,2019-07-25T05:02:19Z,26
85,2019-07-22T00:49:30Z,,2019-07-22T01:28:42Z,45
84,2019-07-18T01:39:28Z,,2019-07-22T01:28:42Z,1038
83,2019-07-15T22:45:47Z,,2019-07-17T00:59:08Z,1041
78,2019-07-06T14:06:55Z,,2019-08-03T06:42:11Z,42
77,2019-07-03T13:07:22Z,,2019-07-03T13:08:01Z,41
65,2019-04-26T08:37:29Z,2019-04-26T08:41:11Z,2019-04-26T08:41:11Z,743
59,2019-04-14T15:12:17Z,,2019-04-25T06:26:31Z,61
57,2019-04-08T13:01:37Z,2019-04-08T13:04:42Z,2019-04-08T13:04:42Z,28
53,2019-03-25T01:31:01Z,2019-03-25T01:31:50Z,2019-03-25T01:31:50Z,741
52,2019-03-22T10:58:05Z,2019-03-22T10:58:52Z,2019-03-22T10:58:52Z,897
49,2019-03-07T08:04:55Z,2019-03-07T08:08:04Z,2019-03-07T08:08:04Z,43
