number,created_at,merged_at,closed_at,desc_len
1022,2019-10-13T22:15:56Z,2019-10-14T07:24:48Z,2019-10-14T07:24:48Z,15
1020,2019-10-10T12:16:47Z,,2021-04-18T01:33:30Z,75
1019,2019-10-10T08:06:45Z,,2021-04-10T17:58:16Z,15
1018,2019-10-10T07:53:05Z,,2019-12-20T12:26:45Z,24
1017,2019-10-09T16:07:45Z,,2019-12-20T12:26:49Z,142
1016,2019-10-09T15:52:42Z,,2019-12-20T12:25:49Z,34
1015,2019-10-09T15:34:24Z,,2019-12-20T12:25:24Z,31
1014,2019-10-09T14:53:45Z,,2021-04-10T17:43:52Z,39
1013,2019-10-09T10:59:35Z,2019-10-10T09:00:20Z,2019-10-10T09:00:20Z,42
1012,2019-10-05T21:56:21Z,,2019-12-20T12:24:11Z,48
1011,2019-10-05T20:23:43Z,,2019-12-19T17:38:13Z,11
1010,2019-10-05T04:43:43Z,,2019-12-19T17:37:04Z,44
1009,2019-10-03T08:09:12Z,,2019-12-19T17:36:19Z,16
1008,2019-10-01T18:33:47Z,,2020-01-03T23:02:50Z,23
1007,2019-10-01T07:38:58Z,,2019-12-19T17:34:14Z,23
1006,2019-09-26T06:44:10Z,,2019-12-19T17:33:48Z,47
1005,2019-09-25T21:46:13Z,2019-12-16T08:15:57Z,2019-12-16T08:15:57Z,191
1004,2019-09-23T16:08:47Z,,2019-12-16T08:13:58Z,199
1003,2019-09-23T12:44:07Z,,2019-12-16T08:12:06Z,24
1002,2019-09-10T06:35:10Z,2019-09-10T10:53:36Z,2019-09-10T10:53:36Z,41
1001,2019-09-03T08:16:31Z,2019-09-12T07:19:50Z,2019-09-12T07:19:50Z,28
1000,2019-09-01T13:51:27Z,,2019-12-15T07:22:43Z,537
999,2019-08-31T15:33:07Z,,2019-12-15T07:19:49Z,11
998,2019-08-29T10:29:54Z,,2019-12-15T07:19:19Z,792
996,2019-08-22T00:02:52Z,2019-08-24T11:03:45Z,2019-08-24T11:03:45Z,186
995,2019-08-21T01:09:08Z,2019-12-15T07:14:30Z,2019-12-15T07:14:30Z,442
994,2019-08-20T22:38:56Z,2019-12-15T07:12:44Z,2019-12-15T07:12:44Z,162
993,2019-08-18T08:01:35Z,,2019-12-15T07:11:58Z,97
992,2019-08-16T19:05:11Z,,2019-12-15T07:11:21Z,53
991,2019-08-15T05:51:09Z,,2019-12-13T13:25:10Z,32
990,2019-08-12T10:50:29Z,,2019-12-15T07:09:43Z,30
989,2019-08-12T09:36:53Z,,2019-12-15T07:08:17Z,58
988,2019-08-07T17:00:07Z,,2019-08-15T05:48:37Z,302
987,2019-08-05T08:45:44Z,,2019-12-15T07:07:27Z,219
986,2019-08-03T23:17:06Z,2019-08-04T16:52:47Z,2019-08-04T16:52:47Z,122
