number,created_at,merged_at,closed_at,desc_len
5299,2023-10-28T18:29:19Z,,2023-10-29T10:38:49Z,16
5297,2023-10-26T16:54:58Z,,2023-10-26T16:55:18Z,16
5296,2023-10-24T06:45:43Z,,2023-10-27T14:04:50Z,16
5295,2023-10-23T13:55:34Z,,2023-10-27T14:04:17Z,16
5294,2023-10-23T11:25:05Z,,2023-10-23T11:25:14Z,16
5290,2023-10-19T07:18:10Z,,2023-10-20T06:39:13Z,16
5289,2023-10-19T02:02:35Z,,2023-10-19T02:06:22Z,16
5287,2023-10-18T08:52:15Z,,2023-10-20T06:39:33Z,16
5286,2023-10-18T06:37:35Z,,2023-10-20T06:39:53Z,16
5285,2023-10-18T05:27:59Z,,2023-10-20T06:40:21Z,16
5282,2023-10-14T15:55:03Z,,2023-10-20T06:40:47Z,16
5280,2023-10-14T07:02:10Z,,2023-10-14T07:02:29Z,4
5279,2023-10-13T22:36:19Z,,2023-10-13T22:36:52Z,16
5278,2023-10-13T11:12:47Z,,2023-10-13T11:13:05Z,28
5276,2023-10-11T07:10:16Z,,2023-10-11T07:11:23Z,16
5274,2023-10-09T06:41:11Z,,2023-10-09T06:42:09Z,16
5272,2023-10-08T12:15:14Z,,2023-10-08T12:17:57Z,22
5271,2023-10-03T17:00:22Z,,2023-10-03T17:02:49Z,16
5268,2023-10-01T16:40:30Z,,2023-10-02T09:59:08Z,16
5265,2023-09-23T19:17:38Z,,2023-09-23T19:34:21Z,16
5264,2023-09-23T05:04:16Z,,2023-09-23T06:10:53Z,16
5263,2023-09-22T19:40:37Z,,2023-09-27T09:29:04Z,20
5262,2023-09-21T21:25:06Z,,2023-09-21T21:25:39Z,22
5261,2023-09-15T07:28:57Z,,2023-09-15T07:29:12Z,16
5260,2023-09-15T06:14:19Z,,2023-09-20T14:55:28Z,16
5259,2023-09-07T13:00:33Z,,2023-09-20T14:55:46Z,16
5257,2023-09-07T10:20:09Z,,2023-09-19T18:16:11Z,16
5256,2023-09-07T09:57:03Z,,2023-09-20T14:56:03Z,16
5255,2023-09-07T09:56:27Z,,2023-09-07T09:56:46Z,16
5254,2023-08-30T06:43:30Z,,2023-08-30T08:50:48Z,16
5252,2023-08-29T22:53:56Z,,2023-08-29T22:54:15Z,16
5251,2023-08-26T18:22:43Z,,2023-09-20T14:56:15Z,16
5250,2023-08-26T12:23:45Z,,2023-08-26T12:24:50Z,16
5248,2023-08-25T19:11:26Z,,2023-08-26T10:08:24Z,16
5239,2023-08-07T15:20:00Z,,2023-08-07T15:20:10Z,97
5231,2023-07-24T09:24:20Z,,2023-08-17T14:12:25Z,24
5230,2023-07-21T13:49:13Z,,2023-07-21T13:55:12Z,79
5221,2023-07-07T13:11:15Z,,2023-07-07T13:13:40Z,286
5220,2023-07-04T09:42:05Z,,2023-09-28T14:44:32Z,15
5210,2023-06-07T20:08:09Z,,2023-06-28T16:05:52Z,29
5206,2023-06-04T18:07:25Z,,2023-06-05T05:40:00Z,53
5200,2023-05-27T11:05:59Z,,2023-05-27T14:17:53Z,790
5199,2023-05-25T21:11:15Z,,2023-06-17T18:40:42Z,455
5178,2023-05-01T13:24:56Z,,2023-05-01T13:26:48Z,30
5162,2023-04-11T12:34:54Z,2023-09-28T20:12:29Z,2023-09-28T20:12:28Z,543
5156,2023-03-29T03:34:29Z,,2023-08-23T07:46:49Z,1249
5154,2023-03-24T05:26:09Z,,2023-03-24T05:27:15Z,4
5153,2023-03-19T18:37:13Z,,2023-03-19T18:37:54Z,7
5152,2023-03-19T06:20:30Z,,2023-03-19T06:22:38Z,4
5149,2023-03-18T09:59:53Z,,2023-03-18T10:00:18Z,18
5147,2023-03-16T03:54:03Z,,2023-03-19T06:23:19Z,7
5144,2023-03-11T23:59:46Z,,2023-03-12T00:00:05Z,29
5139,2023-03-05T05:20:46Z,,2023-08-06T06:38:25Z,267
5137,2023-03-04T08:19:02Z,2023-06-04T15:42:48Z,2023-06-04T15:42:48Z,48
5133,2023-02-25T05:04:55Z,,2023-02-26T03:59:21Z,2245
5131,2023-02-23T06:07:14Z,2023-02-23T20:23:51Z,2023-02-23T20:23:50Z,24
5130,2023-02-22T13:01:47Z,2023-02-23T05:23:48Z,2023-02-23T05:23:48Z,44
5124,2023-02-10T06:22:18Z,2023-02-22T03:53:12Z,2023-02-22T03:53:12Z,48
5121,2023-02-09T13:50:30Z,,2023-02-09T14:04:00Z,469
5120,2023-02-08T10:53:26Z,,2023-02-08T12:31:48Z,16
5119,2023-02-08T10:45:46Z,2023-02-22T05:15:28Z,2023-02-22T05:15:29Z,120
5118,2023-02-08T10:33:58Z,,2023-02-09T17:00:52Z,47
5117,2023-02-08T10:27:43Z,2023-02-22T15:24:48Z,2023-02-22T15:24:48Z,101
5113,2023-02-03T15:26:43Z,2023-02-22T16:51:27Z,2023-02-22T16:51:26Z,30
5107,2023-01-25T21:09:33Z,,2023-02-22T05:20:08Z,75
5092,2023-01-12T15:34:29Z,,2023-01-12T15:37:59Z,23
5063,2022-12-14T20:47:40Z,,2023-02-22T15:31:34Z,94
5062,2022-12-14T20:34:50Z,,2022-12-14T20:41:38Z,166
5051,2022-12-03T09:22:44Z,,2023-01-10T06:33:14Z,307
5041,2022-11-16T10:16:01Z,,2022-11-16T15:18:23Z,24
5037,2022-11-08T06:30:44Z,,2022-11-08T10:45:42Z,286
5034,2022-11-01T21:38:25Z,2023-01-27T01:56:11Z,2023-01-27T01:56:11Z,381
5032,2022-10-31T20:41:15Z,2023-01-24T21:50:46Z,2023-01-24T21:50:46Z,287
5030,2022-10-26T16:28:47Z,,2023-01-24T21:39:17Z,21
5028,2022-10-19T16:09:54Z,2023-02-23T22:14:15Z,2023-02-23T22:14:15Z,648
5027,2022-10-19T13:05:24Z,2023-01-27T07:14:53Z,2023-01-27T07:14:53Z,33
