number,created_at,merged_at,closed_at,desc_len
72,2022-12-13T09:50:25Z,,2022-12-13T10:18:30Z,46
70,2022-12-13T06:40:18Z,2022-12-13T10:19:45Z,2022-12-13T10:19:45Z,22
64,2022-12-13T05:08:05Z,,2022-12-15T16:36:09Z,64
60,2022-12-12T23:46:35Z,2022-12-13T06:24:49Z,2022-12-13T06:24:49Z,56
57,2022-12-12T20:16:42Z,2022-12-12T20:35:27Z,2022-12-12T20:35:27Z,138
56,2022-12-12T20:09:12Z,2022-12-12T20:34:56Z,2022-12-12T20:34:56Z,22
55,2022-12-12T19:56:10Z,,2022-12-12T20:07:09Z,22
54,2022-12-12T17:59:22Z,2022-12-12T20:36:53Z,2022-12-12T20:36:53Z,8
52,2022-12-12T15:23:32Z,2022-12-12T16:28:28Z,2022-12-12T16:28:28Z,69
48,2022-12-12T11:25:05Z,2022-12-12T16:43:43Z,2022-12-12T16:43:43Z,25
46,2022-12-12T03:01:39Z,2022-12-12T06:18:43Z,2022-12-12T06:18:43Z,159
45,2022-12-12T00:17:48Z,,2023-03-28T05:12:59Z,35
42,2022-12-11T23:21:19Z,2022-12-12T16:45:27Z,2022-12-12T16:45:27Z,21
41,2022-12-11T20:48:06Z,2022-12-11T21:01:42Z,2022-12-11T21:01:42Z,42
39,2022-12-11T15:16:59Z,2022-12-11T15:32:15Z,2022-12-11T15:32:15Z,302
34,2022-12-11T00:32:33Z,2022-12-11T06:54:22Z,2022-12-11T06:54:22Z,161
33,2022-12-10T22:36:25Z,,2023-01-13T19:46:41Z,221
30,2022-12-10T20:57:31Z,,2022-12-10T21:46:44Z,19
28,2022-12-10T20:33:50Z,2022-12-10T20:50:10Z,2022-12-10T20:50:10Z,19
27,2022-12-10T20:21:38Z,2022-12-10T20:30:02Z,2022-12-10T20:30:02Z,21
26,2022-12-10T19:48:53Z,2022-12-10T20:28:42Z,2022-12-10T20:28:42Z,21
23,2022-12-10T18:06:09Z,2022-12-10T18:21:16Z,2022-12-10T18:21:16Z,142
22,2022-12-10T16:29:23Z,2022-12-10T18:23:20Z,2022-12-10T18:23:20Z,73
21,2022-12-10T12:28:58Z,2022-12-10T15:39:53Z,2022-12-10T15:39:53Z,21
19,2022-12-10T11:20:41Z,2022-12-10T15:40:33Z,2022-12-10T15:40:33Z,18
18,2022-12-10T11:15:43Z,2022-12-10T15:41:17Z,2022-12-10T15:41:17Z,34
17,2022-12-10T06:52:32Z,2022-12-10T08:05:18Z,2022-12-10T08:05:18Z,96
16,2022-12-10T06:21:30Z,2022-12-10T15:39:28Z,2022-12-10T15:39:28Z,21
15,2022-12-10T05:00:03Z,2022-12-10T15:42:15Z,2022-12-10T15:42:15Z,96
14,2022-12-10T04:47:19Z,2022-12-10T15:38:47Z,2022-12-10T15:38:47Z,130
13,2022-12-09T11:27:00Z,2022-12-09T11:39:20Z,2022-12-09T11:39:20Z,27
12,2022-12-09T09:52:42Z,2022-12-09T12:07:51Z,2022-12-09T12:07:51Z,43
10,2022-12-08T22:25:44Z,2022-12-08T22:53:46Z,2022-12-08T22:53:46Z,75
8,2022-12-07T02:01:20Z,2022-12-08T22:55:25Z,2022-12-08T22:55:25Z,352
7,2022-12-07T01:24:31Z,2022-12-08T22:56:11Z,2022-12-08T22:56:11Z,45
6,2022-12-06T20:59:17Z,2022-12-08T22:57:02Z,2022-12-08T22:57:02Z,41
4,2022-12-05T20:13:38Z,2022-12-05T20:26:04Z,2022-12-05T20:26:04Z,21
