number,created_at,merged_at,closed_at,desc_len
48,2016-07-11T15:44:45Z,2016-07-11T16:18:20Z,2016-07-11T16:18:20Z,16
47,2016-07-11T15:39:40Z,2016-07-11T15:44:24Z,2016-07-11T15:44:24Z,16
46,2016-07-09T05:13:35Z,2016-07-09T05:13:45Z,2016-07-09T05:13:45Z,26
45,2016-07-09T05:09:06Z,2016-07-09T05:10:51Z,2016-07-09T05:10:51Z,24
41,2016-07-04T07:10:21Z,2016-07-04T07:11:10Z,2016-07-04T07:11:10Z,29
40,2016-06-26T14:41:11Z,2016-06-26T14:43:02Z,2016-06-26T14:43:02Z,30
39,2016-06-24T06:06:23Z,2016-06-24T06:09:50Z,2016-06-24T06:09:50Z,21
38,2016-06-24T05:58:54Z,2016-06-24T06:00:50Z,2016-06-24T06:00:50Z,60
33,2016-06-14T09:31:14Z,2016-06-14T09:33:32Z,2016-06-14T09:33:32Z,57
32,2016-06-13T14:26:44Z,2016-06-13T14:43:32Z,2016-06-13T14:43:32Z,200
29,2016-06-07T14:35:24Z,2016-06-07T14:35:56Z,2016-06-07T14:35:56Z,14
27,2016-05-17T11:21:12Z,2016-05-17T11:21:27Z,2016-05-17T11:21:27Z,25
25,2016-05-08T16:34:43Z,2016-05-08T16:37:01Z,2016-05-08T16:37:01Z,48
24,2016-05-03T14:02:57Z,2016-05-03T14:05:55Z,2016-05-03T14:05:55Z,175
22,2016-04-13T09:56:32Z,,2016-04-13T10:03:12Z,11
17,2016-04-06T03:56:12Z,2016-04-06T04:19:31Z,2016-04-06T04:19:31Z,14
16,2016-04-05T07:44:53Z,,2016-04-05T08:12:31Z,31
15,2016-04-05T07:42:59Z,2016-04-05T07:43:28Z,2016-04-05T07:43:28Z,17
13,2016-04-05T07:25:27Z,2016-04-05T07:25:55Z,2016-04-05T07:25:55Z,17
12,2016-04-05T06:02:34Z,,2016-04-05T07:27:43Z,20
11,2016-03-25T06:05:53Z,2016-03-25T06:09:01Z,2016-03-25T06:09:01Z,10
10,2016-03-24T06:26:28Z,,2016-03-24T07:10:29Z,10
9,2016-03-24T05:56:20Z,,2016-03-24T06:40:55Z,10
8,2016-03-22T09:23:05Z,2016-03-23T01:59:42Z,2016-03-23T01:59:42Z,197
7,2016-03-17T02:44:06Z,2016-03-17T02:45:04Z,2016-03-17T02:45:04Z,21
6,2016-02-29T04:41:15Z,2016-02-29T05:16:40Z,2016-02-29T05:16:40Z,89
5,2016-02-28T09:59:52Z,2016-02-28T10:01:55Z,2016-02-28T10:01:55Z,21
4,2016-02-26T03:01:22Z,2016-02-26T04:04:10Z,2016-02-26T04:04:10Z,51
3,2016-02-05T08:59:07Z,2016-02-18T03:43:40Z,2016-02-18T03:43:40Z,112
2,2016-02-03T03:09:17Z,2016-02-03T06:38:46Z,2016-02-03T06:38:46Z,14
1,2016-01-27T13:27:58Z,2016-01-27T13:29:18Z,2016-01-27T13:29:18Z,22
3738,2023-10-31T09:53:36Z,2023-10-31T11:40:49Z,2023-10-31T11:40:49Z,439
3735,2023-10-30T12:05:27Z,,2023-10-30T12:06:11Z,615
3734,2023-10-30T11:53:45Z,2023-10-30T12:24:57Z,2023-10-30T12:24:58Z,54
3722,2023-10-24T02:43:29Z,2023-10-24T02:47:16Z,2023-10-24T02:47:16Z,12
3721,2023-10-24T02:39:55Z,2023-10-24T02:42:51Z,2023-10-24T02:42:51Z,38
3719,2023-10-23T11:32:37Z,2023-10-24T02:08:29Z,2023-10-24T02:08:30Z,319
3714,2023-10-23T02:48:55Z,2023-10-23T02:51:51Z,2023-10-23T02:51:51Z,12
3713,2023-10-23T02:43:16Z,2023-10-23T02:47:59Z,2023-10-23T02:47:59Z,44
3701,2023-10-19T09:21:52Z,2023-10-19T09:28:35Z,2023-10-19T09:28:35Z,418
3694,2023-10-19T03:18:56Z,2023-10-19T03:22:40Z,2023-10-19T03:22:40Z,12
3683,2023-10-16T03:26:37Z,2023-10-16T03:29:51Z,2023-10-16T03:29:51Z,11
3682,2023-10-16T03:15:26Z,2023-10-16T03:22:12Z,2023-10-16T03:22:12Z,316
3670,2023-10-12T11:49:05Z,2023-10-12T11:58:00Z,2023-10-12T11:58:00Z,13
