number,created_at,merged_at,closed_at,desc_len
66,2014-12-29T11:55:43Z,2014-12-29T22:31:48Z,2014-12-29T22:31:48Z,18
65,2014-12-22T05:51:39Z,2014-12-22T07:28:25Z,2014-12-22T07:28:25Z,67
63,2014-12-10T02:46:19Z,,2014-12-17T06:27:27Z,24
62,2014-12-04T08:57:18Z,2014-12-04T16:20:54Z,2014-12-04T16:20:54Z,48
61,2014-12-02T23:55:09Z,2014-12-04T16:19:32Z,2014-12-04T16:19:32Z,132
60,2014-11-19T03:22:57Z,2014-11-20T15:24:18Z,2014-11-20T15:24:18Z,169
59,2014-11-18T05:47:16Z,2014-11-19T00:10:03Z,2014-11-19T00:10:03Z,171
54,2014-10-28T10:39:46Z,2014-10-28T12:20:04Z,2014-10-28T12:20:04Z,189
53,2014-10-15T01:24:15Z,2014-10-15T03:17:15Z,2014-10-15T03:17:15Z,165
50,2014-10-10T21:06:35Z,2014-10-10T23:15:22Z,2014-10-10T23:15:22Z,119
49,2014-10-10T13:42:14Z,,2014-10-11T05:06:22Z,84
48,2014-10-10T02:44:17Z,2014-10-10T02:44:23Z,2014-10-10T02:44:23Z,62
47,2014-10-10T00:47:15Z,2014-10-10T02:31:27Z,2014-10-10T02:31:27Z,35
45,2014-10-03T05:32:20Z,,2014-10-10T02:31:44Z,89
44,2014-10-02T03:14:19Z,,2014-10-02T05:29:05Z,50
43,2014-09-30T05:25:40Z,2014-10-01T18:01:03Z,2014-10-01T18:01:03Z,104
42,2014-09-25T11:49:23Z,2014-09-25T17:57:18Z,2014-09-25T17:57:18Z,138
41,2014-09-20T18:56:49Z,2014-09-21T19:42:45Z,2014-09-21T19:42:45Z,11
40,2014-09-12T07:01:26Z,2014-09-12T16:52:40Z,2014-09-12T16:52:40Z,206
39,2014-09-10T14:38:56Z,2014-09-10T17:40:07Z,2014-09-10T17:40:07Z,111
38,2014-09-03T09:43:41Z,2014-09-03T14:57:51Z,2014-09-03T14:57:51Z,56
37,2014-09-02T22:27:09Z,,2014-09-12T16:56:59Z,248
36,2014-09-02T17:09:59Z,2014-09-02T19:11:12Z,2014-09-02T19:11:12Z,45
35,2014-09-02T14:05:02Z,2014-09-02T19:10:12Z,2014-09-02T19:10:12Z,10
34,2014-09-02T14:05:00Z,2014-09-02T19:09:37Z,2014-09-02T19:09:37Z,15
33,2014-09-02T14:04:59Z,2014-09-02T19:08:45Z,2014-09-02T19:08:45Z,10
32,2014-08-28T18:11:37Z,2014-08-29T15:11:17Z,2014-08-29T15:11:17Z,12
31,2014-08-27T08:34:50Z,2014-08-27T10:22:16Z,2014-08-27T10:22:16Z,110
30,2014-08-26T11:49:00Z,,2014-09-02T13:04:32Z,4
29,2014-08-24T10:54:09Z,2014-08-24T11:46:51Z,2014-08-24T11:46:51Z,19
28,2014-08-21T21:40:55Z,2014-08-22T06:56:52Z,2014-08-22T06:56:52Z,255
27,2014-08-19T20:28:23Z,2014-08-21T08:47:42Z,2014-08-21T08:47:42Z,93
26,2014-08-14T16:27:19Z,,2014-08-14T17:10:51Z,35
25,2014-08-14T16:04:49Z,2014-08-14T16:27:34Z,2014-08-14T16:27:34Z,32
24,2014-08-14T09:54:41Z,2014-08-14T15:16:02Z,2014-08-14T15:16:02Z,16
22,2014-08-13T15:02:29Z,2014-08-13T15:59:34Z,2014-08-13T15:59:34Z,31
21,2014-08-12T07:29:57Z,2014-08-12T18:11:40Z,2014-08-12T18:11:40Z,237
20,2014-07-28T20:21:36Z,2014-07-28T20:23:16Z,2014-07-28T20:23:16Z,35
19,2014-07-28T19:39:47Z,2014-07-28T20:28:36Z,2014-07-28T20:28:36Z,85
18,2014-07-28T18:45:39Z,2014-07-28T18:59:25Z,2014-07-28T18:59:25Z,51
17,2014-07-25T15:09:57Z,2014-07-25T15:14:38Z,2014-07-25T15:14:38Z,96
16,2014-07-25T07:22:34Z,2014-07-25T10:37:35Z,2014-07-25T10:37:35Z,22
15,2014-07-25T07:22:22Z,,2014-07-27T14:04:41Z,24
14,2014-07-25T07:22:00Z,,2014-07-27T14:12:02Z,21
10,2014-07-25T04:31:17Z,2014-07-25T10:28:21Z,2014-07-25T10:28:21Z,53
9,2014-07-25T04:24:28Z,2014-07-25T12:11:20Z,2014-07-25T12:11:20Z,23
