number,created_at,merged_at,closed_at,desc_len
14,2019-03-15T04:37:50Z,2019-03-15T04:37:56Z,2019-03-15T04:37:56Z,25
13,2019-03-15T01:41:35Z,2019-03-15T03:58:12Z,2019-03-15T03:58:12Z,105
12,2019-03-14T01:01:39Z,2019-03-14T20:10:08Z,2019-03-14T20:10:08Z,68
11,2019-03-09T16:31:06Z,2019-03-10T19:59:57Z,2019-03-10T19:59:57Z,123
10,2019-03-07T13:29:50Z,2019-03-07T19:12:50Z,2019-03-07T19:12:50Z,105
9,2019-03-06T15:14:22Z,2019-03-07T19:13:37Z,2019-03-07T19:13:37Z,107
8,2019-03-06T02:02:56Z,2019-03-07T19:14:10Z,2019-03-07T19:14:10Z,115
7,2019-03-04T23:17:53Z,2019-03-05T05:21:26Z,2019-03-05T05:21:26Z,146
6,2019-03-03T22:59:21Z,2019-03-04T18:58:11Z,2019-03-04T18:58:11Z,127
5,2019-03-03T21:56:57Z,2019-03-04T18:55:42Z,2019-03-04T18:55:42Z,119
4,2019-03-03T21:07:33Z,2019-03-04T05:09:58Z,2019-03-04T05:09:58Z,46
3,2019-03-03T00:00:45Z,2019-03-03T20:36:22Z,2019-03-03T20:36:22Z,62
2,2019-03-02T22:54:27Z,2019-03-02T23:12:32Z,2019-03-02T23:12:32Z,307
1,2019-03-01T00:13:44Z,2019-03-01T04:57:43Z,2019-03-01T04:57:43Z,150
797,2023-10-22T12:37:21Z,,2023-10-29T18:06:23Z,108
796,2023-10-22T09:21:02Z,,2023-10-29T18:41:52Z,22
778,2023-10-14T05:49:18Z,,2023-10-17T16:54:13Z,97
777,2023-10-13T20:15:33Z,,2023-10-13T20:16:00Z,21
769,2023-10-12T15:12:05Z,,2023-10-26T02:22:50Z,219
763,2023-10-11T11:14:13Z,,2023-10-16T06:57:47Z,34
762,2023-10-11T10:15:46Z,,2023-10-31T09:14:38Z,42
758,2023-10-10T05:46:33Z,,2023-10-23T14:09:20Z,236
754,2023-10-09T07:01:47Z,,2023-10-09T07:09:47Z,216
747,2023-10-08T06:43:14Z,,2023-10-08T07:50:37Z,29
746,2023-10-07T18:23:03Z,,2023-10-07T18:23:26Z,26
744,2023-10-07T15:41:25Z,,2023-10-07T16:20:26Z,82
741,2023-10-06T12:55:57Z,,2023-10-06T13:05:30Z,249
714,2023-10-02T17:40:19Z,,2023-10-02T17:48:40Z,267
