number,created_at,merged_at,closed_at,desc_len
85,2014-03-10T22:00:20Z,2014-03-10T22:09:20Z,2014-03-10T22:09:20Z,32
84,2014-03-10T16:56:49Z,2014-03-10T19:13:20Z,2014-03-10T19:13:20Z,31
83,2014-03-10T14:16:44Z,2014-03-10T16:28:03Z,2014-03-10T16:28:03Z,23
82,2014-03-10T04:09:19Z,2014-03-10T05:37:01Z,2014-03-10T05:37:01Z,79
81,2014-03-08T16:22:28Z,2014-03-08T18:01:56Z,2014-03-08T18:01:56Z,42
80,2014-03-08T15:42:00Z,2014-03-08T18:02:31Z,2014-03-08T18:02:31Z,31
78,2014-03-08T00:38:30Z,2014-03-08T01:13:05Z,2014-03-08T01:13:05Z,17
76,2014-03-01T17:38:42Z,2014-03-08T18:06:22Z,2014-03-08T18:06:22Z,16
72,2014-02-21T07:13:39Z,2014-02-27T04:16:02Z,2014-02-27T04:16:02Z,63
70,2014-02-18T20:50:47Z,2014-03-08T18:06:50Z,2014-03-08T18:06:51Z,74
68,2014-02-17T08:14:28Z,2014-02-27T04:16:59Z,2014-02-27T04:16:59Z,30
64,2014-02-16T09:17:34Z,2014-02-27T03:56:43Z,2014-02-27T03:56:43Z,55
61,2014-02-15T11:48:53Z,2014-02-27T03:58:04Z,2014-02-27T03:58:04Z,46
53,2014-02-09T23:31:58Z,2014-02-09T23:57:46Z,2014-02-09T23:57:46Z,30
51,2014-02-09T05:07:07Z,2014-02-09T15:19:54Z,2014-02-09T15:19:54Z,21
46,2014-01-23T00:25:07Z,2014-01-23T01:47:32Z,2014-01-23T01:47:32Z,113
27,2014-01-03T00:44:16Z,2014-01-03T13:34:21Z,2014-01-03T13:34:21Z,35
24,2013-12-24T01:21:27Z,2013-12-24T04:47:32Z,2013-12-24T04:47:32Z,99
21,2013-12-16T11:44:03Z,2013-12-16T16:43:22Z,2013-12-16T16:43:22Z,53
20,2013-12-09T20:33:18Z,2013-12-09T20:44:08Z,2013-12-09T20:44:08Z,74
19,2013-12-05T20:57:58Z,2013-12-05T21:11:40Z,2013-12-05T21:11:40Z,265
18,2013-12-04T09:00:06Z,2013-12-04T19:15:51Z,2013-12-04T19:15:51Z,40
17,2013-12-03T12:33:12Z,2013-12-03T19:25:02Z,2013-12-03T19:25:02Z,256
16,2013-12-01T23:12:55Z,2013-12-02T01:25:02Z,2013-12-02T01:25:02Z,36
14,2013-11-25T01:51:08Z,2013-11-25T02:18:34Z,2013-11-25T02:18:34Z,61
13,2013-11-23T20:04:58Z,2013-11-23T21:28:06Z,2013-11-23T21:28:06Z,101
10,2013-11-20T09:45:41Z,2013-11-20T09:49:53Z,2013-11-20T09:49:53Z,140
8,2013-11-18T17:03:53Z,2013-11-18T17:05:29Z,2013-11-18T17:05:29Z,106
7,2013-11-18T04:34:19Z,,2013-11-18T05:31:01Z,77
6,2013-11-16T18:45:58Z,2013-11-16T22:47:13Z,2013-11-16T22:47:13Z,244
5,2013-11-16T18:39:45Z,2013-11-16T22:46:41Z,2013-11-16T22:46:41Z,13
4,2013-11-16T13:45:17Z,2013-11-16T16:16:40Z,2013-11-16T16:16:40Z,228
2,2013-11-16T05:54:01Z,,2013-11-16T23:56:00Z,60
1,2013-11-16T05:51:57Z,,2013-11-16T23:56:04Z,50
697,2016-03-21T23:26:10Z,,2016-04-27T22:55:51Z,48
696,2016-03-21T20:59:59Z,2016-03-22T02:07:47Z,2016-03-22T02:07:47Z,257
695,2016-03-20T20:08:08Z,2016-03-20T20:11:03Z,2016-03-20T20:11:03Z,112
694,2016-03-20T17:05:49Z,2016-03-20T20:11:55Z,2016-03-20T20:11:55Z,86
691,2016-03-17T20:30:23Z,2016-03-17T20:47:42Z,2016-03-17T20:47:42Z,97
690,2016-03-17T18:09:54Z,,2016-03-17T18:39:09Z,34
688,2016-03-17T11:40:13Z,,2016-03-17T11:41:02Z,44
687,2016-03-15T03:28:58Z,,2016-03-15T03:31:37Z,187
685,2016-03-11T05:59:47Z,,2016-03-20T20:12:57Z,13
684,2016-03-11T03:31:20Z,2016-03-20T20:13:33Z,2016-03-20T20:13:33Z,62
679,2016-03-02T23:04:29Z,,2016-03-03T04:39:13Z,202
678,2016-03-02T19:10:46Z,2016-03-02T20:15:52Z,2016-03-02T20:15:52Z,167
677,2016-03-02T17:15:47Z,,2016-03-02T18:08:55Z,187
676,2016-03-01T23:57:57Z,2016-03-02T00:00:30Z,2016-03-02T00:00:30Z,30
672,2016-02-24T15:34:05Z,2016-02-24T16:12:21Z,2016-02-24T16:12:21Z,27
670,2016-02-22T02:55:21Z,,2016-02-22T03:09:41Z,204
669,2016-02-21T21:49:09Z,2016-02-21T22:17:23Z,2016-02-21T22:17:23Z,205
668,2016-02-21T21:44:50Z,2016-02-21T22:16:01Z,2016-02-21T22:16:01Z,32
667,2016-02-21T21:05:10Z,,2016-02-21T21:40:49Z,29
666,2016-02-18T03:08:40Z,2016-02-18T04:35:55Z,2016-02-18T04:35:55Z,82
665,2016-02-16T23:23:02Z,2016-02-16T23:41:31Z,2016-02-16T23:41:31Z,67
663,2016-02-14T22:57:54Z,2016-02-15T03:19:29Z,2016-02-15T03:19:29Z,196
662,2016-02-13T19:30:52Z,2016-02-21T22:16:55Z,2016-02-21T22:16:55Z,20
661,2016-02-13T19:13:14Z,,2016-02-22T20:11:20Z,27
659,2016-02-11T03:06:24Z,2016-02-11T07:19:40Z,2016-02-11T07:19:40Z,79
652,2016-02-01T16:27:09Z,2016-02-01T16:38:42Z,2016-02-01T16:38:42Z,55
651,2016-02-01T03:55:30Z,2016-02-01T04:20:27Z,2016-02-01T04:20:27Z,77
648,2016-01-29T17:43:50Z,,2016-02-17T12:23:29Z,37
644,2016-01-23T19:22:23Z,,2016-02-13T15:16:12Z,461
643,2016-01-22T11:11:56Z,,2016-02-13T15:16:25Z,38
642,2016-01-22T11:09:06Z,,2016-02-13T15:16:32Z,38
633,2016-01-11T11:42:55Z,,2016-01-11T11:43:03Z,47
632,2016-01-10T22:02:47Z,,2016-02-13T15:17:17Z,65
631,2016-01-10T21:36:34Z,,2016-01-10T21:47:55Z,72
630,2016-01-10T15:39:52Z,,2016-01-15T13:55:27Z,242
628,2016-01-08T18:15:09Z,2016-01-09T03:00:04Z,2016-01-09T03:00:04Z,20
627,2016-01-08T15:35:08Z,,2016-01-14T17:19:58Z,73
626,2016-01-08T09:38:47Z,2016-01-09T02:48:42Z,2016-01-09T02:48:42Z,193
625,2016-01-08T04:17:32Z,2016-01-09T02:46:55Z,2016-01-09T02:46:55Z,35
623,2016-01-04T05:21:49Z,,2016-01-04T05:43:39Z,51
622,2016-01-03T00:07:34Z,,2016-01-14T17:04:23Z,80
619,2016-01-01T22:14:56Z,2016-01-02T02:07:31Z,2016-01-02T02:07:31Z,138
614,2015-12-24T17:29:26Z,,2015-12-24T23:00:24Z,146
613,2015-12-23T20:22:25Z,2015-12-23T21:02:34Z,2015-12-23T21:02:34Z,47
608,2015-12-18T13:57:23Z,,2016-01-15T13:57:19Z,208
607,2015-12-18T13:18:17Z,,2015-12-25T22:04:52Z,236
605,2015-12-18T10:02:10Z,,2016-01-15T13:59:51Z,93
604,2015-12-14T19:02:33Z,,2016-01-14T17:05:48Z,25
603,2015-12-14T11:02:53Z,,2022-11-14T09:18:29Z,110
602,2015-12-13T08:06:21Z,2015-12-13T13:59:37Z,2015-12-13T13:59:37Z,9
599,2015-12-07T00:09:19Z,,2016-01-14T17:08:19Z,173
598,2015-12-04T02:35:53Z,,2016-01-14T17:11:40Z,45
597,2015-12-03T22:33:23Z,2015-12-04T05:15:26Z,2015-12-04T05:15:26Z,71
596,2015-12-02T17:40:54Z,,2016-12-29T05:06:55Z,90
593,2015-11-26T22:07:40Z,,2016-01-14T17:13:24Z,69
590,2015-11-24T08:09:26Z,,2015-11-24T14:34:08Z,13
589,2015-11-23T04:34:17Z,2015-11-23T13:14:49Z,2015-11-23T13:14:49Z,376
588,2015-11-20T05:21:40Z,2015-11-21T18:39:29Z,2015-11-21T18:39:29Z,11
586,2015-11-09T08:12:06Z,2015-11-09T14:10:35Z,2015-11-09T14:10:35Z,59
584,2015-11-07T05:39:03Z,2015-11-07T12:23:40Z,2015-11-07T12:23:40Z,40
583,2015-11-07T00:51:34Z,2015-11-07T02:48:33Z,2015-11-07T02:48:33Z,227
580,2015-11-03T04:35:05Z,2015-11-03T12:11:18Z,2015-11-03T12:11:18Z,123
578,2015-10-30T22:11:37Z,,2015-11-09T14:10:57Z,40
575,2015-10-24T20:37:26Z,2015-10-24T21:36:17Z,2015-10-24T21:36:17Z,22
574,2015-10-24T15:50:52Z,,2015-10-24T16:13:35Z,150
573,2015-10-24T13:18:16Z,,2015-10-24T13:19:59Z,54
571,2015-10-23T05:44:06Z,,2015-10-23T13:45:19Z,48
570,2015-10-22T23:51:25Z,2015-10-23T05:05:29Z,2015-10-23T05:05:29Z,106
569,2015-10-22T22:19:21Z,,2015-10-22T22:21:18Z,54
567,2015-10-21T05:28:48Z,2015-10-21T09:56:37Z,2015-10-21T09:56:37Z,46
566,2015-10-20T04:38:24Z,2015-10-20T11:38:31Z,2015-10-20T11:38:31Z,69
564,2015-10-18T23:40:00Z,2015-10-19T01:47:43Z,2015-10-19T01:47:43Z,15
563,2015-10-18T22:58:30Z,2015-10-19T01:46:39Z,2015-10-19T01:46:39Z,40
562,2015-10-15T19:58:42Z,,2015-11-09T14:12:06Z,122
561,2015-10-14T02:37:04Z,2015-10-14T02:46:27Z,2015-10-14T02:46:27Z,15
560,2015-10-13T20:06:25Z,2015-10-13T20:08:30Z,2015-10-13T20:08:30Z,172
559,2015-10-13T00:38:04Z,2015-10-13T00:57:31Z,2015-10-13T00:57:31Z,107
558,2015-10-12T20:04:36Z,,2015-10-12T20:10:20Z,200
557,2015-10-12T19:58:32Z,,2015-10-12T20:10:37Z,184
556,2015-10-12T19:41:13Z,,2015-10-12T20:10:50Z,155
555,2015-10-12T11:21:58Z,,2016-09-14T20:10:39Z,193
554,2015-10-09T05:21:51Z,,2015-10-09T05:22:21Z,27
553,2015-10-07T03:00:32Z,2015-10-07T06:17:09Z,2015-10-07T06:17:09Z,122
551,2015-10-02T16:29:59Z,2015-10-02T17:07:53Z,2015-10-02T17:07:53Z,74
550,2015-10-01T04:45:42Z,2015-10-01T05:05:14Z,2015-10-01T05:05:14Z,190
