number,created_at,merged_at,closed_at,desc_len
3741,2023-09-26T13:01:45Z,2023-09-27T07:17:11Z,2023-09-27T07:17:11Z,39
3733,2023-09-18T22:14:05Z,,2023-10-02T22:07:10Z,4884
3722,2023-09-11T22:28:54Z,,2023-10-09T22:45:28Z,9741
3713,2023-09-04T22:13:46Z,,2023-09-18T22:14:12Z,4307
3712,2023-09-04T22:12:54Z,2023-09-08T14:18:00Z,2023-09-08T14:18:00Z,12416
3703,2023-08-21T22:36:11Z,2023-08-27T08:58:10Z,2023-08-27T08:58:10Z,17286
3702,2023-08-21T22:09:40Z,2023-08-27T08:58:37Z,2023-08-27T08:58:37Z,6756
3698,2023-08-14T22:15:19Z,,2023-09-11T22:29:00Z,9894
3697,2023-08-14T22:15:11Z,,2023-09-04T22:13:55Z,4715
3694,2023-08-10T08:54:58Z,2023-08-10T09:06:34Z,2023-08-10T09:06:34Z,268
3691,2023-08-08T05:23:49Z,2023-08-12T14:21:56Z,2023-08-12T14:21:57Z,105
3689,2023-08-07T22:50:31Z,,2023-08-21T22:09:47Z,6331
3688,2023-08-07T22:50:15Z,2023-08-11T01:23:47Z,2023-08-11T01:23:47Z,3110
3684,2023-08-03T22:55:57Z,2023-08-04T02:58:47Z,2023-08-04T02:58:47Z,112
3670,2023-07-20T07:02:43Z,,2023-07-24T02:54:30Z,64
3665,2023-07-10T22:26:03Z,,2023-08-04T02:59:24Z,4044
3652,2023-06-26T22:57:18Z,,2023-08-14T22:15:26Z,4865
3648,2023-06-19T22:57:29Z,,2023-07-10T22:26:10Z,3730
3645,2023-06-14T14:25:37Z,,2023-06-23T16:36:53Z,63
3644,2023-06-12T22:57:10Z,,2023-08-21T22:36:17Z,8754
3638,2023-06-05T22:58:23Z,,2023-08-07T22:50:37Z,3642
3636,2023-06-05T22:57:11Z,,2023-06-12T22:57:17Z,18349
3630,2023-06-01T02:22:49Z,2023-06-01T02:26:21Z,2023-06-01T02:26:21Z,744
3626,2023-05-30T13:21:13Z,,2023-06-01T13:56:08Z,520
3624,2023-05-29T22:57:59Z,,2023-05-31T09:46:19Z,7447
3623,2023-05-29T22:57:48Z,,2023-05-31T09:46:36Z,3426
3622,2023-05-29T22:57:47Z,,2023-05-31T09:46:50Z,2585
3621,2023-05-29T22:57:38Z,,2023-05-31T09:47:06Z,6573
3620,2023-05-29T02:51:08Z,,2023-06-01T02:27:14Z,65
3616,2023-05-25T11:54:08Z,2023-05-26T03:45:47Z,2023-05-26T03:45:47Z,272
3611,2023-05-23T19:23:07Z,,2023-05-23T19:32:18Z,485
3610,2023-05-22T22:57:47Z,2023-05-26T03:48:00Z,2023-05-26T03:48:00Z,5596
3599,2023-05-08T22:57:30Z,2023-05-24T08:45:22Z,2023-05-24T08:45:22Z,3339
3595,2023-05-06T11:04:56Z,2023-06-05T01:52:39Z,2023-06-05T01:52:40Z,61
3592,2023-05-01T22:57:59Z,,2023-05-22T22:57:54Z,5228
3590,2023-04-30T21:53:21Z,,2023-04-30T22:23:51Z,501
3588,2023-04-28T16:13:07Z,,2023-06-01T07:47:45Z,510
3585,2023-04-27T00:09:22Z,2023-04-27T02:16:59Z,2023-04-27T02:16:59Z,680
3584,2023-04-26T14:57:15Z,,2023-04-27T00:03:34Z,30
3583,2023-04-26T03:37:53Z,2023-04-26T06:13:56Z,2023-04-26T06:13:56Z,440
3575,2023-04-21T15:56:57Z,2023-04-26T03:18:22Z,2023-04-26T03:18:22Z,315
3564,2023-04-10T22:57:34Z,,2023-04-27T02:17:38Z,3505
3561,2023-04-07T09:50:44Z,,2023-04-26T06:16:10Z,55
3559,2023-04-03T23:12:07Z,,2023-04-27T02:17:37Z,7243
3556,2023-04-01T03:26:29Z,2023-05-29T01:57:53Z,2023-05-29T01:57:53Z,99
3551,2023-03-27T22:57:41Z,,2023-04-03T23:12:15Z,6505
3545,2023-03-20T22:57:48Z,,2023-03-27T22:57:50Z,5197
3544,2023-03-20T22:57:41Z,,2023-05-26T07:56:08Z,9389
