number,created_at,merged_at,closed_at,desc_len
63808,2023-10-29T06:45:16Z,,2023-10-31T17:20:17Z,74
63806,2023-10-29T02:06:50Z,,2023-10-30T21:58:57Z,54
63770,2023-10-27T16:13:32Z,,2023-10-31T17:20:14Z,101
63766,2023-10-27T14:38:49Z,,2023-10-27T16:04:25Z,304
63754,2023-10-26T16:34:12Z,,2023-10-26T18:27:52Z,1191
63704,2023-10-24T01:20:31Z,,2023-10-31T21:46:46Z,138
63685,2023-10-23T10:58:27Z,,2023-10-23T11:05:49Z,100
63680,2023-10-23T07:59:08Z,,2023-10-23T08:01:59Z,42
63624,2023-10-19T08:23:09Z,,2023-10-20T09:45:34Z,183
63617,2023-10-18T16:38:33Z,,2023-10-19T00:55:19Z,297
63609,2023-10-18T09:13:31Z,,2023-10-20T06:15:39Z,104
63604,2023-10-17T22:44:43Z,,2023-10-24T18:00:03Z,196
63595,2023-10-17T14:39:20Z,,2023-10-18T00:41:14Z,87
63594,2023-10-17T14:16:17Z,,2023-10-17T14:24:51Z,184
63593,2023-10-17T14:10:38Z,,2023-10-17T18:58:56Z,400
63580,2023-10-16T21:51:17Z,,2023-10-20T18:24:10Z,255
63573,2023-10-16T15:54:44Z,,2023-10-16T15:56:20Z,396
63561,2023-10-15T23:25:42Z,,2023-10-26T15:48:44Z,324
63551,2023-10-14T23:59:48Z,,2023-10-15T21:18:52Z,494
63550,2023-10-14T23:20:40Z,,2023-10-14T23:48:25Z,575
63542,2023-10-14T09:54:47Z,,2023-10-23T09:12:21Z,52
63541,2023-10-14T09:53:49Z,,2023-10-16T19:39:46Z,98
63540,2023-10-14T09:21:23Z,,2023-10-18T20:08:12Z,163
63533,2023-10-13T15:52:51Z,,2023-10-14T08:58:53Z,163
63530,2023-10-13T12:33:31Z,,2023-10-19T12:03:44Z,35
63519,2023-10-12T15:43:11Z,,2023-10-12T21:05:18Z,106
63497,2023-10-11T01:50:05Z,,2023-10-11T02:21:02Z,254
63491,2023-10-10T15:47:37Z,,2023-10-12T13:17:23Z,48
63479,2023-10-09T20:55:59Z,,2023-10-10T00:36:24Z,254
63474,2023-10-09T16:30:16Z,,2023-10-10T00:43:32Z,26
63465,2023-10-09T14:15:39Z,,2023-10-12T01:04:42Z,313
63449,2023-10-08T15:46:49Z,,2023-10-09T22:20:04Z,61
63440,2023-10-07T17:03:36Z,,2023-10-12T01:05:02Z,192
63439,2023-10-07T16:09:15Z,,2023-10-09T22:05:21Z,112
63414,2023-10-06T14:55:35Z,,2023-10-07T08:55:58Z,64
63400,2023-10-05T18:29:52Z,,2023-10-06T20:30:48Z,675
63386,2023-10-05T09:29:58Z,,2023-10-06T21:07:58Z,31
63364,2023-10-04T02:24:31Z,,2023-10-10T15:05:46Z,88
63355,2023-10-03T17:49:18Z,,2023-10-03T18:10:47Z,262
63350,2023-10-03T10:30:41Z,,2023-10-03T19:58:39Z,27
63349,2023-10-03T10:14:20Z,,2023-10-03T17:00:33Z,56
63344,2023-10-03T05:55:35Z,,2023-10-04T04:28:20Z,23
63321,2023-10-01T12:04:13Z,,2023-10-24T20:34:33Z,25
63320,2023-10-01T11:02:22Z,,2023-10-02T17:47:17Z,28
63311,2023-09-30T08:51:22Z,,2023-09-30T08:52:34Z,294
63310,2023-09-30T08:49:27Z,,2023-09-30T08:50:57Z,294
63308,2023-09-30T07:35:54Z,,2023-09-30T08:17:24Z,294
63307,2023-09-30T07:19:44Z,,2023-09-30T07:35:24Z,292
63306,2023-09-30T06:23:09Z,,2023-09-30T07:17:04Z,348
63305,2023-09-30T06:08:47Z,,2023-10-04T05:01:15Z,435
63294,2023-09-29T18:52:59Z,,2023-10-03T20:12:55Z,137
63288,2023-09-28T21:51:06Z,,2023-09-29T13:16:06Z,140
63284,2023-09-28T16:35:26Z,,2023-10-02T23:23:26Z,377
63274,2023-09-28T05:25:27Z,,2023-09-29T18:56:43Z,157
63272,2023-09-28T03:04:05Z,,2023-10-25T21:40:39Z,136
63268,2023-09-27T23:29:58Z,,2023-09-28T18:01:31Z,281
63252,2023-09-26T22:56:57Z,,2023-09-27T13:12:43Z,56
63251,2023-09-26T21:59:22Z,,2023-09-28T03:23:15Z,70
63248,2023-09-26T20:21:58Z,,2023-09-28T18:09:21Z,59
63245,2023-09-26T16:55:57Z,,2023-09-26T16:58:36Z,214
63231,2023-09-26T12:18:10Z,,2023-09-27T01:53:47Z,125
63228,2023-09-26T05:32:24Z,,2023-09-27T01:22:45Z,79
63227,2023-09-26T05:19:43Z,,2023-09-26T16:40:01Z,49
63226,2023-09-26T05:11:49Z,,2023-09-28T23:38:38Z,138
63224,2023-09-25T23:37:16Z,,2023-09-27T14:43:34Z,148
63200,2023-09-25T08:37:50Z,,2023-10-03T19:45:04Z,43
63186,2023-09-24T04:20:26Z,,2023-09-25T07:07:58Z,269
63184,2023-09-23T23:26:18Z,,2023-09-26T08:13:16Z,1035
63175,2023-09-23T08:38:25Z,,2023-09-25T14:53:15Z,441
63174,2023-09-23T04:11:11Z,,2023-09-27T14:27:08Z,126
63165,2023-09-22T16:51:07Z,,2023-09-25T14:36:54Z,46
63163,2023-09-22T13:46:24Z,,2023-09-22T21:25:38Z,383
63160,2023-09-22T10:23:53Z,,2023-09-28T13:50:30Z,54
63159,2023-09-22T09:45:06Z,,2023-09-22T09:46:52Z,1322
63155,2023-09-22T05:05:50Z,,2023-09-27T14:27:05Z,120
63133,2023-09-20T23:31:54Z,,2023-09-21T16:22:13Z,189
63123,2023-09-20T12:52:35Z,,2023-09-22T04:21:03Z,60
63111,2023-09-20T02:10:40Z,,2023-09-20T22:35:24Z,413
62721,2023-09-19T10:53:56Z,,2023-09-20T02:17:35Z,192
62713,2023-09-18T22:50:48Z,,2023-09-22T16:30:07Z,76
62696,2023-09-18T03:20:07Z,,2023-09-18T04:18:34Z,1141
62681,2023-09-16T22:53:59Z,,2023-09-18T21:11:31Z,799
62680,2023-09-16T22:40:33Z,,2023-09-16T22:41:43Z,595
62673,2023-09-16T02:27:20Z,,2023-10-30T21:07:35Z,67
62672,2023-09-15T23:57:10Z,,2023-09-20T18:29:08Z,230
62662,2023-09-15T14:23:11Z,,2023-09-18T20:09:23Z,96
62652,2023-09-14T20:43:49Z,,2023-09-15T15:27:06Z,224
62651,2023-09-14T20:42:11Z,,2023-09-14T20:42:21Z,294
62647,2023-09-14T18:11:45Z,,2023-09-15T13:08:09Z,148
62633,2023-09-14T03:52:41Z,,2023-09-14T03:52:58Z,1356
62625,2023-09-13T21:57:11Z,,2023-09-20T18:14:30Z,1127
62611,2023-09-13T12:57:15Z,,2023-09-14T17:35:40Z,64
62610,2023-09-13T12:56:26Z,,2023-09-13T15:55:16Z,95
62609,2023-09-13T12:49:41Z,,2023-09-20T11:38:56Z,45
62591,2023-09-12T13:48:24Z,,2023-09-13T13:05:05Z,70
62590,2023-09-12T13:13:57Z,,2023-09-12T20:20:22Z,70
62588,2023-09-12T10:28:51Z,,2023-09-27T14:26:57Z,1138
62585,2023-09-12T05:50:05Z,,2023-09-13T01:08:14Z,121
62574,2023-09-11T16:34:01Z,,2023-09-13T18:45:07Z,128
62563,2023-09-11T05:37:14Z,,2023-09-11T05:48:26Z,1346
62562,2023-09-11T05:26:51Z,,2023-09-11T05:36:52Z,1346
62557,2023-09-10T14:00:09Z,,2023-09-10T14:04:58Z,1327
62555,2023-09-10T12:30:03Z,,2023-09-10T13:01:05Z,1323
62554,2023-09-10T12:24:16Z,,2023-09-10T12:26:03Z,1323
62553,2023-09-10T04:20:52Z,,2023-09-10T23:30:29Z,130
62549,2023-09-09T13:32:28Z,,2023-09-13T18:45:03Z,187
62543,2023-09-09T00:05:35Z,,2023-09-13T18:45:00Z,318
62517,2023-09-07T23:50:16Z,,2023-09-13T18:44:57Z,453
62503,2023-09-07T10:59:33Z,,2023-09-09T01:51:09Z,120
62502,2023-09-07T10:55:28Z,,2023-09-13T13:05:56Z,157
62497,2023-09-07T03:54:27Z,,2023-09-07T11:54:20Z,143
62496,2023-09-07T03:50:30Z,,2023-09-07T11:54:07Z,142
