number,created_at,merged_at,closed_at,desc_len
14,2017-11-03T14:26:53Z,2017-11-03T15:32:48Z,2017-11-03T15:32:48Z,64
12,2017-11-03T11:55:12Z,,2018-09-25T18:35:20Z,43
10,2017-11-03T10:53:36Z,2017-11-03T15:31:24Z,2017-11-03T15:31:24Z,26
9,2017-11-03T05:29:59Z,2017-11-03T15:28:15Z,2017-11-03T15:28:15Z,64
8,2017-11-02T20:40:59Z,2017-11-02T21:12:05Z,2017-11-02T21:12:05Z,135
7,2017-10-31T16:39:22Z,2017-10-31T16:39:35Z,2017-10-31T16:39:35Z,130
6,2017-10-30T20:07:39Z,2017-10-31T16:30:10Z,2017-10-31T16:30:10Z,104
5,2017-10-24T02:27:09Z,,2017-11-16T16:23:27Z,92
3,2017-10-15T21:02:21Z,2017-10-15T21:02:32Z,2017-10-15T21:02:32Z,16
2,2017-10-15T20:54:45Z,2017-10-15T20:54:52Z,2017-10-15T20:54:52Z,16
1,2017-10-15T20:35:34Z,2017-10-15T20:35:49Z,2017-10-15T20:35:49Z,16
567,2019-09-23T21:58:02Z,,2019-10-02T21:21:14Z,26
566,2019-09-20T08:47:08Z,2019-09-23T20:24:31Z,2019-09-23T20:24:31Z,221
565,2019-09-19T16:21:06Z,2019-09-22T13:41:38Z,2019-09-22T13:41:38Z,47
563,2019-09-12T00:55:42Z,2019-09-23T20:23:02Z,2019-09-23T20:23:02Z,25
562,2019-09-01T04:34:27Z,2019-09-01T09:30:19Z,2019-09-01T09:30:19Z,55
560,2019-08-31T09:49:08Z,2019-08-31T09:49:45Z,2019-08-31T09:49:45Z,220
559,2019-08-31T03:35:40Z,2019-08-31T09:44:36Z,2019-08-31T09:44:37Z,90
558,2019-08-29T06:32:08Z,2019-08-31T09:47:24Z,2019-08-31T09:47:24Z,52
557,2019-08-28T12:22:01Z,2019-08-31T09:45:10Z,2019-08-31T09:45:10Z,112
555,2019-08-25T10:19:05Z,2019-08-25T14:25:12Z,2019-08-25T14:25:12Z,31
554,2019-08-25T10:16:00Z,2019-08-25T14:25:53Z,2019-08-25T14:25:53Z,41
553,2019-08-25T04:42:07Z,2019-08-25T14:26:47Z,2019-08-25T14:26:47Z,47
551,2019-08-24T05:03:38Z,2019-08-24T07:35:25Z,2019-08-24T07:35:25Z,20
549,2019-08-22T05:12:28Z,2019-08-22T05:13:49Z,2019-08-22T05:13:49Z,217
548,2019-08-22T05:05:44Z,2019-08-22T05:13:22Z,2019-08-22T05:13:23Z,33
547,2019-08-22T04:56:28Z,2019-08-31T09:45:33Z,2019-08-31T09:45:33Z,28
546,2019-08-22T04:46:37Z,2019-08-22T04:46:49Z,2019-08-22T04:46:49Z,217
545,2019-08-22T04:46:07Z,2019-08-22T04:46:23Z,2019-08-22T04:46:23Z,207
544,2019-08-22T04:45:40Z,2019-08-22T04:45:54Z,2019-08-22T04:45:54Z,217
543,2019-08-22T04:45:14Z,2019-08-22T04:45:27Z,2019-08-22T04:45:27Z,215
542,2019-08-22T04:44:45Z,2019-08-22T04:44:59Z,2019-08-22T04:44:59Z,217
541,2019-08-22T04:44:16Z,2019-08-22T04:44:30Z,2019-08-22T04:44:30Z,209
540,2019-08-22T04:43:50Z,2019-08-22T04:44:02Z,2019-08-22T04:44:02Z,225
539,2019-08-22T04:42:54Z,2019-08-22T04:43:32Z,2019-08-22T04:43:32Z,231
538,2019-08-22T04:42:27Z,2019-08-22T04:42:40Z,2019-08-22T04:42:40Z,223
537,2019-08-22T04:42:00Z,2019-08-22T04:42:14Z,2019-08-22T04:42:14Z,221
536,2019-08-22T04:40:30Z,2019-08-22T04:41:44Z,2019-08-22T04:41:44Z,215
535,2019-08-22T04:40:05Z,2019-08-22T04:40:17Z,2019-08-22T04:40:17Z,223
534,2019-08-22T04:39:37Z,2019-08-22T04:39:50Z,2019-08-22T04:39:50Z,209
533,2019-08-22T04:39:10Z,2019-08-22T04:39:22Z,2019-08-22T04:39:22Z,209
532,2019-08-22T04:38:41Z,2019-08-22T04:38:56Z,2019-08-22T04:38:56Z,225
531,2019-08-22T04:38:14Z,2019-08-22T04:38:27Z,2019-08-22T04:38:27Z,211
530,2019-08-22T04:37:35Z,2019-08-22T04:37:58Z,2019-08-22T04:37:59Z,219
529,2019-08-22T04:37:09Z,2019-08-22T04:37:21Z,2019-08-22T04:37:21Z,209
528,2019-08-22T04:36:40Z,2019-08-22T04:36:54Z,2019-08-22T04:36:54Z,225
527,2019-08-22T04:35:45Z,2019-08-22T04:36:25Z,2019-08-22T04:36:25Z,219
526,2019-08-22T04:35:16Z,2019-08-22T04:35:31Z,2019-08-22T04:35:31Z,207
525,2019-08-22T04:34:48Z,2019-08-22T04:35:01Z,2019-08-22T04:35:01Z,213
524,2019-08-22T04:34:21Z,2019-08-22T04:34:34Z,2019-08-22T04:34:34Z,219
523,2019-08-22T04:33:55Z,2019-08-22T04:34:08Z,2019-08-22T04:34:08Z,213
522,2019-08-22T04:33:29Z,2019-08-22T04:33:41Z,2019-08-22T04:33:41Z,211
521,2019-08-22T04:33:01Z,2019-08-22T04:33:15Z,2019-08-22T04:33:15Z,215
520,2019-08-22T04:32:34Z,2019-08-22T04:32:47Z,2019-08-22T04:32:47Z,219
519,2019-08-22T04:32:06Z,2019-08-22T04:32:19Z,2019-08-22T04:32:19Z,205
518,2019-08-22T04:31:39Z,2019-08-22T04:31:52Z,2019-08-22T04:31:52Z,209
517,2019-08-22T04:31:09Z,2019-08-22T04:31:25Z,2019-08-22T04:31:25Z,219
516,2019-08-22T04:30:41Z,2019-08-22T04:30:56Z,2019-08-22T04:30:56Z,209
515,2019-08-22T04:29:27Z,2019-08-22T04:30:17Z,2019-08-22T04:30:17Z,217
514,2019-08-22T04:28:51Z,2019-08-22T04:29:04Z,2019-08-22T04:29:04Z,217
513,2019-08-22T04:28:22Z,2019-08-22T04:28:33Z,2019-08-22T04:28:34Z,221
512,2019-08-22T04:27:53Z,2019-08-22T04:28:07Z,2019-08-22T04:28:08Z,229
511,2019-08-22T04:27:26Z,2019-08-22T04:27:39Z,2019-08-22T04:27:39Z,221
510,2019-08-22T04:27:01Z,2019-08-22T04:27:12Z,2019-08-22T04:27:12Z,225
509,2019-08-22T04:26:33Z,2019-08-22T04:26:47Z,2019-08-22T04:26:47Z,215
508,2019-08-22T04:26:04Z,2019-08-22T04:26:18Z,2019-08-22T04:26:18Z,215
507,2019-08-22T04:25:35Z,2019-08-22T04:25:49Z,2019-08-22T04:25:49Z,223
506,2019-08-22T04:25:07Z,2019-08-22T04:25:21Z,2019-08-22T04:25:21Z,221
505,2019-08-22T04:24:30Z,2019-08-22T04:24:52Z,2019-08-22T04:24:53Z,209
504,2019-08-22T04:24:04Z,2019-08-22T04:24:16Z,2019-08-22T04:24:16Z,205
