number,created_at,merged_at,closed_at,desc_len
6819,2023-10-31T18:45:55Z,,2023-10-31T19:11:55Z,161
6818,2023-10-31T15:06:51Z,,2023-10-31T16:04:00Z,630
6817,2023-10-30T20:03:32Z,,2023-10-30T20:31:44Z,254
6816,2023-10-30T12:46:34Z,,2023-10-31T15:02:07Z,399
6815,2023-10-28T16:21:11Z,,2023-10-28T16:56:07Z,507
6814,2023-10-27T16:57:53Z,,2023-10-27T21:21:10Z,194
6813,2023-10-27T15:46:18Z,,2023-10-28T16:56:07Z,9293
6812,2023-10-27T15:27:25Z,,2023-10-27T15:55:04Z,628
6811,2023-10-26T15:22:13Z,,2023-10-26T15:49:40Z,530
6810,2023-10-26T13:46:23Z,,2023-10-26T14:16:52Z,106
6808,2023-10-26T00:20:50Z,,2023-10-26T00:50:17Z,171
6807,2023-10-25T22:27:01Z,,2023-10-26T14:16:52Z,473
6804,2023-10-25T18:28:38Z,,2023-10-25T20:35:52Z,1406
6803,2023-10-24T18:02:10Z,,2023-10-24T18:27:25Z,206
6802,2023-10-24T17:13:05Z,,2023-10-24T17:38:36Z,506
6800,2023-10-24T15:17:07Z,,2023-10-24T17:38:37Z,6106
6799,2023-10-24T04:44:51Z,,2023-10-24T04:53:10Z,14
6798,2023-10-23T17:59:19Z,,2023-10-23T18:31:13Z,507
6797,2023-10-23T15:23:49Z,,2023-10-23T18:31:14Z,10164
6796,2023-10-21T13:40:45Z,,2023-10-21T14:06:17Z,1651
6795,2023-10-21T01:22:57Z,,2023-10-21T01:50:41Z,309
6793,2023-10-18T22:22:12Z,,2023-10-18T22:52:05Z,473
6792,2023-10-18T16:15:23Z,,2023-10-18T16:43:08Z,107
6791,2023-10-18T15:39:38Z,,2023-10-18T22:52:06Z,4539
6789,2023-10-17T17:38:58Z,,2023-10-17T18:13:49Z,451
6788,2023-10-17T16:39:57Z,,2023-10-17T18:11:56Z,134
6787,2023-10-17T16:29:46Z,2023-10-17T16:58:02Z,2023-10-17T16:58:01Z,196
6786,2023-10-17T01:58:15Z,2023-10-17T02:24:34Z,2023-10-17T02:24:34Z,313
6785,2023-10-16T23:46:37Z,,2023-10-27T19:53:46Z,99
6784,2023-10-16T20:58:52Z,,2023-10-16T21:28:55Z,1654
6783,2023-10-16T16:31:39Z,,2023-10-16T20:48:27Z,1831
6782,2023-10-16T13:49:28Z,,2023-10-16T14:14:58Z,1521
6779,2023-10-13T16:03:56Z,,2023-10-13T16:29:01Z,507
6778,2023-10-13T15:19:09Z,,2023-10-13T16:29:03Z,10276
6777,2023-10-13T13:40:01Z,,2023-10-13T14:12:05Z,603
6775,2023-10-12T15:36:46Z,,2023-10-12T16:05:23Z,507
6774,2023-10-12T15:22:56Z,,2023-10-12T16:05:24Z,10085
6773,2023-10-11T15:52:33Z,,2023-10-11T16:24:12Z,427
6772,2023-10-11T15:37:41Z,,2023-10-11T16:14:56Z,2242
6771,2023-10-11T01:21:49Z,,2023-10-11T01:53:39Z,248
6770,2023-10-11T01:21:31Z,,2023-10-11T01:48:28Z,654
6766,2023-10-10T08:15:14Z,,2023-10-10T08:40:10Z,281
6765,2023-10-09T17:15:51Z,,2023-10-09T17:46:40Z,507
6764,2023-10-09T16:24:47Z,,2023-10-09T16:49:50Z,506
6763,2023-10-09T15:58:51Z,,2023-10-09T16:28:20Z,399
6762,2023-10-09T15:16:37Z,,2023-10-09T16:49:51Z,8000
6761,2023-10-09T15:16:35Z,,2023-10-09T17:46:41Z,10552
6755,2023-10-06T21:51:04Z,2023-10-10T19:07:38Z,2023-10-10T19:07:38Z,2005
6754,2023-10-06T18:07:33Z,,2023-10-06T18:34:04Z,282
6753,2023-10-06T18:03:36Z,,2023-10-06T19:04:55Z,69
6752,2023-10-06T16:33:54Z,,2023-10-06T17:02:39Z,155
6751,2023-10-06T15:43:48Z,,2023-10-09T15:16:43Z,10603
6749,2023-10-05T17:51:41Z,2023-10-05T18:20:50Z,2023-10-05T18:20:50Z,67
6748,2023-10-04T21:08:47Z,,2023-10-04T21:36:46Z,321
6747,2023-10-04T15:02:36Z,,2023-10-04T15:31:48Z,833
6746,2023-10-03T22:04:45Z,,2023-10-03T22:29:50Z,343
6745,2023-10-03T21:23:04Z,,2023-10-03T21:49:32Z,678
6744,2023-10-03T20:35:39Z,,2023-10-03T21:01:44Z,604
6743,2023-10-03T20:35:24Z,,2023-10-03T21:39:04Z,631
6742,2023-10-03T19:39:55Z,,2023-10-03T20:10:09Z,490
6741,2023-10-03T18:27:38Z,,2023-10-03T18:53:46Z,483
6740,2023-10-03T17:57:54Z,,2023-10-03T18:22:49Z,167
6739,2023-10-03T15:35:44Z,,2023-10-03T18:53:47Z,8032
6738,2023-10-02T16:55:58Z,,2023-10-02T17:20:36Z,572
6737,2023-09-29T20:50:14Z,,2023-09-29T21:34:55Z,109
6735,2023-09-27T16:56:44Z,,2023-09-27T17:23:29Z,507
6734,2023-09-27T15:27:11Z,,2023-09-27T17:23:31Z,4612
6732,2023-09-26T19:22:53Z,,2023-09-26T20:58:00Z,614
6731,2023-09-26T19:16:47Z,,2023-09-26T21:02:54Z,588
6730,2023-09-26T19:12:35Z,,2023-10-06T17:11:16Z,759
6728,2023-09-25T16:29:21Z,,2023-09-25T16:55:52Z,473
6727,2023-09-25T15:59:45Z,,2023-09-25T16:55:52Z,8165
6726,2023-09-25T14:44:50Z,,2023-09-25T15:13:53Z,259
6724,2023-09-21T17:51:38Z,,2023-09-21T18:21:02Z,461
6723,2023-09-20T16:06:15Z,,2023-09-20T16:36:39Z,417
6722,2023-09-20T15:48:33Z,,2023-09-20T16:36:38Z,6205
6721,2023-09-19T15:33:01Z,,2023-09-19T16:07:54Z,507
6720,2023-09-19T15:18:18Z,,2023-09-19T16:07:54Z,10107
6719,2023-09-15T15:50:07Z,,2023-09-19T15:18:27Z,9515
6717,2023-09-14T15:43:55Z,,2023-09-14T16:09:44Z,73
6716,2023-09-14T15:42:59Z,,2023-09-15T15:50:13Z,9468
6715,2023-09-12T15:28:56Z,,2023-09-12T16:51:06Z,669
6714,2023-09-11T17:44:37Z,,2023-09-11T18:17:03Z,321
6712,2023-09-08T17:27:44Z,,2023-09-08T18:27:18Z,45
6711,2023-09-07T15:50:58Z,,2023-09-07T16:20:29Z,441
6710,2023-09-07T15:40:51Z,,2023-09-07T16:20:31Z,4280
6709,2023-09-06T16:55:39Z,,2023-09-06T18:30:40Z,535
6708,2023-09-06T16:11:01Z,,2023-09-06T16:36:08Z,161
6707,2023-09-06T15:44:27Z,,2023-09-06T17:04:40Z,1518
6704,2023-09-05T23:55:13Z,,2023-09-06T13:47:05Z,792
6703,2023-09-05T15:48:04Z,,2023-09-12T16:51:08Z,193
6701,2023-09-05T14:40:25Z,,2023-09-05T15:07:15Z,473
6700,2023-09-05T13:40:27Z,,2023-09-05T14:21:39Z,88
6699,2023-09-04T15:31:56Z,,2023-09-05T15:07:16Z,8157
6698,2023-09-02T14:15:34Z,,2023-09-05T14:21:39Z,30
6697,2023-09-01T23:23:29Z,,2023-09-01T23:23:43Z,11
6696,2023-09-01T23:20:44Z,,2023-09-01T23:21:13Z,19
6695,2023-09-01T23:19:43Z,,2023-09-05T14:43:49Z,15
6693,2023-08-29T16:31:49Z,,2023-08-29T16:57:22Z,507
6692,2023-08-29T15:17:23Z,,2023-08-29T16:57:24Z,9644
6422,2023-04-14T01:33:39Z,,2023-04-17T13:03:12Z,463
6421,2023-04-13T17:09:08Z,,2023-04-13T17:30:56Z,507
6420,2023-04-13T15:57:50Z,,2023-04-13T17:30:56Z,4463
6419,2023-04-13T15:57:48Z,,2023-04-17T16:03:18Z,6809
6418,2023-04-12T18:14:56Z,,2023-04-12T18:37:54Z,439
6417,2023-04-12T15:57:17Z,,2023-04-12T18:37:55Z,7092
6416,2023-04-12T07:14:18Z,,2023-04-21T07:57:19Z,302
6415,2023-04-12T05:15:08Z,,2023-04-12T05:58:04Z,152
