number,created_at,merged_at,closed_at,desc_len
494,2016-10-01T04:18:25Z,2020-09-01T03:41:46Z,2020-09-01T03:41:46Z,148
493,2016-09-28T20:51:51Z,,2020-07-16T12:42:04Z,104
492,2016-09-28T09:58:37Z,2020-09-01T03:41:45Z,2020-09-01T03:41:45Z,5
476,2016-09-02T00:19:04Z,2016-09-02T00:29:10Z,2016-09-02T00:29:10Z,21
475,2016-09-01T23:40:43Z,2016-09-01T23:41:43Z,2016-09-01T23:41:43Z,27
474,2016-09-01T23:25:21Z,2016-09-01T23:26:54Z,2016-09-01T23:26:54Z,35
473,2016-09-01T22:51:11Z,2016-09-01T23:10:22Z,2016-09-01T23:10:22Z,41
472,2016-09-01T22:36:38Z,,2016-09-01T22:45:51Z,42
466,2016-08-30T04:18:59Z,,2016-09-01T23:18:38Z,31
463,2016-08-28T20:38:46Z,,2016-09-01T23:18:30Z,124
462,2016-08-28T20:20:07Z,,2016-08-28T20:36:27Z,85
459,2016-08-25T21:03:05Z,2016-08-25T21:05:03Z,2016-08-25T21:05:03Z,29
452,2016-08-18T05:37:02Z,,2016-09-01T23:42:54Z,215
410,2016-06-05T02:18:49Z,,2016-06-05T02:21:32Z,54
406,2016-05-31T07:46:34Z,2016-09-01T23:21:58Z,2016-09-01T23:21:58Z,95
405,2016-05-31T06:51:06Z,,2016-05-31T07:38:56Z,99
396,2016-05-18T16:21:10Z,,2021-01-07T12:45:27Z,745
389,2016-05-12T20:37:15Z,,2016-09-01T23:41:52Z,291
388,2016-05-11T21:06:14Z,,2021-01-07T12:47:13Z,36
386,2016-05-11T07:51:13Z,,2021-01-07T12:48:13Z,55
361,2016-04-12T11:59:32Z,2021-01-07T12:50:18Z,2021-01-07T12:50:18Z,43
345,2016-03-22T08:05:10Z,,2016-03-22T12:51:25Z,56
337,2016-03-10T16:03:40Z,2016-03-10T16:03:49Z,2016-03-10T16:03:49Z,37
310,2016-02-16T16:26:48Z,,2021-01-07T12:49:18Z,256
304,2016-02-08T22:09:56Z,2016-02-09T20:33:45Z,2016-02-09T20:33:45Z,30
297,2016-01-30T10:47:00Z,,2021-01-07T12:52:14Z,323
296,2016-01-29T17:25:07Z,,2016-02-23T20:51:02Z,8
282,2016-01-05T12:10:19Z,,2016-02-25T21:53:41Z,159
279,2015-12-30T22:39:45Z,2015-12-30T22:42:57Z,2015-12-30T22:42:57Z,653
274,2015-12-18T07:58:19Z,,2016-02-24T00:46:50Z,377
266,2015-12-12T10:41:18Z,2015-12-12T14:34:53Z,2015-12-12T14:34:53Z,86
251,2015-11-26T09:18:20Z,,2016-02-23T20:48:03Z,161
243,2015-11-19T23:26:06Z,2015-11-23T21:23:36Z,2015-11-23T21:23:36Z,485
236,2015-11-17T21:42:43Z,2015-11-17T21:43:55Z,2015-11-17T21:43:55Z,12
222,2015-10-22T12:25:38Z,,2015-11-19T16:15:31Z,209
216,2015-10-11T07:04:09Z,2015-11-23T21:39:31Z,2015-11-23T21:39:31Z,321
162,2015-06-28T05:43:51Z,,2015-11-05T16:18:17Z,68
161,2015-06-27T18:35:03Z,,2015-06-27T18:43:04Z,32
156,2015-06-22T10:48:57Z,,2015-06-22T14:50:27Z,27
143,2015-06-10T22:24:31Z,2015-08-21T09:51:59Z,2015-08-21T09:51:59Z,80
134,2015-06-02T16:35:23Z,2015-06-04T19:42:39Z,2015-06-04T19:42:39Z,26
132,2015-06-02T13:45:03Z,,2015-06-02T16:28:39Z,237
131,2015-06-02T13:30:23Z,,2015-06-02T13:30:36Z,14
130,2015-06-02T13:28:30Z,,2015-06-02T13:30:19Z,14
129,2015-06-02T07:17:10Z,,2015-06-02T13:33:16Z,237
122,2015-05-30T18:20:17Z,,2015-05-30T18:57:51Z,29
120,2015-05-30T15:54:11Z,2015-05-31T01:15:52Z,2015-05-31T01:15:52Z,76
114,2015-05-26T15:07:37Z,2015-05-26T18:03:39Z,2015-05-26T18:03:39Z,256
100,2015-04-15T09:54:47Z,,2015-06-02T03:36:59Z,177
82,2015-02-26T02:32:46Z,,2015-11-23T21:24:30Z,17
50,2014-11-29T04:01:11Z,2014-11-29T19:35:39Z,2014-11-29T19:35:39Z,11
34,2014-10-28T13:56:16Z,,2014-11-04T14:31:02Z,56
25,2014-10-24T00:19:09Z,2014-10-27T15:03:57Z,2014-10-27T15:03:57Z,14
24,2014-10-23T17:00:23Z,,2014-10-24T10:23:20Z,65
20,2014-10-23T12:08:16Z,,2015-06-02T03:37:38Z,258
10,2014-10-19T11:55:05Z,,2014-10-22T15:32:50Z,325
4,2014-10-17T21:16:16Z,,2014-10-22T15:32:06Z,182
1586,2023-10-09T19:11:30Z,,2023-10-09T19:30:16Z,9
1572,2023-08-25T03:36:45Z,,2023-08-25T03:37:04Z,3
1551,2023-07-29T18:56:10Z,,2023-07-29T19:06:18Z,50
1537,2023-07-01T19:22:23Z,2023-07-01T22:39:46Z,2023-07-01T22:39:46Z,34
1526,2023-06-08T19:57:35Z,,2023-06-08T19:59:59Z,17
1525,2023-06-06T19:27:25Z,2023-06-06T19:28:07Z,2023-06-06T19:28:07Z,72
1524,2023-06-05T22:21:21Z,2023-06-06T01:47:40Z,2023-06-06T01:47:41Z,64
1489,2023-03-14T02:31:10Z,2023-03-14T02:34:34Z,2023-03-14T02:34:34Z,51
1470,2023-02-21T21:54:14Z,,2023-02-21T22:06:18Z,876
1456,2023-01-24T07:39:10Z,,2023-01-24T08:07:32Z,12
1443,2022-12-17T10:17:54Z,,2022-12-17T19:47:37Z,28
1437,2022-12-03T07:20:28Z,,2023-02-17T16:38:58Z,73
1432,2022-12-02T22:37:28Z,,2023-03-14T02:15:56Z,15
1431,2022-12-02T21:56:45Z,,2022-12-02T22:35:08Z,11
1429,2022-12-02T17:58:47Z,,2022-12-02T22:33:29Z,18
1418,2022-11-10T20:37:09Z,,2022-11-11T16:34:02Z,5
1401,2022-10-19T11:12:18Z,,2022-10-30T23:43:57Z,11
1400,2022-10-19T11:09:02Z,,2022-10-19T15:42:24Z,14
1367,2022-08-17T12:43:17Z,,2022-10-29T01:33:20Z,735
1355,2022-07-27T12:43:38Z,,2022-12-02T21:23:26Z,290
1353,2022-07-26T12:29:55Z,,2022-07-26T12:30:10Z,4
1346,2022-07-10T02:30:41Z,,2022-12-02T21:22:29Z,623
1344,2022-07-07T22:35:46Z,2022-07-07T22:36:12Z,2022-07-07T22:36:12Z,12
1327,2022-06-12T03:11:01Z,,2022-06-12T03:11:47Z,46
1321,2022-06-02T20:02:38Z,2022-06-02T20:03:21Z,2022-06-02T20:03:21Z,162
1314,2022-05-19T11:06:59Z,,2022-05-19T22:53:37Z,22
1303,2022-04-28T20:43:05Z,,2022-04-28T20:52:03Z,14
1297,2022-04-21T23:16:55Z,2022-04-21T23:17:20Z,2022-04-21T23:17:20Z,26
1296,2022-04-21T18:38:33Z,2022-04-21T18:38:54Z,2022-04-21T18:38:54Z,23
1291,2022-04-13T16:53:05Z,2022-05-12T21:40:46Z,2022-05-12T21:40:46Z,17
1287,2022-03-31T11:37:26Z,,2022-03-31T16:39:48Z,525
1285,2022-03-28T21:53:19Z,,2022-05-12T23:04:35Z,127
1281,2022-03-16T13:54:06Z,,2022-05-12T21:47:26Z,870
1278,2022-03-11T14:10:31Z,,2022-05-04T00:31:17Z,61
1269,2022-02-18T18:03:42Z,,2022-05-12T21:55:47Z,15
1262,2022-01-27T11:25:58Z,,2022-01-31T03:37:07Z,21
1261,2022-01-27T11:23:41Z,,2022-01-27T11:25:30Z,21
1258,2022-01-24T13:22:22Z,,2022-05-03T23:47:45Z,11
1245,2021-11-03T06:47:00Z,,2022-04-24T21:48:51Z,23
1230,2021-10-05T15:16:23Z,,2022-05-13T00:01:56Z,45
1229,2021-10-05T14:32:32Z,,2021-10-05T14:43:19Z,57
1228,2021-10-03T15:49:22Z,,2021-10-05T14:27:09Z,31
1212,2021-08-23T04:00:48Z,,2022-05-12T23:02:49Z,292
1211,2021-08-20T08:56:36Z,,2022-05-02T15:31:49Z,234
1207,2021-08-10T16:43:11Z,,2022-05-12T23:06:25Z,26
1169,2021-04-30T11:28:14Z,,2022-05-12T22:45:39Z,125
1162,2021-03-26T17:51:06Z,,2022-05-04T00:43:11Z,206
1154,2021-03-15T09:11:11Z,,2022-04-24T21:45:25Z,101
1131,2021-01-25T16:05:45Z,2021-02-02T14:23:28Z,2021-02-02T14:23:28Z,122
1099,2020-10-29T20:36:57Z,2021-01-07T12:15:32Z,2021-01-07T12:15:32Z,28
1077,2020-09-10T23:03:07Z,2021-01-07T12:06:36Z,2021-01-07T12:06:36Z,166
1068,2020-08-31T21:20:25Z,2020-08-31T21:37:08Z,2020-08-31T21:37:08Z,212
1055,2020-08-18T02:35:17Z,2020-08-20T04:34:18Z,2020-08-20T04:34:18Z,127
1040,2020-07-16T11:54:13Z,,2021-01-05T10:40:10Z,163
1038,2020-07-15T19:42:48Z,,2021-01-07T12:54:13Z,8661
1030,2020-06-23T23:35:04Z,2020-06-23T23:40:40Z,2020-06-23T23:40:40Z,18
1025,2020-06-15T17:18:07Z,,2020-06-18T05:27:58Z,20
974,2020-01-24T21:59:27Z,,2022-03-10T20:06:52Z,406
