number,created_at,merged_at,closed_at,desc_len
137,2017-08-27T11:53:50Z,2017-09-27T23:47:08Z,2017-09-27T23:47:08Z,184
135,2017-08-14T17:03:16Z,2017-09-27T23:46:24Z,2017-09-27T23:46:24Z,16
134,2017-08-14T05:45:42Z,,2017-08-14T06:17:53Z,33
131,2017-07-15T16:14:58Z,2017-07-15T16:17:49Z,2017-07-15T16:17:49Z,38
130,2017-07-02T04:54:58Z,2017-07-02T04:55:15Z,2017-07-02T04:55:15Z,65
129,2017-07-01T18:48:57Z,2017-07-02T04:48:17Z,2017-07-02T04:48:17Z,12
128,2017-06-28T01:53:48Z,2017-06-30T16:23:04Z,2017-06-30T16:23:04Z,23
121,2017-06-11T23:17:08Z,2017-06-12T22:39:25Z,2017-06-12T22:39:25Z,56
120,2017-06-02T17:27:35Z,2017-06-02T19:01:29Z,2017-06-02T19:01:29Z,26
114,2017-05-22T13:58:04Z,2017-05-22T18:07:03Z,2017-05-22T18:07:03Z,56
109,2017-05-11T01:02:07Z,2017-05-12T05:46:02Z,2017-05-12T05:46:02Z,117
106,2017-05-09T01:53:38Z,2017-05-10T02:59:40Z,2017-05-10T02:59:40Z,81
104,2017-05-08T01:32:02Z,2017-05-08T18:05:55Z,2017-05-08T18:05:56Z,447
100,2017-05-05T16:23:34Z,2017-05-05T16:28:12Z,2017-05-05T16:28:12Z,26
97,2017-05-04T17:59:00Z,2017-05-04T18:06:58Z,2017-05-04T18:06:58Z,132
94,2017-05-04T16:20:07Z,2017-05-04T17:37:22Z,2017-05-04T17:37:22Z,50
92,2017-05-04T10:06:02Z,2017-05-04T17:36:00Z,2017-05-04T17:36:00Z,308
75,2017-04-29T19:57:39Z,2017-04-29T20:13:26Z,2017-04-29T20:13:26Z,41
68,2017-04-28T14:34:22Z,2017-04-28T16:00:32Z,2017-04-28T16:00:32Z,74
34,2017-04-24T09:48:04Z,2017-04-24T17:59:13Z,2017-04-24T17:59:13Z,97
32,2017-04-23T20:35:04Z,2017-04-23T20:45:12Z,2017-04-23T20:45:12Z,16
25,2017-04-23T03:00:19Z,2017-04-23T03:02:57Z,2017-04-23T03:02:57Z,80
14,2017-04-21T18:24:47Z,2017-04-21T18:39:30Z,2017-04-21T18:39:30Z,40
8,2017-04-20T02:59:48Z,2017-04-20T16:52:38Z,2017-04-20T16:52:38Z,16
5,2017-04-10T14:09:04Z,2017-04-10T20:05:14Z,2017-04-10T20:05:14Z,66
1309,2023-05-29T17:31:55Z,,2023-06-05T17:14:43Z,7083
1308,2023-05-29T17:30:48Z,,2023-06-12T17:13:10Z,19548
1307,2023-05-29T17:27:21Z,,2023-06-05T17:13:34Z,7075
1306,2023-05-29T17:23:23Z,,2023-06-05T17:10:03Z,8485
1305,2023-05-29T17:11:15Z,2023-10-24T21:13:53Z,2023-10-24T21:13:53Z,8217
1303,2023-05-22T17:05:56Z,,2023-10-24T20:33:39Z,15886
1302,2023-05-22T17:04:53Z,2023-06-15T09:35:08Z,2023-06-15T09:35:08Z,3952
1301,2023-05-22T17:03:56Z,2023-06-15T09:35:24Z,2023-06-15T09:35:25Z,4318
1300,2023-05-22T17:03:01Z,2023-06-15T09:36:06Z,2023-06-15T09:36:06Z,2215
1299,2023-05-22T17:01:54Z,,2023-05-29T17:27:25Z,7154
1298,2023-05-22T17:00:47Z,2023-06-15T09:35:38Z,2023-06-15T09:35:38Z,3058
1297,2023-05-22T16:59:58Z,,2023-05-29T17:23:27Z,8564
