number,created_at,merged_at,closed_at,desc_len
80,2013-10-05T15:37:21Z,2013-10-08T01:02:38Z,2013-10-08T01:02:38Z,207
79,2013-09-26T10:26:51Z,,2013-10-10T19:50:01Z,253
78,2013-09-09T06:44:52Z,2013-10-08T01:00:34Z,2013-10-08T01:00:34Z,70
77,2013-09-08T02:18:06Z,2013-10-08T01:00:21Z,2013-10-08T01:00:21Z,220
76,2013-09-04T08:37:44Z,,2013-10-18T16:00:08Z,40
75,2013-09-04T01:42:24Z,,2013-09-04T08:35:52Z,40
74,2013-08-28T08:08:47Z,2013-08-29T20:21:11Z,2013-08-29T20:21:11Z,27
73,2013-08-28T07:48:49Z,,2013-08-28T08:02:46Z,33
72,2013-08-27T02:46:43Z,2013-08-27T20:03:41Z,2013-08-27T20:03:41Z,19
71,2013-08-06T07:26:30Z,2013-08-06T16:50:59Z,2013-08-06T16:50:59Z,24
70,2013-07-25T14:58:54Z,,2013-08-27T20:04:31Z,62
69,2013-07-19T07:51:08Z,2013-07-24T02:47:01Z,2013-07-24T02:47:01Z,37
68,2013-07-19T01:22:47Z,2013-10-08T00:59:43Z,2013-10-08T00:59:43Z,92
67,2013-07-16T21:57:31Z,2013-07-24T02:19:30Z,2013-07-24T02:19:30Z,35
66,2013-06-23T23:29:50Z,2013-07-02T17:10:44Z,2013-07-02T17:10:44Z,55
65,2013-06-18T20:10:11Z,2013-07-02T17:11:12Z,2013-07-02T17:11:13Z,48
64,2013-06-15T21:18:19Z,,2013-07-02T17:11:40Z,40
63,2013-06-01T17:06:37Z,2013-06-03T13:49:02Z,2013-06-03T13:49:02Z,70
62,2013-05-29T07:49:10Z,2013-05-31T17:18:16Z,2013-05-31T17:18:16Z,38
61,2013-05-22T09:21:42Z,2013-05-31T17:18:30Z,2013-05-31T17:18:30Z,99
60,2013-05-15T03:09:12Z,,2013-05-31T17:19:44Z,256
59,2013-05-12T18:53:00Z,2013-05-31T17:18:56Z,2013-05-31T17:18:56Z,63
57,2013-05-01T06:05:27Z,2013-05-02T13:50:13Z,2013-05-02T13:50:13Z,16
56,2013-04-18T16:48:38Z,2013-05-02T14:03:14Z,2013-05-02T14:03:14Z,94
55,2013-04-18T16:00:15Z,2013-04-19T13:15:23Z,2013-04-19T13:15:23Z,107
54,2013-04-15T14:33:18Z,,2013-04-18T15:58:58Z,77
53,2013-04-15T09:57:25Z,2013-04-18T15:33:51Z,2013-04-18T15:33:51Z,67
52,2013-04-12T16:01:44Z,,2013-04-16T19:46:39Z,136
51,2013-04-11T23:05:26Z,2013-04-16T19:46:57Z,2013-04-16T19:46:57Z,46
50,2013-04-09T15:19:09Z,2013-04-09T16:05:53Z,2013-04-09T16:05:53Z,259
49,2013-04-05T13:24:17Z,2013-04-05T22:36:32Z,2013-04-05T22:36:32Z,70
48,2013-03-27T23:28:22Z,2013-04-04T15:21:12Z,2013-04-04T15:21:13Z,20
47,2013-03-24T08:52:59Z,2013-04-04T15:22:10Z,2013-04-04T15:22:10Z,32
46,2013-03-22T17:15:00Z,,2013-03-22T21:06:58Z,97
45,2013-03-21T16:15:50Z,2013-03-22T04:03:20Z,2013-03-22T04:03:21Z,32
44,2013-03-18T21:44:28Z,2013-03-18T22:22:26Z,2013-03-18T22:22:26Z,35
43,2013-03-14T07:48:54Z,2013-03-14T19:07:34Z,2013-03-14T19:07:34Z,149
42,2013-02-24T20:28:13Z,,2013-03-09T21:07:46Z,64
40,2013-02-20T21:06:04Z,2013-03-09T21:06:27Z,2013-03-09T21:06:27Z,24
39,2013-02-10T11:30:03Z,2013-03-09T21:06:05Z,2013-03-09T21:06:05Z,45
38,2013-01-19T20:05:25Z,2013-01-22T05:47:15Z,2013-01-22T05:47:15Z,26
37,2013-01-14T16:01:52Z,2013-01-15T03:13:11Z,2013-01-15T03:13:11Z,48
36,2013-01-11T10:53:13Z,2013-01-15T03:12:57Z,2013-01-15T03:12:57Z,65
34,2012-11-27T03:55:27Z,2012-12-13T04:39:27Z,2012-12-13T04:39:27Z,71
33,2012-11-21T20:54:09Z,2012-12-13T04:39:59Z,2012-12-13T04:39:59Z,77
32,2012-11-03T16:52:09Z,2012-11-05T15:19:56Z,2012-11-05T15:19:56Z,45
31,2012-10-24T06:22:24Z,,2012-11-05T15:28:07Z,41
29,2012-10-23T09:33:30Z,2012-11-05T15:36:10Z,2012-11-05T15:36:10Z,242
28,2012-10-20T17:45:17Z,2012-10-21T14:29:36Z,2012-10-21T14:29:36Z,33
27,2012-10-18T07:43:16Z,2012-10-21T14:29:11Z,2012-10-21T14:29:11Z,60
25,2012-10-05T09:35:59Z,,2012-11-05T15:38:52Z,536
24,2012-10-02T16:27:27Z,2012-10-09T19:02:22Z,2012-10-09T19:02:22Z,126
22,2012-09-21T12:02:11Z,2012-10-02T01:41:29Z,2012-10-02T01:41:29Z,49
20,2012-08-17T01:22:02Z,2012-10-02T01:41:55Z,2012-10-02T01:41:55Z,129
19,2012-08-04T17:27:01Z,2012-08-08T17:54:01Z,2012-08-08T17:54:01Z,62
