number,created_at,merged_at,closed_at,desc_len
2754,2022-04-18T07:01:14Z,2022-04-19T16:35:06Z,2022-04-19T16:35:06Z,5382
2753,2022-04-18T07:01:02Z,2022-04-19T16:18:17Z,2022-04-19T16:18:17Z,13489
2752,2022-04-18T07:00:53Z,2022-04-19T16:17:51Z,2022-04-19T16:17:51Z,4837
2748,2022-04-12T01:57:10Z,2022-04-12T15:28:18Z,2022-04-12T15:28:18Z,1160
2747,2022-04-11T23:26:02Z,,2022-04-11T23:26:18Z,1327
2746,2022-04-11T23:22:40Z,,2022-04-11T23:22:47Z,1327
2745,2022-04-11T23:05:38Z,,2022-04-11T23:06:06Z,1319
2744,2022-04-11T07:02:57Z,2022-04-12T16:51:52Z,2022-04-12T16:51:52Z,4746
2743,2022-04-11T07:02:49Z,2022-04-12T16:51:37Z,2022-04-12T16:51:37Z,9422
2742,2022-04-11T07:01:08Z,2022-04-12T16:50:37Z,2022-04-12T16:50:37Z,13068
2741,2022-04-11T07:00:54Z,2022-04-12T15:34:36Z,2022-04-12T15:34:36Z,9003
2740,2022-04-10T00:09:48Z,2022-04-12T15:31:13Z,2022-04-12T15:31:13Z,749
2739,2022-04-08T06:14:56Z,,2022-04-08T06:18:47Z,1332
2738,2022-04-04T07:02:35Z,2022-04-04T16:39:56Z,2022-04-04T16:39:56Z,5442
2734,2022-03-28T07:11:31Z,2022-04-01T16:29:40Z,2022-04-01T16:29:40Z,6959
2733,2022-03-28T07:00:51Z,2022-04-01T16:29:18Z,2022-04-01T16:29:18Z,4748
2732,2022-03-25T19:08:13Z,2022-03-25T19:11:07Z,2022-03-25T19:11:07Z,2913
2731,2022-03-21T07:01:19Z,2022-03-25T19:13:36Z,2022-03-25T19:13:36Z,15228
2730,2022-03-21T07:01:02Z,2022-03-25T19:10:25Z,2022-03-25T19:10:25Z,15148
2729,2022-03-21T01:10:02Z,2022-03-21T01:23:17Z,2022-03-21T01:23:17Z,936
2727,2022-03-14T07:01:08Z,2022-04-01T16:27:12Z,2022-04-01T16:27:12Z,5278
2726,2022-03-14T07:00:59Z,2022-03-25T19:07:28Z,2022-03-25T19:07:28Z,12036
2723,2022-03-09T20:05:01Z,2022-03-09T20:05:21Z,2022-03-09T20:05:21Z,24
2720,2022-03-07T07:14:10Z,2022-03-07T07:19:15Z,2022-03-07T07:19:15Z,8378
2719,2022-03-07T07:03:18Z,2022-03-09T20:13:50Z,2022-03-09T20:13:50Z,5586
2715,2022-02-28T19:09:51Z,2022-03-05T01:22:11Z,2022-03-05T01:22:12Z,43
2714,2022-02-28T07:15:05Z,2022-02-28T17:55:35Z,2022-02-28T17:55:35Z,5019
2713,2022-02-28T07:01:01Z,2022-02-28T17:53:46Z,2022-02-28T17:53:46Z,13285
2710,2022-02-21T07:03:19Z,2022-02-21T12:13:17Z,2022-02-21T12:13:17Z,4270
2709,2022-02-21T07:01:20Z,2022-02-21T12:12:58Z,2022-02-21T12:12:58Z,5056
2708,2022-02-21T07:01:10Z,2022-02-21T12:12:20Z,2022-02-21T12:12:20Z,10977
2707,2022-02-21T07:00:55Z,,2022-06-07T05:02:12Z,3886
2705,2022-02-14T07:01:22Z,2022-02-14T07:14:08Z,2022-02-14T07:14:08Z,14437
2704,2022-02-14T07:01:09Z,2022-02-14T07:14:21Z,2022-02-14T07:14:21Z,6378
2703,2022-02-07T07:02:32Z,2022-02-07T23:00:12Z,2022-02-07T23:00:12Z,11294
2702,2022-02-07T07:02:26Z,2022-02-07T14:59:27Z,2022-02-07T14:59:28Z,4620
2701,2022-02-07T07:01:10Z,2022-02-07T23:00:38Z,2022-02-07T23:00:38Z,15386
