number,created_at,merged_at,closed_at,desc_len
135,2012-09-09T01:56:54Z,2012-09-10T02:17:58Z,2012-09-10T02:17:58Z,349
132,2012-09-03T08:36:28Z,2012-09-03T14:56:58Z,2012-09-03T14:56:58Z,162
131,2012-08-30T21:38:05Z,2012-08-31T14:46:54Z,2012-08-31T14:46:54Z,355
126,2012-08-21T20:30:04Z,,2012-08-24T03:12:12Z,285
121,2012-08-15T07:00:15Z,,2012-08-16T01:01:31Z,60
120,2012-08-15T05:23:24Z,,2012-08-17T03:07:11Z,199
117,2012-08-15T01:10:03Z,2012-08-15T02:06:57Z,2012-08-15T02:06:58Z,91
115,2012-08-14T01:56:32Z,2012-08-15T00:59:33Z,2012-08-15T00:59:33Z,190
114,2012-08-14T01:50:49Z,2012-08-15T02:04:22Z,2012-08-15T02:04:22Z,143
110,2012-08-13T01:46:57Z,2012-08-14T04:53:18Z,2012-08-14T04:53:18Z,384
109,2012-08-09T03:00:51Z,2012-08-10T03:30:58Z,2012-08-10T03:30:58Z,46
108,2012-08-09T01:55:42Z,2012-08-09T02:01:03Z,2012-08-09T02:01:03Z,55
107,2012-08-08T21:47:44Z,2012-08-09T02:00:53Z,2012-08-09T02:00:53Z,75
106,2012-08-08T16:04:08Z,2012-08-12T21:30:19Z,2012-08-12T21:30:19Z,177
103,2012-08-06T20:05:14Z,2012-08-07T05:38:11Z,2012-08-07T05:38:11Z,94
101,2012-08-06T02:52:53Z,2012-08-06T13:59:51Z,2012-08-06T13:59:51Z,105
100,2012-08-06T02:46:54Z,2012-08-06T13:59:01Z,2012-08-06T13:59:01Z,194
99,2012-08-05T20:36:50Z,,2012-08-08T00:54:08Z,141
98,2012-08-05T13:56:43Z,2013-03-09T00:36:35Z,2013-03-09T00:36:35Z,481
97,2012-08-04T04:36:27Z,2012-08-04T14:52:02Z,2012-08-04T14:52:02Z,163
96,2012-08-02T18:15:36Z,,2012-08-04T01:50:24Z,206
93,2012-08-02T13:23:20Z,2012-08-04T15:05:52Z,2012-08-04T15:05:52Z,99
85,2012-07-20T04:40:44Z,,2012-07-25T18:39:06Z,216
83,2012-07-17T08:08:16Z,2012-07-19T01:18:41Z,2012-07-19T01:18:41Z,516
80,2012-07-16T08:55:21Z,2012-07-16T14:14:53Z,2012-07-16T14:14:53Z,50
79,2012-07-15T20:37:57Z,2012-07-15T21:43:26Z,2012-07-15T21:43:26Z,59
75,2012-07-09T02:13:41Z,2012-07-10T00:36:33Z,2012-07-10T00:36:33Z,219
72,2012-06-20T16:17:22Z,2012-06-24T20:52:11Z,2012-06-24T20:52:11Z,177
69,2012-06-19T09:09:40Z,,2012-06-24T20:42:11Z,159
68,2012-06-18T09:43:53Z,,2012-06-24T20:39:03Z,1368
65,2012-06-14T15:08:03Z,2012-06-18T19:21:54Z,2012-06-18T19:21:54Z,104
63,2012-06-14T05:36:04Z,2012-06-14T11:04:35Z,2012-06-14T11:04:36Z,39
61,2012-06-11T22:29:50Z,2012-06-13T13:50:06Z,2012-06-13T13:50:06Z,222
58,2012-06-10T09:54:26Z,2012-06-13T14:21:51Z,2012-06-13T14:21:51Z,72
57,2012-06-08T03:24:41Z,2012-07-10T01:26:55Z,2012-07-10T01:26:55Z,236
56,2012-06-07T15:18:16Z,,2012-06-11T17:17:34Z,129
53,2012-06-05T16:31:54Z,2012-06-05T16:39:08Z,2012-06-05T16:39:08Z,142
48,2012-06-01T17:45:52Z,2012-06-02T21:45:14Z,2012-06-02T21:45:14Z,239
42,2012-05-24T23:28:43Z,,2012-05-25T14:47:30Z,90
41,2012-05-14T18:52:55Z,2012-05-15T04:37:31Z,2012-05-15T04:37:31Z,192
37,2012-05-02T16:48:36Z,,2012-05-04T04:08:15Z,818
36,2012-04-30T14:15:35Z,2012-04-30T23:34:29Z,2012-04-30T23:34:29Z,41
35,2012-04-30T13:32:29Z,,2012-04-30T13:37:36Z,52
34,2012-04-27T14:19:50Z,2012-04-28T15:50:25Z,2012-04-28T15:50:26Z,727
32,2012-04-25T03:12:14Z,2012-04-25T23:23:18Z,2012-04-25T23:23:19Z,457
29,2012-04-16T18:02:07Z,,2012-04-25T22:04:04Z,62
27,2012-03-30T11:52:49Z,2012-03-31T03:52:12Z,2012-03-31T03:52:12Z,149
