number,created_at,merged_at,closed_at,desc_len
2376,2022-05-30T00:03:09Z,,2022-05-30T02:53:26Z,9602
2375,2022-05-30T00:02:04Z,,2022-05-30T02:53:50Z,5311
2374,2022-05-30T00:01:39Z,,2022-05-30T02:53:18Z,4494
2373,2022-05-28T17:42:52Z,2022-06-15T18:23:24Z,2022-06-15T18:23:24Z,1179
2372,2022-05-27T23:58:16Z,,2022-10-16T09:24:19Z,2235
2371,2022-05-27T16:14:38Z,2022-05-27T23:24:09Z,2022-05-27T23:24:09Z,1063
2370,2022-05-27T11:23:40Z,2022-06-18T08:39:16Z,2022-06-18T08:39:16Z,113
2367,2022-05-26T14:52:54Z,,2022-05-28T09:50:42Z,71
2366,2022-05-26T08:37:37Z,2022-05-27T09:18:33Z,2022-05-27T09:18:33Z,286
2365,2022-05-25T16:00:51Z,,2022-10-03T07:13:24Z,986
2364,2022-05-25T15:01:49Z,,2022-05-28T09:50:03Z,420
2362,2022-05-23T00:06:20Z,,2022-05-23T01:52:16Z,13427
2361,2022-05-23T00:05:48Z,,2022-05-23T01:52:16Z,5211
2360,2022-05-23T00:05:41Z,,2022-05-23T01:52:15Z,8259
2359,2022-05-23T00:05:16Z,,2022-05-23T01:52:15Z,5631
2358,2022-05-23T00:04:44Z,,2022-05-23T01:52:14Z,5867
2357,2022-05-23T00:03:49Z,,2022-05-23T01:52:14Z,5396
2356,2022-05-23T00:03:29Z,,2022-05-23T01:52:13Z,8634
2355,2022-05-23T00:03:19Z,,2022-05-23T01:52:13Z,4925
2354,2022-05-23T00:02:47Z,,2022-05-23T01:52:12Z,10126
2352,2022-05-20T19:05:36Z,,2022-05-24T08:02:00Z,116
2347,2022-05-19T10:11:46Z,2022-05-24T12:28:49Z,2022-05-24T12:28:49Z,436
2342,2022-05-16T00:05:11Z,,2022-05-16T00:26:04Z,4806
2341,2022-05-16T00:03:19Z,,2022-05-16T00:26:11Z,7433
2340,2022-05-16T00:03:02Z,,2022-05-16T00:26:17Z,10046
2339,2022-05-16T00:02:41Z,,2022-05-16T00:26:24Z,6788
2338,2022-05-16T00:01:45Z,,2022-05-16T00:26:31Z,11791
2332,2022-05-10T00:19:21Z,2022-05-19T08:11:06Z,2022-05-19T08:11:06Z,1297
2331,2022-05-09T22:51:07Z,2022-05-10T06:12:54Z,2022-05-10T06:12:54Z,42
2330,2022-05-09T00:23:31Z,,2022-05-09T02:16:03Z,6734
2329,2022-05-09T00:21:28Z,,2022-05-09T02:16:09Z,5945
2328,2022-05-09T00:19:39Z,,2022-05-09T02:16:14Z,13006
2327,2022-05-09T00:19:20Z,,2022-05-09T02:16:20Z,12820
2326,2022-05-09T00:18:37Z,,2022-05-09T02:16:25Z,10184
2325,2022-05-09T00:18:22Z,,2022-05-09T02:16:30Z,6569
2324,2022-05-05T13:16:06Z,2022-05-05T15:16:29Z,2022-05-05T15:16:29Z,481
2322,2022-05-05T11:06:01Z,,2022-06-29T16:38:15Z,138
2321,2022-05-04T07:43:22Z,,2022-05-19T10:57:24Z,389
2317,2022-05-03T07:13:31Z,,2022-05-03T07:56:33Z,5396
2316,2022-05-03T07:12:14Z,,2022-05-03T07:56:36Z,4612
2315,2022-05-03T07:11:48Z,,2022-05-03T07:56:38Z,8078
2313,2022-05-02T07:43:10Z,2022-05-11T09:23:07Z,2022-05-11T09:23:07Z,802
2312,2022-05-02T00:04:57Z,,2022-05-02T01:30:34Z,12250
2311,2022-05-02T00:04:16Z,,2022-05-02T01:30:40Z,12349
2310,2022-05-02T00:04:05Z,,2022-05-02T01:30:46Z,4840
2309,2022-05-02T00:03:24Z,,2022-05-02T01:30:51Z,3612
2308,2022-05-02T00:02:58Z,,2022-05-02T01:30:56Z,10150
2307,2022-05-02T00:02:19Z,,2022-05-02T01:31:02Z,11794
2306,2022-05-02T00:02:06Z,,2022-05-02T01:31:08Z,6265
2305,2022-05-02T00:01:51Z,,2022-05-02T01:31:13Z,2191
2304,2022-05-02T00:01:36Z,,2022-05-02T01:31:18Z,4833
2303,2022-05-02T00:01:13Z,,2022-05-02T01:31:23Z,11451
2300,2022-04-29T20:46:51Z,2022-05-11T10:14:19Z,2022-05-11T10:14:20Z,1062
2299,2022-04-29T14:03:32Z,2022-04-30T13:53:43Z,2022-04-30T13:53:43Z,1332
2296,2022-04-26T06:12:28Z,2022-04-26T06:38:16Z,2022-04-26T06:38:16Z,1104
2295,2022-04-26T06:03:05Z,,2022-04-26T06:10:57Z,38
2294,2022-04-26T05:14:16Z,2022-04-26T05:31:39Z,2022-04-26T05:31:39Z,329
2291,2022-04-25T00:26:44Z,,2022-04-25T03:20:44Z,5207
2290,2022-04-25T00:26:18Z,,2022-04-25T03:20:53Z,3102
2289,2022-04-25T00:25:49Z,,2022-04-25T03:21:02Z,4456
2288,2022-04-25T00:25:39Z,,2022-04-25T03:21:20Z,3208
2287,2022-04-25T00:25:33Z,,2022-04-25T03:21:32Z,4459
2286,2022-04-25T00:25:13Z,,2022-04-25T03:21:39Z,3830
2285,2022-04-25T00:24:24Z,,2022-04-25T03:21:58Z,3171
2284,2022-04-25T00:24:11Z,,2022-04-25T03:22:14Z,4933
2283,2022-04-25T00:24:04Z,,2022-04-25T03:22:06Z,6162
2282,2022-04-25T00:23:40Z,,2022-04-25T03:21:49Z,4106
2281,2022-04-22T21:50:01Z,,2022-04-22T21:50:38Z,1152
2280,2022-04-22T15:57:29Z,,2022-04-22T18:45:06Z,1226
2274,2022-04-18T13:16:37Z,2022-04-18T14:38:39Z,2022-04-18T14:38:39Z,1091
2273,2022-04-18T00:03:23Z,,2022-04-18T04:13:14Z,2191
2272,2022-04-18T00:02:48Z,,2022-04-18T04:13:20Z,4909
2271,2022-04-18T00:02:20Z,,2022-04-18T04:49:51Z,13569
2270,2022-04-17T18:24:54Z,2022-04-18T04:31:04Z,2022-04-18T04:31:04Z,1437
2268,2022-04-16T01:07:50Z,2022-04-20T18:18:26Z,2022-04-20T18:18:26Z,107
2267,2022-04-14T17:56:13Z,2022-04-17T16:59:32Z,2022-04-17T16:59:33Z,361
2262,2022-04-13T11:50:40Z,2022-05-03T12:24:47Z,2022-05-03T12:24:48Z,787
2257,2022-04-12T21:01:19Z,2022-04-18T17:13:43Z,2022-04-18T17:13:43Z,1362
2245,2022-04-08T09:14:17Z,,2022-04-12T14:06:52Z,1352
2244,2022-04-08T09:12:55Z,,2022-04-08T09:13:22Z,1352
2243,2022-04-08T05:44:26Z,2022-06-29T16:44:43Z,2022-06-29T16:44:43Z,1194
2241,2022-04-07T05:44:50Z,2022-04-14T11:39:03Z,2022-04-14T11:39:03Z,286
2240,2022-04-06T17:34:38Z,2022-05-09T20:35:24Z,2022-05-09T20:35:24Z,1156
2239,2022-04-06T16:55:41Z,2022-04-13T15:22:45Z,2022-04-13T15:22:45Z,866
2234,2022-04-05T00:55:21Z,2022-04-05T10:27:15Z,2022-04-05T10:27:15Z,820
2232,2022-04-04T00:03:08Z,,2022-04-04T02:46:35Z,7068
2231,2022-04-04T00:02:01Z,,2022-04-04T02:45:17Z,14034
2230,2022-04-04T00:01:25Z,,2022-04-04T02:45:03Z,3803
2228,2022-04-02T11:31:18Z,2022-05-28T09:35:41Z,2022-05-28T09:35:41Z,1267
2226,2022-04-01T21:30:26Z,,2022-04-02T10:47:18Z,1203
2225,2022-04-01T11:34:22Z,2022-04-01T19:12:39Z,2022-04-01T19:12:39Z,995
2222,2022-04-01T08:13:39Z,2022-04-01T09:18:39Z,2022-04-01T09:18:39Z,813
2216,2022-03-31T00:38:00Z,2022-04-04T06:07:19Z,2022-04-04T06:07:19Z,971
2214,2022-03-30T12:32:50Z,,2022-03-30T12:33:15Z,122
2213,2022-03-29T13:49:36Z,,2022-03-29T13:50:04Z,1110
2212,2022-03-29T13:48:47Z,,2022-03-29T13:48:57Z,1102
2210,2022-03-28T12:14:47Z,2022-04-02T09:47:37Z,2022-04-02T09:47:37Z,1588
2209,2022-03-27T21:01:53Z,,2022-05-24T07:54:09Z,896
2204,2022-03-25T18:06:22Z,2022-03-28T08:44:16Z,2022-03-28T08:44:16Z,367
2202,2022-03-25T14:42:05Z,2022-03-29T06:55:54Z,2022-03-29T06:55:54Z,949
2984,2023-04-13T14:43:19Z,2023-04-13T17:20:53Z,2023-04-13T17:20:53Z,266
2983,2023-04-13T10:24:45Z,2023-04-13T10:51:38Z,2023-04-13T10:51:38Z,1300
2977,2023-04-11T08:43:51Z,2023-04-11T08:55:15Z,2023-04-11T08:55:16Z,492
2975,2023-04-09T11:14:56Z,,2023-04-09T16:02:31Z,110
2974,2023-04-08T19:38:37Z,2023-04-09T09:00:42Z,2023-04-09T09:00:42Z,335
2972,2023-04-06T21:10:59Z,2023-04-06T21:41:07Z,2023-04-06T21:41:07Z,2255
2971,2023-04-06T19:07:13Z,2023-04-06T21:36:31Z,2023-04-06T21:36:31Z,2460
2970,2023-04-06T10:29:58Z,2023-04-06T21:30:30Z,2023-04-06T21:30:30Z,362
2969,2023-04-05T23:54:42Z,2023-04-06T09:50:16Z,2023-04-06T09:50:16Z,4419
2968,2023-04-05T21:19:23Z,2023-04-06T09:36:33Z,2023-04-06T09:36:34Z,140
2967,2023-04-05T13:56:51Z,2023-04-05T16:05:14Z,2023-04-05T16:05:14Z,431
2966,2023-04-05T13:49:38Z,2023-04-05T15:56:42Z,2023-04-05T15:56:42Z,307
2965,2023-04-04T18:53:12Z,2023-04-05T10:00:47Z,2023-04-05T10:00:47Z,305
2964,2023-04-04T18:41:30Z,2023-04-05T10:08:57Z,2023-04-05T10:08:57Z,391
2963,2023-04-04T12:37:06Z,2023-04-04T15:29:31Z,2023-04-04T15:29:31Z,331
2962,2023-04-04T03:32:13Z,2023-04-04T15:18:32Z,2023-04-04T15:18:32Z,1332
2961,2023-04-03T22:26:32Z,2023-04-03T22:40:32Z,2023-04-03T22:40:33Z,169
