number,created_at,merged_at,closed_at,desc_len
2766,2023-10-31T09:04:07Z,,2023-10-31T10:39:49Z,405
2761,2023-10-30T10:41:29Z,,2023-10-30T12:48:02Z,515
2756,2023-10-29T02:58:43Z,,2023-10-29T03:00:54Z,621
2755,2023-10-29T02:14:52Z,,2023-10-29T02:50:09Z,600
2754,2023-10-28T14:02:58Z,,2023-10-28T14:11:04Z,808
2751,2023-10-28T08:41:28Z,2023-10-28T08:41:41Z,2023-10-28T08:41:41Z,240
2750,2023-10-28T08:27:51Z,2023-10-28T08:28:11Z,2023-10-28T08:28:11Z,230
2749,2023-10-28T08:14:42Z,2023-10-28T08:15:01Z,2023-10-28T08:15:01Z,246
2748,2023-10-28T07:04:34Z,2023-10-28T07:05:07Z,2023-10-28T07:05:07Z,232
2746,2023-10-28T05:06:50Z,,2023-10-28T05:07:31Z,413
2743,2023-10-26T18:57:41Z,2023-10-26T18:57:54Z,2023-10-26T18:57:54Z,252
2742,2023-10-26T18:51:27Z,2023-10-26T18:51:42Z,2023-10-26T18:51:42Z,236
2741,2023-10-26T18:49:56Z,2023-10-26T18:50:20Z,2023-10-26T18:50:20Z,260
2740,2023-10-25T17:55:46Z,2023-10-25T17:56:06Z,2023-10-25T17:56:06Z,250
2739,2023-10-25T17:52:07Z,2023-10-25T17:52:33Z,2023-10-25T17:52:33Z,242
2738,2023-10-25T17:46:50Z,2023-10-25T17:47:10Z,2023-10-25T17:47:11Z,246
2736,2023-10-25T08:44:15Z,,2023-10-25T12:27:32Z,164
2735,2023-10-25T08:12:23Z,,2023-10-25T08:25:29Z,166
2724,2023-10-23T03:32:42Z,,2023-10-23T03:33:21Z,398
2723,2023-10-23T00:08:42Z,2023-10-28T08:41:02Z,2023-10-28T08:41:02Z,299
2721,2023-10-22T18:10:20Z,2023-10-22T18:10:39Z,2023-10-22T18:10:39Z,246
2720,2023-10-22T18:06:17Z,2023-10-22T18:06:33Z,2023-10-22T18:06:33Z,236
2716,2023-10-21T04:13:32Z,2023-10-28T08:27:26Z,2023-10-28T08:27:27Z,230
2714,2023-10-20T17:55:01Z,2023-10-28T08:12:07Z,2023-10-28T08:12:07Z,58
2709,2023-10-18T00:03:14Z,2023-10-28T07:14:15Z,2023-10-28T07:14:15Z,212
2707,2023-10-17T19:46:37Z,2023-10-28T07:12:13Z,2023-10-28T07:12:13Z,444
2706,2023-10-17T14:39:44Z,2023-10-28T07:04:04Z,2023-10-28T07:04:04Z,567
2705,2023-10-16T22:41:31Z,2023-10-26T18:55:17Z,2023-10-26T18:55:17Z,6834
2703,2023-10-16T06:41:15Z,2023-10-25T17:51:17Z,2023-10-25T17:51:17Z,680
2702,2023-10-16T06:01:43Z,,2023-10-28T07:38:53Z,406
2701,2023-10-15T22:33:51Z,2023-10-25T17:57:12Z,2023-10-25T17:57:12Z,107
2700,2023-10-15T21:23:04Z,2023-10-25T17:46:21Z,2023-10-25T17:46:21Z,140
2699,2023-10-15T18:26:31Z,2023-10-26T18:47:44Z,2023-10-26T18:47:44Z,1451
2663,2023-10-15T17:13:54Z,2023-10-25T17:42:49Z,2023-10-25T17:42:49Z,1445
2661,2023-10-15T13:44:49Z,2023-10-15T13:45:17Z,2023-10-15T13:45:17Z,232
