number,created_at,merged_at,closed_at,desc_len
129,2019-05-19T00:48:14Z,,2019-05-19T00:48:46Z,7
126,2019-05-18T03:09:23Z,,2019-05-18T15:05:55Z,16
125,2019-05-17T12:38:04Z,2019-05-18T15:06:51Z,2019-05-18T15:06:51Z,19
124,2019-05-17T09:39:35Z,,2019-05-18T15:08:19Z,14
123,2019-05-17T07:11:49Z,,2019-05-18T15:09:46Z,30
119,2019-05-16T16:20:42Z,2019-05-18T15:14:48Z,2019-05-18T15:14:48Z,40
114,2019-05-16T02:48:13Z,,2019-05-18T15:17:57Z,3
113,2019-05-16T02:17:41Z,,2019-05-18T15:18:27Z,33
112,2019-05-16T02:15:30Z,,2019-05-18T15:19:03Z,17
110,2019-05-15T22:45:01Z,,2019-05-18T15:19:28Z,25
107,2019-05-15T07:55:25Z,,2019-05-18T15:22:07Z,44
106,2019-05-15T07:31:34Z,,2019-05-18T15:22:29Z,26
102,2019-05-15T03:20:48Z,,2019-05-18T15:21:20Z,38
101,2019-05-14T13:32:18Z,2019-05-18T15:23:31Z,2019-05-18T15:23:31Z,320
99,2019-05-14T09:01:40Z,2019-05-18T15:27:03Z,2019-05-18T15:27:03Z,395
88,2019-05-12T07:41:51Z,,2019-05-18T15:28:59Z,29
87,2019-05-12T07:26:46Z,,2019-05-18T15:29:08Z,24
86,2019-05-12T06:19:43Z,,2019-05-18T15:29:27Z,11
85,2019-05-12T05:51:38Z,,2019-05-18T15:30:28Z,32
77,2019-05-10T07:43:24Z,,2019-05-18T15:32:07Z,28
75,2019-05-10T03:25:55Z,,2019-05-18T15:35:22Z,111
70,2019-05-09T10:03:59Z,2019-05-18T15:35:04Z,2019-05-18T15:35:04Z,510
69,2019-05-09T10:01:47Z,,2019-05-18T15:37:25Z,28
64,2019-05-09T03:56:14Z,,2019-05-09T08:20:56Z,149
58,2019-05-07T15:40:28Z,2019-05-08T09:21:46Z,2019-05-08T09:21:46Z,79
57,2019-05-07T15:33:41Z,,2019-05-07T15:36:35Z,53
56,2019-05-07T14:52:04Z,,2019-05-18T15:36:05Z,29
55,2019-05-07T11:52:52Z,2019-05-08T09:22:51Z,2019-05-08T09:22:51Z,27
54,2019-05-07T07:22:58Z,2019-05-18T15:36:57Z,2019-05-18T15:36:57Z,38
45,2019-05-06T03:42:30Z,,2019-05-06T16:09:07Z,124
42,2019-05-05T04:23:01Z,,2019-05-06T16:05:18Z,72
41,2019-05-04T14:27:59Z,,2019-05-05T02:26:24Z,59
32,2019-04-24T11:11:20Z,,2019-05-03T13:22:00Z,18
28,2019-04-17T07:40:10Z,,2019-04-26T15:15:36Z,926
27,2019-02-20T13:51:46Z,2019-05-04T02:15:29Z,2019-05-04T02:15:29Z,41
26,2019-01-29T07:31:27Z,,2019-05-04T02:19:48Z,21
25,2019-01-29T02:01:56Z,2019-05-04T02:17:51Z,2019-05-04T02:17:51Z,29
19,2018-10-16T08:24:39Z,,2018-10-16T08:24:59Z,47
14,2018-07-08T11:27:01Z,,2018-10-01T20:07:15Z,564
8,2018-06-08T11:36:30Z,2018-06-23T03:46:36Z,2018-06-23T03:46:36Z,16
6,2018-06-04T11:46:43Z,,2018-06-25T14:35:05Z,19
990,2023-10-16T07:39:38Z,,2023-10-17T03:53:31Z,17
981,2023-08-14T06:13:11Z,,2023-10-23T07:27:57Z,37
963,2023-04-03T07:58:37Z,,2023-05-10T14:18:02Z,26
962,2023-04-03T07:48:31Z,,2023-04-03T07:56:36Z,26
960,2023-03-13T06:30:20Z,,2023-03-16T10:11:52Z,2
947,2023-01-13T10:18:01Z,,2023-01-13T10:18:31Z,13
942,2022-12-13T03:00:16Z,2023-10-30T05:39:15Z,2023-10-30T05:39:15Z,8
935,2022-11-15T07:21:33Z,,2023-06-22T12:16:11Z,95
929,2022-10-11T02:39:56Z,,2022-10-11T02:40:30Z,12
928,2022-10-07T11:54:35Z,,2022-10-09T01:11:44Z,17
918,2022-08-31T05:14:51Z,,2022-08-31T05:15:56Z,45
903,2022-07-24T01:51:50Z,,2022-07-24T02:18:22Z,7
902,2022-07-23T14:45:49Z,,2022-07-28T12:11:02Z,82
901,2022-07-23T03:09:41Z,,2023-04-06T06:55:05Z,20
896,2022-07-01T01:10:55Z,,2022-07-01T01:11:15Z,17
883,2022-04-24T01:41:14Z,,2022-04-24T01:57:16Z,21
882,2022-04-22T03:03:50Z,,2022-08-18T16:32:24Z,15
873,2022-03-30T23:38:56Z,,2022-03-31T15:53:10Z,525
867,2022-02-16T11:48:57Z,,2023-10-10T08:47:46Z,88
859,2022-01-21T20:39:12Z,,2023-02-10T22:47:53Z,4545
858,2022-01-21T11:36:48Z,,2022-07-01T06:23:49Z,39
855,2022-01-17T02:23:21Z,,2022-01-17T02:24:02Z,24
844,2021-12-13T20:49:11Z,,2022-07-06T20:57:28Z,6039
842,2021-12-10T06:06:00Z,,2021-12-10T06:06:28Z,22
835,2021-11-20T14:04:06Z,,2023-06-11T16:58:59Z,4
825,2021-10-27T01:39:42Z,,2021-10-27T01:39:53Z,10
823,2021-10-25T02:01:03Z,,2021-10-25T02:01:29Z,4
818,2021-10-14T01:22:20Z,,2021-10-14T01:23:17Z,36
811,2021-09-23T02:31:51Z,,2022-07-01T09:28:48Z,35
810,2021-09-17T03:07:02Z,,2021-09-17T03:17:52Z,69
799,2021-07-19T05:21:15Z,,2021-07-19T05:22:40Z,27
787,2021-06-01T19:04:04Z,,2021-06-01T19:10:29Z,97
773,2021-04-10T14:56:33Z,,2022-03-14T06:39:29Z,59
767,2021-03-31T20:10:48Z,,2021-12-13T20:49:16Z,6268
742,2021-01-26T02:01:19Z,,2022-04-30T12:46:55Z,115
732,2021-01-12T01:48:10Z,,2021-01-12T01:51:54Z,38
728,2021-01-07T23:51:18Z,,2021-03-31T20:10:54Z,6385
727,2021-01-05T03:16:53Z,,2021-01-05T03:17:11Z,4
679,2020-10-01T01:41:36Z,,2020-11-05T06:28:58Z,47
678,2020-09-30T08:13:33Z,,2020-09-30T08:15:15Z,49
668,2020-09-08T02:20:40Z,,2022-09-07T00:50:59Z,54
665,2020-08-31T10:24:22Z,,2020-08-31T10:24:35Z,54
664,2020-08-30T12:06:29Z,,2020-08-30T12:07:22Z,49
656,2020-08-17T16:40:08Z,,2020-08-17T16:45:15Z,54
604,2020-06-05T15:15:31Z,,2023-04-12T09:11:53Z,38
601,2020-06-04T07:27:28Z,,2020-06-04T07:27:58Z,8
594,2020-05-29T09:01:34Z,,2020-05-29T09:01:44Z,49
591,2020-05-27T03:27:15Z,,2020-05-27T03:28:49Z,50
564,2020-04-29T06:30:26Z,,2022-09-25T14:22:17Z,80
557,2020-04-24T01:30:26Z,,2020-04-24T01:33:23Z,6
555,2020-04-21T11:49:43Z,,2020-04-21T12:26:24Z,43
550,2020-04-19T14:31:51Z,,2023-01-28T07:29:20Z,186
511,2020-03-19T13:38:23Z,,2020-03-19T13:41:16Z,78
505,2020-03-16T13:28:56Z,,2020-03-16T13:40:51Z,4
495,2020-03-01T08:08:00Z,,2020-03-02T02:08:13Z,21
476,2020-02-24T09:03:54Z,,2020-02-24T09:04:05Z,18
460,2020-02-19T03:18:50Z,,2020-02-19T03:25:32Z,55
445,2020-02-04T16:23:52Z,,2020-02-04T16:25:10Z,11
436,2020-01-21T07:43:09Z,,2020-01-21T07:43:25Z,18
428,2020-01-08T06:18:31Z,,2020-01-08T06:18:54Z,47
421,2020-01-04T17:23:54Z,,2020-01-04T17:27:05Z,15
417,2019-12-30T03:58:17Z,,2019-12-30T04:38:47Z,6
414,2019-12-28T09:30:47Z,,2020-01-09T08:11:04Z,21
413,2019-12-28T09:02:08Z,,2020-01-09T08:11:18Z,23
412,2019-12-27T02:49:34Z,,2019-12-27T02:49:59Z,48
398,2019-12-15T06:10:31Z,,2019-12-15T06:10:43Z,50
