number,created_at,merged_at,closed_at,desc_len
118,2016-08-25T03:46:41Z,2016-08-25T06:48:05Z,2016-08-25T06:48:05Z,178
117,2016-08-25T02:47:03Z,2016-08-25T02:51:21Z,2016-08-25T02:51:21Z,149
116,2016-08-25T00:51:21Z,2016-08-25T18:48:13Z,2016-08-25T18:48:13Z,69
115,2016-08-24T04:39:18Z,2016-08-24T06:18:15Z,2016-08-24T06:18:15Z,74
111,2016-08-23T09:19:58Z,2016-08-23T09:27:41Z,2016-08-23T09:27:41Z,46
110,2016-08-23T05:42:29Z,2016-08-23T09:32:15Z,2016-08-23T09:32:15Z,68
107,2016-08-22T08:35:24Z,2016-08-22T08:41:54Z,2016-08-22T08:41:54Z,12
106,2016-08-22T08:31:09Z,2016-08-22T08:47:45Z,2016-08-22T08:47:45Z,11
105,2016-08-21T22:43:53Z,2016-08-21T22:53:40Z,2016-08-21T22:53:41Z,11
103,2016-08-21T22:35:00Z,,2016-08-21T22:40:15Z,11
102,2016-08-21T22:19:02Z,2016-08-21T22:25:04Z,2016-08-21T22:25:04Z,143
101,2016-08-21T21:42:12Z,2016-08-21T21:59:49Z,2016-08-21T21:59:49Z,91
100,2016-08-21T21:22:50Z,2016-08-21T21:25:26Z,2016-08-21T21:25:26Z,79
99,2016-08-21T16:09:58Z,2016-08-21T18:22:16Z,2016-08-21T18:22:16Z,57
94,2016-08-21T13:44:34Z,2016-08-21T21:42:33Z,2016-08-21T21:42:33Z,68
93,2016-08-19T13:56:25Z,2016-08-19T16:14:28Z,2016-08-19T16:14:28Z,89
92,2016-08-16T04:26:48Z,,2016-08-21T21:18:47Z,65
91,2016-08-08T06:03:11Z,2016-08-08T06:07:36Z,2016-08-08T06:07:36Z,33
90,2016-08-03T13:05:52Z,2016-08-03T13:06:52Z,2016-08-03T13:06:52Z,19
89,2016-08-02T14:23:34Z,2016-08-02T15:41:07Z,2016-08-02T15:41:07Z,34
88,2016-08-02T05:10:56Z,2016-08-02T06:56:02Z,2016-08-02T06:56:02Z,280
86,2016-08-01T06:30:23Z,2016-08-01T06:49:04Z,2016-08-01T06:49:04Z,254
83,2016-07-30T21:14:40Z,2016-07-31T03:30:56Z,2016-07-31T03:30:56Z,19
82,2016-07-30T16:14:49Z,2016-07-30T17:42:00Z,2016-07-30T17:42:00Z,23
