number,created_at,merged_at,closed_at,desc_len
93,2015-06-21T13:55:21Z,2015-06-24T15:27:57Z,2015-06-24T15:27:57Z,74
92,2015-06-21T07:31:52Z,2015-06-21T07:55:24Z,2015-06-21T07:55:24Z,233
90,2015-06-20T21:43:19Z,,2015-06-25T02:33:37Z,155
86,2015-06-20T18:25:04Z,,2015-07-05T09:27:48Z,9
85,2015-06-20T17:31:07Z,,2016-04-07T02:13:59Z,62
83,2015-06-19T21:31:05Z,,2015-06-20T06:24:47Z,164
81,2015-06-19T16:29:37Z,,2015-06-20T06:54:05Z,78
80,2015-06-19T11:25:53Z,2015-06-20T16:08:42Z,2015-06-20T16:08:42Z,77
77,2015-06-18T17:37:39Z,,2015-06-20T07:13:25Z,49
76,2015-06-18T17:19:53Z,2015-06-20T06:23:37Z,2015-06-20T06:23:37Z,88
74,2015-06-18T13:25:25Z,,2015-06-20T06:21:04Z,198
72,2015-06-18T10:23:29Z,,2015-06-20T06:14:55Z,298
71,2015-06-18T08:51:32Z,,2015-08-11T03:47:12Z,198
70,2015-06-18T08:42:08Z,,2015-06-24T14:56:38Z,137
65,2015-06-18T04:36:19Z,,2015-06-20T07:19:56Z,11
64,2015-06-18T00:22:49Z,,2015-08-11T03:39:28Z,196
63,2015-06-17T23:55:32Z,,2015-06-18T03:07:26Z,172
62,2015-06-17T18:56:41Z,,2015-08-04T04:39:38Z,93
60,2015-06-17T18:24:01Z,,2015-07-03T08:13:39Z,142
59,2015-06-17T17:32:22Z,,2015-06-17T17:42:27Z,66
58,2015-06-17T16:37:52Z,2015-06-17T16:53:16Z,2015-06-17T16:53:16Z,90
56,2015-06-17T11:20:11Z,,2015-06-20T06:17:11Z,372
55,2015-06-17T11:03:41Z,,2015-08-04T04:44:36Z,35
53,2015-06-17T06:50:25Z,,2015-06-17T17:03:53Z,168
52,2015-06-17T06:45:55Z,,2015-08-04T04:43:05Z,27
51,2015-06-17T06:26:23Z,2015-06-17T22:27:06Z,2015-06-17T22:27:06Z,106
50,2015-06-17T00:20:09Z,2015-06-17T03:08:59Z,2015-06-17T03:09:00Z,29
49,2015-06-16T23:40:00Z,,2015-06-20T06:24:23Z,173
48,2015-06-16T20:36:07Z,,2015-06-16T23:43:37Z,36
47,2015-06-16T19:34:46Z,2015-06-17T02:52:09Z,2015-06-17T02:52:09Z,152
46,2015-06-16T17:32:19Z,,2015-06-16T17:43:07Z,10
45,2015-06-16T16:57:24Z,,2015-06-16T18:31:46Z,151
44,2015-06-16T16:51:12Z,2015-06-20T06:50:15Z,2015-06-20T06:50:15Z,118
43,2015-06-16T16:39:34Z,2015-06-16T18:33:52Z,2015-06-16T18:33:52Z,134
42,2015-06-16T16:04:31Z,2015-06-16T22:48:10Z,2015-06-16T22:48:10Z,174
41,2015-06-16T15:09:37Z,2015-06-16T15:32:31Z,2015-06-16T15:32:31Z,20
40,2015-06-16T14:46:53Z,2015-06-20T07:49:31Z,2015-06-20T07:49:31Z,160
39,2015-06-16T14:26:07Z,,2015-06-20T07:10:41Z,29
38,2015-06-16T14:18:46Z,2015-06-16T15:09:01Z,2015-06-16T15:09:01Z,129
34,2015-06-16T12:11:32Z,2015-06-16T15:05:04Z,2015-06-16T15:05:04Z,263
33,2015-06-16T11:50:36Z,2015-06-16T15:03:42Z,2015-06-16T15:03:42Z,8
31,2015-06-16T09:11:17Z,2015-06-16T15:30:55Z,2015-06-16T15:30:55Z,61
30,2015-06-16T08:51:46Z,,2015-06-20T07:10:41Z,72
29,2015-06-16T08:31:28Z,2015-06-16T15:24:12Z,2015-06-16T15:24:12Z,39
27,2015-06-16T07:28:12Z,,2015-06-17T17:10:14Z,30
24,2015-06-16T05:29:53Z,,2015-06-16T18:31:46Z,278
21,2015-06-16T04:04:38Z,2015-06-16T05:35:12Z,2015-06-16T05:35:12Z,17
20,2015-06-16T03:24:14Z,2015-06-16T06:05:29Z,2015-06-16T06:05:29Z,356
18,2015-06-16T02:05:16Z,2015-06-16T02:10:06Z,2015-06-16T02:10:06Z,14
17,2015-06-16T01:49:11Z,,2015-06-16T11:25:21Z,87
13,2015-06-16T01:13:10Z,2015-06-16T02:36:17Z,2015-06-16T02:36:17Z,256
12,2015-06-16T00:33:43Z,,2015-06-16T02:35:30Z,208
11,2015-06-16T00:06:49Z,,2015-06-16T02:32:04Z,90
10,2015-06-16T00:03:20Z,2015-06-20T05:56:38Z,2015-06-20T05:56:38Z,52
9,2015-06-16T00:01:14Z,2015-06-20T05:54:57Z,2015-06-20T05:54:57Z,247
8,2015-06-15T23:59:46Z,,2015-06-16T02:32:04Z,138
7,2015-06-15T23:35:02Z,2015-06-15T23:37:11Z,2015-06-15T23:37:11Z,88
4,2015-06-15T22:20:56Z,2015-06-15T22:44:31Z,2015-06-15T22:44:31Z,25
3,2015-06-15T21:34:13Z,2015-06-15T22:48:31Z,2015-06-15T22:48:31Z,52
1,2015-05-27T00:40:02Z,,2015-05-29T17:30:50Z,85
232,2015-07-25T18:01:21Z,2015-07-28T05:35:38Z,2015-07-28T05:35:38Z,64
230,2015-07-24T20:07:39Z,2015-07-25T18:13:27Z,2015-07-25T18:13:27Z,100
229,2015-07-24T17:27:19Z,2015-07-29T21:17:34Z,2015-07-29T21:17:34Z,77
228,2015-07-24T03:47:07Z,2015-07-25T18:13:58Z,2015-07-25T18:13:58Z,25
227,2015-07-24T00:47:14Z,2015-07-24T01:03:22Z,2015-07-24T01:03:22Z,22
225,2015-07-23T02:56:37Z,,2015-07-23T12:22:52Z,35
222,2015-07-21T19:27:13Z,,2015-07-27T23:09:29Z,57
221,2015-07-20T19:39:07Z,2015-07-23T23:58:39Z,2015-07-23T23:58:39Z,81
220,2015-07-19T15:10:15Z,,2015-07-23T23:33:40Z,92
219,2015-07-19T12:09:59Z,2015-07-23T23:42:44Z,2015-07-23T23:42:44Z,99
218,2015-07-19T11:10:53Z,,2015-07-19T11:21:00Z,189
217,2015-07-19T06:05:13Z,2015-07-23T23:34:40Z,2015-07-23T23:34:40Z,34
216,2015-07-19T00:15:53Z,,2015-07-27T23:41:24Z,208
215,2015-07-17T12:24:18Z,,2015-07-17T12:25:03Z,46
214,2015-07-17T05:58:00Z,,2015-07-18T06:49:58Z,112
213,2015-07-16T17:08:09Z,2015-07-18T06:46:59Z,2015-07-18T06:46:59Z,27
212,2015-07-16T15:49:18Z,2015-07-17T07:08:22Z,2015-07-17T07:08:22Z,22
210,2015-07-15T18:48:53Z,2015-07-16T06:16:14Z,2015-07-16T06:16:14Z,32
209,2015-07-15T16:30:45Z,2015-07-16T15:21:57Z,2015-07-16T15:21:57Z,257
208,2015-07-15T09:13:52Z,,2016-04-11T15:51:06Z,28
207,2015-07-14T23:28:22Z,2015-07-15T03:01:50Z,2015-07-15T03:01:50Z,22
206,2015-07-14T23:24:48Z,2015-07-15T03:03:44Z,2015-07-15T03:03:44Z,27
205,2015-07-14T18:38:12Z,2015-09-23T02:40:30Z,2015-09-23T02:40:30Z,25
204,2015-07-14T16:24:24Z,2015-07-14T18:23:02Z,2015-07-14T18:23:02Z,43
203,2015-07-14T12:25:25Z,,2015-07-28T05:25:24Z,59
202,2015-07-14T12:08:55Z,2015-07-14T14:37:02Z,2015-07-14T14:37:02Z,54
201,2015-07-14T09:54:45Z,2015-07-16T15:26:56Z,2015-07-16T15:26:56Z,39
200,2015-07-14T09:45:34Z,2015-07-16T15:21:26Z,2015-07-16T15:21:26Z,45
198,2015-07-14T05:30:06Z,,2015-07-14T09:36:47Z,120
197,2015-07-14T04:47:08Z,2015-07-14T07:59:17Z,2015-07-14T07:59:17Z,135
196,2015-07-13T17:39:08Z,2015-07-13T19:22:54Z,2015-07-13T19:22:54Z,39
195,2015-07-13T15:50:46Z,,2015-07-15T09:12:16Z,36
194,2015-07-13T11:59:44Z,,2015-07-14T08:45:41Z,155
193,2015-07-13T11:52:47Z,2015-07-13T19:29:29Z,2015-07-13T19:29:29Z,43
192,2015-07-12T14:00:21Z,2015-07-13T02:35:18Z,2015-07-13T02:35:18Z,66
191,2015-07-12T10:00:46Z,2015-07-13T02:40:50Z,2015-07-13T02:40:50Z,30
190,2015-07-12T04:26:39Z,2015-07-13T02:45:10Z,2015-07-13T02:45:10Z,25
189,2015-07-12T00:10:10Z,2015-07-13T02:25:58Z,2015-07-13T02:25:58Z,226
188,2015-07-11T17:59:45Z,2015-07-11T22:37:59Z,2015-07-11T22:37:59Z,39
187,2015-07-10T22:34:03Z,2015-07-11T23:00:21Z,2015-07-11T23:00:21Z,137
184,2015-07-10T15:20:42Z,,2015-07-11T01:35:29Z,116
183,2015-07-10T09:04:28Z,2015-07-10T16:33:44Z,2015-07-10T16:33:44Z,40
182,2015-07-10T05:38:31Z,2015-07-11T22:58:12Z,2015-07-11T22:58:12Z,72
181,2015-07-10T04:34:59Z,2015-09-23T02:45:55Z,2015-09-23T02:45:55Z,161
180,2015-07-09T20:30:52Z,2015-07-14T22:39:22Z,2015-07-14T22:39:22Z,234
178,2015-07-09T17:23:06Z,2015-07-14T22:39:25Z,2015-07-14T22:39:25Z,36
177,2015-07-09T15:27:46Z,2015-07-14T22:39:25Z,2015-07-14T22:39:25Z,248
176,2015-07-09T11:17:40Z,,2015-07-13T16:00:59Z,205
