number,created_at,merged_at,closed_at,desc_len
71,2014-07-28T20:23:49Z,2014-07-28T20:26:59Z,2014-07-28T20:26:59Z,46
70,2014-07-27T17:28:30Z,2014-07-28T01:38:01Z,2014-07-28T01:38:01Z,23
69,2014-07-27T15:18:32Z,2014-07-27T16:09:49Z,2014-07-27T16:09:49Z,218
68,2014-07-25T18:30:42Z,2014-07-25T18:46:20Z,2014-07-25T18:46:20Z,440
67,2014-07-25T15:31:13Z,2014-07-25T16:13:54Z,2014-07-25T16:13:54Z,65
66,2014-07-24T14:04:30Z,2014-07-24T18:24:05Z,2014-07-24T18:24:05Z,33
65,2014-07-24T12:55:10Z,2014-07-24T13:41:07Z,2014-07-24T13:41:07Z,9
64,2014-07-23T20:13:11Z,2014-07-23T20:15:26Z,2014-07-23T20:15:26Z,82
63,2014-07-23T20:03:36Z,2014-07-23T20:04:16Z,2014-07-23T20:04:16Z,58
62,2014-07-23T19:32:04Z,,2014-07-28T01:47:37Z,63
61,2014-07-23T12:06:38Z,2014-07-23T13:12:39Z,2014-07-23T13:12:39Z,22
60,2014-07-23T05:20:23Z,2014-07-23T06:19:31Z,2014-07-23T06:19:31Z,30
59,2014-07-23T00:45:54Z,2014-07-23T01:12:07Z,2014-07-23T01:12:07Z,142
58,2014-07-22T16:24:52Z,2014-07-22T16:26:12Z,2014-07-22T16:26:12Z,30
57,2014-07-22T13:16:12Z,2014-07-22T14:29:00Z,2014-07-22T14:29:00Z,100
56,2014-07-22T00:58:24Z,2014-07-22T01:56:42Z,2014-07-22T01:56:42Z,166
55,2014-07-21T18:50:10Z,2014-07-21T19:44:49Z,2014-07-21T19:44:49Z,1018
54,2014-07-19T22:17:50Z,2014-07-20T13:50:45Z,2014-07-20T13:50:45Z,151
53,2014-07-19T00:54:45Z,2014-07-19T12:17:23Z,2014-07-19T12:17:23Z,37
52,2014-07-18T17:30:26Z,2014-07-18T22:50:44Z,2014-07-18T22:50:44Z,84
51,2014-07-17T18:48:45Z,2014-07-17T19:52:40Z,2014-07-17T19:52:40Z,832
50,2014-07-17T17:45:22Z,2014-07-17T17:49:39Z,2014-07-17T17:49:39Z,183
48,2014-07-17T08:18:07Z,2014-07-17T14:07:38Z,2014-07-17T14:07:38Z,131
45,2014-07-17T02:13:15Z,2014-07-17T02:13:51Z,2014-07-17T02:13:51Z,48
44,2014-07-17T01:42:54Z,2014-07-17T01:46:16Z,2014-07-17T01:46:16Z,110
43,2014-07-16T23:38:57Z,2014-07-16T23:45:05Z,2014-07-16T23:45:05Z,75
42,2014-07-16T23:26:18Z,2014-07-16T23:28:15Z,2014-07-16T23:28:15Z,41
40,2014-07-16T18:37:11Z,2014-07-16T18:37:49Z,2014-07-16T18:37:49Z,278
39,2014-07-16T17:55:01Z,,2014-07-16T18:07:39Z,284
38,2014-07-16T17:54:51Z,2014-07-16T18:02:08Z,2014-07-16T18:02:08Z,13
37,2014-07-16T17:51:20Z,2014-07-16T17:52:14Z,2014-07-16T17:52:14Z,62
36,2014-07-16T14:45:22Z,2014-07-16T16:02:06Z,2014-07-16T16:02:06Z,37
35,2014-07-16T14:38:57Z,2014-07-16T14:39:30Z,2014-07-16T14:39:30Z,184
33,2014-07-16T14:05:26Z,2014-07-16T14:21:22Z,2014-07-16T14:21:22Z,44
32,2014-07-16T13:58:25Z,2014-07-16T14:21:11Z,2014-07-16T14:21:11Z,331
31,2014-07-16T13:57:25Z,2014-07-16T14:19:26Z,2014-07-16T14:19:26Z,12
30,2014-07-16T13:46:23Z,2014-07-16T14:19:11Z,2014-07-16T14:19:11Z,240
29,2014-07-16T13:38:38Z,,2014-07-16T13:44:57Z,168
28,2014-07-16T12:41:37Z,2014-07-16T14:18:38Z,2014-07-16T14:18:38Z,77
27,2014-07-16T12:32:41Z,2014-07-16T14:18:25Z,2014-07-16T14:18:25Z,22
25,2014-07-16T11:31:28Z,2014-07-16T11:42:37Z,2014-07-16T11:42:37Z,168
24,2014-07-16T10:45:35Z,2014-07-16T11:53:08Z,2014-07-16T11:53:08Z,38
23,2014-07-16T10:39:53Z,2014-07-16T11:51:10Z,2014-07-16T11:51:10Z,254
22,2014-07-16T09:44:32Z,2014-07-16T11:41:48Z,2014-07-16T11:41:48Z,21
21,2014-07-16T09:27:27Z,,2014-07-16T11:49:16Z,28
20,2014-07-16T07:33:30Z,,2014-07-16T11:41:15Z,53
19,2014-07-16T07:26:08Z,2014-07-16T11:40:36Z,2014-07-16T11:40:36Z,52
18,2014-07-16T07:24:55Z,2014-07-16T11:40:17Z,2014-07-16T11:40:17Z,415
17,2014-07-16T07:10:46Z,2014-07-16T11:39:42Z,2014-07-16T11:39:42Z,8
16,2014-07-16T07:08:21Z,2014-07-16T11:39:23Z,2014-07-16T11:39:23Z,70
15,2014-07-16T06:54:49Z,2014-07-16T11:38:24Z,2014-07-16T11:38:24Z,87
14,2014-07-16T06:52:30Z,2014-07-16T11:38:07Z,2014-07-16T11:38:07Z,17
13,2014-07-16T06:46:51Z,2014-07-16T11:37:11Z,2014-07-16T11:37:11Z,39
12,2014-07-16T06:32:30Z,2014-07-16T11:36:36Z,2014-07-16T11:36:36Z,13
11,2014-07-16T06:28:36Z,2014-07-16T11:36:24Z,2014-07-16T11:36:24Z,71
10,2014-07-16T05:42:28Z,2014-07-16T05:44:30Z,2014-07-16T05:44:30Z,198
9,2014-07-16T05:28:37Z,2014-07-16T05:29:00Z,2014-07-16T05:29:00Z,96
8,2014-07-16T04:50:51Z,2014-07-16T04:58:06Z,2014-07-16T04:58:06Z,34
7,2014-07-16T04:27:28Z,2014-07-16T04:29:30Z,2014-07-16T04:29:30Z,45
6,2014-07-16T03:56:02Z,2014-07-16T03:59:54Z,2014-07-16T03:59:54Z,234
5,2014-07-16T03:35:21Z,2014-07-16T03:52:48Z,2014-07-16T03:52:48Z,236
4,2014-07-16T03:27:12Z,2014-07-16T03:53:29Z,2014-07-16T03:53:29Z,91
3,2014-07-16T03:12:07Z,2014-07-16T03:14:09Z,2014-07-16T03:14:09Z,8
2,2014-07-16T02:55:38Z,,2014-07-16T03:08:57Z,92
1,2014-07-16T02:46:10Z,2014-07-16T03:07:40Z,2014-07-16T03:07:40Z,29
633,2019-09-30T12:05:13Z,,2020-01-27T14:58:13Z,77
631,2019-09-19T02:07:57Z,2019-09-19T13:41:11Z,2019-09-19T13:41:11Z,16
630,2019-09-18T06:15:26Z,2019-09-19T13:40:59Z,2019-09-19T13:40:59Z,39
628,2019-09-17T06:50:44Z,2019-09-17T17:52:30Z,2019-09-17T17:52:30Z,167
627,2019-09-05T18:54:32Z,2019-09-09T13:57:18Z,2019-09-09T13:57:18Z,78
626,2019-09-05T12:02:14Z,2019-09-09T13:57:06Z,2019-09-09T13:57:06Z,485
625,2019-08-31T18:26:02Z,2019-09-17T17:52:16Z,2019-09-17T17:52:17Z,183
624,2019-08-29T08:55:01Z,2019-09-09T13:56:19Z,2019-09-09T13:56:19Z,379
623,2019-08-26T02:27:20Z,2019-08-26T14:41:26Z,2019-08-26T14:41:26Z,166
622,2019-08-19T21:05:57Z,2019-08-20T13:22:31Z,2019-08-20T13:22:31Z,199
621,2019-08-16T11:15:27Z,2019-08-20T13:22:41Z,2019-08-20T13:22:41Z,67
619,2019-08-10T13:25:07Z,2019-08-15T17:32:50Z,2019-08-15T17:32:50Z,27
617,2019-07-08T13:31:19Z,2019-07-13T23:43:54Z,2019-07-13T23:43:54Z,51
616,2019-07-03T05:20:09Z,2019-07-03T13:39:09Z,2019-07-03T13:39:09Z,142
613,2019-06-17T19:48:33Z,2019-06-18T03:07:12Z,2019-06-18T03:07:12Z,94
612,2019-06-12T19:04:22Z,2019-06-12T19:11:47Z,2019-06-12T19:11:47Z,121
611,2019-06-12T01:50:26Z,2019-06-12T01:52:58Z,2019-06-12T01:52:58Z,220
609,2019-06-06T06:37:18Z,2019-06-12T01:52:29Z,2019-06-12T01:52:29Z,55
608,2019-06-03T10:15:20Z,2019-09-11T12:52:34Z,2019-09-11T12:52:34Z,139
607,2019-05-22T08:24:33Z,2019-05-22T14:11:44Z,2019-05-22T14:11:44Z,9
606,2019-05-10T19:13:37Z,2019-05-10T19:27:26Z,2019-05-10T19:27:26Z,100
604,2019-04-30T14:58:47Z,2019-05-10T19:27:15Z,2019-05-10T19:27:15Z,80
603,2019-04-22T22:51:26Z,2019-05-10T19:27:04Z,2019-05-10T19:27:04Z,97
602,2019-04-18T19:47:21Z,2019-05-10T19:26:16Z,2019-05-10T19:26:16Z,148
601,2019-04-15T18:47:41Z,2019-04-15T19:24:23Z,2019-04-15T19:24:23Z,256
600,2019-04-10T18:09:27Z,2019-04-15T19:24:11Z,2019-04-15T19:24:11Z,132
599,2019-03-30T15:56:00Z,2019-04-09T18:54:06Z,2019-04-09T18:54:06Z,91
598,2019-03-29T18:06:29Z,2019-04-09T18:53:42Z,2019-04-09T18:53:42Z,191
597,2019-03-27T06:51:45Z,2019-04-09T18:53:19Z,2019-04-09T18:53:19Z,73
595,2019-03-25T00:45:54Z,2019-04-09T18:52:27Z,2019-04-09T18:52:27Z,359
594,2019-03-14T06:55:54Z,,2019-04-09T18:51:54Z,21
592,2019-03-05T19:18:23Z,2019-03-07T16:24:00Z,2019-03-07T16:24:00Z,26
591,2019-02-26T22:31:29Z,2019-02-27T04:41:19Z,2019-02-27T04:41:19Z,134
590,2019-02-17T14:21:26Z,2019-02-24T00:06:52Z,2019-02-24T00:06:52Z,15
589,2019-02-12T10:58:38Z,2019-02-14T14:19:40Z,2019-02-14T14:19:40Z,307
588,2019-02-08T03:19:56Z,2019-02-08T11:27:53Z,2019-02-08T11:27:53Z,98
587,2019-02-07T09:05:26Z,2019-02-08T11:27:37Z,2019-02-08T11:27:37Z,233
586,2019-02-05T08:42:06Z,2019-02-08T11:27:22Z,2019-02-08T11:27:22Z,12
585,2019-01-30T07:02:43Z,2019-02-08T11:27:02Z,2019-02-08T11:27:02Z,203
