number,created_at,merged_at,closed_at,desc_len
5342,2023-10-01T00:51:43Z,,2023-11-01T00:47:48Z,10676
5340,2023-10-01T00:51:33Z,,2023-11-01T00:47:44Z,10145
5338,2023-09-27T21:58:03Z,2023-10-16T16:54:54Z,2023-10-16T16:54:54Z,968
5336,2023-09-21T21:59:47Z,2023-09-21T23:39:05Z,2023-09-21T23:39:05Z,727
5335,2023-09-21T13:01:06Z,,2023-09-21T19:54:13Z,1111
5334,2023-09-21T02:01:27Z,2023-09-21T21:47:18Z,2023-09-21T21:47:18Z,614
5333,2023-09-21T01:59:53Z,2023-09-21T21:45:33Z,2023-09-21T21:45:33Z,614
5332,2023-09-20T21:57:22Z,2023-09-20T22:20:59Z,2023-09-20T22:20:59Z,634
5331,2023-09-20T21:01:45Z,2023-09-20T22:10:58Z,2023-09-20T22:10:58Z,561
5330,2023-09-20T04:33:56Z,2023-09-20T22:18:42Z,2023-09-20T22:18:42Z,1573
5329,2023-09-20T02:08:15Z,,2023-09-20T19:44:41Z,1824
5328,2023-09-19T17:01:39Z,2023-09-19T23:29:05Z,2023-09-19T23:29:05Z,661
5326,2023-09-18T16:40:08Z,,2023-09-18T21:47:13Z,6550
5325,2023-09-18T16:39:35Z,,2023-09-18T21:47:12Z,17691
5324,2023-09-18T16:39:29Z,,2023-09-18T21:47:12Z,6387
5320,2023-09-12T12:56:22Z,,2023-09-12T14:30:13Z,549
5318,2023-09-12T03:33:44Z,2023-09-18T16:39:00Z,2023-09-18T16:39:00Z,3831
5313,2023-09-01T00:38:11Z,,2023-09-06T14:40:47Z,8351
5312,2023-09-01T00:38:06Z,,2023-09-06T14:40:46Z,9837
5311,2023-09-01T00:38:00Z,,2023-09-06T14:40:46Z,11481
5309,2023-08-25T01:06:53Z,2023-08-25T14:19:16Z,2023-08-25T14:19:16Z,76
5307,2023-08-17T08:57:11Z,,2023-08-17T08:58:09Z,532
5305,2023-08-08T13:53:07Z,2023-08-11T01:13:24Z,2023-08-11T01:13:24Z,673
5303,2023-08-01T00:54:16Z,,2023-09-01T00:38:10Z,8963
5302,2023-08-01T00:53:35Z,,2023-09-01T00:38:04Z,8446
5297,2023-07-11T03:21:51Z,,2023-09-12T01:41:56Z,906
5296,2023-07-10T21:51:05Z,2023-09-19T22:54:41Z,2023-09-19T22:54:41Z,569
5295,2023-07-10T20:23:39Z,2023-09-20T00:31:35Z,2023-09-20T00:31:35Z,948
5294,2023-07-10T20:06:42Z,,2023-07-10T20:33:10Z,633
5293,2023-07-10T18:18:12Z,2023-09-19T16:58:25Z,2023-09-19T16:58:25Z,2055
5292,2023-07-10T18:08:14Z,2023-09-12T00:27:19Z,2023-09-12T00:27:19Z,567
5291,2023-07-10T18:00:41Z,2023-07-10T18:45:31Z,2023-07-10T18:45:31Z,1045
5290,2023-07-10T15:33:19Z,2023-07-10T16:19:52Z,2023-07-10T16:19:52Z,844
5289,2023-07-10T14:17:53Z,2023-07-10T15:51:14Z,2023-07-10T15:51:14Z,561
5288,2023-07-10T14:10:05Z,2023-07-10T14:59:12Z,2023-07-10T14:59:12Z,640
5286,2023-07-06T22:04:32Z,2023-07-10T16:23:08Z,2023-07-10T16:23:08Z,700
5284,2023-07-01T00:28:52Z,,2023-07-02T18:14:05Z,18642
5283,2023-07-01T00:28:47Z,,2023-07-02T18:14:05Z,8696
5282,2023-06-29T21:56:00Z,2023-07-10T16:25:57Z,2023-07-10T16:25:57Z,1240
5279,2023-06-26T21:42:10Z,2023-07-10T16:26:45Z,2023-07-10T16:26:46Z,1018
5278,2023-06-26T21:33:31Z,2023-07-10T16:33:05Z,2023-07-10T16:33:05Z,986
5277,2023-06-26T20:38:24Z,2023-06-27T16:05:48Z,2023-06-27T16:05:48Z,1012
5276,2023-06-26T20:27:56Z,2023-06-27T16:23:58Z,2023-06-27T16:23:58Z,878
5274,2023-06-22T21:58:26Z,2023-06-23T13:43:03Z,2023-06-23T13:43:03Z,657
5273,2023-06-22T21:57:24Z,2023-06-23T13:43:26Z,2023-06-23T13:43:26Z,659
5269,2023-06-07T20:46:41Z,2023-06-13T21:22:08Z,2023-06-13T21:22:08Z,658
5265,2023-06-01T19:18:34Z,2023-06-12T21:12:15Z,2023-06-12T21:12:15Z,704
5263,2023-06-01T14:06:16Z,2023-06-12T20:58:55Z,2023-06-12T20:58:55Z,1387
5261,2023-05-29T22:44:47Z,2023-05-31T16:57:13Z,2023-05-31T16:57:13Z,813
5260,2023-05-29T22:16:47Z,2023-06-12T20:58:58Z,2023-06-12T20:58:58Z,1257
5258,2023-05-24T22:57:56Z,2023-05-31T16:59:35Z,2023-05-31T16:59:35Z,1240
5257,2023-05-24T22:52:50Z,2023-05-31T16:55:30Z,2023-05-31T16:55:30Z,859
5255,2023-05-18T15:58:03Z,2023-07-10T17:14:09Z,2023-07-10T17:14:09Z,1382
5251,2023-05-15T17:11:25Z,2023-05-22T16:23:20Z,2023-05-22T16:23:20Z,776
5250,2023-05-15T17:09:08Z,2023-05-22T14:21:35Z,2023-05-22T14:21:35Z,643
5242,2023-04-18T09:43:47Z,,2023-04-18T11:21:09Z,4
5237,2023-04-03T14:44:02Z,2023-04-03T16:16:43Z,2023-04-03T16:16:43Z,861
5236,2023-03-30T23:45:35Z,2023-04-03T16:21:15Z,2023-04-03T16:21:15Z,986
5235,2023-03-30T21:12:45Z,2023-04-03T16:40:25Z,2023-04-03T16:40:25Z,896
5234,2023-03-30T12:22:23Z,2023-04-04T14:00:56Z,2023-04-04T14:00:56Z,1041
5233,2023-03-27T15:24:57Z,2023-03-27T19:50:27Z,2023-03-27T19:50:27Z,1753
5230,2023-03-27T01:32:48Z,,2023-03-27T20:48:48Z,182
5229,2023-03-26T03:48:44Z,2023-03-27T19:48:38Z,2023-03-27T19:48:38Z,844
5228,2023-03-25T00:33:43Z,2023-03-27T19:47:01Z,2023-03-27T19:47:01Z,1618
5226,2023-03-15T17:08:27Z,2023-04-04T22:44:01Z,2023-04-04T22:44:01Z,946
5225,2023-03-15T17:06:27Z,2023-04-04T22:25:21Z,2023-04-04T22:25:21Z,938
5224,2023-03-13T23:57:44Z,2023-03-27T19:24:42Z,2023-03-27T19:24:42Z,1274
5223,2023-03-13T16:01:25Z,2023-03-27T19:22:38Z,2023-03-27T19:22:39Z,1017
5220,2023-03-08T16:22:54Z,2023-03-09T20:19:28Z,2023-03-09T20:19:28Z,629
