number,created_at,merged_at,closed_at,desc_len
113,2014-12-28T15:11:16Z,2014-12-28T16:03:04Z,2014-12-28T16:03:04Z,91
109,2014-12-11T19:40:36Z,2014-12-13T02:10:29Z,2014-12-13T02:10:29Z,611
106,2014-11-30T20:02:56Z,2014-12-01T09:19:33Z,2014-12-01T09:19:33Z,16
104,2014-11-03T15:04:21Z,2014-11-04T14:30:11Z,2014-11-04T14:30:11Z,43
97,2014-09-18T04:14:28Z,2014-09-18T10:22:40Z,2014-09-18T10:22:40Z,741
95,2014-08-30T13:07:04Z,2014-08-30T13:33:21Z,2014-08-30T13:33:21Z,176
92,2014-08-21T17:32:29Z,,2015-03-01T10:37:18Z,507
80,2014-07-18T04:11:50Z,2014-07-18T04:20:42Z,2014-07-18T04:20:42Z,200
75,2014-07-04T18:05:53Z,2014-07-04T18:06:10Z,2014-07-04T18:06:10Z,81
71,2014-06-30T16:22:38Z,2014-06-30T16:23:07Z,2014-06-30T16:23:07Z,39
69,2014-06-27T03:24:09Z,2014-06-27T04:32:04Z,2014-06-27T04:32:04Z,36
67,2014-06-24T06:57:46Z,,2014-07-06T12:23:53Z,341
66,2014-06-23T15:14:50Z,2014-06-23T15:18:09Z,2014-06-23T15:18:09Z,314
63,2014-06-20T16:47:17Z,,2014-07-15T03:13:51Z,53
57,2014-06-18T03:34:12Z,2014-06-18T15:37:36Z,2014-06-18T15:37:36Z,147
56,2014-06-17T23:31:43Z,,2014-06-18T01:49:47Z,200
55,2014-06-13T06:22:10Z,,2014-06-13T15:37:51Z,389
47,2014-05-28T15:17:55Z,2014-05-28T15:20:08Z,2014-05-28T15:20:08Z,124
46,2014-05-26T07:46:55Z,2014-05-26T07:59:56Z,2014-05-26T07:59:56Z,344
45,2014-05-21T14:32:22Z,,2015-03-01T10:34:26Z,263
44,2014-05-20T12:18:38Z,2014-05-20T16:17:26Z,2014-05-20T16:17:26Z,16
37,2014-04-03T11:13:26Z,2014-04-03T14:14:28Z,2014-04-03T14:14:28Z,61
35,2014-04-01T08:58:16Z,2014-04-01T08:58:19Z,2014-04-01T08:58:19Z,34
32,2014-03-30T03:23:49Z,2014-03-30T06:19:05Z,2014-03-30T06:19:05Z,765
30,2014-03-28T06:32:18Z,2014-03-28T06:32:23Z,2014-03-28T06:32:23Z,40
29,2014-03-19T23:10:47Z,2014-03-20T01:33:47Z,2014-03-20T01:33:47Z,65
28,2014-03-19T12:16:15Z,2014-03-19T12:19:28Z,2014-03-19T12:19:28Z,162
26,2014-03-19T11:35:53Z,2014-03-19T12:09:52Z,2014-03-19T12:09:52Z,504
25,2014-03-15T13:22:39Z,,2014-05-02T02:59:09Z,246
20,2014-02-26T09:57:52Z,2014-02-26T10:03:01Z,2014-02-26T10:03:01Z,75
19,2014-02-25T13:07:42Z,2014-02-25T14:41:54Z,2014-02-25T14:41:54Z,325
17,2014-01-29T17:52:23Z,2014-01-30T15:37:01Z,2014-01-30T15:37:01Z,17
6,2013-11-19T16:44:00Z,2013-11-19T16:44:30Z,2013-11-19T16:44:30Z,48
5,2013-11-10T17:32:04Z,2013-11-11T00:11:29Z,2013-11-11T00:11:29Z,217
4,2013-11-10T14:31:45Z,2013-11-10T14:34:21Z,2013-11-10T14:34:21Z,43
3495,2023-10-27T20:10:36Z,2023-10-29T00:05:30Z,2023-10-29T00:05:30Z,48
3483,2023-10-16T17:01:45Z,2023-10-16T23:46:43Z,2023-10-16T23:46:43Z,120
3476,2023-10-12T17:12:46Z,,2023-10-12T23:32:08Z,606
3475,2023-10-11T18:45:40Z,,2023-10-12T13:17:13Z,492
3471,2023-10-09T23:04:08Z,2023-10-11T01:54:50Z,2023-10-11T01:54:50Z,862
3469,2023-10-09T13:10:26Z,2023-10-11T04:17:47Z,2023-10-11T04:17:47Z,2415
3468,2023-10-09T13:10:20Z,,2023-10-11T04:18:45Z,3966
3467,2023-10-08T23:01:50Z,2023-10-12T16:06:56Z,2023-10-12T16:06:56Z,140
3465,2023-10-08T08:07:08Z,2023-10-14T08:41:02Z,2023-10-14T08:41:02Z,399
3463,2023-10-06T10:53:07Z,2023-10-07T08:26:46Z,2023-10-07T08:26:46Z,1121
3462,2023-10-05T13:55:11Z,2023-10-11T04:07:47Z,2023-10-11T04:07:47Z,1167
3454,2023-09-26T21:15:00Z,2023-10-12T11:44:26Z,2023-10-12T11:44:26Z,1966
3449,2023-09-24T21:18:10Z,2023-10-08T16:19:28Z,2023-10-08T16:19:28Z,1329
3448,2023-09-23T22:32:11Z,2023-10-02T12:02:35Z,2023-10-02T12:02:35Z,483
3447,2023-09-23T22:06:30Z,2023-09-24T04:23:41Z,2023-09-24T04:23:41Z,236
3444,2023-09-23T21:08:52Z,,2023-09-24T03:33:21Z,378
3439,2023-09-13T14:51:11Z,,2023-09-14T05:35:35Z,141
3434,2023-09-10T14:00:13Z,2023-09-11T10:32:45Z,2023-09-11T10:32:45Z,142
3427,2023-09-04T13:29:01Z,,2023-09-05T07:29:58Z,6358
3426,2023-09-04T13:28:26Z,2023-09-18T00:20:46Z,2023-09-18T00:20:46Z,2415
3425,2023-09-04T13:28:18Z,,2023-09-18T00:36:44Z,3645
3424,2023-09-04T13:08:14Z,2023-09-17T15:15:04Z,2023-09-17T15:15:04Z,340
3417,2023-08-28T13:50:24Z,,2023-09-04T13:29:08Z,5472
3413,2023-08-24T06:09:26Z,,2023-08-24T06:09:39Z,39
3410,2023-08-23T23:56:17Z,2023-08-24T07:31:39Z,2023-08-24T07:31:39Z,152
3408,2023-08-21T13:25:10Z,,2023-08-28T13:50:30Z,4846
3403,2023-08-17T07:40:13Z,2023-08-17T08:17:38Z,2023-08-17T08:17:38Z,135
3400,2023-08-14T13:03:38Z,2023-08-17T02:51:32Z,2023-08-17T02:51:32Z,6806
3399,2023-08-14T13:03:33Z,2023-08-17T02:51:13Z,2023-08-17T02:51:13Z,12046
3398,2023-08-14T06:44:38Z,2023-08-14T07:39:39Z,2023-08-14T07:39:39Z,16
3396,2023-08-12T07:10:19Z,2023-08-12T14:29:00Z,2023-08-12T14:29:00Z,125
3394,2023-08-07T13:27:24Z,,2023-08-14T13:03:43Z,6478
3393,2023-08-07T13:06:25Z,2023-08-08T05:10:03Z,2023-08-08T05:10:03Z,2291
3392,2023-08-07T13:06:20Z,2023-08-07T15:25:20Z,2023-08-07T15:25:20Z,3245
3382,2023-07-26T05:04:13Z,,2023-08-18T04:39:10Z,756
3374,2023-07-17T15:36:00Z,2023-07-20T14:42:09Z,2023-07-20T14:42:09Z,2830
3373,2023-07-17T13:17:02Z,,2023-08-07T13:27:29Z,6119
3370,2023-07-14T10:42:47Z,2023-07-16T08:14:22Z,2023-07-16T08:14:22Z,203
3369,2023-07-14T10:16:09Z,,2023-07-14T13:51:40Z,90
3364,2023-07-11T11:20:31Z,,2023-07-12T04:59:08Z,407
3362,2023-07-10T13:58:25Z,,2023-07-17T13:17:08Z,6326
3361,2023-07-10T13:12:24Z,2023-07-10T13:43:45Z,2023-07-10T13:43:45Z,3321
3360,2023-07-10T13:12:13Z,2023-07-10T15:35:44Z,2023-07-10T15:35:44Z,2460
3352,2023-07-03T13:25:41Z,,2023-07-10T13:58:31Z,6273
3345,2023-06-26T13:59:30Z,,2023-07-03T13:25:46Z,5548
3338,2023-06-19T13:58:28Z,2023-06-22T08:00:06Z,2023-06-22T08:00:06Z,2283
3337,2023-06-19T13:58:25Z,2023-06-21T04:41:21Z,2023-06-21T04:41:21Z,3824
3335,2023-06-17T04:24:28Z,2023-06-17T10:10:12Z,2023-06-17T10:10:12Z,39
3331,2023-06-12T13:59:48Z,2023-06-21T04:40:48Z,2023-06-21T04:40:48Z,5065
3327,2023-06-08T01:00:00Z,2023-06-10T05:48:29Z,2023-06-10T05:48:29Z,1527
3324,2023-06-05T13:59:08Z,,2023-06-12T13:59:54Z,4914
3313,2023-05-30T12:43:34Z,2023-09-22T08:37:35Z,2023-09-22T08:37:35Z,2030
3312,2023-05-29T13:59:07Z,,2023-06-05T13:59:14Z,3631
3310,2023-05-25T13:10:25Z,,2023-05-26T06:10:47Z,893
3306,2023-05-22T14:01:04Z,2023-05-23T14:55:35Z,2023-05-23T14:55:35Z,6518
3305,2023-05-22T13:57:42Z,,2023-10-23T13:08:00Z,3556
3299,2023-05-17T04:55:14Z,,2023-05-25T15:32:19Z,451
3295,2023-05-14T18:11:39Z,,2023-09-22T08:38:23Z,1067
3287,2023-05-08T13:59:35Z,,2023-05-22T14:01:11Z,6529
3286,2023-05-08T13:58:14Z,,2023-05-23T14:56:33Z,3755
3285,2023-05-08T13:58:03Z,2023-05-23T14:55:57Z,2023-05-23T14:55:57Z,2283
