number,created_at,merged_at,closed_at,desc_len
57,2014-04-25T08:21:37Z,,2014-04-25T08:37:09Z,6
56,2014-04-25T05:15:00Z,,2014-04-25T05:15:09Z,12
55,2014-04-25T04:33:53Z,2014-04-25T05:08:35Z,2014-04-25T05:08:35Z,12
53,2014-04-22T13:58:01Z,2014-04-23T00:13:05Z,2014-04-23T00:13:05Z,10
52,2014-04-21T08:35:57Z,2014-04-22T00:12:02Z,2014-04-22T00:12:02Z,12
51,2014-04-16T04:06:23Z,,2014-08-05T03:21:09Z,13
49,2014-04-04T02:57:31Z,2014-04-04T03:27:21Z,2014-04-04T03:27:21Z,27
47,2014-03-29T11:52:59Z,2014-04-01T00:26:05Z,2014-04-01T00:26:05Z,21
46,2014-03-27T02:08:08Z,,2014-04-28T01:06:14Z,38
45,2014-03-26T16:34:26Z,2014-03-27T01:20:49Z,2014-03-27T01:20:49Z,53
40,2014-03-02T09:13:25Z,2014-03-05T00:31:27Z,2014-03-05T00:31:27Z,66
39,2014-03-01T15:46:18Z,2014-03-05T00:30:50Z,2014-03-05T00:30:50Z,35
35,2014-02-12T02:10:52Z,,2014-02-13T05:20:45Z,27
29,2013-12-29T06:07:00Z,,2013-12-30T01:32:29Z,24
27,2013-12-16T07:54:08Z,2013-12-17T01:15:42Z,2013-12-17T01:15:42Z,44
26,2013-12-13T03:31:48Z,2013-12-13T03:52:45Z,2013-12-13T03:52:45Z,49
22,2013-12-06T15:21:58Z,2013-12-07T04:16:58Z,2013-12-07T04:16:58Z,147
21,2013-12-03T16:33:39Z,2013-12-04T00:42:27Z,2013-12-04T00:42:27Z,67
18,2013-12-03T01:40:13Z,2013-12-03T05:18:22Z,2013-12-03T05:18:22Z,55
17,2013-12-02T11:15:26Z,2013-12-03T00:26:50Z,2013-12-03T00:26:50Z,32
14,2013-11-26T14:44:33Z,2013-11-27T00:44:18Z,2013-11-27T00:44:18Z,76
12,2013-11-26T04:05:24Z,2013-11-26T04:08:32Z,2013-11-26T04:08:32Z,102
11,2013-11-16T03:57:42Z,2013-11-18T00:26:42Z,2013-11-18T00:26:42Z,16
9,2013-11-14T10:30:48Z,2013-11-15T00:39:23Z,2013-11-15T00:39:23Z,10
6,2013-11-13T04:37:19Z,2013-11-13T04:39:26Z,2013-11-13T04:39:26Z,28
5,2013-11-07T07:21:17Z,2013-11-07T07:23:42Z,2013-11-07T07:23:42Z,13
4,2013-11-07T06:07:54Z,2013-11-07T06:41:26Z,2013-11-07T06:41:26Z,41
2,2013-11-04T13:58:29Z,2013-11-05T00:26:20Z,2013-11-05T00:26:20Z,28
421,2015-12-10T07:03:19Z,2015-12-10T07:09:57Z,2015-12-10T07:09:57Z,15
420,2015-12-09T05:48:13Z,2015-12-09T05:56:17Z,2015-12-09T05:56:17Z,34
417,2015-11-29T09:26:12Z,,2015-11-30T00:43:50Z,11
416,2015-11-25T11:59:58Z,2015-11-26T03:31:40Z,2015-11-26T03:31:40Z,14
415,2015-11-25T11:46:38Z,,2015-11-25T11:52:55Z,14
414,2015-11-25T09:26:43Z,2015-11-25T09:54:35Z,2015-11-25T09:54:36Z,75
413,2015-11-19T09:52:32Z,2015-11-19T10:48:28Z,2015-11-19T10:48:28Z,139
411,2015-11-17T23:06:03Z,2015-11-18T05:11:31Z,2015-11-18T05:11:31Z,1188
410,2015-11-14T17:30:22Z,,2016-07-18T02:24:23Z,105
409,2015-11-14T03:07:36Z,2015-11-16T01:08:44Z,2015-11-16T01:08:44Z,167
408,2015-11-11T15:58:14Z,2015-11-12T07:49:16Z,2015-11-12T07:49:16Z,39
405,2015-11-06T13:04:42Z,,2015-11-12T07:51:05Z,109
403,2015-11-03T04:11:47Z,2015-11-03T04:45:30Z,2015-11-03T04:45:30Z,57
399,2015-10-28T09:50:18Z,,2020-02-04T12:17:40Z,25
398,2015-10-28T09:09:00Z,,2020-02-04T12:17:13Z,55
397,2015-10-27T20:24:56Z,2015-10-28T06:11:15Z,2015-10-28T06:11:15Z,33
396,2015-10-23T15:58:31Z,2015-10-26T00:45:11Z,2015-10-26T00:45:11Z,235
395,2015-10-17T10:22:18Z,2015-10-19T00:11:46Z,2015-10-19T00:11:46Z,46
394,2015-10-16T14:56:03Z,2015-10-19T00:10:13Z,2015-10-19T00:10:13Z,17
393,2015-10-15T11:30:32Z,,2019-11-05T08:14:18Z,7
391,2015-10-09T09:24:01Z,2015-10-09T09:24:32Z,2015-10-09T09:24:32Z,40
390,2015-10-07T14:54:47Z,2015-10-08T00:34:55Z,2015-10-08T00:34:55Z,17
389,2015-10-07T13:15:58Z,2015-10-08T00:34:39Z,2015-10-08T00:34:39Z,17
387,2015-09-29T02:14:41Z,2015-09-29T05:57:36Z,2015-09-29T05:57:36Z,39
386,2015-09-28T12:45:06Z,2015-09-29T00:10:39Z,2015-09-29T00:10:39Z,45
385,2015-09-27T11:10:08Z,2015-09-27T23:44:58Z,2015-09-27T23:44:58Z,22
384,2015-09-18T02:48:47Z,2015-09-18T02:53:06Z,2015-09-18T02:53:06Z,16
382,2015-09-14T08:57:52Z,,2015-09-15T06:30:42Z,50
381,2015-09-13T13:43:59Z,2015-09-14T00:39:57Z,2015-09-14T00:39:57Z,147
380,2015-09-12T11:46:23Z,2015-09-14T00:39:10Z,2015-09-14T00:39:10Z,12
379,2015-09-07T12:16:28Z,2015-09-10T00:27:51Z,2015-09-10T00:27:51Z,11
378,2015-09-07T03:08:46Z,2015-09-07T04:32:20Z,2015-09-07T04:32:20Z,7
377,2015-09-06T15:32:39Z,2015-09-07T00:46:37Z,2015-09-07T00:46:37Z,14
376,2015-09-04T15:05:21Z,2015-09-06T00:56:23Z,2015-09-06T00:56:23Z,52
373,2015-08-29T12:19:42Z,2015-08-30T01:04:06Z,2015-08-30T01:04:06Z,116
372,2015-08-24T11:52:54Z,2015-08-25T02:35:32Z,2015-08-25T02:35:32Z,88
370,2015-08-21T10:18:42Z,,2015-09-01T08:13:44Z,21
368,2015-08-18T03:49:12Z,,2015-08-24T00:34:14Z,163
367,2015-08-17T12:32:01Z,2015-08-18T00:39:37Z,2015-08-18T00:39:37Z,26
366,2015-08-15T03:30:08Z,2015-08-15T09:04:09Z,2015-08-15T09:04:09Z,62
365,2015-08-13T03:33:14Z,2015-08-13T04:30:16Z,2015-08-13T04:30:16Z,190
364,2015-08-10T03:42:24Z,,2015-08-11T00:09:44Z,85
362,2015-08-05T09:57:28Z,2015-08-05T09:59:38Z,2015-08-05T09:59:38Z,26
361,2015-08-04T03:04:03Z,2015-08-04T03:05:54Z,2015-08-04T03:05:54Z,28
360,2015-08-03T06:09:42Z,2015-08-03T07:00:56Z,2015-08-03T07:00:56Z,26
359,2015-07-28T08:24:33Z,2015-07-28T10:57:24Z,2015-07-28T10:57:24Z,14
