number,created_at,merged_at,closed_at,desc_len
14,2016-10-07T07:04:16Z,2016-10-07T17:29:59Z,2016-10-07T17:29:59Z,100
12,2016-10-07T02:35:37Z,2016-10-07T03:05:00Z,2016-10-07T03:05:00Z,90
11,2016-10-07T00:45:34Z,2016-10-07T01:10:12Z,2016-10-07T01:10:12Z,19
10,2016-10-06T23:45:03Z,2016-10-07T00:09:59Z,2016-10-07T00:09:59Z,95
9,2016-10-06T19:24:59Z,2016-10-06T21:25:38Z,2016-10-06T21:25:38Z,146
6,2016-10-06T15:49:06Z,,2016-10-06T21:20:55Z,16
4,2016-10-06T14:08:10Z,2016-10-06T16:42:10Z,2016-10-06T16:42:10Z,792
3,2016-10-06T10:08:17Z,2016-10-06T16:40:31Z,2016-10-06T16:40:31Z,10
2,2016-10-05T19:24:50Z,,2016-10-05T19:25:45Z,16
1,2016-10-05T06:30:46Z,,2016-10-05T06:31:02Z,24
1226,2022-09-16T05:54:01Z,2022-09-16T14:42:20Z,2022-09-16T14:42:20Z,363
1225,2022-09-16T05:14:18Z,,2022-09-16T05:15:37Z,28
1223,2022-09-14T18:24:46Z,2022-09-15T01:35:34Z,2022-09-15T01:35:34Z,206
1222,2022-09-12T07:00:58Z,,2022-09-13T02:12:48Z,353
1221,2022-09-11T15:03:59Z,2022-09-12T00:49:48Z,2022-09-12T00:49:48Z,362
1220,2022-09-10T01:08:32Z,2022-09-14T18:14:53Z,2022-09-14T18:14:53Z,32
1219,2022-09-09T17:44:41Z,,2022-09-09T17:49:50Z,8
1217,2022-09-06T11:30:39Z,2022-09-06T15:32:58Z,2022-09-06T15:32:58Z,75
1216,2022-09-01T07:41:21Z,2022-09-01T15:16:47Z,2022-09-01T15:16:47Z,64
1215,2022-09-01T07:33:35Z,2022-09-01T15:16:58Z,2022-09-01T15:16:58Z,73
1213,2022-08-31T01:13:33Z,2022-08-31T20:48:33Z,2022-08-31T20:48:33Z,317
1212,2022-08-29T10:49:33Z,,2022-08-29T10:49:44Z,4
1211,2022-08-29T03:19:19Z,2022-08-29T15:19:09Z,2022-08-29T15:19:09Z,19
1210,2022-08-29T02:45:36Z,,2022-08-29T02:46:22Z,19
1209,2022-08-28T13:36:49Z,2022-08-28T15:14:23Z,2022-08-28T15:14:23Z,19
1207,2022-08-27T06:18:22Z,,2022-08-27T06:23:32Z,14
1206,2022-08-26T15:13:20Z,,2022-08-26T15:13:57Z,8
1204,2022-08-25T17:42:03Z,2022-08-31T20:51:23Z,2022-08-31T20:51:23Z,19
1203,2022-08-25T06:56:20Z,,2022-08-25T15:07:02Z,8
1202,2022-08-24T14:28:50Z,,2022-08-24T16:18:24Z,39
1201,2022-08-24T06:31:46Z,2022-08-24T16:16:47Z,2022-08-24T16:16:47Z,24
1200,2022-08-24T06:18:23Z,,2022-08-24T06:18:49Z,8
1199,2022-08-23T12:39:05Z,2022-08-24T01:48:23Z,2022-08-24T01:48:23Z,27
1198,2022-08-23T12:25:46Z,2022-08-24T02:32:47Z,2022-08-24T02:32:47Z,42
1197,2022-08-23T08:04:46Z,,2022-08-23T08:05:39Z,12
1196,2022-08-20T15:41:02Z,,2022-08-20T15:42:05Z,8
1195,2022-08-20T12:16:33Z,,2022-08-20T18:14:53Z,34
1194,2022-08-19T13:16:37Z,,2022-08-31T20:51:50Z,32
1193,2022-08-18T13:21:29Z,,2022-08-18T16:19:43Z,8
1189,2022-08-10T19:34:53Z,2022-08-11T03:58:56Z,2022-08-11T03:58:56Z,300
1188,2022-08-10T12:51:06Z,2022-08-10T16:30:19Z,2022-08-10T16:30:19Z,153
1187,2022-08-08T17:01:09Z,2022-08-09T01:08:52Z,2022-08-09T01:08:52Z,135
1186,2022-08-07T11:20:11Z,2022-08-07T18:08:50Z,2022-08-07T18:08:50Z,35
1185,2022-08-02T17:44:47Z,2022-08-03T01:04:42Z,2022-08-03T01:04:42Z,104
1183,2022-07-29T23:42:53Z,,2022-07-29T23:44:07Z,8
1182,2022-07-28T07:22:29Z,,2022-07-28T07:23:33Z,16
1181,2022-07-25T07:57:42Z,,2022-07-25T15:01:29Z,31
1179,2022-07-24T05:23:52Z,,2022-07-24T17:33:58Z,36
1177,2022-07-21T07:37:54Z,2022-07-21T15:11:34Z,2022-07-21T15:11:34Z,130
1175,2022-07-20T15:21:08Z,2022-07-21T01:33:18Z,2022-07-21T01:33:18Z,197
1174,2022-07-20T12:37:28Z,2022-08-31T20:52:10Z,2022-08-31T20:52:10Z,16
1173,2022-07-20T09:08:07Z,2022-07-21T15:10:23Z,2022-07-21T15:10:23Z,141
1172,2022-07-18T03:23:04Z,2022-07-18T03:57:38Z,2022-07-18T03:57:39Z,23
1170,2022-07-12T21:38:27Z,2022-08-31T20:49:38Z,2022-08-31T20:49:38Z,71
1168,2022-07-12T08:02:41Z,2022-07-12T16:34:55Z,2022-07-12T16:34:55Z,32
1167,2022-07-11T21:44:25Z,2022-07-19T20:49:43Z,2022-07-19T20:49:43Z,67
1166,2022-07-11T21:41:24Z,,2022-07-12T21:33:28Z,100
1165,2022-07-11T21:37:19Z,,2022-07-11T21:38:15Z,98
1163,2022-07-09T19:55:45Z,2022-08-31T20:50:45Z,2022-08-31T20:50:45Z,127
1162,2022-07-07T16:26:05Z,,2022-07-07T16:34:49Z,8
1161,2022-07-07T15:49:53Z,2022-07-08T00:54:19Z,2022-07-08T00:54:19Z,542
1159,2022-07-01T07:12:02Z,2022-08-31T20:49:04Z,2022-08-31T20:49:04Z,165
1158,2022-06-29T20:04:56Z,,2022-07-09T20:49:03Z,83
1157,2022-06-28T11:59:44Z,2022-06-29T15:35:06Z,2022-06-29T15:35:06Z,217
1155,2022-06-14T10:17:45Z,2022-06-14T15:45:29Z,2022-06-14T15:45:29Z,47
1154,2022-05-29T08:55:03Z,2022-06-02T15:20:46Z,2022-06-02T15:20:46Z,81
1153,2022-05-29T05:30:42Z,2022-05-29T17:28:15Z,2022-05-29T17:28:15Z,106
1152,2022-05-24T18:11:06Z,,2022-05-24T18:11:31Z,46
1150,2022-05-17T19:39:26Z,2022-05-19T02:20:11Z,2022-05-19T02:20:11Z,173
1149,2022-05-16T09:30:15Z,2023-03-01T16:31:00Z,2023-03-01T16:31:00Z,198
1148,2022-05-15T12:37:24Z,,2022-05-15T12:37:39Z,8
1146,2022-05-13T11:53:25Z,2022-08-31T20:52:56Z,2022-08-31T20:52:56Z,38
1145,2022-05-11T21:19:19Z,,2022-05-11T21:20:18Z,15
1144,2022-05-07T22:28:24Z,,2022-05-08T15:08:39Z,8
1143,2022-05-02T06:29:22Z,2022-05-02T14:17:00Z,2022-05-02T14:17:00Z,82
1142,2022-05-01T18:31:48Z,,2022-05-01T18:34:45Z,10
1141,2022-05-01T03:53:28Z,2022-05-01T18:04:13Z,2022-05-01T18:04:13Z,16
1139,2022-04-24T23:48:46Z,,2022-04-24T23:49:07Z,8
1138,2022-04-24T11:50:04Z,,2022-04-24T11:57:29Z,8
1137,2022-04-24T10:08:23Z,,2022-04-24T10:09:55Z,5
1135,2022-04-21T12:07:01Z,,2022-04-21T12:09:08Z,83
1134,2022-04-13T11:19:38Z,,2022-04-14T15:15:00Z,8
1133,2022-04-11T03:54:16Z,,2022-04-11T03:54:58Z,12
1132,2022-04-09T06:09:27Z,,2022-04-10T16:55:05Z,8
1131,2022-04-08T01:27:29Z,2022-04-08T15:31:42Z,2022-04-08T15:31:42Z,37
1129,2022-04-05T04:46:30Z,2022-04-10T16:54:33Z,2022-04-10T16:54:33Z,115
1127,2022-04-01T11:50:07Z,,2022-04-01T15:08:13Z,8
1126,2022-03-30T22:20:54Z,,2022-03-30T22:39:37Z,422
1125,2022-03-30T21:53:54Z,,2022-03-30T22:17:50Z,525
1124,2022-03-30T19:45:10Z,,2022-03-30T19:48:09Z,422
1123,2022-03-30T19:27:50Z,,2022-03-30T19:35:27Z,295
1120,2022-03-27T05:11:18Z,,2022-03-27T05:14:38Z,8
1119,2022-03-26T12:57:02Z,,2022-03-26T12:57:06Z,36
1118,2022-03-26T00:05:15Z,,2022-03-26T00:05:20Z,8
1117,2022-03-24T06:21:35Z,,2022-03-24T23:59:45Z,24
1116,2022-03-23T23:06:51Z,,2022-03-23T23:07:55Z,19
1115,2022-03-22T11:26:34Z,,2022-03-22T11:36:11Z,8
1114,2022-03-19T12:32:03Z,,2022-03-19T12:32:09Z,8
1113,2022-03-19T12:27:13Z,,2022-03-19T12:28:05Z,8
1111,2022-03-19T11:35:29Z,2022-03-19T18:14:45Z,2022-03-19T18:14:45Z,157
1110,2022-03-18T03:52:37Z,,2022-03-18T03:53:27Z,8
1109,2022-03-16T23:46:14Z,2022-03-17T00:20:23Z,2022-03-17T00:20:23Z,272
1108,2022-03-16T15:08:40Z,2022-03-16T16:13:59Z,2022-03-16T16:13:59Z,76
1107,2022-03-14T10:16:51Z,2022-03-14T15:57:03Z,2022-03-14T15:57:03Z,155
1106,2022-03-14T10:08:27Z,2022-03-16T16:16:21Z,2022-03-16T16:16:21Z,184
