number,created_at,merged_at,closed_at,desc_len
3688,2023-03-21T19:31:48Z,2023-03-21T23:42:38Z,2023-03-21T23:42:38Z,203
3686,2023-03-21T16:36:50Z,2023-03-21T23:42:55Z,2023-03-21T23:42:55Z,34
3684,2023-03-21T07:33:58Z,2023-03-21T23:44:29Z,2023-03-21T23:44:29Z,650
3682,2023-03-20T03:20:40Z,2023-03-20T19:39:29Z,2023-03-20T19:39:29Z,69
3679,2023-03-19T04:58:51Z,,2023-03-20T19:41:28Z,177
3678,2023-03-19T00:40:28Z,2023-03-20T19:41:50Z,2023-03-20T19:41:50Z,72
3677,2023-03-19T00:05:08Z,2023-03-21T23:45:16Z,2023-03-21T23:45:16Z,136
3676,2023-03-18T20:35:21Z,2023-03-18T20:38:12Z,2023-03-18T20:38:12Z,429
3675,2023-03-18T07:18:02Z,2023-03-18T20:39:05Z,2023-03-18T20:39:05Z,46
3670,2023-03-18T04:06:17Z,,2023-03-18T06:56:04Z,8
3668,2023-03-17T23:20:23Z,,2023-03-18T21:40:46Z,53
3667,2023-03-17T22:49:13Z,,2023-03-18T21:41:02Z,20
3666,2023-03-17T22:30:31Z,,2023-03-17T22:35:18Z,18
3658,2023-03-17T11:20:45Z,2023-03-18T21:41:48Z,2023-03-18T21:41:48Z,46
3656,2023-03-17T05:37:35Z,2023-03-17T11:15:36Z,2023-03-17T11:15:36Z,115
3655,2023-03-17T05:31:33Z,,2023-07-12T18:18:58Z,44
3653,2023-03-16T20:26:43Z,2023-03-16T20:27:49Z,2023-03-16T20:27:49Z,108
3651,2023-03-16T15:49:11Z,2023-03-16T20:33:56Z,2023-03-16T20:33:56Z,269
3650,2023-03-16T09:52:49Z,,2023-05-09T13:43:18Z,39
3649,2023-03-16T03:27:14Z,,2023-03-16T03:28:17Z,116
3624,2023-03-15T20:31:41Z,,2023-03-15T20:33:24Z,53
3608,2023-03-14T05:54:21Z,2023-03-14T08:35:31Z,2023-03-14T08:35:31Z,45
3607,2023-03-14T05:50:28Z,2023-03-14T08:35:56Z,2023-03-14T08:35:56Z,50
3606,2023-03-14T05:47:55Z,2023-03-14T08:36:16Z,2023-03-14T08:36:16Z,44
3605,2023-03-14T05:06:28Z,2023-03-14T08:37:06Z,2023-03-14T08:37:06Z,42
